Artist,Genre,Artist_uri,Artist_id,Followers
Norah Jones,jazz,spotify:artist:2Kx7MNY7cI1ENniW7vT30N,2Kx7MNY7cI1ENniW7vT30N,1668397
Louis Armstrong,jazz,spotify:artist:19eLuQmk9aCobbVDHc6eek,19eLuQmk9aCobbVDHc6eek,1589432
Miles Davis,jazz,spotify:artist:0kbYTNQb4Pb1rPbbaF0pT4,0kbYTNQb4Pb1rPbbaF0pT4,1427410
Ray Charles,jazz,spotify:artist:1eYhYunlNJlDoQhtYBvPsi,1eYhYunlNJlDoQhtYBvPsi,1275839
Nina Simone,jazz,spotify:artist:7G1GBhoKtEPnP86X2PvEYO,7G1GBhoKtEPnP86X2PvEYO,1209102
Ella Fitzgerald,jazz,spotify:artist:5V0MlUE1Bft0mbLlND7FJz,5V0MlUE1Bft0mbLlND7FJz,1196715
Billie Holiday,jazz,spotify:artist:1YzCsTRb22dQkh9lghPIrp,1YzCsTRb22dQkh9lghPIrp,930289
Nat King Cole,jazz,spotify:artist:7v4imS0moSyGdXyLgVTIV7,7v4imS0moSyGdXyLgVTIV7,877297
John Coltrane,jazz,spotify:artist:2hGh5VOeeqimQFxqXvfCUf,2hGh5VOeeqimQFxqXvfCUf,835969
Etta James,jazz,spotify:artist:0iOVhN3tnSvgDbcg25JoJb,0iOVhN3tnSvgDbcg25JoJb,762823
Dean Martin,jazz,spotify:artist:49e4v89VmlDcFCMyDv9wQ9,49e4v89VmlDcFCMyDv9wQ9,548469
Diana Krall,jazz,spotify:artist:5z1VAFwT35EVvCp1XlZZuL,5z1VAFwT35EVvCp1XlZZuL,530345
Duke Ellington,jazz,spotify:artist:4F7Q5NV6h5TSwCainz8S5A,4F7Q5NV6h5TSwCainz8S5A,451042
Chet Baker,jazz,spotify:artist:3rxeQlsv0Sc2nyYaZ5W71T,3rxeQlsv0Sc2nyYaZ5W71T,383872
Tony Bennett,jazz,spotify:artist:2lolQgalUvZDfp5vvVtTYV,2lolQgalUvZDfp5vvVtTYV,369401
Roberta Flack,jazz,spotify:artist:0W498bDDNlJIrYMKXdpLHA,0W498bDDNlJIrYMKXdpLHA,333665
Melody Gardot,jazz,spotify:artist:2P1puQXmG48EVLBrHbum1J,2P1puQXmG48EVLBrHbum1J,320306
Jamie Cullum,jazz,spotify:artist:3XxxEq6BREC57nCWXbQZ7o,3XxxEq6BREC57nCWXbQZ7o,309154
Herbie Hancock,jazz,spotify:artist:2ZvrvbQNrHKwjT7qfGFFUW,2ZvrvbQNrHKwjT7qfGFFUW,305741
Thelonious Monk,jazz,spotify:artist:4PDpGtF16XpqvXxsrFwQnN,4PDpGtF16XpqvXxsrFwQnN,302122
Sarah Vaughan,jazz,spotify:artist:1bgyxtWjZwA5PQlDsvs9b8,1bgyxtWjZwA5PQlDsvs9b8,292588
Gregory Porter,jazz,spotify:artist:06nevPmNVfWUXyZkccahL8,06nevPmNVfWUXyZkccahL8,290826
Charlie Parker,jazz,spotify:artist:4Ww5mwS7BWYjoZTUIrMHfC,4Ww5mwS7BWYjoZTUIrMHfC,285022
Bill Evans,jazz,spotify:artist:4jXfFzeP66Zy67HM2mvIIF,4jXfFzeP66Zy67HM2mvIIF,259292
Dizzy Gillespie,jazz,spotify:artist:5RzjqfPS0Bu4bUMkyNNDpn,5RzjqfPS0Bu4bUMkyNNDpn,230842
The Platters,jazz,spotify:artist:6KWcxMWVNVIYbdOQyJtsSy,6KWcxMWVNVIYbdOQyJtsSy,223046
Natalie Cole,jazz,spotify:artist:5tTsrGPwQRWUsHR2Xf7Ke9,5tTsrGPwQRWUsHR2Xf7Ke9,221408
Donny Hathaway,jazz,spotify:artist:0HU0U9kdXEHZVxUNbuQe8S,0HU0U9kdXEHZVxUNbuQe8S,214011
Joo Gilberto,jazz,spotify:artist:77ZUbcdoU5KCPHNUl8bgQy,77ZUbcdoU5KCPHNUl8bgQy,211145
Madeleine Peyroux,jazz,spotify:artist:7nXyULtoL8k7wP9l6kg8Ef,7nXyULtoL8k7wP9l6kg8Ef,208895
Glenn Miller,jazz,spotify:artist:2aAHdB5HweT3mFcRzm0swc,2aAHdB5HweT3mFcRzm0swc,206829
Esperanza Spalding,jazz,spotify:artist:5bepW5vcdRzheNc0F8lHJ5,5bepW5vcdRzheNc0F8lHJ5,199947
Sammy Davis Jr.,jazz,spotify:artist:1NAWG3AngjBXyKbmPaz92D,1NAWG3AngjBXyKbmPaz92D,197934
Dinah Washington,jazz,spotify:artist:32LHRiof0sa4taYew9i3Fa,32LHRiof0sa4taYew9i3Fa,187768
"Harry Connick, Jr.",jazz,spotify:artist:6u17YlWtW4oqFF5Hn9UU79,6u17YlWtW4oqFF5Hn9UU79,186156
Pink Martini,jazz,spotify:artist:6KyUat70qaniuiZq63HzFZ,6KyUat70qaniuiZq63HzFZ,185777
Count Basie,jazz,spotify:artist:2jFZlvIea42ZvcCw4OeEdA,2jFZlvIea42ZvcCw4OeEdA,184032
Stan Getz,jazz,spotify:artist:0FMucZsEnCxs5pqBjHjIc8,0FMucZsEnCxs5pqBjHjIc8,176468
Benny Goodman,jazz,spotify:artist:1pBuKaLHJlIlqYxQQaflve,1pBuKaLHJlIlqYxQQaflve,170845
Bobby Darin,jazz,spotify:artist:0EodhzA6yW1bIdD5B4tcmJ,0EodhzA6yW1bIdD5B4tcmJ,169629
Peggy Lee,jazz,spotify:artist:602DnpaSXJB4b9DZrvxbDc,602DnpaSXJB4b9DZrvxbDc,167053
Al Jarreau,jazz,spotify:artist:3YR92OLKlvkK5oKNekSqXe,3YR92OLKlvkK5oKNekSqXe,158766
Andy Williams,jazz,spotify:artist:4sj6D0zlMOl25nprDJBiU9,4sj6D0zlMOl25nprDJBiU9,156030
Sonny Rollins,jazz,spotify:artist:1VEzN9lxvG6KPR3QQGsebR,1VEzN9lxvG6KPR3QQGsebR,152501
Sharon Jones & The Dap-Kings,jazz,spotify:artist:6LufpoVlIYKQCu9Gjpk8B7,6LufpoVlIYKQCu9Gjpk8B7,148194
Doris Day,jazz,spotify:artist:3ESG6pj6a0LvUKklENalT6,3ESG6pj6a0LvUKklENalT6,140580
Keith Jarrett,jazz,spotify:artist:0F3Aew9DSd6fb6192K1K0Y,0F3Aew9DSd6fb6192K1K0Y,134150
Perry Como,jazz,spotify:artist:5v8jlSmAQfrkTjAlpUfWtu,5v8jlSmAQfrkTjAlpUfWtu,133310
Johnny Mathis,jazz,spotify:artist:21LGsW7bziR4Ledx7WZ1Wf,21LGsW7bziR4Ledx7WZ1Wf,120933
Stacey Kent,jazz,spotify:artist:03EYBMnqSchCMp5D9qmFXi,03EYBMnqSchCMp5D9qmFXi,119772
Wynton Marsalis,jazz,spotify:artist:375zxMmh2cSgUzFFnva0O7,375zxMmh2cSgUzFFnva0O7,115635
Solomon Burke,jazz,spotify:artist:4nts0oxMT67lVUoi5Kjxrb,4nts0oxMT67lVUoi5Kjxrb,104736
Julie London,jazz,spotify:artist:3qUMmh5biaB5hqpF4LqS3m,3qUMmh5biaB5hqpF4LqS3m,101967
Oscar Peterson,jazz,spotify:artist:6zkX5fhrSD4tdVOmimR9wB,6zkX5fhrSD4tdVOmimR9wB,94182
Cannonball Adderley,jazz,spotify:artist:5v74mT11KGJqadf9sLw4dA,5v74mT11KGJqadf9sLw4dA,90798
Dexter Gordon,jazz,spotify:artist:3NUsiT2JSyaWAnWaXxDzhQ,3NUsiT2JSyaWAnWaXxDzhQ,90570
Astrud Gilberto,jazz,spotify:artist:5rX2c1zow6hCph8PnnU3kF,5rX2c1zow6hCph8PnnU3kF,88283
Brad Mehldau,jazz,spotify:artist:2vI9KFm0fwSfPrpEgOeIbq,2vI9KFm0fwSfPrpEgOeIbq,87496
Wayne Shorter,jazz,spotify:artist:0ZqhrTXYPA9DZR527ZnFdO,0ZqhrTXYPA9DZR527ZnFdO,87098
Judy Garland,jazz,spotify:artist:0hItVPjwJLVZrFqOyIsxPf,0hItVPjwJLVZrFqOyIsxPf,86572
The Ink Spots,jazz,spotify:artist:5bOsFzuJ6QZMr86ezC4oXY,5bOsFzuJ6QZMr86ezC4oXY,81612
Leslie Odom Jr.,jazz,spotify:artist:3cR4rhS2hBWqI7rJEBacvN,3cR4rhS2hBWqI7rJEBacvN,81512
Louis Prima,jazz,spotify:artist:52lBOxCxbJg0ttXEW9CQpW,52lBOxCxbJg0ttXEW9CQpW,74618
The Andrews Sisters,jazz,spotify:artist:2NCGI6dLTxLdI9XHdv7QfM,2NCGI6dLTxLdI9XHdv7QfM,74085
Bill Evans Trio,jazz,spotify:artist:3VEG6gxFIMfl4Cdog26avS,3VEG6gxFIMfl4Cdog26avS,72869
Henry Mancini,jazz,spotify:artist:2EExdpjU4SK3xnJHO5paJf,2EExdpjU4SK3xnJHO5paJf,70711
Art Tatum,jazz,spotify:artist:3DtSOCXYU6o4EV0K1NgIKq,3DtSOCXYU6o4EV0K1NgIKq,70649
Nancy Wilson,jazz,spotify:artist:2JfVCMa3FlvQRlLT5uH9zb,2JfVCMa3FlvQRlLT5uH9zb,70309
