Artist,Artist_id,ArtistColab,ArtistColab_id,Song,Song_id
Drake,3TVXtAsR1Inumwj472S9r4,BlocBoy JB,4TEJudQY2pXxVHPE3gD2EU,Look Alive (feat. Drake),4qKcDkK6siZ7Jp1Jb4m0aL
Drake,3TVXtAsR1Inumwj472S9r4,BlocBoy JB,4TEJudQY2pXxVHPE3gD2EU,Look Alive (feat. Drake),7JkupiSi1rgTwwtclR3FHc
Drake,3TVXtAsR1Inumwj472S9r4,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,No Frauds,7KcGEssn7BnJdTgildK5y0
Drake,3TVXtAsR1Inumwj472S9r4,Lil Wayne,55Aa2cqylxrFIXC767Z865,No Frauds,7KcGEssn7BnJdTgildK5y0
Drake,3TVXtAsR1Inumwj472S9r4,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,No Frauds,2FBb2woQwTWMjs7Z5XGWvY
Drake,3TVXtAsR1Inumwj472S9r4,Lil Wayne,55Aa2cqylxrFIXC767Z865,No Frauds,2FBb2woQwTWMjs7Z5XGWvY
Drake,3TVXtAsR1Inumwj472S9r4,21 Savage,1URnnhqYAYcrqrcwql10ft,Sneakin,4ckuS4Nj4FZ7i3Def3Br8W
Drake,3TVXtAsR1Inumwj472S9r4,The Throne,7bkdi7f1mxyYxWcBlwON4s,Pop Style,23NWj2izXAJ4yL6Nah73wf
Drake,3TVXtAsR1Inumwj472S9r4,The Throne,5anVUgyZ887V3ErcjYwNMk,Pop Style,6nwp8mY3CYoRev6h8ar1MJ
Drake,3TVXtAsR1Inumwj472S9r4,Majid Jordan,4HzKw8XcD0piJmDrrPRCYk,"Hold On, We're Going Home",2axd59iRySNyY8JlmHcmFn
Drake,3TVXtAsR1Inumwj472S9r4,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Live For,4v1wpe6QTvLN7bu3gM6tRh
Drake,3TVXtAsR1Inumwj472S9r4,Lil Wayne,55Aa2cqylxrFIXC767Z865,The Motto,1oMvWilLOmFabHPfRxKGL2
