Artist,Artist_id,Song,Song_id,Lyrics
Journey,0rvjqX7ttXeg3mTy8Xscbt,Don't Stop Believin',4bHsxqR3GMrXTxEPLuK5ue, Unfortunately we are not licensed to display the full lyrics for this song at the moment Hopefully we will be able to in the future Until then how about a random page
Journey,0rvjqX7ttXeg3mTy8Xscbt,Any Way You Want It,71SvEDmsOwIWw1IozsZoMA, Any way you want it That s the way you need it Any way you want it She loves to laugh She loves to sing She does everything She loves to move She loves to groove She loves the lovin things Ooh all night all night Oh every night So hold tight hold tight Ooh baby hold tight Oh she said Any way you want it That s the way you need it Any way you want it She said Any way you want it That s the way you need it Any way you want it I was alone I never knew What good love could do Ooh then we touched Then we sang About the lovin things Ooh all night all night Oh every night So hold tight hold tight Ooh baby hold tight Oh she said Any way you want it That s the way you need it Any way you want it Oh I said Any way you want it That s the way you need it Any way you want it She said Hold on Hold on hold on hold on Oh she said Any way you want it That s the way you need it Any way you want it Any way you want it That s the way you need it Any way you want it Oh she said Any way you want it That s the way you need it Any way you want it Any way you want it That s the way you need it Any way you want it Any way you want it That s the way you need it Any way you want it Any way you want it That s the way you need it Any way you want it Any way you want it That s the way you need it Any way you want it Any way you want it That s the way you need it Any way you want it
Journey,0rvjqX7ttXeg3mTy8Xscbt,Faithfully,57ebBLITHpRgRKGrlbxMZS, Unfortunately we are not licensed to display the full lyrics for this song at the moment Hopefully we will be able to in the future Until then how about a random page
Journey,0rvjqX7ttXeg3mTy8Xscbt,Open Arms,2w4EpqGasrz9qdTwocx54t, Unfortunately we are not licensed to display the full lyrics for this song at the moment Hopefully we will be able to in the future Until then how about a random page
Journey,0rvjqX7ttXeg3mTy8Xscbt,Separate Ways (Worlds Apart),4ECNtOnqzxutZkXP4TE3n3, Unfortunately we are not licensed to display the full lyrics for this song at the moment Hopefully we will be able to in the future Until then how about a random page
Journey,0rvjqX7ttXeg3mTy8Xscbt,Wheel in the Sky,215wUTQQUo2PElJFEFoB0d, Unfortunately we are not licensed to display the full lyrics for this song at the moment Hopefully we will be able to in the future Until then how about a random page
Journey,0rvjqX7ttXeg3mTy8Xscbt,Lights,7EHmKkyAr6MZv5Y2FdZbXw, Unfortunately we are not licensed to display the full lyrics for this song at the moment Hopefully we will be able to in the future Until then how about a random page
Journey,0rvjqX7ttXeg3mTy8Xscbt,Who's Crying Now,5IK2FtuC0qmHHam9sWFxUI, Unfortunately we are not licensed to display the full lyrics for this song at the moment Hopefully we will be able to in the future Until then how about a random page
Journey,0rvjqX7ttXeg3mTy8Xscbt,"Lovin', Touchin', Squeezin'",0VQ0n5gMgJLNixG8BfWBT5, You make me weep And want to die Just when You said we d try Lovin touchin squeezin Each other When I m alone All by myself You re out With someone else Lovin touchin squeezin Each other You re tearin me apart Every every day You re tearin me apart Oh what can I say You re tearin me apart It wo nt be long yes Till you re alone When your lover Oh he has nt come home Cause he s lovin Ooh he s touchin He s squeezin Another He s tearin you apart Ooh every every day He s tearin you apart Oh girl what can you say Cause he s lovin touchin another Now it s your turn girl to cry Na na na na na na Na na na na na Na na na na na na Na na na na na Repeat until end
Journey,0rvjqX7ttXeg3mTy8Xscbt,Stone in Love,4cgSBnNzOo9rhwzUczB7HI, Unfortunately we are not licensed to display the full lyrics for this song at the moment Hopefully we will be able to in the future Until then how about a random page
