Artist,Artist_id,Song,Song_id,Lyrics
Billy Currington,1By9QBFnjZAoI83BZppHlt,Bring It On Over,446Jufq5oOCwOSXbkqq5yD, Oh yeah Baby I ca nt stop thinking bout last night Still taste your kiss still taste the wine Tryna to turn this ten minute drive to five Oh I ve been Daydreaming bout you all day long Radio s been playing all our songs Just read your message on my phone It s turning me on When you say you need me And you just got to see me And all you want is me right now Oh baby just wait a minute If you re in your bed stay in it I m about to dive on in it Got to got to get you closer I m about to bring you on over Twisted you up in inside the sheets I bet you do nt get no sleep I m gettin closer Make a little love to a Motown beat Catching your groove with me I m about to bring it on over I know that key s under the mat So girl just stay right where you re at Be right beside you just like that I want you so bad Girl let s pick up where we left off A little more love a lot less talk About to hear my footsteps down your hall Hang on When you say you need me And you just got to see me And all you want is me right now Oh baby just wait a minute If you re in your bed stay in it I m about to dive on in it Got to got to get you closer I m about to bring you on over Twisted you up in inside the sheets I bet you do nt get no sleep I m gettin closer Make a little love to a Motown beat Catching your groove with me I m about to bring it on over Wan na see our shadows on the wall Wan na see your beautiful body Ai nt nobody gon na stop me I m about to bring it on over Bring it on over Yeah bring it on over Bring it on over When you say you need me And you just got to see me And all you want is me right now Oh baby just wait a minute If you re in your bed stay in it I m about to dive on in it Got to got to get you closer I m about to bring you on over Twisted you up in inside the sheets I bet you do nt get no sleep I m gettin closer Make a little love to a Motown beat Catching your groove with me I m about to bring it on over Twisted you up in inside the sheets I bet you do nt get no sleep I m gettin closer Make a little love to a Motown beat Catching your groove with me I m about to bring it on over
Billy Currington,1By9QBFnjZAoI83BZppHlt,Do I Make You Wanna,3I7krC8kr0gFR7P6vInR1I, Baby what s on your mind When you see me pull up to your drive Do you wan na go downtown Maybe have a little high dollar wine Do you wan na go out to the country And maybe blow all our money On some sugar at the truckstop and some scratchoffs See if we can lucky Oh I got ta know what s goin on In your beautiful mind Baby do nt be shy And tell me now Do I Make you wan na dance real slow Go Flyin down a two lane road Find A limb to hang your clothes Do I make you wan na let your hair down Play a little truth or dare now Act just like you do nt care now Girl when I come around tell me Do I make you wan na Stay up till the sun Howl at the moon Baby tell me the truth Do I make you wan na Karaoke in the neon light Go to Vegas stay up all night See if we can find a cheap flight Little 7 come 11 baby roll those dice Do I make you feel pretty Do I make you wan na lean back lay back and kiss me Do you wan na roll with me To the mountains to the beach to a party in the city Do you wan na take in a broadway show Or maybe just stay low I got ta know now Do I Make you wan na dance real slow Go Flyin down a two lane road Find A limb to hang your clothes Do I make you wan na let your hair down Play a little truth or dare now Act just like you do nt care now Girl when I come around tell me Do I make you wan na Do I make you turn into somebody else Do you feel like you can finally be yourself Baby tell me now Do I Make you wan na dance real slow Go Flyin down a two lane road Find A limb to hang your clothes Out in the middle of nowhere now We can take it back downtown You know I do nt care now Just wan na take you there now Do I Make you wan na dance real slow Go Flyin down a two lane road Find A limb to hang your clothes Do I make you wan na let your hair down Play a little truth or dare now Act just like you do nt care now Girl when I come around tell me Do I make you wan na Stay up till the sun Howl at the moon Broadway Tell me do I make you wan na Stay up till the sun Howl at the moon Baby tell me the truth Do I make you wan na Let your hair down Play a little truth or dare now Act just like you do nt care now Baby Make you wan na dance real slow Go flyin down a two lane road Find A limb to hang your clothes on Ah babe tell me Do I make you wan na
Billy Currington,1By9QBFnjZAoI83BZppHlt,It Don't Hurt Like It Used To,0iA1unTbTbDOWUSlbwJ1pS, I had a couple beers with one of my friends Told him just how our story ends Did all I could to try to make it work But you drug my heart through the Alabama dirt I ve been out the house climbin them walls Checkin that calendar exin days off Hit another bar call another friend Throw a few down tell the story again Hey hey what can I say I can just lie and say it s all okay Ohho what can I do Been goin through hell gettin over you But it do nt hurt it do nt hurt like it used to No it do nt hurt it do nt hurt like it used to I m finally gettin out back into the world Life is good I met me a girl She got a beautiful heart eyes are blue I do nt hardly ever think about you Hey hey what can I say I can just lie and say it s all okay Ohho what can I do Been goin through hell gettin over you But it do nt hurt it do nt hurt like it used to No it do nt hurt it do nt hurt like it used to Sometimes I find peace of mind in a bottle of wine Sometimes I break down and cry Hey hey what can I say I can just lie and say it s all okay Ohho what can I do Been goin through Hell gettin over you Hey hey what can I say I can just lie and say it s all okay Ohho what can I do Been goin through hell gettin over you But it do nt hurt it do nt hurt like it used to No it do nt hurt it do nt hurt like it used to No it do nt hurt it do nt hurt like it used to It do nt hurt it do nt hurt like it used to
Billy Currington,1By9QBFnjZAoI83BZppHlt,Don't It,4iLPK8QnOvqm0Azbsk2GDn, Baby do nt say no so quick This ai nt about me tryin to see how far that I can get But I ai nt gon na lie I would nt mind Just a little bit of you and I Eye to eye lips on lips swayin to the music real close We can we both use a little let go kinda night Baby if you want a good time we can get on it Let s take a shot or you can sip on it We ll find a floor and we can dance on it slow song it Far as I can tell that finger ai nt got no ring on it So come on baby bring on it It s one of those stars fallin love callin Get ya feelin all right nights Sounds good do nt it do nt it Every little thing you got you know that I want it want it Sounds pretty good do nt it Well I just now seen that smile And I bet it s been a minute since you tapped into Your wild and crazy side So baby let s do this tonight Baby that moon looks just right But do nt fight it If you want a good time we can get on it Let s take a shot or you can sip on it We ll find a floor and we can dance on it slow song it Far as I can tell that finger ai nt got no ring on it So come on baby bring on it It s one of those stars fallin love callin Get ya feelin all right nights Sounds good do nt it do nt it Every little thing you got you know that I want it want it It sounds pretty good do nt it So baby let s get on it You re gon na love it you can bet on it Karaoke we can microphone it Whatever you want As far as I can tell that finger ai nt got no ring on it So come on baby bring on it It s one of those stars fallin love callin Get ya feelin all right nights Sounds good do nt it do nt it Every little thing you got you know that I want it want it It sounds pretty good now do nt it Yeah do nt it Get you feelin alright girl It sounds pretty good now do nt it
Billy Currington,1By9QBFnjZAoI83BZppHlt,Good Directions,7GQjJEwqlp6m5HNWVQd6OR, I was sittin there sellin turnips on a flatbed truck Crunchin on a pork rind when she pulled up She had to be thinkin this is where rednecks come from She had Hollywood written on her license plate She was lost and lookin for the interstate Needin directions and I was the man for the job I told her way up yonder past the caution light There s a little country store with an old Coke sign You got ta stop in and ask Ms Bell for some of her sweet tea Then a left will take you to the interstate but a right Will bring you right back here to me I was sittin at thinkin bout her pretty face Kickin myself for not catchin her name I threw my hat and thought you fool it could ve been love I knew my old Ford could nt run her down She probably did nt like me anyhow So I watched her disappear into a cloud of dust I told her way up yonder past the caution light There s a little country store with an old Coke sign You got ta stop in and ask Ms Bell for some of her sweet tea Then a left will take you to the interstate But a right Will bring ya right back here to me Is this Georgia heat playin tricks on me Or am I really seein what I think I see The woman of my dreams comin back to me She went way up yonder past the caution light Do nt know why but somethin felt right You got ta stop in and asked Ms Bell for some of her sweet tea Mama gave her a big ol glass and sent er right back here to me Thank God for good directions and turnip greens
Billy Currington,1By9QBFnjZAoI83BZppHlt,People Are Crazy,1zAuQNau1L8ItdjYhxeAeq, This old man and me Were at the bar and we Were havin us some beers and Swappin I do nt cares Talkin politics Blonde and redhead chicks Old dogs and new tricks and Habits we ai nt kicked We talked about Gods grace And all the hell we raised Then I heard the old man say God is great beer is good and People Are Crazy He said I fought two wars Been married and divorced What brings you to Ohio He said Damn if I know We talked an hour or two About every girl we knew What all we put em through Like two old boys will do We pondered life and death He light a cigarette He said These damn things will kill me yet But God is great beer is good and people are crazy Last call its 200am I said goodbye to him I never talked to him again Then one sunny day I saw the old man s face Front page Obituary He was a millionaire he He left his fortune to Some guy he barely knew His kids were mad as hell Huh but me I m doing well And I drop by today To just say thanks and pray And I left a sixpack right there on his grave And I said God is great beer is good and people are crazy God is great beer is good and people are crazy God is great beer is good and people are crazy
Billy Currington,1By9QBFnjZAoI83BZppHlt,Let Me Down Easy,1tZ5C8zI326sIB4kBErdmC, There s a little moonlight dancing on the sand There s a warm breeze blowing by the ocean as you re taking my hand You need to know where I m standing now That I m right on the edge of giving into ya Baby it s a long way down If I fall can you let me down easy If I leave my heart with you tonight Will you promise me that you re gon na treat it right I m barely hangin on If I fall can you let me down easy The scent of your perfume floatin in the air You re looking like an angel lying on a blanket with a halo of hair And those lips look too good to be true Once I taste that kiss I know what ll happen I ll be at the mercy of you If I fall can you let me down easy If I leave my heart with you tonight Will you promise me that you re gon na treat it right I m barely hangin on If I fall can you let me down easy If I fall can you let me down easy If I leave my heart with you tonight Will you promise me that you re gon na treat it right I m barely hangin on If I fall can you let me down easy If I fall can you let me down easy Let me down easy baby
Billy Currington,1By9QBFnjZAoI83BZppHlt,Must Be Doin' Somethin' Right,6TefPQD0oc88BNALpu4U87, A woman is mystery A man just ca nt understand Sometimes all it takes to please her Is the touch of your hand And other times you got ta take it slow And hold her all night long Heaven knows there s so many ways A man can go wrong Must be doin something right I just heard you sigh You leaned into my kiss And closed those deep blue need you eyes Do nt know what I did To earn a love like this but baby I Must be doin something right Anywhere you wan na go Baby show me the way I m open to suggestions Mmm whatever you say Tonight s about giving you What you want whatever it takes Girl I hope I m on the right road And judging by the smile on your face Must be doin something right I just heard you sigh You leaned into my kiss And closed those deep blue need you eyes Do nt know what I did To earn a love like this but baby I Must be doin something right Oh baby Mmm I do nt know what I did To earn a love like this but baby I Must be doin something right Must be doin something right oh yeah Must be doin something right Must be doin something right Mmm Do nt know what I did Oh Must be doin something right Must be doin something right
Billy Currington,1By9QBFnjZAoI83BZppHlt,Hey Girl,4CcrLWFQY4dRGMbUR59cSp, Hey girl what s your name girl I ve been lookin at you And every guy here s doin the same girl It d be a shame girl If I let you just walk on by Cause I m all caught up in your sweet smile A girl like you comes around once in a while So hot got ta give it a shot Got ta get get a little bit of what you got I know you do nt know me but I ca nt leave here lonely Knowin I did nt even try to make you mine and You might think I m crazy Girl but who could blame me You re lookin so fine got me all tongue tied And the only line I can think to say is Hey girl whatcha think girl You look a little thirsty lem me go getcha something to drink girl Before you blink girl I ll be right back by your side And if you want we can roll out I know my way around this town I got a shotgun seat for you You can tell me where it is you wan na take off to I know you do nt know me but I ca nt leave here lonely Knowin I did nt even try to make you mine and You might think I m crazy Girl but who could blame me You re lookin so fine got me all tongue tied And the only line I can think to say is Hey girl Ooh baby you re still standin here I guess you must like what you hear Hey girl whatcha say girl About you and me gettin away girl I know you do nt know me but I ca nt leave here lonely Knowin I did nt even try to make you mine and You might think I m crazy Girl but who could blame me You re lookin so fine got me all tongue tied And the only line I can think to say is Hey girl oh yeah Oh hey girl You re lookin so fine got me all tongue tied And the only line I can think to say is Hey girl Oh yeah
Billy Currington,1By9QBFnjZAoI83BZppHlt,We Are Tonight,2EvddT8rcO99bKH0rDHAYG, Summer comin through a rolled down window Tearin down an almost two lane back road Freedom and fireflies in the air The night s still young never gon na get old Livin for today like there s no tomorrow Follow the grooves the tires in the grass Stayin on the gas like we re never comin back It s a Friday night it s a small town girl Everything is right and we rule the world 2 twelve s in the truck back beating A bunch of rock stars on a riverbank singing whoa whoa everything whoa whoa Everything we wan na be We are we are we are tonight Swayin backnforth ca nt you feel the music Time stands still I do nt wan na lose it Her tan her touch her laugh Were flyin so high like we re never gon na crash It s a Friday night it s a small town girl Everything is right and we rule the world 2 twelve s in the truck back beating A bunch of rock stars on a riverbank singing whoa whoa everything whoa whoa Everything we wan na be We are we are we are tonight We are tonight we are tonight Toes in the grass with our hands up high Dream as big as the midnight sky So untamed and we re so alive tonight It s a Friday night it s a small town girl Everything is right and we rule the world 2 twelve s in the truck back beating A bunch of rock stars on a riverbank singing whoa whoa everything whoa whoa Everything we wan na be We are we are we are tonight We are tonight Everything we wan na be yeah We are we are we are tonight Yeah We are tonight Whoa oh oh oh oh
