Artist,Artist_id,Song,Song_id,Lyrics
Halsey,26VFTg2z8YR0cCuwLzESi2,Without Me,5p7ujcrUXASCNwRaWNHR1C, Found you when your heart was broke I filled your cup until it overflowed Took it so far to keep you close keep you close I was afraid to leave you on your own I said I d catch you if you fall fall And if they laugh then fuck em all all And then I got you off your knees Put you right back on your feet Just so you could take advantage of me Tell me how s it feel sittin up there Feeling so high but too far away to hold me You know I m the one who put you up there Name in the sky does it ever get lonely Thinking you could live without me Thinking you could live without me Baby I m the one who put you up there I do nt know why yeah I do nt know why Thinking you could live without me Live without me Baby I m the one who put you up there I do nt know why I do nt know why yeah yeah Gave love bout a hundred tries hundred tries Just running from the demons in your mind Then I took yours and made em mine mine I did nt notice cause my love was blind Said I d catch you if you fall fall And if they laugh then fuck em all all And then I got you off your knees Put you right back on your feet Just so you could take advantage of me Tell me how s it feel sittin up there Feeling so high but too far away to hold me You know I m the one who put you up there Name in the sky does it ever get lonely Thinking you could live without me Thinking you could live without me Baby I m the one who put you up there I do nt know why yeah I do nt know why Thinking you could live without me Live without me Baby I m the one who put you up there I do nt know why yeah You do nt have to say just what you did what you did I already know I know I had to go and find out from them ohwoah So tell me how s it feel ohwoah Tell me how s it feel sittin up there Feeling so high but too far away to hold me You know I m the one who put you up there Name in the sky does it ever get lonely Thinking you could live without me Thinking you could live without me Baby I m the one who put you up there I do nt know why yeah I do nt know why
Halsey,26VFTg2z8YR0cCuwLzESi2,Eastside (with Halsey & Khalid),0d2iYfpKoM0QCKvcLCkBao, Uh Yeah yeah When I was young I fell in love We used to hold hands man that was enough yeah Then we grew up started to touch Used to kiss underneath the light on the back of the bus yeah Oh no your daddy did nt like me much And he did nt believe me when I said you were the one Oh every day she found a way out of the window to sneak out late She used to meet me on the Eastside In the city where the sun do nt set And every day you know that we ride Through the backstreets in a blue Corvette Baby you know I just wan na leave tonight We can go anywhere we want Drive down to the coast jump in the sea Just take my hand and come with me yeah We can do anything if we put our minds to it Take your whole life then you put a line through it My love is yours if you re willing to take it Give me your heart cause I ai nt gon na break it So come away starting today Start a new life together in a different place We know that love is how all these ideas came to be So baby run away with me Seventeen and we got a dream to have a family A house and everything in between And then oh suddenly we turned twentythree Now we got pressure for taking our life more seriously We got our deadend jobs and got bills to pay Our old friends are now our enemies Now I I m thinking back to when I was young Back to the day when I was falling in love He used to meet me on the Eastside In the city where the sun do nt set And every day you know where we ride Through the backstreets in a blue Corvette And baby you know I just wan na leave tonight We can go anywhere we want Drive down to the coast jump in the sea Just take my hand and come with me Singing We can do anything if we put our minds to it Take your whole life then you put a line through it My love is yours if you re willing to take it Give me your heart cause I ai nt gon na break it So come away starting today Start a new life together in a different place We know that love is how all these ideas came to be So baby run away with me Run away now Run away now Run away now Run away now Run away now Run away now He used to meet me on the Eastside She used to meet me on the Eastside He used to meet me on the Eastside She used to meet me on the Eastside In the city where the sun do nt set
Halsey,26VFTg2z8YR0cCuwLzESi2,Him & I (with Halsey),5k38wzpLb15YgncyWdTZE4, Cross my heart hope to die To my lover I d never lie He said be true I swear I ll try In the end it s him and I He s out his head I m out my mind We got that love the crazy kind I am his and he is mine In the end it s him and I him and I My 65 speeding up the PCH a hell of a ride They do nt wan na see us make it they just wan na divide 2017 Bonnie and Clyde Would nt see the point of living on if one of us died yeah Got that kind of style everybody try to rip off YSL dress under when she takes the mink off Silk on her body pull it down and watch it slip off Ever catch me cheating she would try to cut my hahaha Crazy but I love her I could never run from her Hit it no rubber never would let no one touch her Swear we drive each other mad she be so stubborn But what the fuck is love with no pain no suffer Intense this shit it gets dense She knows when I m out of it like she could just sense If I had a million dollars or was down to ten cents She d be down for whatever never got ta convince no Cross my heart hope to die To my lover I d never lie I love you baby He said be true I swear I ll try In the end it s him and I He s out his head I m out my mind We got that love the crazy kind I am his and he is mine In the end it s him and I Him and I Whoaohohohoh Whoaohohohoh In the end it s him and I Him and I Whoaohohohoh Whoaohohohoh In the end it s him and I We turn up mobbin till the end of time Only one who gets me I m a crazy fuckin Gemini Remember this for when I die Everybody dressed in all black suits and a tie My funeral will be lit if I Ever go down or get caught if they identify My bitch was the most solid nothing to solidify She would never cheat you d never see her with a different guy Ever tell you different then it s a lie See that s my down bitch see that s my soldier She keeps that thangthang if anyone goes there Calm and collected she keeps her composure And she gon ride for me until this thing over We do drugs together together fuck up clubs together together And we d both go crazy crazy if we was to sever You know We keep mobbin it s just me and my bitch Fuck the world we just gon keep getting rich you know Cross my heart hope to die To my lover I d never lie He said be true I swear I ll try In the end it s him and I He s out his head I m out my mind We got that love the crazy kind I am his and he is mine In the end it s him and I Him and I Whoaohohohoh Whoaohohohoh In the end it s him and I Him and I Whoaohohohoh Whoaohohohoh In the end it s him and I Cross my heart hope to die To you I ve never lied For you I d take a life It s him and I and I swear ay Till the end Imma ride wit you Mob and get money get high wit you yeah ay Cross my heart hope to die This is our ride or die You can confide in me There is no hiding I swear Stay solid never lie to you Swear most likely Imma die wit you yeah Cross my heart hope to die To my lover I d never lie He said be true I swear I ll try In the end it s him and I He s out his head I m out my mind We got that love the crazy kind I am his and he is mine In the end it s him and I Him and I Whoaohohohoh Whoaohohohoh In the end it s him and I Him and I Whoaohohohoh Whoaohohohoh In the end it s him and I
Halsey,26VFTg2z8YR0cCuwLzESi2,Bad At Love,7y9iMe8SOB6z3NoHE2OfXl, Got a boy back home in Michigan And it tastes like Jack when I m kissing him So I told him that I never really liked his friends Now he s gone and he s calling me a bitch again It s a guy that lives in a garden state And he told me we do nt make it till we graduate So I told him the music would be worth the wait But he wants me in the kitchen with a dinner plate I believe I believe I believe I believe That we re meant to be But jealousy jealousy jealousy jealousy Get the best of me Look I do nt mean to frustrate but I Always make the same mistakes yeah I Always make the same mistakes cause I m bad at love ooh ooh But you ca nt blame me for tryin You know I d be lyin Saying you were the one ooh ooh That could finally fix me Lookin at my history I m bad at love Got a girl with California eyes And I thought that she could really be the one this time But I never got the chance to make her mine Because she fell in love with little thin white lines Young thin girl with an attitude We never told no one but we look so cute Both got way better things to do But I always think about it when I m riding through I believe I believe I believe I believe That I m in too deep And jealousy jealousy jealousy jealousy Get the best in me Look I do nt mean to frustrate but I Always make the same mistakes yeah I Always make the same mistakes cause I m bad at love ooh ooh But you ca nt blame me for tryin You know I d be lyin Sayin you re the one ooh ooh That could finally fix me Lookin at my history I m bad at love ooh ooh Oh you know you know you know I m bad at love ooh ooh I m bad at love ooh ooh I know that you re afraid I m gon na walk away Each time the feeling fades Each time the feeling fades I know that you re afraid I m gon na walk away Each time the feeling fades You know I m bad at love ooh ooh But you ca nt blame me for tryin You know I d be lyin Sayin you re the one ooh ooh That could finally fix me Lookin at my history I m bad at love ooh ooh Oh you know you know you know you know I m bad at love ooh ooh Oh oh
Halsey,26VFTg2z8YR0cCuwLzESi2,Now Or Never,7i2DJ88J7jQ8K7zqFX2fW8, I do nt wan na fight right now Know you always right now Know I need you round with me But nobody waitin round with me Been through the ups Yeah the ups and the downs with me Got a whole lot of love But you do nt wan na spread it round with me yeah Never pick up never call me You know we re runnin out of time Never pick up when you want me Now I got ta draw a line Baby I done done enough talking Need to know that you re mine Baby we done done enough talking Got ta be right now right now Baby gon love me now now now now now now Now or never hey hey hey I want you to hold me down down down down down down Down forever hey hey hey Said you know I wan na keep you around Round forever hey hey hey I want you to love me now now now now now now Now or never I m turnin off the light right now I m callin it a night now Wishin you were round with me But you re in a different town than me We ve been through it all But you could never spit it out for me Tryna talk to a wall But you could never tear it down for me yeah Never pick up never call me You know we re runnin out of time Never pick up when you want me Now I got ta draw a line Baby I done done enough talking Need to know that you re mine Baby we done done enough talking Got ta be right now right now Baby gon love me now now now now now now Now or never hey hey hey I want you to hold me down down down down down down Down forever hey hey hey Said you know I wan na keep you around Round forever hey hey hey I want you to love me now now now now now now Now or never Yeah draw the line up Do nt take no more time up yeah Make your mind up I need you to make your mind up yeah Draw the line up Do nt take no more time up yeah Baby you got ta decide something Let me know Baby gon love me now now now now now now Now or never hey hey hey I want you to hold me down down down down down down Down forever hey hey hey Said you know I wan na keep you around Round forever hey hey hey I want you to love me now now now now now now Now or never
Halsey,26VFTg2z8YR0cCuwLzESi2,Sorry,44n97yHySt0Z9rqPaXgjCK, I ve missed your calls for months it seems Do nt realize how mean I can be Cause I can sometimes treat the people That I love like jewelry Cause I can change my mind each day I did nt mean to try you on But I still know your birthday And your mother s favorite song So I m sorry to my unknown lover Sorry that I ca nt believe that anybody ever really Starts to fall in love with me Sorry to my unknown lover Sorry I could be so blind Did nt mean to leave you And all of the things that we had behind Ooh Ooh Ooh I run away when things are good And never really understood The way you laid your eyes on me In ways that no one ever could And so it seems I broke your heart My ignorance has struck again I failed to see it from the start And tore you open til the end And I m sorry to my unknown lover Sorry that I ca nt believe that anybody ever really Starts to fall in love with me Sorry to my unknown lover Sorry I could be so blind Did nt mean to leave you And all of the things that we had behind And someone will love you Someone will love you Someone will love you But someone is nt me Someone will love you Someone will love you Someone will love you But someone is nt me Sorry to my unknown lover Sorry that I ca nt believe that anybody ever really Starts to fall in love with me Sorry to my unknown lover Sorry I could be so blind Did nt mean to leave you And all of the things that we had behind And someone will love you Someone will love you Someone will love you But someone is nt me And someone will love you Someone will love you Someone will love you But someone is nt me
Halsey,26VFTg2z8YR0cCuwLzESi2,Gasoline,2IO7yf562c1zLzpanal1DT, Are you insane like me Been in pain like me Bought a hundred dollar bottle of champagne like me Just to pour that motherfucker down the drain like me Would you use your water bill to dry the stain like me Are you high enough without the Mary Jane like me Do you tear yourself apart to entertain like me Do the people whisper bout you on the train like me Saying that you should nt waste your pretty face like me And all the people say You ca nt wake up this is not a dream You re part of a machine you are not a human being With your face all made up living on a screen Low on self esteem so you run on gasoline I think there s a fault in my code These voices wo nt leave me alone Well my heart is gold and my hands are cold Are you deranged like me Are you strange like me Lighting matches just to swallow up the flame like me Do you call yourself a fucking hurricane like me Pointing fingers cause you ll never take the blame like me And all the people say You ca nt wake up this is not a dream You re part of a machine you are not a human being With your face all made up living on a screen Low on self esteem so you run on gasoline I think there s a fault in my code These voices wo nt leave me alone Well my heart is gold and my hands are cold
Halsey,26VFTg2z8YR0cCuwLzESi2,Alone (Calvin Harris Remix) (Feat. Stefflon Don),5K09638EBQjVMrZYXA89aC, Said he tried to phone me But I never have time He said that I never listen But I do nt even try I got a new place in Cali But I m gone every night So I fill it with strangers So they keep em alive She said she told you she knows me But the face is nt right She asked if I recognized her And I told her I might See everywhere I go I got a million different people tryna kick it But I m still alone in my mind I know you re dying to meet me But I can just tell you this Baby as soon as you meet me You ll wish that you never did You ll wish that you never did I stayed a night out in Paris Where they do nt know my name And I got into some trouble With that drink in my veins I got a problem with parties Cause it s loud in my brain And I can never say sorry Cause I wo nt take the blame I know I always go missing And you re lying awake But if you ask why I m distant Oh I m runnin away You know that everywhere I go I got a million different people tryna kick it But I m still alone in my mind I know you re dying to meet me But I can just tell you this Baby as soon as you meet me You ll wish that you never did You ll wish that you never did I I know you wan na I I know you wan na I I know you wan na Slip under my armor I I know you wan na I I know you wan na I I know you wan na Slip under my armor See everywhere I go I got a million different people tryna hit it But I m still alone in my mind I know you re dying to meet me But I can just tell you this Baby as soon as you meet me You ll wish that you never did You ll wish that you never did Yeah I know you wan na I I know you wan na You ll wish that you never did I know you wan na Slip under my armor Oh I know you wan na I I know you wan na You ll wish that you never did
Halsey,26VFTg2z8YR0cCuwLzESi2,Alone (Feat. Big Sean & Stefflon Don),3tbNT2X5tfMIVeUflYbZUZ, Said he tried to phone me But I never have time He said that I never listen But I do nt even try I got a new place in Cali But I m gone every night So I fill it with strangers So they keep em alive She said she told you she knows me But the face is nt right She asked if I recognized her And I told her I might See everywhere I go I got a million different people tryna kick it But I m still alone in my mind I know you re dying to meet me But I can just tell you this Baby as soon as you meet me You ll wish that you never did You ll wish that you never did I stayed a night out in Paris Where they do nt know my name And I got into some trouble With that drink in my veins I got a problem with parties Cause it s loud in my brain And I can never say sorry Cause I wo nt take the blame I know I always go missing And you re lying awake But if you ask why I m distant Oh I m runnin away You know that everywhere I go I got a million different people tryna kick it But I m still alone in my mind I know you re dying to meet me But I can just tell you this Baby as soon as you meet me You ll wish that you never did You ll wish that you never did I I know you wan na I I know you wan na I I know you wan na Slip under my armor I I know you wan na I I know you wan na I I know you wan na Slip under my armor See everywhere I go I got a million different people tryna hit it But I m still alone in my mind I know you re dying to meet me But I can just tell you this Baby as soon as you meet me You ll wish that you never did You ll wish that you never did Yeah I know you wan na I I know you wan na You ll wish that you never did I know you wan na Slip under my armor Oh I know you wan na I I know you wan na You ll wish that you never did
Halsey,26VFTg2z8YR0cCuwLzESi2,Colors,1TnUURhehaoMWKAqQtirm6, Your little brother never tells you but he loves you so You said your mother only smiled on her TV show You re only happy when your sorry head is filled with dope I hope you make it to the day you re 28 years old You re dripping like a saturated sunrise You re spilling like an overflowing sink You re ripped at every edge but you re a masterpiece And now I m tearing through the pages and the ink Everything is blue His pills his hands his jeans And now I m covered in the colors Pulled apart at the seams And it s blue And it s blue Everything is grey His hair his smoke his dreams And now he s so devoid of color He do nt know what it means And he s blue And he s blue You were a vision in the morning when the light came through I know I ve only felt religion when I m lying with you You said you ll never be forgiven til your boys are too And I m still waking every morning but it s not with you You re dripping like a saturated sunrise You re spilling like an overflowing sink You re ripped at every edge but you re a masterpiece And I m tearing through the pages and the ink Everything is blue His pills his hands his jeans And now I m covered in the colors Pulled apart at the seams And it s blue And it s blue Everything is grey His hair his smoke his dreams And now he s so devoid of color He do nt know what it means And he s blue And he s blue Everything is blue Everything is blue Everything is blue Everything is blue You were red and you liked me cause I was blue You touched me and suddenly I was a lilac sky And you decided purple just was nt for you Everything is blue His pills his hands his jeans And now I m covered in the colors Pulled apart at the seams And it s blue And it s blue Everything is grey His hair his smoke his dreams And now he s so devoid of color He do nt know what it means And he s blue And he s blue Everything is blue Everything is blue Everything is blue Everything is blue
