Artist,Artist_id,Song,Song_id,Lyrics
Toby Keith,2bA6fzP0lMAQ4kz6CF61w8,"Courtesy Of The Red, White And Blue (The Angry American)",0M7mWKqwTIaVjYyxfZmtTa, American girls and American guys We ll always stand up and salute we ll always recognize When we see Old Glory flying there s a lot of men dead So we can sleep in peace at night when we lay down our head My daddy served in the army where he lost his right eye But he flew a flag out in our yard till the day that he died He wanted my mother my brother my sister and me To grow up and live happy in the land of the free Now this nation that I love has fallen under attack A mighty sucker punch came flying in from somewhere in the back Soon as we could see clearly through our big black eye Man we lit up your world like the Fourth of July Hey Uncle Sam put your name at the top of his list And the Statue of Liberty started shaking her fist And the eagle will fly and there s gon na be hell When you hear Mother Freedom start ringing her bell And it ll feel like the whole wide world is raining down on you Oh brought to you courtesy of the red white and blue Oh justice will be served and the battle will rage This big dog will fight when you rattle his cage And you ll be sorry that you messed with the U S of A Cause we ll put a boot in your ass it s the American way Hey Uncle Sam put your name at the top of his list And the Statue of Liberty started shaking her fist And the eagle will fly and there s gon na be hell When you hear Mother Freedom start ringing her bell And it ll feel like the whole wide world is raining down on you Oh brought to you courtesy of the red white and blue Oh oh of the red white and blue Oh oh of my red white and blue
Toby Keith,2bA6fzP0lMAQ4kz6CF61w8,Should've Been A Cowboy,4EDBgrYqYQ6b50yhJWKsHp, I ll bet you never heard ol Marshall Dillon say Miss Kitty have you ever thought of runnin away Or settlin down would you marry me If I asked you twice and begged you pretty please She d of said yes in a New York minute They never tied the knot his heart was nt in it He just stole a kiss as he rode away He never hung his hat up at Kitty s place I should ve been a cowboy I should ve learned to rope and ride Wearin my sixshooter Ridin my pony on the cattle drive Stealin the young girl s hearts Just like Gene and Roy Singin those camp fire songs Oh I should ve been a cowboy I might have had a sidekick with a funny name Runnin wild through the hills chasin Jesse James Or ending up on the brink of danger Ridin shotgun for the Texas rangers Go west young man have nt you been told California s full of whiskey women and gold Sleepin all night beneath the desert stars With a dream in my eye and a prayer in my heart I should ve been a cowboy I should ve learned to rope and ride Wearin my sixshooter Ridin my pony on the cattle drive Stealin the young girl s hearts Just like Gene and Roy Singin those camp fire songs Oh I should ve been a cowboy I should ve been a cowboy I should ve learned to rope and ride I d be wearin my sixshooter Ridin my pony on the cattle drive Stealin the young girl s hearts Just like Gene and Roy Singin those camp fire songs Oh I should ve been a cowboy Yeah I should ve been a cowboy I should ve been a cowboy
Toby Keith,2bA6fzP0lMAQ4kz6CF61w8,As Good As I Once Was,7G6l2FtQyRhQgYgut2I6i8, She said I seen you in here before I said I been here a time or two She said Hello my name is Bobby Jo Meet my twin sister Betty Lou And we re both feelin kinda wild tonight You re the only cowboy in this place And if you re up for a rodeo I ll put a big Texas smile on your face I said girls I ai nt as good as I once was I got a few years on me now But there was a time back in my prime When I could really lay it down If you need some love tonight Then I might have just enough I ai nt as good as I once was but I m as good once As I ever was I still hang out with my best friend Dave I ve known him since we were kids at school Last night he had a few shots got in a tight spot Hustlin a game of pool With a couple of redneck boys One great big fat biker man I heard David yell across the room Hey buddy how bout a helpin hand I said Dave I ai nt as good as I once was My how the years have flown But there was a time back in my prime When I could really hold my own If you want to fight tonight Guess them boys do nt look all that tough I ai nt as good as I once was but I m as good once As I ever was I used to be hell on wheels Back when I was a younger man Now my body says you ca nt do this boy But my pride says oh yes you can I ai nt as good as I once was That s just the cold hard truth I still throw a few back talk a little smack When I m feelin bullet proof So do nt doubledog dare me now Cause I might have to call your bluff I ai nt as good as I once was but I m as good once As I ever was I ai nt as good as I once was but I m as good once As I ever was
Toby Keith,2bA6fzP0lMAQ4kz6CF61w8,Beer For My Horses,7E2DqvnVtbIrFrL5X6YH9Q, Well a man come on the 6 oclock news Said somebody s been shot somebody s been abused Somebody blew up a building Somebody stole a car Somebody got away Somebody did nt get too far yeah They did nt get too far Grandpappy told my pappy back in my day son A man had to answer for the wicked that he done Take all the rope in Texas Find a tall oak tree round up all of them bad boys Hang them hign in the street for all the people to see that Justice is the one thing you should always find You got to saddle up your boys You got to draw a hard line When the gun smoke settles we ll sing a victory tune We ll all meet back at the local saloon We ll raise up our glasses against evil forces Singing whiskey for my men beer for my horses We got too many gangsters doing dirty deeds We ve got too much corruption too much crime in the streets It s time the long arm of the law put a few more in the ground Send em all to their maker and he ll settle em down You can bet he ll set em down cause Justice is the one thing you should always find You got to saddle up your boys You got to draw a hard line When the gun smoke settles we ll sing a victory tune We ll all meet back at the local saloon We ll raise up our glasses against evil forces Singing whiskey for my men beer for my horses Justice is the one thing you should always find You got to saddle up your boys You got to draw a hard line When the gun smoke settles we ll sing a victory tune We ll all meet back at the local saloon We ll raise up our glasses against evil forces Singing whiskey for my men beer for my horses
Toby Keith,2bA6fzP0lMAQ4kz6CF61w8,Red Solo Cup,47nm8czanMUzIqHsnr5x61, Now red Solo cup is the best receptical For barbecues tailgates fairs and festivals And you sir do not have a pair of testicles If you prefer drinkin from glass Hey red Solo cup is cheap and disposable And in fourteen years they are decomposable And unlike my home they are not foreclosable Freddy Mac can kiss my ass Whoo Red Solo cup I fill you up Let s have a party Let s have a party I love you red Solo cup I lift you up Proceed to party Proceed to party Now I really love how you re easy to stack But I really hate how you re easy to crack Cause when beer runs down in front of my pack Well that my friends is quite yucky But I have to admit that the ladies get smitten Admirin at how sharply my first name is written On you with a Sharpie when I get to hittin On them to help me get lucky Red Solo cup I fill you up Let s have a party Let s have a party I love you red Solo cup I lift you up Proceed to party Proceed to party Now I ve seen you in blue and I ve seen you in yellow But only you red will do for this fellow Cause you are the Abbot to my Costello And you are the Fruit to my Loom Red Solo cup you re more than just plastic You re more than amazing you re more than fantastic And believe me that I am not the least bit sarcastic When I look at you and say Red Solo cup you re not just a cup No No No God no You re myyou re my friend friend Friend friend friend lifelong Thank you for being my friend Red Solo cup I fill you up Let s have a party Let s have a party I love you red Solo cup I lift you up Proceed to party Proceed to party
Toby Keith,2bA6fzP0lMAQ4kz6CF61w8,Made In America,68iwafs32FXpAIDWqU8wdU, My old man s that old man Spent his life livin off the land Dirty hands and a clean soul It breaks his heart seein foreign cars Filled with fuel that is nt ours And wearin cotton he did nt grow He s got the red white and blue flyin high on the farm Semper Fi tattooed on his left arm Spend a little more in the store for a tag in the back that says USA He wo nt buy nothin that he ca nt fix With WD40 and a Craftsman wrench He ai nt prejudice he s just made in America He loves his wife and she s that wife That decorates on the Fourth of July But says every day s Independence Day She s golden rule teaches school Some folks say it is nt cool But she says the Pledge of Allegiance anyway He s got the red white and blue flyin high on the farm Semper Fi tattooed on his left arm Spend a little more in the store for a tag in the back that says USA He wo nt buy nothin that he ca nt fix With WD40 and a Craftsman wrench He ai nt prejudice he s just made in America Born in the Heartland raised up a family Of King James and Uncle Sam He s got the red white and blue flyin high on the farm Semper Fi tattooed on his left arm Spend a little more in the store for a tag in the back that says USA He wo nt buy nothin that he ca nt fix With WD40 and a Craftsman wrench He ai nt prejudice he s just made in America Made in America Made in America My old man s that old man He s made in America
Toby Keith,2bA6fzP0lMAQ4kz6CF61w8,American Soldier,4WygRabom8WGpPb44r40sK, I m just trying to be a father Raise a daughter and a son Be a lover to their mother Everything to everyone Up and at em bright and early I m all business in my suit Yeah I m dressed for success From my head down to my boots I do nt do it for money There s bills that I ca nt pay I do nt do it for the glory I just do it anyway Providing for our future s my responsibility Yeah I m real good under pressure Being all that I can be And I ca nt call in sick on Mondays When the weekend s been too strong I just work straight through the holidays And sometimes all night long You can bet that I stand ready When the wolf growls at the door Hey I m solid hey I m steady Hey I m true down to the core And I will always do my duty No matter what the price I ve counted up the cost I know the sacrifice Oh and I do nt want to die for you But if dyin s asked of me I ll bear that cross with honor Cause freedom do nt come free I m an American soldier an American Beside my brothers and my sisters I will proudly take a stand When liberty s in jeopardy I will always do what s right I m out here on the front lines Sleep in peace tonight American soldier I m an American soldier Yeah an American soldier an American Beside my brothers and my sisters I will proudly take a stand When liberty s in jeopardy I will always do what s right I m out here on the front lines So sleep in peace tonight American soldier I m an American An American An American soldier
Toby Keith,2bA6fzP0lMAQ4kz6CF61w8,I Love This Bar,1KlCaFgBM9VouwAcqBagQV, We got winners We got losers Chainsmokers and boozers We got yuppies We got bikers We got thirsty hitchhikers And the girls next door dress up like movie stars Hmmm Hmmm Hmmm Hmmm Hmmm I love this bar We got cowboys We got truckers Brokenhearted fools and suckers And we got hustlers We got fighters Earlybirds and allnighters And the veterans talk about their battle scars Hmm hmm hmm hmm hmm I love this bar I love this bar It s my kind of place Just walkin through the front door Puts a big smile on my face It ai nt too far Come as you are Hmm hmm hmm hmm hmm I love this bar I ve seen short skirts We ve got hightechs Bluecollared boys and rednecks And we got lovers Lots of lookers I ve even seen dancing girls and hookers And we like to drink our beer from a mason jar Hmmm Hmmm Hmmm Hmmm Hmmm I love this bar Yes I do I like my truck I like my truck And I like my girlfriend I like my girlfriend I like to take her out to dinner I like a movie now and then But I love this bar It s my kind of place Just toein around the dance floor Puts a big smile on my face No cover charge Come as you are Hmm hmm hmm hmm hmm I love this bar Hmm hmm hmm hmm hmm I just love this old bar And we ve got divorcees A big bouncer man An old jukebox and a real bad band We ve got waitresses And we ve got bar flies A dumbass and a wise guy If you get too drunk just sleep out in your car Reason number 672 why Hmm hmm hmm hmm hmm I love this bar Play it on out boy Take it on home Hmm hmm hmm hmm hmm I love this bar I just love it
Toby Keith,2bA6fzP0lMAQ4kz6CF61w8,American Ride,1vD4DN56ued7pQklJBDesw, Winter gettin colder summer gettin warmer Tidal wave comin cross the Mexican border Why buy a gallon its cheaper by the barrel Just do nt get busted singin Christmas carols That s us That s right Got ta love this American ride Both ends of the ozone burnin Funny how the world keeps turnin Look ma no hands I love this American ride Got ta love this American ride Momma gets her box off watchin Desperate Housewives Daddy works his can off payin for the good life Kids on the YouTube learnin how to be cool Livin in a cruel world pays to be a mean girl That s us That s right Got ta love this American ride Both ends of the ozone burnin Funny how the world keeps turnin Look ma no hands I love this American ride Got ta love this American ride Poor little miss Americas town She gained five pounds and lost her crown Quick fix plastic surgical antidote Got herself a record deal ca nt even sing a note Plasma getting bigger Jesus getting smaller Spill a cup of coffee make a million dollars Customs caught a thug with an aerosol can If the shoe do nt fit the fit s gon na hit the shan That s us That s right Got ta love this American ride Both ends of the ozone burnin Funny how the world keeps turnin Hot dog Hot damn I love this American ride Got ta love this American ride Oh yeah
Toby Keith,2bA6fzP0lMAQ4kz6CF61w8,I Wanna Talk About Me,4LYVmQvqgrgleZvXttn6PB, Yeah Yeah That s right We talk about your work How your boss is a jerk We talk about your church And your head when it hurts We talk about the troubles you been having with your brother About your daddy and your mother And your crazy exlover We talk about your friends And the places that you ve been We talk about your skin and the dimples on your chin The polish on your toes and the run in your hose And God knows we re gon na talk about your clothes You know talking about you makes me smile But every once in a while I wan na talk about me Wan na talk about I Wan na talk about number one Oh my me my What I think What I like What I know What I want What I see I like talking about you you you you usually But occasionally I wan na talk about me I wan na talk about me We talk about your dreams And we talk about your schemes Your high school team and your moisturizing cream We talk about your nana up in Munci Indiana We talk about your grandmaw down in Alabama We talk about your guys Of every shape and size The ones that you despise and the ones you idolize We talk about your heart bout your brain and your smarts And your medical charts And when you start You know talking about you makes me grin But every now and then I wan na talk about me Wan na talk about I Wan na talk about number one Oh my me my What I think What I like What I know What I want What I see I like talking about you you you you usually But occasionally I wan na talk about me I wan na talk about me I wan na talk about me I wan na talk about me Me me me me me I wan na talk about me Me me me me me You you you you you you you you you you you you you I wan na talk about me I wan na talk about me Wan na talk about I Wan na talk about number one Oh my me my What I think What I like What I know What I want What I see I like talking about you you you you usually But occasionally I wan na talk about me I wan na talk about me I wan na talk about me I wan na talk about me I wan na talk about me I wan na talk about me
