Artist,Artist_id,Song,Song_id,Lyrics
The Temptations,3RwQ26hR2tJtA8F9p2n7jG,My Girl,6jWkZvd1URGktyTTwcpPpB, I ve got sunshine On a cloudy day When it s cold outside I ve got the month of May I guess you d say What can make me feel this way My girl my girl my girl Talkin bout my girl My girl I ve got so much honey The bees envy me I ve got a sweeter song Than the birds in the trees Well I guess you d say What can make me feel this way My girl my girl my girl Talkin bout my girl My girl Oooooo hooooo Hey hey hey Hey hey hey Ooh yeah I do nt need no money Fortune or fame I got all the riches baby One man can claim Well I guess you d say What can make me feel this way My girl my girl my girl Talkin bout my girl My girl Talkin bout my girl I got sunshine on a cloudy day with my girl I ve even got the month of May with my girl Talkin bout my girl Talkin bout talkin bout talkin bout my girl
The Temptations,3RwQ26hR2tJtA8F9p2n7jG,Ain't Too Proud To Beg,4CoGNqLap7UGU5Q3VdKug0, I know you wan na leave me But I refuse to let you go If I have to beg plead for your sympathy I do nt mind cause you mean that much to me Ai nt too proud to beg and you know it Please do nt leave me girl do nt you go Ai nt too proud to plead baby baby Please do nt leave me girl do nt you go Now I ve heard a cryin man Is half a man with no sense of pride But if I have to cry to keep you I do nt mind weepin if it ll keep you by my side Ai nt too proud to beg sweet darlin Please do nt leave me girl do nt you go Ai nt too proud to plead baby baby Please do nt leave me girl do nt you go If I have to sleep on your doorstep all night and day Just to keep you from walking away Let your friends laugh even this I can stand Cause I wan na keep you any way I can Ai nt too proud to beg sweet darlin Please do nt leave me girl do nt you go Ai nt too proud to plead baby baby Please do nt leave me girl do nt you go Hoo ooh ooh all right Now I ve got a love so deep in the pit of my heart And each day it grows more and more I m not ashamed to call and plead to you baby If pleading keeps you from walking out that door Ai nt too proud to beg and you know it Please do nt leave me girl do nt you go Ai nt too proud to plead baby baby Please do nt leave me girl do nt you go Baby baby baby Baby baby please
The Temptations,3RwQ26hR2tJtA8F9p2n7jG,Papa Was A Rollin' Stone,0oPgpXk3NDbPd273aaPUiT, It was the third of September That day I ll always remember yes I will Cause that was the day that my daddy died I never got a chance to see him Never heard nothin but bad things about him Mama I m depending on you to tell me the truth And Momma just hung her head and said Son Papa was a rolling stone Wherever he laid his hat was his home And when he died all he left us was alone Papa was a rolling stone my son Wherever he laid his hat was his home And when he died all he left us was alone Well well Hey Mama is it true what they say That Papa never worked a day in his life And Mama some bad talk goin round town Sayin that Papa had three outside children and another wife And that ai nt right Heard them talking Papa doing some store front preachin Talked about saving souls and all the time leaching Dealing in debt and stealing in the name of the Lord Mama just hung her head and said Papa was a rolling stone my son Wherever he laid his hat was his home And when he died all he left us was alone Hey Papa was a rolling stone my son Wherever he laid his hat was his home And when he died all he left us was alone Uh Hey Mama I heard Papa called himself a jack of all trades Tell me is that what sent Papa to an early grave Folks say Papa would beg borrow steal to pay his bills Hey Mama folks say that Papa never was much on thinking Spent most of his time chasing women and drinking Mama I m depending on you to tell me the truth And Momma looked up with a tear in her eye and said Son Papa was a rolling stone Well well well well Wherever he laid his hat was his home And when he died all he left us was alone Lone lone lone alone Papa was a rolling stone Wherever he laid his hat was his home And when he died all he left us was alone I said Papa was a rolling stone yes he was Wherever he laid his hat was his home And when he died all he left us was alone My daddy was Papa was a rolling stone Wherever he laid his hat was his home
The Temptations,3RwQ26hR2tJtA8F9p2n7jG,Get Ready,676Rf0qIOh2gKNEl9TnCOx, I never met a girl who makes me feel the way that you do You re all right Whenever I m asked who makes my dreams real I say that you do You re outta sight So feefifofum Look out baby cause here I come And I m bringing you a love that s true So get ready so get ready I m gon na try to make you love me too So get ready so get ready cause here I come Get ready cause here I come I m on my way Get ready cause here I come If you wan na play hide and seek with love let me remind you It s all right Of the lovin you re gon na miss in the time it takes to find you It s outta sight So fiddleydee fiddleydum Look out baby cause here I come And I m bringing you a love that s true So get ready so get ready I m gon na try to make you love me too So get ready so get ready cause here I come Get ready cause here I come I m on my way Get ready cause here I come Get ready All my friends should want you too I understand it Be all right I hope I get to you before they do the way I planned it Be outta sight So tiddleydee tiddleydum Look out baby cause here I come And I m bringing you a love that s true So get ready so get ready I m gon na try to make you love me too So get ready so get ready cause here I come Get ready cause here I come I m on my way Get ready cause here I come Fade
The Temptations,3RwQ26hR2tJtA8F9p2n7jG,The Way You Do The Things You Do,3496rr5XSGD6n1Z1OKXovb, You ve got a smile so bright You know you could have been a candle I m holding you so tight You know you could have been a handle The way you swept me off my feet You know you could have been a broom The way you smelled so sweet You know you could have been some perfume Well you could have been anything that you wanted to And I can tell the way you do the things you do The way you do the things you do Oh baby The way you do the things the do As pretty as you are You know you could have been a flower If good looks was a minute You know that you could be an hour The way you stole my heart You know you could have been a cool crook And baby you re so smart You know you could have been a schoolbook Well you could have been anything that you wanted to And I can tell the way you do the things you do The way you do the things you do Oh baby yeah The way you do the things you do You made my life so rich You know you could have been some money And baby you re so sweet You know you could have been some honey Well you could have been anything that you wanted to And I can tell the way you do the things you do The way you do the things you do You really swept me off my feet The way you do the things you do You made my life complete The way you do the things you do You made my life so bright The way you do the things you do You make me feel all right The way you do the things you do You make me feel all right The way you do the things you do
The Temptations,3RwQ26hR2tJtA8F9p2n7jG,Just My Imagination (Running Away With Me),39Bd345OWEhRNyfayhp9gv, Mm hmm mm Ooh Each day through my window I watch her as she passes by I say to myself you re such a lucky guy To have a girl like her is truly a dream come true Out of all the fellas in the world she belongs to you But it was just my imagination Running away with me It was just my imagination Running away with me Oohooh ooh hoo so Soon we ll be married and raise a family oh yeah A cozy little home out in the country with two children maybe three I tell you I can visualize it all This could nt be a dream for too real it all seems But it was just my imagination once again Running away with me Telling you it was just my imagination Running away with me Every night on my knees I pray Dear Lord hear my plea Do nt ever let another take her love from me Or I would surely die Mm her love is heavenly When her arms enfold me I hear a tender rhapsody But in reality She does nt even know me Just my imagination once again Running away with me Oh tell you it was just my imagination Running away with me I never met her but I ca nt forget her Just my imagination ooh yeah yeah yeah yeah Running away with me Ooh just my imagination Running away with me
The Temptations,3RwQ26hR2tJtA8F9p2n7jG,I Can't Get Next To You,6aL6pPBaTMGgM558mplSnj, Hold it everybody Hold it hold it listen I can turn the gray sky blue I can make it rain whenever I want it to Oh I can build a castle from a single grain of sand I can make a ship sail huh on dry land But my life is incomplete and I m so blue Cause I ca nt get next to you I ca nt get next to you babe Next to you I ca nt get next to you I just ca nt get next you I ca nt get next to you babe I ca nt get next to you I can fly like a bird in the sky Hey and I can buy anything that money can buy Oh I can turn a river into a raging fire I can live forever if I so desire Unimportant are all these things I can do Cause I ca nt get next to you I ca nt get next to you babe No matter what I do I ca nt get next to you Uhyah Ooh Ooh Chicka boom chicka boom Chicka boom boom boom I can turn back the hands of time You better believe I can I can make the seasons change just by waving my hand Oh I can change anything from old to new The thing I want to do the most I m unable to do Unhappy am I with all the powers I possess Cause girl you re the key to my happiness And I ca nt get next to you Girl you re blowing my mind Cause I ca nt get next to you Ca nt you see these tears I m crying I ca nt get next to you Girl it s you that I need I got ta get next to you Ca nt you see these tears I m crying I ca nt get next to you I I I I I ca nt get next to you I I I I I ca nt get next to you Girl you re blowing my mind
The Temptations,3RwQ26hR2tJtA8F9p2n7jG,Treat Her Like A Lady,2eMUdyph5YcmIQRf7OsnLa, Oohoohohoohohooh Oohoohohooh Ooh yeah baby Whoawhoaohoh Now Im the kinda guy who do nt believe That chivalry is dead no Cause I believe a woman should be treated With the utmost respect mmmhmm Do nt be afraid do nt turn and walk away I wan na get to know ya well Do nt be ashamed do nt say that love s to blame Just come and look me over You ll find a heart You ll find a heart that you ve always been lookin for How could anybody ask for much more woohoo Now I like openin doors Pickin up Yeah her hanky Yeah off the floor Treat her like a lady Treat her like lady Light her cigarette if she smokes Even Help her with her coat well Treat her like a lady Treat her like lady In this world of liberation It s so easy to forget mmm That it s so nice to have a man around To lend a helping hand you can bet bet you can baby When I was young my mama used to say Boy A woman s like a flower with love on her you shower Ever since that day her words never went away I always will remember to treat my baby tender You ll find a heart You ll find a heart that you ve always been lookin for How could anybody ask for much more whoaoohooh Now I like openin doors Pickin up Yeah her hanky Yeah off the floor Treat her like a lady Treat her like lady Light her cigarette if she smokes Even Help her with her coat oh whoa Treat her like a lady Treat her like lady Compliment her on her hair Even help her with her chair Treat her like a lady Treat her like lady She s a bad sonofagun I m her lovin Don Juan Treat her like a lady Treat her like lady Oohhoohoohoohooooh Whoaohoh Heyhey Whoaohohohohbaby Every day every way Hey hey Hey hey hey hey hey You ll find a heart You ll find a heart that you ve always been lookin for How could anybody ask for much more whoawhoaohooh Now I like openin doors Pickin up Yeah her hanky Yeah off the floor Treat her like a lady Treat her like lady Light her cigarette if she smokes Even Help her with her coat help her out Treat her like a lady Treat her like lady Compliment her in her hair Even help her with her chair Treat her like a lady Treat her like lady Now boy you should remember To be a gentleman Treat her like a lady You better Treat her like Well treat her like Ho Treat her like a lady Treat her like a lady Treat her like treat her like Heyey Treat her like a lady Treat her like a lady Treat her like Well treat her like Treat her like a lady Treat her like a lady Treat her like treat her like Oohhoo Treat her like a lady Hoohoooh my my treat her like a lady
The Temptations,3RwQ26hR2tJtA8F9p2n7jG,I'm Gonna Make You Love Me,3Rhxe6P1im82NFVkt9X2qZ, Oohoohoohoohooh Oohoohoohoohooh I m gon na do all the things for you A girl wants a man to do oh baby oh baby I ll sacrifice for you I ll even do wrong for you oh baby oh baby Every minute every hour I m gon na shower You with love and affection Look out it s comin in your direction And I m I m gon na make you love me Oh yes I will yes I will I m gon na make you love me Oh yes I will yes I will Lookie here My love is strong you see I know you ll never get tired of me oh baby Sure wo nt Oh baby And I m gon na use every trick in the book I ll try my best to get you hooked hey baby Take me I m yours Oh baby And every night every day I m gon na say I m gon na get ya I m gon na get ya Look out boy cause I m gon na get ya I m gon na make you love me Ooh yes I will yes I will And I m gon na make you love me Ooh yes I will you know I will Yes I will Every breath I take And each and every step I make Brings me closer baby Closer to you And with each beat of my heart For every day we re apart I ll hunger for every wasted hour And oh every night and every day I m gon na get ya I m gon na get ya Look out cause I m gon na get ya And I m gon na make I m gon na make you love me Yes I will I will yes I will I m gon na make you love me ooh oh Yes I will yes I will Come on and love me I m gon na make you love me ooh Yes I will Yes I will I will yes I will Come on and love me I m gon na make you love me Yes I will Yes I will I will yes I will
The Temptations,3RwQ26hR2tJtA8F9p2n7jG,I Wish It Would Rain,1tjpccwiGZTMDfHr5VGCmT, Sunshine blue skies please go away My girl has found another and gone away With her went my future my life is filled with gloom So day after day I stay locked up in my room I know to you it might sound strange But I wish it would rain Oh how I wish that it would rain Oh yeah yeah yeah yeah oohoohoohooh Cause so badly I wan na go outside such a lovely day But everyone knows that a man ai nt supposed to cry Listen I got ta cry Cause crying ooh eases the pain oh yeah People this hurt I feel inside Words could never explain I just wish it would rain oh how I wish that it would rain Oh let it rain rain rain rain oh how I wish that it would rain Ooh baby Let it rain rain rain Oh yeah let it rain Day in day out my tearstained face Pressed against the window pane My eyes search the skies desperately for rain Cause raindrops will hide my teardrops And no one will ever know That I m crying crying crying crying When I go outside To the world outside My tears I refuse to explain Oh I wish it would rain Oh how I wish that it would rain Oohhoo let it rain let it rain Let it rain I need rain to disguise the tears in my eyes Oh let it rain Oh yeah yeah listen I m a man and I got my pride Till it rains I m gon na stay inside Let it rain let it rain let it rain
