Artist,Artist_id,Song,Song_id,Lyrics
Troye Sivan,3WGpXCj9YhhfX11TToZcXP,1999,05mAIVLkIWc2d1UBYZBCp8, I just wan na go back back to 1999 Take a ride to my old neighborhood I just wan na go back sing Hit me baby one more time Wan na go back wan na go Yeah I just wan na go back Nike Airs All That CD old Mercedes Drive round listening to Shady like oh Never under pressure oh Those days it was so much better oh Feelin cool in my youth relaxin No money no problem It was easy back then Ooh wish that we could go back in time uh Got memories Ooh maybe we could do it tonight Tonight s the night I just wan na go back back to 1999 Take a ride to my old neighborhood I just wan na go back Sing Hit me baby one more time Wan na go back wan na go Yeah I remember back home Best friends all night no phone No cares I was dumb and so young My room singing Michael Jackson hee hee Never under pressure oh Those days it was so much better oh Feelin cool in my youth I m askin Does anyone remember how we did it back then Ooh wish that we could go back in time uh Got memories Ooh maybe we could do it tonight Tonight s the night Ah yeah I just wan na go back back to 1999 Take a ride to my old neighborhood I just wan na go back Sing Hit me baby one more time Wan na go back wan na go Back to where we came from Playin air guitar on the roof In the kitchen up on the table Like we had a beautiful view I wan na go I just wan na go back back to 1999 Ah yeah Back to 1999 I know those days are over but a boy can fantasize Bout JTT on MTV and when I close my eeeyes And I m right there right there And he s right there right there And we re right there right there Ah ah ah I wan na go back I just wan na go back back to 1999 Take a ride to my old neighborhood I just wan na go back Sing Hit me baby one more time Wan na go back wan na go Back to where we came from came from Playin air guitar on the roof In the kitchen up on the table Like we had a beautiful view I wan na go I just wan na go back back to 1999 go back Go back yeah yeah I just wan na go back back to 1999 yeah back to 1999 Yeah take me back to 99
Troye Sivan,3WGpXCj9YhhfX11TToZcXP,There for You,6jA8HL9i4QGzsj6fjoxp8Y, I woke up pissed off today And baby everyone feels fake Somewhere I lost a piece of me Smoking cigarettes on balconies But I ca nt do this alone Sometimes I just need a light If I call you on the phone And you re on the other side So when your tears roll down your pillow like a river I ll be there for you I ll be there for you When you re screaming but they only hear you whisper I ll be loud for you I ll be loud for you I got you I promise Let me be honest Love is a road that goes both ways When your tears roll down your pillow like a river I ll be there for you But you got ta be there for me too But you got ta be there for me too Last year took a toll on me But I made it with you next to me Around the world and back again I hope you re waiting at the end But I ca nt do this alone Sometimes I just need a light If I call you on the phone And you re on the other side So when your tears roll down your pillow like a river I ll be there for you I ll be there for you When you re screaming but they only hear you whisper I ll be loud for you I ll be loud for you I got you I promise Let me be honest Love is a road that goes both ways When your tears roll down your pillow like a river I ll be there for you But you got ta be there for me too But you got ta be there for me too Boy I m holding on to something Wo nt let go of you for nothing I m running running just to keep my hands on you There was a time that I was so blue What I got to do to show you Running running just to keep my hands on you Running running just to keep my hands on you So I m running running just to keep my hands on you But you got ta be there for me too But you got ta be there for me too
Troye Sivan,3WGpXCj9YhhfX11TToZcXP,Dance To This (feat. Ariana Grande),17JYzDCW1UTndfURuTydF2, Troye Sivan Young ambition Say we ll go slow but we never do Premonition See me spendin every night with you Oh yeah under the kitchen lights You still look like dynamite And I wan na end up on you Oh do nt need no place to go Just put on the radio You know what I wan na do We can just dance to this Do nt take much to start me We can just dance to this Push up on my body yeah You know we ve already seen all of the parties We can just dance to this We can just we can just Dance to this Dance to this We can just dance to this Ariana Grande Dear beloved Bring those 501s a bit closer bit closer And dear my lover Do that thing we never do sober sober Troye Sivan Ariana Grande Oh yeah under the kitchen lights You still look like dynamite And I wan na end up on you yeah Oh we do nt need no place to go Just put on the radio You know what I wan na do We can just dance to this Do nt take much to start me We can just dance to this Push up on my body yeah You know we ve already seen all of the parties We can just dance to this We can just we can just Dance to this Dance to this We can just dance to this I do nt wan na sleep tonightnightnightnightnight I just wan na take that ride I do nt wan na sleep tonightnightnightnightnight I just wan na take that ride We can just dance to this Do nt take much to start me We can just dance to this Push up on my body yeah You know we ve already seen all of the parties We can just dance to this We can just We can just dance to this Do nt take much to start me We can just dance to this Push up on my body yeah You know we ve already seen all of the parties We can just dance to this We can just we can just Dance to this Dance to this love Dance to this We can just dance to this Dance to this dance to this We can just dance to this I do nt wan na sleep tonightnightnightnightnight I just wan na take that ride I do nt wan na sleep tonightnightnightnightnight I just wan na take that ride We can just dance to this I do nt wan na sleep tonightnightnightnightnight I just wan na take that ride I do nt wan na sleep tonightnightnightnightnight I just wan na take that ride We can just dance to this I do nt wan na sleep tonightnightnightnightnight
Troye Sivan,3WGpXCj9YhhfX11TToZcXP,My My My!,1YHT1FZv5t3ZFLsVPuy6Rq, Shine on diamond Do nt make me wait another day Cause passion is passion You know it just as well as me Now let s stop running from love Running from love Let s stop my baby Let s stop running from us Running from us Let s stop my baby Oh my my my I die every night with you Oh my my my Living for your every move Spark up buzz cut I got my tongue between your teeth Go slow no no go fast You like it just as much as me Now let s stop running from love Running from love Let s stop my baby Let s stop running from us Running from us Let s stop my baby Oh my my my I die every night with you Oh my my my Living for your every move Should be the last night ever Should be the last night we re apart Got my name on this treasure On this treasure Oh my my my I die every night with you Oh my my my Living for your every move
Troye Sivan,3WGpXCj9YhhfX11TToZcXP,Lucky Strike,5mTJcvxRxq3uF5wUjjciDw, Oh I want to know just how to love you The jewel of California Oh I want to skip stones on your skin boy And drown me in your water And my boy like a queen Unlike one you ve ever seen He knows how to love me better A hit of dopamine higher than I ve ever been He knows how to love me better Cause you re safe like spring time Short days long nights boy Tell me all the ways to love you Cause you taste like Lucky Strikes You drag I light boy Tell me all the ways to love you Tell me all the ways to love you Tell me all the ways to love you Oh I wan na tip toe through your bliss boy Get lost the more I find ya Oh do nt wan na miss a second of this boy Hold tight and love me longer And my boy like a queen Unlike one you ve ever seen He knows how to love me better He knows how to love me better A hit of dopamine higher than I ve ever been He knows how to love me better Cause you re safe like spring time Short days long nights boy Tell me all the ways to love you Tell me all the ways to love you Cause you taste like Lucky Strikes You drag I light boy Tell me all the ways to love you Tell me all the ways to love you Tell me all the ways to love you Tell me all the ways to love you Tell me all the ways to love you Tell me all the ways to love you Breathe me in exhale slow Take me to anywhere you wan na go Breathe me in exhale slow Take me to anywhere you wan na go Cause you re safe like spring time Short days long nights boy Tell me all the ways to love you Tell me all the ways to love you Cause you taste like Lucky Strikes You drag I light boy Tell me all the ways to love you Tell me all the ways to love you Tell me all the ways to love you Tell me all the ways to love you Tell me all the ways to love you Tell me all the ways Tell me all the ways to love you Tell me all the ways Tell me all the ways to love you Tell me all the ways to love you Tell me all the ways to love you
Troye Sivan,3WGpXCj9YhhfX11TToZcXP,Strawberries & Cigarettes,2z7UKVsBdbA7HFPunDKDP4, Remember when we first met You said light my cigarette So I lied to my mom and dad And jumped the fence and I ran But we could nt go very far Cause you locked your keys in your car So you sat and stared at my lips And I could already feel your kiss Long nights daydreams Sugar and smoke rings I ve been a fool But strawberries and cigarettes always taste like you Headlights on me Racing to sixty I ve been a fool But strawberries and cigarettes always taste like Blue eyes black jeans Lighters and candy I ve been a fool But strawberries and cigarettes always taste like you Remember when you taught me fate Said it all be worth the wait Like that night in the back of the cab When your fingers walked in my hand Next day nothing on my phone But I can still smell you on my clothes Always hoping things would change But we went right back to your games Long nights daydreams Sugar and smoke rings I ve been a fool But strawberries and cigarettes always taste like you Headlights on me Racing to sixty I ve been a fool But strawberries and cigarettes always taste like Blue eyes black jeans Lighters and candy I ve been a fool But strawberries and cigarettes always taste like you And even if I run away And give my heart a holiday Still strawberries and cigarettes always taste like you You always leave me wanting more I ca nt shake my hunger for Strawberries and cigarettes always taste like you Yeah they always taste like you You Long nights daydreams With that sugar and smoke rings Always taste like you Headlights on me And even if I run away Racing to sixty I ve been a fool And give my heart a holiday Still strawberries and cigarettes always taste like Blue eyes black jeans You always leave me wanting more Lighters and candy I ve been a fool I ca nt shake my hunger for Strawberries and cigarettes always taste like you
Troye Sivan,3WGpXCj9YhhfX11TToZcXP,Bloom,0heVTeZw99vJl4QyJC0wyk, Take a trip into my garden I ve got so much to show ya The fountains and the waters Are begging just to know ya And it s true baby I ve been saving this for you baby I guess it s something like a fun fair Put gas into the motor And boy I ll meet you right there We ll ride the rollercoaster Cause it s true baby I ve been saving this for you baby I need to Tell me right before it goes down Promise me youll Hold my hand if I get scared now Might tell you to Take a second baby slow it down You should know I you should know I Yeah I bloom I bloom just for you I bloom just for you Yeah I bloom I bloom just for you I bloom just for you Come on baby play me like a love song Every time it comes on I get this sweet desire Yeah I bloom I bloom just for you I bloom just for you Now it s the perfect season Yeah let s go for it this time We re dancing with the trees and I ve waited my whole life It s true baby I ve been saving this for you baby I need you to Tell me right before it goes down Promise me youll Hold my hand if I get scared now Might tell you to Take a second baby slow it down You should know I you should know I Yeah I bloom I bloom just for you I bloom just for you Yeah I bloom I bloom just for you I bloom just for you Come on baby play me like a love song Every time it comes on I get this sweet desire Yeah I bloom I bloom just for you I bloom just for you Just for you I bloom just for you I bloom just for you Baby baby I ve been saving this for you baby Baby baby I ve been saving this for you baby Yeah I bloom I bloom just for you I bloom just for you Yeah I bloom I bloom just for you I bloom just for you Come on baby play me like a love song Every time it comes on I get this sweet desire Yeah I bloom I bloom just for you I bloom just for you Just for you I bloom just for you I bloom just for you Just for you I bloom just for you I bloom just for you
Troye Sivan,3WGpXCj9YhhfX11TToZcXP,The Good Side,4WZMggnO37eRLo58CyOC4p, I got the good side of things Left you with both of the rings My fingers danced and swayed in the breeze The change in the wind took you down to your knees I got the good side of you Send it out into the blue The people danced to the sound of your heart The world sang along to it falling apart But I sympathize and I recognize And baby I apologize That I got the good side The good side of things I got the good side of life Travelled the universe twice So many thoughts I wanted to share But I did nt call because it would nt be fair Then I got the good side of new Found arms to fall right into I know how it looked it was nt the plan And some day I hope that you ll understand That I sympathize and I recognize And baby I apologize That I got the good side The good side of things I m sure we ll meet in the spring And catch up on everything I ll say I m proud of all that you ve done You taught me the ropes and you taught me to love But I sympathize and I recognize And baby I apologize That I got the good side The good side of things Sympathize recognize Apologize That I got the good side The good side of things
Troye Sivan,3WGpXCj9YhhfX11TToZcXP,Seventeen,6UiQFxMYJgILcLTjLrO0OQ, I got these beliefs that I think you wan na break Got something here to lose that I think you wan na take from me You say that I m asleep but I wan na be awake Got something here to lose that I know you wan na take And he said age is just a number just like any other We can do whatever do whatever you want Boy becomes a man now Ca nt tell a man to slow down He ll just do whatever do whatever he wants I went out looking for love when I was seventeen Maybe a little too young but it was real to me And in the heat of the night saw things I d never seen Oh seventeen You should know I m green but I ll find my way around Heard the whispers now let s see what all the talk s about I m taking in the sights and measuring the sounds Heard the whispers now let s see what all the talk s about And he said age is just a number just like any other We can do whatever do whatever you want Boy becomes a man now Ca nt tell a man to slow down He ll just do whatever do whatever he wants I went out looking for love when I was seventeen Maybe a little too young but it was real to me And in the heat of the night saw things I d never seen Oh seventeen Oh seventeen Seventeen seventeen seventeen Seventeen seventeen seventeen I went out looking for love when I was seventeen Maybe a little too young but it was real to me And in the heat of the night saw things I d never seen Oh seventeen I went out looking for love when I was seventeen Maybe a little too young but it was real to me And in the heat of the night saw things I d never seen Oh seventeen Seventeen seventeen seventeen Seventeen seventeen seventeen
Troye Sivan,3WGpXCj9YhhfX11TToZcXP,Animal,3DKCYiD9C6ZBeqDzisTofP, I told you something safe Something I ve never said before And I I I ca nt keep my hands off you While you lie in the wake Covered all in the night before I m high high high no one s got me quite like you I want you all to myself Do nt leave none for nobody else I am an animal with you No angels could beckon me back And it s hotter than hell where I m at I am an animal with you An ode to the boy I love Boy I ll die to care for you You re mine mine mine tell me who do I owe that to And as the days fly by We ll be more than getting through yeah And in time time time we ll build a home for two I want you all to myself Do nt leave none for nobody else I am an animal with you No angels could beckon me back And it s hotter than hell where I m at I am an animal with you All is right in the meadow When I m lying next to my fellow Baby that s you Baby thats Baby that s you One way trip like an arrow All laid out like a tarot Baby that s you Baby thats Baby that s you youyou I want you all to myself Do nt leave none for nobody else I am an animal with you No angels could beckon me back And it s hotter than hell where I m at I am an animal with you I am an animal with you
