Artist,Artist_id,Song,Song_id,Lyrics
Montgomery Gentry,3bGXaFVQLASmDMdjjeJr8a,Where I Come From,10ps1I1sIMRNZW11eceN7W, Do nt you dare go runnin down my little town where I grew up And I wo nt cuss your city lights If you ai nt ever took a ride around And cruised right through the heart of my town Anything you say would be a lie We may live our lives a little slower But that do nt mean I would nt be proud to show ya Where I come from There s an old ply boy out turning up dirt Where I come from There s a preacher man in a cowboy shirt Where I come from Well a couple of boys fight in the parking lot No nobody s gon na call the cops Where I come from See that door right there man I swear It ai nt never been locked And I can tell you that it never will That old man right there in the rocking chair At the courthouse square I ll tell you now He could buy your fancy car with hundred dollar bills Do nt let those faded overalls fool ya He made his bands without one day of schoolin Where I come from There s a pickup truck with the tailgate down Where I come from The pine trees are singing a song of the south Where I come from That little white church is gon na have a crowd Yeah I m pretty damn proud Of where I come from Where I come from There s a big ole moon shining down at night Where I come from There s a man done wrong gon na make it right Where I come from There s an old ply boy out turning up dirt Where I come from There s a preacher man in a cowboy shirt Where I come from When a couple of boys Fight in the parking lot No ai nt nobody gon na call the cops Yeah that river runs Across that Oakland rock Where I come from Where I come from
Montgomery Gentry,3bGXaFVQLASmDMdjjeJr8a,Something to Be Proud Of,4D8uIY6Wzj7dJDaw0dW0UF, There s a story that my daddy tells religiously Like clockwork every time he see s an opening In a conversation bout the way things use to be I just roll my eyes and make a Bline for the door I d always end up starry eyed and cross legged on the floor Hanging onto every word man the things I heard It was harder times and longer days Five miles to school uphill both ways We were cane switched raised and dirt floor poor Course that was back before the war Yeah your uncle and I made quit a pair Flying F15 s through hostile air He went down but they missed me by a hair He d always stop right there and say That s something to be proud of That s a life you can hang your hat on As your chins held high as the tears fall down Gut sucked in chest stuck out Like a small town flag a flying Or a new born baby crying In the arms of the woman that you love That s something to be proud of Son graduating college that was momma s dream And I was on my way to anywhere else when I turned Eighteen That s when you got a fast car and think you got everything I learned real quick those GTO s do nt run off faith I ended up broke down in some town north of LA Working maximum hours for minimum wage I fell in love next thing I know Babies came and the car got sold Sure do miss that old Hot Rod But you sure save gas in them foreign jobs Dad I wonder if I ever let you down If you re ashamed how I turned out Well he lowered his voice then he raised his brow Said let me tell you right now That s something to be proud of That s a life you can hang your hat on No need to make a million just be thankful to be working If you re doing what you re able Putting food there on the table And providing for the family that you love That s something to be proud of And if all you ever really do is the best you can Well you did it man That s something to be proud of That s a life you can hang your hat on As your chins held high as the tears fall down Gut sucked in chest stuck out Like a small town flag a flying Or a new born baby crying In the arms of the woman that you love That s something to be proud of That s something to be proud of That s something to be proud of That s something to be proud of Now that s something to be proud of
Montgomery Gentry,3bGXaFVQLASmDMdjjeJr8a,Merry Christmas from the Family,15ALrqRVH0NJsBuxI00Bk3, Mom got drunk and Dad got drunk At our Christmas party We were drinkin champagne punch And homemade eggnog Little sister brought her new boyfriend He was a Mexican We did nt know what to think of him Till he sang Feliz Navidad Feliz Navidad Brother Ken brought his kids with him The three from his first wife Lynn And the two identical twins From his second wife Mary Nell Of course he brought his new wife Kaye Who talks all about AA Chain smokin while the stereo plays Noel Noel The first Noel Carve the turkey turn the ball game on Mix Margaritas when the eggnog s gone Send somebody to the QuikPak store We need some ice and an extension cord A can of bean dip and some Diet Rite A box of pampers some Marlboro Lights Hallelujah everybody say cheese Merry Christmas from the family Fran and Rita drove from Harlingen I ca nt remember how I m kin to them But when they tried to plug their motor home in They blew our christmas lights Cousin David knew just what went wrong So we all waited on our front lawn He threw the breaker and the lights came on And we sang Silent Night Oh Silent Night o holy night Carve the turkey turn the ballgame on Mix Bloody Marys cause we all want one Send somebody to the Stop n Go We need some celery and a can of fake snow A bag of lemons and some Diet Sprite A box of midol some Salem Lights Hallelujah everybody say cheese Merry Christmas from the family
Montgomery Gentry,3bGXaFVQLASmDMdjjeJr8a,What Do Ya Think About That,6u8phyrH4qbybaIyxtJ9RS, I heard it through the grapevine My new neighbor do nt like my big red barn A 47 Ford bullet holes in the door Broke down motor in the front yard I got half a mind to paint a plywood sign And nail it up on a knotty pine tree Saying I was here first This is my piece of dirt And your rambling do nt rattle me Some people care about what other people think Worry about what they say Let a little gossip Coming from a loose lip ruin a perfect day Saying blah blah blah just a jacking their jaws Got ta let it roll offa my back I do nt give a dern what other people think What do ya think about that I wear what I want to overalls work boots Crank my music up loud Like to sling a little mud in my four wheel drive Trek it all into town Shot a little eight ball down at the pool hall Drink a beer with my friends Now do nt judge me and I wo nt judge you Cause we all get judged in the end Some people care about what other people think Worry about what they say Let a little gossip Coming from a loose lip ruin a perfect day Saying blah blah blah just a jacking their jaws Got ta let it roll offa my back I do nt give a dern what other people think What do ya think about that Some people care about what other people think Worry about what they say Let a little gossip Coming from a loose lip ruin a perfect day Saying blah blah blah just a jacking their jaws Got ta let it roll offa my back I do nt give a dern what other people think What do ya think about that Say I do nt give a damn what other people think What do ya think about that What do ya think about that
Montgomery Gentry,3bGXaFVQLASmDMdjjeJr8a,One In Every Crowd,6HAsk04nz2TaEbK8lncN3w, Golden Tee shuffleboard pinball he s got the score That everybody around here s tryin to beat He s a six pack up when he walks in Tells the band crank it up to 10 Then he s up dancin on his seat Well he s a big mouth yellin hey play some free bird Says give me three steps and nobody gets hurt Then he takes off his shirt There s one in every crowd Brings the party in us out Good time charley with a harley whiskey bent and hellbound He s got the next round but he always drinks for free There s one in every crowd and it s usually me Hey yall hey yall hey yall there s one in every crowd Got a fliptop box of marlboros He ll bum a light and steal your girl Then laugh at you for gettin all upset well everybody here knows his name Makes everybody else look sane When he s out as far as you can get In his mind he s a rock star crankin out that air guitar Till the bartender says fool get off my bar There s one in every crowd That brings the party in us out Good time charley with a harley whiskey bent and hellbound He s got the next round but he always drinks for free There s one in every crowd and it s usually me Hey yall hey yall hey yall there s one in every crowd He s a hard drinkin man s man And women love him when they can He s a bartender s best friend It ai nt a party till he walks in There s one in every crowd That brings the party in us out Good time charley with a harley whiskey bent and hellbound He s got the next round but he always drinks for free There s one in every crowd and it s usually me Hey yall hey yall hey yall there s one in every crowd It s usually me hey yall hey yall hey yall there s one in every crowd that s right
Montgomery Gentry,3bGXaFVQLASmDMdjjeJr8a,My Town,5M8oqeozsjPMSXbkjo0SyD, There s a for sale sign on a big old rusty tractor You ca nt miss it It s the first thing that you see Just up the road a pale blue water tower With I Love Jennie painted in bright green Hey That s my Uncle Bill there by the courthouse He ll be lowering the flag when the sun goes down And this is My town Yeah this is my town HEY Where I was born Where I was raised Where I keep all my yesterdays Where I ran off cause I got mad And it came to blows with my old man Well I came back and settled down This is where they ll put me in the ground Yeah this is My town Yeah this is My town My town There ai nt much going on here since they closed the mill That Whistle still blows every day at noon A bunch of us still go down to the diner I wonder if that Interstates still coming through But come Sunday morning service at the Church of Christ Well there ai nt an empty seat to be found And this is My town Yeah this is my town Where I was born Where I was raised Where I keep all my yesterdays Where I ran off cause I got mad And it came to blows with my old man Well I came back and settled down It s where they ll put me in the ground This is My town Yeah this is My town My town Well I bought and painted up that rusty tractor You ca nt miss it It s sitting right there in our yard The County came and took that water tower And that s Jennie with a baby in the car Well we re off to Sunday service at the Church of Christ And if we want a seat we better leave right now And maybe later me and TRoy will show you around our town Yeah this is my town Yeah Where I was born Where I was raised Where I keep all my yesterdays Where I ran off cause I got mad And it came to blows with my old man Well I came back and settled down This is where they ll put me in the ground Yeah this is My town Yeah this is My town My town
Montgomery Gentry,3bGXaFVQLASmDMdjjeJr8a,Lucky Man,4GiXBCUF7H6YfNQsnBRIzl, I have days where I hate my job this little town and the whole world too and last Sunday when my Bengals lost Lord it put me in a bad mood I have moments when I curse the rain then complain when the suns too hot I look around at what everyone has and I forget About all I ve got But I know I m a lucky man gods given me a pretty fair hand got a house and piece of land a few dollars in a coffee can my Old trucks still runnin good my tickers tickin like they say it should I ve got supper in the oven a good woman s lovin and One more day to be my little kids dad Lord knows I m a lucky man Got some friends that would be here fast I could call em any time of day got a brother who s got my back got a momma who I swears a saint got a brand new rod and reel got a full week off this year dad had a close call last spring it s a Miracle he s stil here But I know I m a lucky man gods given me a pretty fair hand got a house and piece of land a few dollars in a coffee can my Old trucks still runnin good my tickers tickin like they say it should I ve got supper in the oven a good woman s lovin and One more day to be my little kids dad Lord knows I m a lucky man My old trucks still runnin good my tickers tickin like they say it should I got supper in the oven a good womans lovin And even my bad days ai nt that bad yeah I m a lucky man I m a lucky lucky man
Montgomery Gentry,3bGXaFVQLASmDMdjjeJr8a,Long Line of Losers,6U7hJoo1kiTZI69cEF8uCD, Granddaddy was Irish Cherokee Ran moonshine from here to Tennessee Spent half his life in the Montgomery county jail Grandma she got drunk and left All her kids on her mamas front steps Nobody s heard from her since she hightailed I come from a long line of losers Half outlaw half boozers I was born with a shot glass in my hand I m part hippie a little red neck I m always a suspect My blood line made me who I am Daddy never finished school But he shot one mean game of pool Took a bullet for stealin cars down in Birmingham Mama always went to church But we soon found out what her reasons were She got caught at the local motel with the preacher man I come from a long line of losers Half outlaw half boozers I was born with a shot glass in my hand I m part hippie a little red neck I m always a suspect My blood line made me who I am I come from a long line of losers Half outlaw half boozers I was born with a shot glass in my hand I m part hippie a little red neck I m always a suspect My blood line made me who I am I come from a long line of losers Half outlaw half boozers I was born with a shot glass in my hand I m part hippie a little red neck I m always a suspect My blood line made me who I am
Montgomery Gentry,3bGXaFVQLASmDMdjjeJr8a,Get Down South,2P7ytB10klD2fTMPS7ZJxn, Hey boys Hey over here Get that fire started where s that cold drink at Way out here there ai nt no parking lot It s a big green field and we just pick a spot Grab a cooler and a folding chair Just start walking it s right down there Tonight we re gon na get rowdy Get out the coke and ground me Stir it up in a dixie paper cup Cause that s how we Get Down South When you re living in a real small town And there ai nt nothing else around going on You wan na party got ta make your own Get Down South if you ve never let your redneck out Or had moonshine in your mouth You got ta Get Down Get Down South Yeah I m gon na shoot the bow and chew the fat Catch up with the boys about this and that Till the bees and the cornbread s gone And maybe a little later on I m gon na find a girl and say howdy And when the band gets loud we gon na rock the barn out on the farm That s how we Get Down South When you re living in a real small town And there ai nt nothing else around going on You wan na party got ta make your own Get Down South if you ve never let your redneck out Or had moonshine in your mouth You got ta Get Down Get Down South If you ever get tired of the city And that same ole crowd Just call me up and come with me and I ll show you how We Get Down South When you re living in a real small town And there ai nt nothing else around going on You wan na party got ta make your own Get Down South if you ve never let your redneck out Or had moonshine in your mouth You got ta Get Down Get Down South Come on Come on Get Down South Hey Hey Get Down Get Down South
Montgomery Gentry,3bGXaFVQLASmDMdjjeJr8a,Hell Yeah,6QUs5z2uEbSGZJpPGMfgQA, He works way too much for way too little He drinks way too early till way too late He has nt had a raise since New Year s Day In eightyeight gets trampled on by everyone Except when he comes in here And he s the product of the Haggard generation He s got a redneck side when you get him agitated He got the gold toothed look from a stiff right hook He s proud he took for his right wing stand on Vietnam Says he lost his brother there He yells out Johnny Cash And the band starts to play A ring of fire as he walks up And stands there by the stage And he says Hell yeah Turn it up Right on Hell yeah Sounds good Sing that song Guitar man playin all night long Take me back to where the music hit me Life was good and love was easy She s got an MBA and a plush corner office She s got a do nt mess with me attitude She ll close a deal she do nt reveal that she can feel The loneliness the emptiness Except when she comes in here She s the product of the Me generation She s got a rock and roll side when you get her agitated She got the tattoo there on her derriere from a spring break dare In Panama where love was all she thought she d ever need She yells out to the band Know any Bruce Springsteen Then she jumps up on the bar And she and she starts to scream She says Hell yeah Turn it up Right on Hell yeah Sounds good Sing that song Guitar man playin all night long Take me back to where the music hit me When life was good and love was easy Yeah yeah Can or ca nt you get my mind off thinkin bout Monday Tuesday Wednesday Thursday Hey hell yeah Hell yeah Turn it up Right on Hell yeah Sounds good Sing that song Guitar man playin all night long Take me back to where the music hit me When life was good Hell yeah Turn it up Right on Hell yeah Sounds good Sing that song Guitar man playin all night long Take me back to where the music hit me When life was good and love was easy
