Artist,Artist_id,Song,Song_id,Lyrics
Kenny Chesney,3grHWM9bx2E9vwJCdlRv9O,Get Along,6n6OQfBpCgzF9oEg8zhBN7, A man wearin a Tshirt says Virginia is for lovers Had a Bible in his left hand and a bottle in the other He says All you re really given is the sunshine and your name We both started laughin when the sky started to rain Get along on down the road We ve got a long long way to go Scared to live scared to die We ai nt perfect but we try Get along while we can Always give love the upper hand Paint a wall learn to dance Call your mom buy a boat Drink a beer sing a song Make a friend ca nt we all get along Saw a model on a billboard 1800 get to know me Wondered was she photoshopped or were her eyes really that lonely Did she leave her hometown thinkin she d end up in LA Did she break down in the desert and get stuck beside the highway Get along on down the road We ve got a long long way to go Scared to live scared to die We ai nt perfect but we try Get along while we can Always give love the upper hand Paint a wall learn to dance Call your mom buy a boat Drink a beer sing a song Make a friend ca nt we all get along We find out when you die the keys to heaven ca nt be bought We still do nt know what love is but we sure know what it s not Sometimes you got to Get along on down the road We ve got a long long way to go Scared to live scared to die We ai nt perfect but we try Get along while we can Always give love the upper hand Paint a wall learn to dance Call your mom buy a boat Drink a beer sing a song Make a friend ca nt we all get along
Kenny Chesney,3grHWM9bx2E9vwJCdlRv9O,All the Pretty Girls,66pxmg3Jhjm09tHoWR1wVR, All the pretty girls said pick me up at eight All the pretty girls said I m going to LA All the pretty girls said I hate my hair Talking to the mirror in their underwear All the lost boys said I just got paid All the lost boys said I wan na get laid When the town goes blue and the lights blink red All the lost boys do what all the pretty girls said I m home for the summer shoot out the lights Do nt blow my cover oh I m free tonight I m coming over call all your friends Somebody hold me all the pretty girls said All of the whiskey went to my head Shut up and kiss me all the pretty girls said All the sheriffs said kid you better slow down All the preachers said it s the devils playground I wonder if they knew they were wasting their breath All I ever heard was all the pretty girls said I m home for the summer shoot out the lights Do nt blow my cover oh I m free tonight I m coming over call all your friends Somebody hold me all the pretty girls said All of the whiskey went to my head Shut up and kiss me all the pretty girls said All the seventeens said I m getting outta dodge All the big dreams said I m selling all I got All the high rollers busy placing their bets Me I m heading south cause all the pretty girls said I m home for the summer shoot out the lights Do nt blow my cover oh I m free tonight I m coming over call all your friends Somebody hold me all the pretty girls said All of the whiskey went to my head Shut up and kiss me all the pretty girls said All the pretty girls said
Kenny Chesney,3grHWM9bx2E9vwJCdlRv9O,Everything's Gonna Be Alright,2NEBP8SXEqwZt2PRdPXXuy, She rattled the ice in my plastic cup I said yes mam fill her up Tell me something good that I do nt know Cause this world s been kicking my behind Life ai nt been a friend of mine Lately I ve been feeling kinda low And she looked back over her shoulder Pointed at the sign hanging up on the wall It said Everything s gon na be alright Everything s gon na be alright And nobody s got ta worry bout nothing Do nt go hittin that panic button It ai nt worth spilling your drink Everything s gon na be alright Alright alright So I nodded my head and said that s for sure Dropped a few bucks in the mason jar Felt those good old neon vibes on me And whatever monkey that was on my back He jumped off just like that Right into the deep blue sea And I looked back over her shoulder Thinking bout the sign hanging up on the wall That said Everything s gon na be alright Everything s gon na be alright Nobody s got ta worry bout nothing Do nt go hitting that panic button It ai nt near as bad as you think Everything s gon na be alright Alright alright There ai nt no doubt it s gon na work out Come on sing it with me There ai nt no doubt it s gon na work out Come on and sing it with me Everything s gon na be alright Everything s gon na be alright And nobody s got ta worry bout nothing Do nt go hitting that panic button It ai nt near as bad as you think Everything s gon na be alright Alright is gon na be alright alright is gon na be alright Everything s gon na be alright Alright is gon na be alright alright is gon na be alright Everything s gon na be alright Is gon na be alright is gon na be alright Everything s gon na be alright Is gon na be alright is gon na be alright
Kenny Chesney,3grHWM9bx2E9vwJCdlRv9O,American Kids,1dgWTMoHwTUnQhOQ8SR5fV, Double wide Quick Stop midnight Ttop Jack in her Cherry Coke town Momma and daddy put their roots right here Cause this is where the car broke down Yellow dog school bus kickin up red dust Pickin us up by a barbed wire fence MTV on the RCA no AC in the vents We were Jesus save me blue jean baby Born in the USA Trailer park truck stop faded little map dots New York to LA We were teenage dreamin front seat leanin Baby come give me a kiss Put me on the cover of the Rolling Stone Uptown down home American kids Growin up in little pink houses Makin out on living room couches Blowin that smoke on a Saturday night A little messed up but we re all alright Baptist church parkin lot tryin not to get caught Take her home and give her your jacket Makin it to second base but sayin you went all the way Monday afternoon at practice Sisters got a boyfriend Daddy does nt like Now he s sittin out back 3030 in his lap In the blue bug zapper light We were Jesus save me blue jean baby Born in the USA Trailer park truck stop faded little map dots New York to LA We were teenage dreamin front seat leanin Baby come give me a kiss Put me on the cover of the Rolling Stone Uptown down home American kids Growin up in little pink houses Makin out on living room couches Blowin that smoke on a Saturday night A little messed up but we re all alright We were Jesus save me blue jean baby Born in the USA Trailer park truck stop faded little map dots New York to LA We were teenage dreamin front seat leanin Baby come give me a kiss Put me on the cover of the Rolling Stone Uptown down home American kids Growin up in little pink houses Makin out on living room couches Blowin that smoke on a Saturday night A little messed up but we re all alright
Kenny Chesney,3grHWM9bx2E9vwJCdlRv9O,Setting the World On Fire,7AclP0W2jy6yrbvBiC4prQ, Yeah we got drunk on La Cienega Boulevard Takin pictures of people we thought were stars It s easy to give in to your heart When you re drunk on La Cienega Boulevard When the song comin out of the speakers Was the band that you had on your tshirt We were screamin cause all the streets were empty And you kissed me and we were Up all night and we were feelin so good Yeah we got a little higher than we probably should We were in a hotel singin in the hallway lights We were strikin the matches right down to the ashes Setting the world on fire setting the world on fire Wrote I love you in lipstick on the mirror We were shoutin out the window like they could hear us at the pier Said Do you think we ll live forever As we killed another beer And you wrote I love you in lipstick on the mirror We were laughin until we were breathless Never felt anything so reckless we were all lit up and restless And comin alive and we were Up all night and we were feelin so good Yeah we got a little higher than we probably should We were in a hotel singin in the hallway lights We were strikin the matches right down to the ashes Setting the world on fire setting the world on fire Up all night and we were feelin so good Yeah we got a little higher than we probably should We were in a hotel singin in the hallway lights We were strikin the matches right down to the ashes Setting the world on fire setting the world on fire World all on fire We were setting The world all on fire We were setting The world all on fire World all on fire
Kenny Chesney,3grHWM9bx2E9vwJCdlRv9O,You and Tequila,1t2hJFgJyUPD2crOafMUEk, Baby here I am again Kicking dust in the Canyon wind Waiting for that sun to go down Made it up Mulholland Drive Hell bent on getting high High above the lights of town Cause you and Tequila make me crazy Run like poison in my blood One more night could kill me baby One is one too many one more is never enough Thirty days and thirty nights Been putting up a real good fight And there were times I thought you d win It s so easy to forget The bitter taste the morning left Swore I would nt go back there again Cause you and Tequila make me crazy Run like poison in my blood One more night could kill me baby One is one too many one more is never enough When it comes to you Oh the damage I could do It s always your favorite sins That do you in Cause you and Tequila make me crazy Run like poison in my blood One more night could kill me baby One is one too many one more is never enough Never enough You and Tequila
Kenny Chesney,3grHWM9bx2E9vwJCdlRv9O,She Thinks My Tractor's Sexy,3QV7NYkrmV0Q0IHdFJw9hO, Plowin these fields in the hot summer sun Over by the gate Lordy here she comes With a basket full of chicken and a big cold jug of sweet tea I make a little room and she climbs on up Open up her throttle and stir a little dust Just look at her face she ai nt foolin me She thinks my tractor s sexy It really turns her on She s always starin at me While I m chuggin along She likes the way it s pullin while we re tillin up the land She s even kinda crazy bout my farmer s tan She s the only one who really understands what gets me She thinks my tractor s sexy We ll ride back and forth till we run outta light Take it to the barn put it up for the night Climb up in the loft sit and talk with the radio on She says she got a dream and I ask what it is She wants a little farm and a yard full of kids And one more teeny weeny ride before I take her home She thinks my tractor s sexy It really turns her on She s always starin at me While I m chuggin along She likes the way it pullin while we re tillin up the land She s even kinda crazy bout my farmers tan She s the only one who really understands what gets me She thinks my tractors sexy Well she ai nt into cars or pick up trucks But if it runs likes a Deere man her eyes light up She thinks my tractor She thinks my tractor s sexy It really turns her on She s always starin at me While I m chuggin along She likes the way it s pullin while we re tillin up the land She s even kinda crazy bout my farmer s tan She s the only one who really understands what gets me She thinks my tractor s sexy She thinks my tractor s sexy She thinks my tractor s sexy
Kenny Chesney,3grHWM9bx2E9vwJCdlRv9O,Somewhere With You,3pkzJjJXfdDjhpXx639MIH, If you re going out with someone new I m going out with someone too I wo nt feel sorry for me I m getting drunk But I d much rather be somewhere with you Laughing loud on a carnival ride yeah Driving around on a Saturday night You made fun of me for singing my song Got a hotel room just to turn you on You said pick me up at three am You re fighting with your mom again And I d go I d go I d go Somewhere with you yeah I wo nt sit outside your house And wait for the lights to go out Call up an ex to rescue me climb in their bed When I d much rather sleep somewhere with you Like we did on the beach last summer When the rain came down and we took cover Down in your car out by the pier You laid me down whispered in my ear I hate my life hold on to me Ah if you ever decide to leave Then I ll go I ll go I ll go I can go out every night of the week Can go home with anybody I meet But it s just a temporary high cause when I close my eyes I m somewhere with you somewhere with you If you see me out on the town And it looks like I m burning it down You wo nt ask and I wo nt say But in my heart I m always somewhere with you Laughing loud on a carnival ride yeah Driving around on a Saturday night You made fun of me for singing my song Got a hotel room just to turn you on You said pick me up at three am You re fighting with your mom again And I d go I d go I d go I can go out every night of the week Can go home with anybody I meet But it s just a temporary high cause when I close my eyes I m somewhere with you somewhere with you Somewhere with you I m somewhere with you Somewhere with you Somewhere with you Somewhere with you
Kenny Chesney,3grHWM9bx2E9vwJCdlRv9O,Come Over,6BCrbWBpb8d6KWmEqZ41tr, I turn the TV off to turn it on again Staring at the blades of the fan as it spins around Counting every crack the clock is wide awake Talking to myself anything to make a sound I told you I would nt call I told you I would nt care But baby climbing the walls gets me nowhere I do nt think that I can take this bed getting any colder Come over come over come over come over come over You can say we re done the way you always do It s easier to lie to me than to yourself Forget about your friends you know they re gon na say We re bad for each other but we ai nt good for anyone else I told you I would nt call I told you I would nt care But baby climbing the walls gets me nowhere I do nt think that I can take this bed getting any colder Come over come over come over come over come over We do nt have to miss each other come over We do nt have to fix each other come over We do nt have to say forever come over You do nt have to stay forever come over I told you I would nt call I told you I would nt care But baby climbing the walls gets me nowhere I do nt think that I can take this bed getting any colder Come over come over come over come over come over Come over come over come over come over come over Come over come over come over come over come over
Kenny Chesney,3grHWM9bx2E9vwJCdlRv9O,Save It for a Rainy Day,6wfTb2he5ANMQSFnlamnyi, It s no secret that lately there ai nt no escapin That I ve been waking up alone Just me and the TV and a sinking feeling That you ai nt ever coming home But today The tears ai nt gon na hit the floor Cause the boat s in the bay And it s calling my name So I m heading on out the door Cause the sun s too bright The sky s too blue Beer s too cold to be thinking about you Gon na take this heartbreak and tuck it away Save it for a rainy day When I turned the ignition I knew I d be missin The feel of the wind on my face I was stuck in a habit Of wondering what happened Too busy taking all the blame Got a drink or two It s a fool proof remedy It s a beautiful world with a beautiful girl Kind of making eyes at me Cause the sun s too bright The sky s too blue Beer s too cold to be thinking about you Gon na take this heartbreak and tuck it away Save it for a rainy day Yeah the music s too good My friends are all out And they re all too high to be bringing em down If they ask about you I ve got nothing to say I ll save it for a rainy day They ll be plenty of time for what if s and whys And how d I let you get away But the lying in bed all stuck in my head Is just gon na have to wait Cause the sun s too bright The sky s too blue Beer s too cold to be thinking about you Gon na take this heartbreak and tuck it away Save it for a rainy day Yeah the music s too good My friends are all out And they re all too high to be bringing em down If they ask about you I ve got nothing to say I ll save it for a rainy day Gon na take this heartbreak and tuck it away Save it for a rainy day Save it for a rainy day
