Artist,Artist_id,Song,Song_id,Lyrics
Young the Giant,4j56EQDQu5XnL7R3E9iFJT,Cough Syrup,1UqhkbzB1kuFwt2iy4h29Q, Life s too short to even care at all whoa I m losing my mind losing my mind losing control These fishes in the sea they re staring at me whoa whoa A wet world aches for a beat of a drum whoa If I could find a way to see this straight I d run away to some fortune that I should have found by now I m waiting for this cough syrup to come down come down Life s too short to even care at all whoa I m coming up now coming up now out of the blue oh These zombies in the park they re looking for my heart whoa whoa A dark world aches for a splash of the sun whoa If I could find a way to see this straight I d run away to some fortune that I should have found by now And so I run back to the things they said could restore me Restore life the way it should be I m waiting for this cough syrup to come down Life s too short to even care at all whoa I m losing my mind losing my mind losing control If I could find a way to see this straight I d run away to some fortune that I should have found by now And so I run back to the things they said could restore me Restore life the way it should be I m waiting for this cough syrup to come down One more spoon of cough syrup now whoa One more spoon of cough syrup now whoa whoa
Young the Giant,4j56EQDQu5XnL7R3E9iFJT,Superposition,67YPjbcxUypwNOwYBZquq1, I do nt believe in fate No psychic vision But when things fall into place superposition In any universe you are my dark star I want you to want me Why do nt we rely on chemistry Why do nt we collide the spaces that divide us I want you to want me Superstition aims with imprecision But when things ca nt be explained superposition In any universe you are my dark star I want you to want me Why do nt we rely on chemistry Why do nt we collide the spaces that divide us I want you to want me I want you to want me No matter what we do I ll be there with you I want you to want me Why do nt we rely on chemistry Why do nt we collide the spaces that divide us I want you to want me
Young the Giant,4j56EQDQu5XnL7R3E9iFJT,Silvertongue,0yTJtxZJ5VLfBEHhiNUNeY, Trying to think of a way to get started Stutter my full train of thought just departed Taste of massacre on my breath Let me get this off your chest Open my mind but the gems falling out make you lose control Oh girl I ve got that silver tongue Got got that silver silver tongue Drives you into delirium Got got that silver got that silver tongue like I m addicted to madness but what can I say I m addicted to badness but what can I do I got my silver tongue Clothes on the floor but the bed s on the ceiling Slurring my lines but I m nailing the meaning I say what you want me to say But talk only gets in the way Rolling our eyes no more words to describe how we lose control Oh girl I ve got that silver tongue Got got that silver silver tongue Drives you into delirium Got got that silver got that silver tongue like I m addicted to madness but what can I say I m addicted to badness but what can I do I got my silver tongue I got nothing to lose And all the things you do Yeah I got nothing to lose Oh girl I ve got that silver tongue Got got that silver silver tongue Drives you into delirium Got got that silver got that silver tongue like I m addicted to madness but what can I say I m addicted to badness but what can I do I got my silver tongue
Young the Giant,4j56EQDQu5XnL7R3E9iFJT,My Body,1KDYN3odJHnj9pqGHN3FVs, Stop the train is riding down to the station Where you lived when we were school kids Hey the rails are caught now and I am falling down Fools in a spiral round this town of steam My body tells me no But I wo nt quit cause I want more Cause I want more My body tells me no But I wo nt quit cause I want more Cause I want more Stop the train is riding down to the station Where I lived when I was a cool kid Hey is it my fault that the fallen embers burn Down in a spiral round your crown of thieves My body tells me no But I wo nt quit cause I want more Cause I want more My body tells me no But I wo nt quit cause I want more Cause I want more And it rides outta town Oh it s my road it s my road it s my road It s my road it s my road and it s my war It s my war it s my war it s my war His eyes are open His eyes are open Oh cause I want more I want more want more His eyes are open His eyes are open Hey hey hey My body tells me no But I wo nt quit cause I want more Cause I want more My body tells me no But I wo nt quit cause I want more Cause I want more And it rides outta town
Young the Giant,4j56EQDQu5XnL7R3E9iFJT,Simplify,4bsMM8V87y5igGk6urk6b7, Everything I say only seems to complicate it Every other fight is just another night wasted Are we gon na lose Is this gon na last Worry about the future worry about the past Think we re gon na break before I get a chance to say this Do nt wan na live without you Staring in your eyes everything simplifies Leave it all behind everything simplifies All we need is nothing more when everything simplifies You and I need nothing more everything simplifies Stressing over this stressing over that we re falling Like the whole world is banging on the door I m calling Are we gon na lose Is it gon na last Worry about the future worry about the past Filter out the noise focus on my voice and fall in Staring in your eyes everything simplifies Leave it all behind everything simplifies All we need is nothing more when everything simplifies You and I need nothing more everything simplifies Why must we complicate Every breath we take Why ca nt you see we ll be alright Nothing disappears Even the pain we ve been through But all I need is here Do nt wan na live without you All we need is nothing more when everything simplifies You and I need nothing more everything simplifies
Young the Giant,4j56EQDQu5XnL7R3E9iFJT,Something To Believe In,6L3VWDPDTQkQFkqvmpAUMU, It gets old when you talk to the sun In a tongue understood by no one Can it be that I hear what he s saying Is there a reason why I m still awake And he says I ve got you written in a black book by the railroad track You see I know your fate Ooh And I say You ve got to listen I m a songbird with a brand new track You underestimate I ll give you something to believe in Burn up the basement full of demons Realize you re a slave to your mind break free Now give me something to believe in Just give me Just give me something to believe in Everyday when I speak to the moon Pale as a ghost in the afternoon Tragedy has a hold of my mind But I can see the lie between the lines And I say You ve got to listen I m a songbird with a brand new track You underestimate I ll give you something to believe in Burn up a basement full of demons Realize you re a slave to your mind break free Now give me something to believe in Promise me See I m afraid I m a slave to my mind You give me something to believe in I ve got you written in a black book by the railroad track You see I know your fate Ooh And I say You ve got to listen I m a songbird with a brand new track You underestimate I ll give you something to believe in Burn up the basement full of demons Realize you re a slave to your mind break free Just give me something to believe in Just give me Just give me something to believe in
Young the Giant,4j56EQDQu5XnL7R3E9iFJT,Tightrope,7lLLFbYh5JpOTnQCetSfWn, When I was just a boy My momma told me Son You look so serious Smile and have some fun When I was seventeen My father let me know Life is nt fun and games Got ta sell your soul I do nt know how I ended up So close to where I started I went to war for peace of mind But what s it for I m dancing on a tightrope No time to mess around Just trying to let my mind go I m never coming down I found a preacher man To help me understand What we are doing here What comes after life And now the years have passed Been to the moon and back And all I ve realized No one knows a thing I do nt know how I ended up So close to where I started I went to war for peace of mind What was it for I m dancing on a tightrope No time to mess around Just trying to let my mind go I m never coming down I m never coming down I m never coming down Teachers always say stay in between the lines Mamma said be quiet if you ca nt say something nice Doctors always say take these pills for your health But now I ca nt remember how to think for myself I m dancing on a tightrope No time to mess around Just trying to let my mind go I m never coming down I m never coming down I m never coming down
Young the Giant,4j56EQDQu5XnL7R3E9iFJT,Heat of the Summer,649o53ULWYN1y7V2OI5kgo, No one can take me out of this mess I do it to myself I lost my phone my keys what else The acid does nt help I m paranoid as hell and I wan na Go home but there s no place to run Feel like it s been forever Since I had my shit together I just do what I wan na In the heat of the summer If I could roll up another Baby I could see in technicolor I just do what I got ta In the heat of the summer In the heat of the summer I ve got to figure something out But I do nt know where to start I found my keys under the couch But I m scared of going out Having all these doubts and I d rather Stay home cause there s no place to run Feel like it s been forever Since I had my shit together I just do what I wan na In the heat of the summer If I could roll up another Baby I could see in technicolor I just do what I got ta In the heat of the summer In the heat of the summer I ll be wasting time In the sunshine I ll be flying high In the summer time Feel like it s been forever Since I had my shit together I just do what I wan na In the heat of the summer If I could roll up another Baby I could see in technicolor I just do what I got ta In the heat of the summer In the heat of the summer
Young the Giant,4j56EQDQu5XnL7R3E9iFJT,Call Me Back,14KP6cmTImZmrcAC5m0Azd, When I was just a boy By the phone by the phone My head was stuck in the clouds Feet would not touch the ground You did nt have to leave that way Did nt have to leave that way Cause I was just Just a boy By the phone by the phone I m still holding on to all your promises Why d you tell me you were on your way back I ve been waiting so long Days have come and they ve gone Do nt leave me hanging Call me back call me back call me back call me back Baby call me back call me back call me back call me back I ve been waiting by the phone love I ve been waiting by the phone love So just call me back call me back call me back call me back You did nt have to be that way Did nt have to be that way Cause I was just Just a boy By the phone by the phone I m still holding on to all your promises Why d you tell me you were on your way back I ve been waiting so long Days have come and they ve gone Do nt leave me hanging Call me back call me back call me back call me back Baby call me back call me back call me back call me back I ve been waiting by the phone love I ve been waiting by the phone love So just call me back call me back call me back call me back
Young the Giant,4j56EQDQu5XnL7R3E9iFJT,Amerika,6pqKbOiVd58jcnxqIB10Ra, And so I ve arrived With gloat in my eyes Are you paying attention I was searching for something as I watched you run I was sad when you said that you never really wanted some Were you looking for someone as I watched you go Are you mad because I do nt know what you used me for I ve been looking for so long in America Throw my hands in the air Flash fade in Say you care but you dont You know I hate it It s a rich kid game and it ll blow up with a throw That s all that it really is I was searching for something as I watched you go I was sad when you said that you never really wanted some Were you looking for someone as I watched you go Are you mad because I do nt know what you used me for Always talking about one day in America Same old story you are poisoned I ve been looking for so long But you cut me out Throw my hand to the air cause I Look at us Old friends we were So generous But that rich kid pain what it is to be alone It s only really used I was searching for something as I watched you run I was sad when you said that you never really wanted some Were you looking for someone as I watched you go Are you mad because I do nt know what you used me for Always talking about one day in America Same old story you are poisoned In America in America In America in America In America in America
