Artist,Artist_id,Song,Song_id,Lyrics
A$AP Ferg,5dHt1vcEm9qb8fCyLcB3HL,Plain Jane,4dVpf9jZjcORqGTLUaeYj9, Ride with the mob Alhamdulillah Check in with me and do your job Ferg is the name Ben Baller did the chain Tourneau for the watch presi Plain Jane Yamborghini chain rest in peace to my superior Hermes link could feed a village in Liberia TMZ taking pictures causin mad hysteria Momma see me on BET and started tearin up Imma start killin niggas how you get that trife I attended Harlem picnics where you risked your life Uncle used to skim work sellin nicks at night I was only 8 years old watching Nick at Nite Uncle Psycho was in that bathroom buggin Knife to his guts hope Daddy do nt cut him Suicidal thoughts brought to me with no advisory He was pitchin dummy sellin fiends mad ivory Grandma had the arthritis in her hands bad She was poppin pills like rappers in society I fuck yo bitch for the irony I ll send Meechy at yo hoe if yo bitch keep eyein me Ride with the mob Alhamdulillah Check in with me and do your job Ferg is the name Ben Baller did the chain Tourneau for the watch presi Plain Jane Ride with the mob Alhamdulillah Check in with me and do your job Ferg is the name Ben Baller did the chain Tourneau for the watch presi Plain Jane Suck a nigga dick or somethin Suck a nigga dick or somethin Suck a nigga dick or somethin Suck a nigga dick or somethin Ima explain why you probably never seen me I m in a sunken place no Instagram I m watchin TV I think I trade my breakfast lunch and dinner for some kitty Please believe me I see RiRi Ima eat it like panini I go dumb up in the broad hit the walls like graffiti Indian burns all up on a nigga weewee I think I need a foursome Bella Kendall Gigi It d be easy if Reneezy hook it all up on the leezy I go crazy in my Yeezy Kirk Kneezy on the beat I told em now we finna glow up in the street Rappers talk subliminal but they do nt talk to me Put em in a Jersey shore like Pauly D Ride with the mob Alhamdulillah Check in with me and do your job Ferg is the name Ben Baller did the chain Tourneau for the watch presi Plain Jane Ride with the mob Alhamdulillah Check in with me and do your job Ferg is the name Ben Baller did the chain Tourneau for the watch presi Plain Jane Suck a nigga dick or somethin Suck a nigga dick or somethin Suck a nigga dick or somethin Suck a nigga dick or somethin
A$AP Ferg,5dHt1vcEm9qb8fCyLcB3HL,Ned Flanders (feat. A$AP Ferg),2EUNZfjPToKZIahK0WMLKd, K Swisha Ooh all of them bitches exotic Cars robotic we go retarded Hooh Hop in a foreign do nt need the top When I get home I need the top Wow Louis Vuitton when I leave the house Skrrt She got a ass and a greasy mouth Hooh She wan na twerk when I leave the house Wait Gucci that belt I do nt leave it out Wow brr Yeah I got standards diamond Ned Flanders ooh ooh Yeah KoolAid jammer uh cookie pack on camera yeah yeah Yeah Yeah I got standards uh diamond Ned Flanders ooh yeah Right KoolAid jammer Sauce cookie pack on camera yeah Alright She wan na twerk on my chain gettin that brain swerve in your lane uh I fuck her knock off her bonnet I had to get it I want it honest yeah Hooh Ooh private jet Nike tech she up next Check right When you a boss do nt take a loss count up a check That s right SoHo plate never late go on dates Hooh When you get up they hate uh Diamonds they drip like a lake Hooh Ollie a ten kickflip a eight nigga I skate Yeah Nigga I got standards uh diamond Ned Flanders ooh yeah Alright KoolAid jammer uh cookie pack on camera yeah yeah Yeah I got standards uh diamond Ned Flanders ooh yeah Alright KoolAid jammer uh Ferg hooh hooh hooh oh cookie pack on camera yeah Ayy I got standards suck on my nuts like Planters ooh yeah Right My bitch a dancer Hooh hop on the dick like a prancer ooh Hooh right Polluted Fanta flick with a Polaroid camera ooh yeah Yeah You talk outlandish put em in a holy field like Evander ooh yeah Yeah Got a new mansion new Ralph Lauren copped two ranches Diamonds is dancin Woo ice so cold got ta walk with a panda Yeah Your bitch so scandalous gim me that top with nohanded huh Brr I got standards Hooh I get the guap cop Margielas Yeah I got standards Right take your bitch hit the Ritz not no standin That s right Flow outlandish Hooh when Ferg on the track all you rappers ll vanish Hooh My bitch just landed Brr not a lick of English she speak Spanish Hooh Yeah I got standards Ooh diamond Ned Flanders ooh ooh Alright KoolAid jammer Sauce cookie pack on camera yeah yeah Yeah Yeah I got standards Gas diamond Ned Flanders ooh yeah Alright KoolAid jammer uh cookie pack on camera yeah Oh Yeah I got standards Ooh diamond Ned Flanders ooh ooh Alright KoolAid jammer Sauce cookie pack on camera yeah yeah Yeah Yeah I got standards Gas diamonds Ned Flanders ooh yeah Alright KoolAid jammer Sauce cookie pack on camera yeah Oh
A$AP Ferg,5dHt1vcEm9qb8fCyLcB3HL,Work REMIX,7xVLFuuYdAvcTfcP3IG3dS, I got ta close the window before I record Cause New York do nt know how to be quiet Stand up Coogi down to the socks like I m Biggie poppa baby Keep your girl head in my Tommy boxers But really though she a silly ho Cause you know the Fergenstein gettin plenty dough She do nt get nothin from a nigga though All she get is hard dick and some Cheerios Kinda silly though but I m lyrical Bet I put him in the dirt with the penny loafs No tint though on my window So you see a nigga shinin in the Benzo Ballin got me feelin like Jim Jones I m a pimp though No limp though could nt copy my style in Kinkos Put in work run up on a killer then I put him in the dirt Run up in the building semi gon squirt That s what a nigga get when they gettin on my nerves I ai nt lyin lay em on the curb Ridin on a killer who be comin at Ferg damn Girl you twerk twerk that kitty girl make it purr Put in work Flacko put em in the dirt French got the shovel he gon put him in the earth Trinidad maniac with an allgold hearse Yeah uh put in work ScHoolboy Q with a pound of the purp So much work he ll smoke up the Earth Polo Ground A AP World Haaan That ai nt Kanye That s Montana loose cannon He shot me so I had to do it Put him in the dirt put him in it first I just sold a swammy with ten homis on it Her ass fat you could park ten Tahoes on it When they mask up comin for your ice When they barefaced they comin for your life Baby do nt pray for me pray for the weak I m drinkin lean it help me sleep Illuminati I m from the streets Never sold my body we takin bodies Put in work put in work Put in work put em in the dirt Shout out that motherland 12yearsold with guns in hand They do nt ask no questions nigga All they do is bang bang bang They do nt ask no questions all they do is bang bang I said I do this for them shottas Trinidad I love ya I do this for them shottas Jamaica I m your brother I know a bitch from VI Yeahyeahyeah that s my partner You got a problem with it Thenthenthenthen that s your problem I fuck with Asian niggas and I fuck with Migos I fuck with Haitian niggas all they speak is Creole I said all I speak is real yall niggas might hate me But that do nt get no deal I said no that do nt get no deal I just now got my deal but I been gettin this money No green card in this struggle Immigration give you nothin but work put it in work YAWKYAWK YAWKYAWK A lot of niggas died should ve been from Hoover Street No I do not have a car but I could buy one every week Pimpin like I m 33 move keys like I m 36 Ship O s like I m 28 Tacoma know I m pushin weight OXY I m in your state Eatin off your dinner plate My heart live where Santa stay Super fly I need a cape Bitches throwin pussy back and forth they on my dick Passion drippin off her lip She say she never had a Crip Uh put in work all big booties make it twerk All big titties lift your shirt Show a player what you re worth Yeah put in work spray his ass in front of the church Deacon said I did my shit The pastor said That nigga turnt Pop my collar on my shirt Make these bitches go berserk Shippin units Captain Kirk Takin xannies poppin percs Might not last I ll bomb you first Turn your backseat to a hearse Back to the lab with mother Earth Had to give Young Ferg a verse A lot of homies cried due to crimes homicide Drivin by poppin nines Pakistan Columbine Outta line pistols barkin argh argh ride or die Write a script design a line all I see is dollar signs You want that pretty Flacko Ratchets designer jackets The same niggas who jack it Be the first who claim we faggots My bitch is a movie actress Side bitch won a beauty pageant Got a chick that worked at Magic But I m so damn fine make a bitch look average See my daddy in Heaven right next to Fergs You know what s up I m throwin bucks Loaded Lux put in work
A$AP Ferg,5dHt1vcEm9qb8fCyLcB3HL,"Runnin (with A$AP Rocky, A$AP Ferg & Nicki Minaj)",23dwrzeJtEEGl2U4CPWSor, Came up out the mud brush the dirt off of me Going hard hit them where it hurts kill them softly Bone stretch tryna clear my mind even smoke less Hopelessness but I m in this shit for flesh Talk reckless coming for your neck no strep throat Runnin runnin runnin this shit both legs broke Runnin round town yeah they comin for my head though Funny thing about it they do nt always see my head though Schizo maniac I m fiendin to go klepto So handson kinda hard for me to let go Let go stacking presidents like a LEGO Would introduce you to my friends but they dead though Came up out the mud brush the dirt off of me Ayo Runnin runnin runnin Ima take it like a klepto Anybody want it they can get it come correct though Talk behind my back but when they see me it s respect though Still got the crown so I never give a F though Everything is wavy Ima hit em with the breast stroke Then Ima get high Ima get the best dope Yeah I make the rules I ai nt following the dress code II ai nt do the mess though Ima put a hex though II ai nt with the hugs and kisses do nt do the XO Soon as the bell go ding doe I ll be in the ring though we can shoot cinco Look at all these clowns how they studying my lingo Peeking out the window but theyll never win though Came up out the mud brush the dirt off of me Going hard hit them where it hurts kill them softly Bone stretch tryna clear my mind even smoke less Hopelessness but I m in this shit for flesh Talk reckless coming for your neck no strep throat Runnin runnin runnin this shit both legs broke Runnin round town yeah they comin for my head though Funny thing about it they do nt always see my head though Imma flex yes I m the best I m the veteran Yeah In the Lex yes big baguettes in my necklace Woo In his head neck in his chest he gon catch a fist Right I go deck deck break his leg do it effortless Yeah In the ring ai nt no fucking game ai nt no Tetris Hit him bang Imma shake his brain I m gon never rest Durrrr Man I m air I m the fucking champ I ca nt fail at this Woowoo Money dance by the million bands I got hella grip Durrrr Hella chips with a lot of chics coming by the clique Mo sex with the Rolex come without a tip Yeah Mo grip when the dough flip gim me mo lick Whole fist break his whole shit tuck up lil bitch Getting fit Imma win the chip Watch them catch a fit
A$AP Ferg,5dHt1vcEm9qb8fCyLcB3HL,Westbrook (with A$AP Ferg),4Qj8gCa5dnj86sL0WIKdfa, Christo yeah Yo I was just trying to get me some money the other day I been so down on my luck I m humble in every way I stumbled on every step mumbled with every breath Do not repeat myself I will not re Okay good night to the cool kid say hi to the bad guy Eastside mad scientist we ride niggas dying Women throw pussy at me I never seen cats flying But never say never never say never we say whatever I done came up I done came up Came up Put your chains up and your rings up Rings up Fuck the other side Fuck em we do nt change up Nah All the homies ride they ca nt change us I done came up I done came up I done came up Switching lanes up and Im prayed up Fuck the other side we do nt change up Yeah All the homies ride you ca nt change us We hit the pack with the weed in the sack In the back in the black JID with the gat Go G s with the jeans on the straps on the scene with the lean get the cream how you been where you at Go Seen what I seen on the scene with the beam on a rat Do nt move there s a thing on your head Go Put a hole in that ball ting on your hat Go You a rat that s a cool thing to a cat Go Knock it out the park as I bing from the back But we get the ring then I be the king sittin satin Persian rugs so fly no Aladdin Go Serving drugs I got the pen and a pad Go Serving drugs I give her dick when she mad But she know that I rap I aint got time for the Madden Go She know that Im capping finna snap on these rap niggas And they react you get the rat from the ratchet Go I done came up I done came up Came up Put your chains up and your rings up Rings up Fuck the other side Fuck em we dont change up Nah All the homies ride they ca nt change us I done came up I done came up I done came up Switching lanes up and I m prayed up Fuck the other side we do nt change up Yeah All the homies ride you cant change us Yeahah Picture a nigga steppin into the game that s already lit Just add a little coal to flame it Lame niggas I got ta put it in layman s terms I m finna murder you niggas you better spread the word I bled words till my head would hurt The first to say it hurts to say I said it first Live life like a baby that was dead at birth But came alive and fucked the nurses If you do nt like it tell a nigga jump if you feelin Kermit If you sleepin on me we can make it permanent And leave em stinkin he a really permeate he really reeking JID or call me Willie Beamon But I m bout the team everybody eatin If it s down to me Ima do some shit niggas ai nt never seen Bitch I dunk the three Ashton Kutcher who s punkin me JID the butcher who want the beef Chop arm leg head package meat Sacrificial lamb satisfactory Smack him with the hand do nt talk back to me Ima be the man Ima kill a king I done been a fan now I need wings I done seen your hand now I need rings Okay I m fired up I m really fired up I m feeling wide open losing my mind bro Gim me the time bro cause I m a time bomb Coming from mine bro see what you lyin for Taking a time up I m feelin fired up I m really fired up wait Okay I m fired up I m really fired up I m feeling wide open losing my mind bro Gim me the time bro cause I m a time bomb Coming from mine bro see what you lyin for Taking a time up I m feelin fired up I m really fired up wait Fired up You got two niggas sittin down to eat right Niggas sittin down at the table to eat And they got the same food and they got the same utensils You dig what I m sayin One nigga let his food go cold watching another nigga eat You know what I m sayin And that s how all this shit be starting envy Another nigga lookin at what another nigga Wanting what another nigga got when he got utensils And a share of his own you dig what I m sayin All this started when a nigga get in power and a nigga be shittin on a nigga That where all this shit be stemming from
A$AP Ferg,5dHt1vcEm9qb8fCyLcB3HL,Plain Jane REMIX,2YzmfPLqUx5CJOaw5ThsBV, Young Money Ayo Ferg Yeah Ride with the mob Alhamdulillah Check in with me and do your job Ferg is the name Ben Baller did the chain Tourneau for the watch presi Plain Jane Yamborghini chain rest in peace to my superior Hermes link could feed a village in Liberia TMZ taking pictures causin mad hysteria Momma see me on BET and started tearin up Imma start killin niggas how you get that trife I attended Harlem picnics where you risked your life Uncle used to skim work sellin nicks at night I was only 8 years old watching Nick at Nite Uncle Psycho was in that bathroom buggin Knife to his gut hope Daddy do nt cut him Suicidal thoughts brought to me with no advisory He was pitchin dummy sellin fiends mad ivory Grandma had the arthritis in her hands bad She was poppin pills like rappers in society I ll fuck yo bitch for the irony I ll send Meechy at yo hoe if yo bitch keep eyein me Ride with the mob Alhamdulillah Check in with me and do your job Ferg is the name Ben Baller did the chain Tourneau for the watch presi Plain Jane Ride with the mob Alhamdulillah Check in with me and do your job Ferg is the name Ben Baller did the chain Tourneau for the watch presi Plain Jane Suck a nigga dick or somethin Yeah Suck a nigga dick or somethin You already know Harlem Suck a nigga dick or somethin Queens Suck a nigga dick or somethin Queens for the Kings of the Queens Ayo Ima explain why you prolly never see me I push a Lamborghini chocha magic like Houdini My body shaped like Jeannie booty dreamy waist is teeny Yes I told him to get TIDAL so he stream me when he leave me I go hard in the booth Biggie vibes gim me the loot Im a classy millionaire bitches aint got the couth COUTH cause you cant spell it either If I call him then he comin home runnin Derek Jeter Bitches must be eatin ass because I swear theyre bottom feeders Hoe you know that you my son I shoulda scrapped you as a fetus All these bitches rockin inches cause they followin the leader I should switch it up on hoes and rock a Afro like Lupitas I dont keep up with the Joneses but I do know Catherine Zeta Im with Candice TT Thembi and Viola mi amiga Rap bitches they got ta check in with the Queen Im the Alpha the Omega everything in between uh Ride with Minaj mmh Mashallah Check in with me then do your job Queen is the name Rafaello did the chain This is Monse Patty Plain Jane Ride with Minaj mmh Mashallah Check in with me then do your job Queen is the name Rafaello did the chain This is Monse Patty Plain Jane Eat a Barbie ass or somethin Eat a Barbie ass or somethin Eat a Barbie ass or somethin Eat a Barbie ass or somethin Brrt Kirk Kneezy on the beat Yo you know this here for the city nigga Gold chains Plain Janes and all that good stuff
A$AP Ferg,5dHt1vcEm9qb8fCyLcB3HL,Boca Raton (with A$AP Ferg),72ic9IhRix05fIkRzGGMXD, I m out in Boca Raton I m sippin Roca Patron I got this chick on the phone Talkin bout life and how I just ai nt right for herI been inclined to agree Cause all I been doin is me now I ca nt be your one baby girlnah But I play the two or the three now Give her the dick and I m gone I m like a tickin time bomb I m on the road grind time for the dough it s my time She cheer me onpompoms She good for the soul she good for the mind She help me get foundTomTom She help me eat cleanbalsamic She might end up meetin my mama Let s take it back like western time zones Used to call you up to share my milestones Now you hear my voice and sound annoyed Might as well be talkin to the dial tone I been living dreams it ai nt what it seems Splittin at the seam when it Splittin at the seam when it come to you I m out in Boca Raton I m sippin Roca Patron I got this chick on the phone Talkin bout life and how I just ai nt right for herI been inclined to agree Cause all I been doin is me now I ca nt be your one baby girlnah But I play the two or the three now Ayy I flew out to Boca Raton Yeah Had to meet my nigga Bas Uh He took a break from the road Yeah Decided to party with Cozz Had to get away from the cold Right The Winter was killin my vibe Just got off the phone with J Cole Told him that I m with the guys Wooh wooh wooh Look in my eye I m seein life through Versace Ayy Dippin in the Mazi bout to eat Hibachi Now with the pass the Courvoisier Ayy Sippin till I m sloppy Ayy ayy fuck her till she knock knees I put a hurtin on her nani Yeah Anaconda through her body got her screamin Golly Dale boom dale Huh She a work of art like a Salvador Dali Ayy ayy It s like a Prada robbery Nothing but designer when you go shoppin You want the Zonda or Rari We could get both so you know this shit poppin Ayy ayy Feelin like Tommy in Belly when Keisha and him got it poppin Ayy ayy Put her head in my tummy Boca Raton I ai nt leavin this party Ayy ayy I ca nt help the way you think when I m not with you I m not with the way you think when I m not with you Baby we know just what we got Only we know just what we got I ca nt help the way you think when I m not with you I m not with the way you think when I m not with you Baby we know just what we got Only we know just what we got I m out in Boca Raton I m sippin Roca Patron I got this chick on the phone Talkin bout life and how I just ai nt right for herI been inclined to agree Cause all I been doin is me now I ca nt be your one baby girlnah But I play the two or the three now Fiends
A$AP Ferg,5dHt1vcEm9qb8fCyLcB3HL,Shabba,7eaKWfov7b2Qa2n6HTesL3, Short nigga but my dick tall What I told your bitch dog Only thug nigga down at the Pitchfork Dirty van bitches wan na suck my dick off Pop a Xanny for a penny Get to hit floor run up in this shit raw I got a girl I ai nt never got no fuckin condoms If she caught me then that bitch would be pissed off Real nigga shit Fergy be mobbing all day prolly with Marty or Jay Them my niggas from back in the day Tarzan ai nt showing his face He prolly the one with the K fronting then he letting it spray Two shots to a bumboclaat man Shabba Ranks let it go to your brain Front then he coming your way let the semi dumpdump then he coming your way Dump when the bad man come my yute do nt ramp with me Coupe full of bad hoes they all wan na come with me You got a coupe with a sad ho cause she wan na come with me Shabba ShabShabba Ranks ShabShabShabba Ranks Eight gold rings like I m ShabShabba Ranks Four gold chains like I m ShabShabba Ranks One gold tooth like I m ShabShabba Ranks ShabShabba Ranks ShabShabShabba Ranks Eight gold rings like I m ShabShabba Ranks Two bad bitches like I m ShabShabba Ranks One gold tooth like I m ShabShabba Ranks Skinny nigga but my dick long Pause Stank puss make my dick soft Probably bumping R Kelly sipping Cristal So you know the whole world getting pissed on I do nt really give a fuck if you pissed off I just bought a Mac11 from the thrift store Traded for my gold chain and my pistol Shoot a rocket make a mothafucka lift off Let s go Flacko be mobbing all day With niggas that s chopping that yay They chopping them choppas they handle my problems Cause niggas be plotting these days But the Rari kinda fast though she told me pump my brakes You stuck with a fat ho and she wan na stuff her face To all of my Dominican girls dem all of my Caribbean girls dem All my West Indian girls dem I done fucked a million girls damn With a little ting a ling ling school bell a ring Hit her with my dingalingaling maybe run a train And tell her that my niggas wan na bang and a little brain And she wan na hang with the gang with a nigga named Shabba ShabShabba Ranks ShabShabShabba Ranks Eight gold rings like I m ShabShabba Ranks Four gold chains like I m ShabShabba Ranks One gold tooth like I m ShabShabba Ranks ShabShabba Ranks ShabShabShabba Ranks Eight gold rings like I m ShabShabba Ranks Two bad bitches like I m ShabShabba Ranks One gold tooth like I m ShabShabba Ranks I was broke last week but today be a new day Mothafuckas like cavities cause them niggas be too fake Walk in this bitch with the new Wang looking like Liu Kang With a blonde bitch that wan na snoop cane Then she get the Batman like Bruce Wayne Master Bruce I be mobbing with the A til my whole body decay I do nt give a fuck what you say my whole team like a parade Twelvyy got bags of the haze Illi be smoking all day Me and Rock run trains on the ho he be like Bitch do nt touch my braids Ty Beats in VA putting producers in graves Yams got a bottle of Henny going straight to the face Ty Nast got a bad ho but she s tryna come my way But he got my last ho so shit man it s okay Shabba ShabShabba Ranks ShabShabShabba Ranks Eight gold rings like I m ShabShabba Ranks Four gold chains like I m ShabShabba Ranks One gold tooth like I m ShabShabba Ranks ShabShabba Ranks ShabShabShabba Ranks Eight gold rings like I m ShabShabba Ranks Two bad bitches like I m ShabShabba Ranks One gold tooth like I m ShabShabba Ranks ShabShabba Ranks ShabShabba Ranks ShabShabba Ranks ShabShabba Ranks
A$AP Ferg,5dHt1vcEm9qb8fCyLcB3HL,New Level,25rc1PFgPvtV6GFSloyOI0, I m on a new level I m on a new level I m on a new level I m on a new level Bought me a new shovel put these niggas in the dirt Chain with the new bezel all my niggas put in work I m on a new level I m on a new level I m on a new level I m on a new level Bought me a new shovel put these niggas in the dirt Chain with the new bezel all my niggas put in work Used to be sleeping on itchy beds Bed bugs in the motel now your bitch give me head Twenty bitches in the hotel on a ramen noodle diet Tour life was nt so well All my niggas starting riots moshpitting on your toe nails Uncle T doing so well first class from a old jail T Ferg did fifteen in the feds getting no mail My daddy died and my cousin too They did nt let them out of no cell Provide jobs for my whole block I can not slow down Nigga I wo nt stop now mothafucka this is my town Take the block make it hot now 143rd with the drop down Icy chain with the watch now third piece full of rocks now Niggas squint when they watch now leveling up to the top now I m on a new level I m on a new level I m on a new level I m on a new level Bought me a new shovel put these niggas in the dirt I m on a new level all my niggas put in work I m on a new level I m on a new level I m on a new level I m on a new level Bought me a new shovel put these niggas in the dirt Bought me some new bezels all my niggas put in work Bought me some better bezels Man and went to see my jeweler woo and I re d up Went and bought some new jewels Hit the car dealer woowoo re d up Who knew we would blow up like nitro now these bitches need us Woo I just tasted molly on me Lord knows I just re d up Dib and dab in this some new designer I just dib and dab with the semi tucked You on the red carpet surrounded by pop stars trying to act tough I got ta Actavis on me nigga and I po d up They say that we could nt smoke in this bitch And we fucked around and still rolled up I m on a new level I m on a new level I m on a new level I m on a new level Bought me a new shovel put these niggas in the dirt Chain with the new bezel all my niggas put in work I m on a new level I m on a new level I m on a new level I m on a new level Bought me a new shovel put these niggas in the dirt Chain with the new bezel all my niggas put in work Daddy looking down I know he see me blowin up My grandma would be so proud Up in Heaven Yamborgini know my brother see me Ima make my bro proud Tell his mama Ima take her outta work Know that Ima hold my bros down A AP till a nigga die If you didnt know well you know now I got ta get in my zone now I got ta get in my zone now Only a couplea more down Momma gon get a new home now Teach Marty Baller how to be a boss So none of us ever go broke now Ima bring you to the water swim nigga I can not bring you the boat now I m on a new level I m on a new level I m on a new level I m on a new level Bought me a new shovel put these niggas in the dirt Chain with the new bezel all my niggas put in work I m on a new level I m on a new level I m on a new level I m on a new level Bought me a new shovel put these niggas in the dirt Chain with the new bezel all my niggas put in work My wardrobe is Tiffany Stones I m really putting on Talking back to a King bitch does not get condone I m on a new level That means I just caught me a new check I got them new bezels Then I went and bought me a new tech
A$AP Ferg,5dHt1vcEm9qb8fCyLcB3HL,What Do You Do,4gpmL5xSZeHssgyIP3UuPS, What do you want Cut my grass low see the snakes all in my lawn Tell me what you want got a party inside my trunk What do you want All my haters mad that I m on A AP with XO tell me what else do you want What do you want Is it a car with the stars Tell me what you want what do you want What do you want XO with A AP tell me what else do you want She licking the tip she put it on her tongue She smoking my dick she coughing up her lung Please do nt run please do nt run She open her leg I eat that thing for lunch I get in her zone I give her the bone I tell her Let s have fun A couple of rounds a 5 to 4 to 3 to 2 to 1 They come to my house that booty bounces like it s 3 to 1 Feeling my touch fucking that bitch and she s licking my nuts It s no love riding that coupe cause she s filling my life Baby it s my life snakes in that grass and I tell you no lie You ride or die tonight Do nt tell me no lie look in my eye What do you want Cut my grass low see the snakes all in my lawn Tell me what you want got a party inside my trunk What do you want All my haters mad that I m on A AP with XO tell me what else do you want What do you want Is it a car with the stars Tell me what you want what do you want What do you want XO with A AP tell me what else do you want Try to diss me and take my lane you wo nt go far Got an ounce and the hammer wrist out my Goyard Went from one papers to smoking by the jar Just cause it s Japanese do nt mean that that s a foreign car Growing up in Southside Rexdale was nt fun Just happy walking on some people on the run Should nt have a clean record with the shit I ve done I wo nt say shit cause I know how to bite my tongue I flew Frost to LA when he landed get whatever he want I m smoking by the pound with him I m smoking by the ton Gave him a diamond chain cause Ima make another one Switch your girl she saw me in a Ghost I asked her what she want Cut my grass low see the snakes all in my lawn Tell me what you want got a party inside my trunk What do you want All my haters mad that I m on A AP with XO tell me what else do you want What do you want Is it a car with the stars Tell me what you want what do you want What do you wantXO with A AP tell me what else do you want
