Artist,Artist_id,Song,Song_id,Lyrics
Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,Pride and Joy,1a2iF9XymafjRk56q7oCxo, Unfortunately we are not licensed to display the full lyrics for this song at the moment Hopefully we will be able to in the future Until then how about a random page
Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,Little Wing,5XNpdKmlLJPUbwKQceX2tW, Instrumental
Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,Texas Flood,5MtN38MGEWJt60LwtBmFNP, Well it s floodin down in Texas All of the telephone lines are down Well it s floodin down in Texas All of the telephone lines are down And I ve been tryin to call my baby Lord and I ca nt get a single sound Well dark clouds are rollin in Man I m standin out in the rain Well dark clouds are rollin in Man I m standin out in the rain Yeah flood water keep a rollin Man it s about to drive poor me insane Well I m leavin you baby Lord and I m goin back home to stay Well I m leavin you baby Lord and I m goin back home to stay Well back home I know floods and tornados Baby the sun shines every day
Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,Mary Had a Little Lamb,0nFZ2HQRnIxiwraCm2X6Uq, Mary had a little lamb Its fleece was white as snow yeah Everywhere the child went The little lamb was sure to go yeah He followed her to school one day And broke the teachers rule What a time did they have That day at school Tisket tasket A green and yellow basket Sent a letter to my baby On my way I passed it
Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,Tin Pan Alley (AKA Roughest Place in Town),7zto61V8ySp03Qi6X1LU2X, Went down to Tin Pan Alley To see what was goin on Things was too hot down there Could nt stay very long Hey hey hey hey Alley s the roughest place I ve ever been All the people down there Livin for their whisky wine and gin I heard a woman scream Yeah and I peeped through the door Some cat was workin on Annie with a Lord with a twobyfour Hey hey hey hey Alley s the roughest place I ve ever been All the people down there Livin for their whisky wine and gin I heard a pistol shoot Yeah and it was a 44 Somebody killed a crap shooter Cause he did nt shake rattle and roll Hey hey hey hey Alley s the roughest place I ve ever been All the people down there Killin for their whisky wine and gin I saw a cop standing With his hand on his gun He said this is a raid boy Nobody run Hey hey hey hey Alley s the roughest place I ve ever been Yeah they took me away from Alley Lord they took me right back to the pen
Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,Lenny,0h4jHdNzUrV9eGR2PT5R8c, Instrumental
Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,Love Struck Baby,5MVMARaMoclifNmBtPu0dD, Unfortunately we are not licensed to display the full lyrics for this song at the moment Hopefully we will be able to in the future Until then how about a random page
Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,Cold Shot,3QwDN08fGnGfRrsn5wLTej, Once was a sweet thang baby held our love in our hands Now I reach to kiss your lips the touch do nt mean a thing And that s a cold shot baby yeah that s a drag A cold shot baby I let our love go bad Remember the way that you loved me do anything I say Now I see you out somewhere you wo nt give me the time of day And that s a cold shot darlin yeah that s a drag That s a cold shot baby we let our love go bad I really meant I was sorry for ever causin you pain You showed your appreciation by walkin out anyway And that s a cold shot baby yeah that s a drag That s a cold shot baby we let our love go bad Do nt let our true love run cold baby
Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,Life by the Drop,1cyftogE58xHzSgb77zcsn, Hello there my old friend Not so long ago it was till the end We played outside in the pourin rain On our way up the road we started over again You re livin our dreams O you on top My mind was achin Lord it wo nt stop That s how it happen livin life by the drop Up and down that road in our worn out shoes Talkin bout good things and singin the blues You went your way and I stayed behind We both knew it was just a matter of time Livin our dreams O you on top My mind was achin Lord it wo nt stop That s how it happens livin life by the drop No wasted time we re alive today Churnin up the past there s no easier way Time s been between us a means to an end God it s good to be here walkin together my friend Livin our dream My mind stopped achin That s how it happen livin life by the drop That s how it happen livin life by the drop That s how it happen livin life by the drop
Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,Scuttle Buttin',18PhtDBBYxE0vN4YvsZnMy, Instrumental
