Artist,Artist_id,Song,Song_id,Lyrics
Walker Hayes,7sKxqpSqbIzphAKAhrqvlf,90's Country,4VVvKg5swvHf34JI7uwL2L, Strawberry wine on your lips got me amazed How bout you let this cowboy take you away Gim me that wink Ima give it right back You know you like it you love it you want some more of that You make me smile like I did when we were radio kids Catching that countdown on Sunday all the way to one day When it was Do you love me If you do check yes please Girl you know you think my tractor s sexy Got me spinning like a jukebox junkie Making me feel like 90 s country You make me feel like 90 s country Shake it vidalia Queen of my double wide trailer Million songs I could list you But I m just gon shut up and kiss you You see that water tower Girl we can dream on it Ima paint your name in John Deere green on it I I cross my heart I ai nt no walkaway Joe I m gon na get you to the church on Cumberland Road And you get sweeter with time Just like that bottle of wine Might be a little dust on it but Wo nt it taste so fine Just like you Do you love me If you do check yes please Girl you know you think my tractor s sexy I m sold to the lady in the front seat Making me feel like 90 s country You make me feel like 90 s country Shake it vidalia Queen of my double wide trailer Million songs I could list you But I m just gon shut up and kiss you You make me feel like 90 s country You know you re beautiful do nt act like you dont Ai nt settling for no burger and no grape snow cone not tonight Do you love me If you do check yes please Girl you know you think my tractor s sexy I ai nt in it for your daddy s money You make me feel like 90 s country You make me feel like 90 s country Shake it vidalia Queen of my double wide trailer Million songs I could list you But I m just gon shut up and kiss you Baby do nt be stupid you know I love you Blame it all on my roots when I turned up at 90 s country
Walker Hayes,7sKxqpSqbIzphAKAhrqvlf,You Broke Up with Me,5jZF1nvKORdaHNjNNMRbFl, Well I got some Coke in my bourbon Surfin the room like Swazye No I ai nt drunk I m amazing Yeah I got that laid way way back back in my swagger XFactor feeling no pain I m at the top of my game Darlin you ca nt crash my party with your sorry s and what are wes Do nt start raining on my Mardi Gras parade for a minute I ai nt even fixin to listen to your guilt trippin You re forgettin girl you made your bed and did nt want me in it Hey Whoa girl simmer on down a notch Ai nt nobody makin you watch me get my forget you on No girl ca nt touch my good as gold I know it s difficult to see me on a roll But hey you broke up with me Yeah what can I say babe you broke up with me Guess you do nt know what you want Til you see em movin on Making lonely look like freedom Baby do nt even act like I m doing something wrong If my song comes on and I get lost on that dance floor In somebody s arms that ai nt yours You ca nt crash my party with your sorry s and what are wes Do nt start raining on my Mardi Gras parade for a minute I ai nt even fixin to listen to your guilt trippin You re forgettin girl you made your bed and did nt want me in it Hey Whoa girl simmer on down a notch Ai nt nobody makin you watch me get my forget you on No girl ca nt touch my good as gold I know it s difficult to see me on a roll But hey you broke up with me Yeah what can I say babe you broke up with me For real babe ai nt tryin to rub it your face I m just breakin off a little cold hard truth It is what it is girl you did what you did girl I m just doin what a bachelor do Darlin you ca nt crash my party with your sorry s and what are wes Do nt be raining on my Mardi Gras parade for a minute I ai nt even fixin to listen to your guilt trippin You re forgettin girl you made your bed and did nt want me in it Hey Whoa girl simmer on down a notch Ai nt nobody makin you watch me get my forget you on No girl ca nt touch my good as gold I know it s difficult to see me on a roll But hey you broke up with me Yeah what can I say babe you broke up with me You broke up with me Yeah what can I say babe You broke up with me
Walker Hayes,7sKxqpSqbIzphAKAhrqvlf,Shut Up Kenny,6tn2Atd1S4DVoQnls5x4SR, You got ta be kidding me Chesney Every time I turn the ignition You re on the radio again and in the shotgun of my vision There she is where she was where she s not Thanks a lot man Ai nt like my heart needs your help in the breaking department Yeah she s already got that taken care of No offense but Shut up Kenny Leave me alone Keep your songs to yourself Why you got ta sound just like she felt When your stuff was the shit we drove around to And even your sad songs were fun to make out to Cmon Kenny Man you know I like your music But I hate the way I love the way it hurts when I listen to it I know I need to rip the radio out the dash but I cant Damn Shut up Kenny Kenny please Hell even your new tracks hurt Your voice is like a mean time machine it only goes backwards Ai nt a station you ai nt on need to change it but I do nt really want to I just keep loving her And hating you Shut up Kenny Leave me alone Keep your songs to yourself Why you got ta sound just like she felt When your stuff was the shit we drove around to And even your sad songs were fun to make out to Cmon Kenny Man you know I like your music But I hate the way I love the way it hurts when I listen to it I know I need to rip the radio out the dash but I cant Damn Shut up Kenny Shut up Kenny Leave me alone Keep your songs to yourself Why you got ta sound just like she felt When your stuff was the shit we drove around to And even your sad songs were fun to make out to Cmon Kenny Man you know I like your music But I hate the way I love the way it hurts when I listen to it I know I need to rip the radio out the dash but I cant Damn Shut up Kenny You re on the radio again and in the shotgun of my vision There she is where she was but she s not Thanks a lot man Ai nt like my heart needs your help in the breaking department
Walker Hayes,7sKxqpSqbIzphAKAhrqvlf,Craig,6YmWSu43kuuKGoYYgHrb1r, I met Craig at a church called Redeeming Grace Like he understood my I do nt want to be here face I felt out of place and I smelled like beer But he just shook my hand said I m glad you re here He said we ll all be judged But he was never judgemental And even though my songs do nt belong in no hymnal He d quote me my lyrics slap me on the back Said Man you ve got a gift How you write like that I know he sounds cool right Not your typical kid from Sunday School right I still ai nt figured out church yet But Craig I get Nah he ca nt walk on water turn the Napa Valley red But he just might be tight with a man that did Yeah he s not the light of the world But I wish that mine was bright as his Yeah he just might be tight with a man that is You lose a record deal all the perks fade fast Dealership said We re going to need to get that minivan back So we were down on one car And broke as I felt My wife and six kids with only five seat belts I needed help but could nt admit I was strong Said Craig it s all good But he knew it all wasnt A Hey man I m praying for you would ve been sufficient but nah He took roadside assistance to a Whole other level to sacrificial heights Showed up at the ballpark after my son s game one night In two cars with his wife Barb watching from the other Said What in the world are yall doing here brother He just laughed inside that old Chrysler Town and Country van With the keys and a title and a pen in his hand Said Man all you got to do is sign and it s yours I said No no way But he would nt take No for an answer Said Please do Somebody did this for me once just let me do this for you We argued about it for a little while Then I teared up and Craig smiled I know he sounds cool right Not your typical kid from Sunday School right Nah he ca nt walk on water turn the Napa Valley red But he just might be tight with a man that did Yeah he s not the light of the world But I wish that mine was bright as his Yeah he just might be tight with a man that is Nah he s not the light of the world But I wish that mine was bright as his Yeah he just might be tight with a man that is My pride was way too ashamed to be adequately grateful at the moment But I signed the dotted line and I drove the kids home And when the cop pulled up beside us At the light they did nt have to duck Because thanks to Craig They were all buckled up
Walker Hayes,7sKxqpSqbIzphAKAhrqvlf,Beautiful,3p7jTvpFiB4D6lUKUqMIFm, Rode all the way down memory lane where 65 ends Wonderin how it d feel to see the one that got away again Hopin it might go down like that hometown unanswered prayer My hero sang about on an old burned CD we shared Somethin on the interstate told me I was headed straight for your pretty storm That the hurt was still gon na be there just like your name on my arm Even got real with a girl I chill with up in Chapel Hill Told her you were gon na be here just in case my heart was still in Mobile Baby why do you have to be so beautiful Baby why do you have to be so beautiful Ai nt no tellin girl how long it s been since we did all that shoutin Prolly 10 months 27 days somethin like that but hey who s countin Oh you know just livin the dream home is where the bus is I could say time looks fine on you but it would nt do it justice it would nt do it justice Baby why do you have to be so beautiful Baby why do you have to be so beautiful I do nt think your stomach s supposed to hurt quite like this When you run into a girl you forgot you missed It s like space between us only made me numb Thought I could just see you and be okay but I m not okay girl Tell me that smile on your face is so fake and that It s all comin back comin back comin back I just have to ask have to ask have to ask Baby why do you have to be so beautiful Baby why do you have to be so beautiful Baby why do you have to be so beautiful Baby why do you have to be so beautiful
Walker Hayes,7sKxqpSqbIzphAKAhrqvlf,Mind Candy,757rG9shgthZL90sv0Mswx, Do nt know what your perfume was called But sometimes when I m walking through the mall I get a little hit of whatever it was And I take a little trip back to twothousand and us Learnin whatcha learn behind the gym I can see you bite your lip again and again Like It s 308 on a Tuesday afternoon in Mobile 22 minutes left to kiss till I got ta get to the football field damn Just like that Willie song Girl you re always on my Mind candy sideline candy Pretty post game dose with a lime candy Little piece of why school was high Make a pop rock wan na be my Valentine candy sublime candy Back seat back in time candy Ca nt help but smile like I stole it Every breath you took baby I still hold it 17 years new in that used Blazer All that yesterlove I savor Baby you re my go to flavor Mind candy my mind candy my my I said mind candy my mind candy my my Felt like a king with my Mardi Gras date Up on my shoulders at all of the parades My queen you made it rain beads on the square And all the guys stood behind us watchin your fineness up there And I did nt even care Mind candy sideline candy Pretty post game dose with a lime candy Little piece of why school was high Make a tic tac wan na be my Valentine candy sublime candy Back seat back in time candy Ca nt help but smile like I stole it Every breath you took baby I still hold it 17 years young in that theater Whisperin we ll just rent it later Baby you re my go to flavor Mind candy my mind candy my my I said mind candy my mind candy my my My train of thought derails Down that rain rinsed azalea trail Past your waistband elastic when our rock was nt classic yet I can almost kiss your neck Taste you on my breath Mind candy my mind candy my my Mind candy my mind candy my my Mind candy sideline candy Pretty post game dose with a lime candy Little piece of why school was high Make a pop rock wan na be Valentine candy sublime candy Back seat back in time candy Ca nt help but smile like I stole it Every breath you took baby I still hold it 17 years new in that used Blazer All that yesterlove I savor Baby you re my go to flavor Mind candy my mind candy my my I said mind candy my mind candy my my Mind candy my mind candy my my Mind candy my mind candy my my
Walker Hayes,7sKxqpSqbIzphAKAhrqvlf,Halloween,0dKwVCi0hOtIX3dCIMrHuU, Before I even learned to play a note I was on stage Mastering the art of selling myself at a young age Fear and insecurity drove me like a Maserati High school was like showing up at a costume party I was a comedian an athlete A golden boy a black sheep Whatever I had to be to make the world throw candy at me And college was the same act different play It was October 31st every day And the real world was an all too familiar street Another trick another treat Then I knockknockknocked on your door Every mask I ever wore Shattered like glass on the floor And it was like Halloween ended To all the people I pretended to be Rest in peace rest in peace rest in peace Halloween ended To all the people I pretended to be Rest in peace rest in peace rest in peace Hell I do nt know why I m like this But what would it change if I knew Maybe my parents messed up But hey they re just dressed up kids too Maybe I guess what I m trying to say is I love you For being somebody I m not ashamed to introduce my skeletons to I still put on my Superman cape and hide in it But when I m with you it comes untied for a minute Hits the ground in the shadow of your skin For the first time I was comfortable in mine When I knockknockknocked on your door Every mask I ever wore Shattered like glass on the floor It was like Halloween ended To all the people I pretended to be Rest in peace rest in peace rest in peace Halloween ended To all the people I pretended to be Rest in peace rest in peace rest in peace When I knockknockknocked on your door Every mask I ever wore Shattered like glass on the floor When I knockknockknocked on your door When I knocked on your door Every mask I ever wore Shattered like glass on the floor It was like Halloween ended To all the people I pretended to be Rest in peace rest in peace rest in peace Halloween ended To all the people I pretended to be Rest in peace rest in peace rest in peace Halloween ended When I knockknockknocked on your door To all the people I pretended to be Halloween ended Rest in peace rest in peace rest in peace When I knockknockknocked on your door Halloween ended When I knockknockknocked on your door To all the people I pretended to be Halloween ended When I knockknockknocked on your door Rest in peace
Walker Hayes,7sKxqpSqbIzphAKAhrqvlf,Prescriptions,30XDsaSGSxbzcEwgPCf1KJ, I m trying to be mature in this situation And just be glad that you re smiling with my replacement I wan na wish yall the best and not even be lying But nah I hope I cross your mind When you re halfdrunk halfasleep lying in his bed And you go to say his name and end up saying mine instead And you promise him it s nothing but it gets up in his head and he ca nt let it go uh oh And yall fight about it all night about it Wake up bloodshoteyed about it Cuz you cried about it and you re sick about it And he ca nt stop being pissed about it Or forget about it or forgive about it Relationship goes to shit about it And you bitch about it to your sister bout it And you see your therapist about it but She ai nt got nothing to prescribe you Except prescriptions Just kidding kinda Ai nt trying to be a jerk it s just my weird way of coping One of my mechanisms to BandAid the broken I know I m projecting I Googled that word But I still hope one night when youre Halfdrunk halfasleep lying in his bed And you go to say his name and end up saying mine instead And you promise him it s nothing but it gets up in his head and he ca nt let it go uh oh And yall fight about it all night about it Wake up bloodshoteyed about it Cuz you cried about it and you re sick about it And he ca nt stop being pissed about it Or forget about it or forgive about it Relationship goes to shit about it And you bitch about it to your sister bout it And you see your therapist about it but She ai nt got nothing to prescribe you Except prescriptions Just kidding kinda
Walker Hayes,7sKxqpSqbIzphAKAhrqvlf,Beckett,2DAnypehXL8AwvBPImEtkD, My name s Beckett and I m 4 Well cereal s his favorite food group Doin the Heisman with a box of Fruit Loops Spoon hangin off his nose just cause he can Bedhead like Edward Scissorhands Damn proud of that belly button Ai nt suckin it in for nothin 4 years old looks like fun to me When I grow up I wan na be like Beckett Eatin breakfast butt naked Ai nt even tryin to be famous Just wonderin where his airplane is Do nt know if he s rich or poor Says it s cool that the girl next door Has skin like chocolate When I grow up when I grow up I wan na be like Beckett Where s my airplane I like the fat Froot Loops You get it B Shakes it when there ai nt no music Takes advantage of the bathtub acoustics Little Foo Fighter with a shampoo mohawk Owns it with no alcohol Do nt know the minute hand from the hour I see a weed he sees a flower Prays like he s on the phone with Jesus When I grow up I wan na be just like Beckett Eatin breakfast butt naked Ai nt even tryin to be famous Just wonderin where is airplane is Do nt know if he s rich or poor Says it s cool that the boy next door Has two dads and three pets When I grow up when I grow up I wan na be like Beckett Where s my airplane I like the fat Froot Loops Wan na be just like you Beck Come on B He likes the fat Froot Loops When I grow up when I grow up I wan na be like Beckett Eatin breakfast butt naked Ai nt even tryin to be famous Just wonderin where his airplane is Do nt know if he s rich or poor Says it s cool that the girl next door Has a dot on her forehead When I grow up when I grow up I wan na be like Beckett Where s my airplane I like the fat Froot Loops Wan na be like you Beck You get it get it that s right He likes the fat Froot Loops
Walker Hayes,7sKxqpSqbIzphAKAhrqvlf,Beer in the Fridge,31Q8Tl6tWidh6FIOXDlpAf, I ran into your mom at church She said I ve been praying for you Guess now that you ve moved on She ai nt mad at me no more The magnolias on old Shell Road smell so bittersweet Sometimes I still wan na get messed up But you d be proud of me There s a beer in the fridge last of 12 Sole survivor of my last allnighter In the back of the bottom shelf It s gon na be there in the morning Even though you wont You re the reason I quit drinking And the reason I wan na get drunk I still look out for the cops when I m driving around town And I m still not quite sure what to do with my hands in a crowd There s a lot I ca nt remember and a lot I ca nt forget One silver bullet in the chamber and I m playing Russian Roulette With that beer in the fridge last of 12 Sole survivor of my last allnighter In the back of the bottom shelf It s gon na be there in the morning Even though you wont You re the reason I quit drinking And the reason I wan na get drunk I do nt know why I keep it I should probably pour it out Guess I ve got to live without you now Cause I could nt live without That beer in the fridge last of 12 Sole survivor of my last allnighter In the back of the bottom shelf It s gon na be there in the morning Even though you wont You re the reason I quit drinking And the reason I wan na get drunk
