Artist,Artist_id,Song,Song_id
Blue yster Cult,00tVTdpEhQQw1bqdu8RCx2,Demon's Kiss,5K2mY5BKKXd48OKViqY9l4
Blue yster Cult,00tVTdpEhQQw1bqdu8RCx2,The Horseman Arrive,4wArn4SFjJNLp4M0tmsrdF
Blue yster Cult,00tVTdpEhQQw1bqdu8RCx2,That's How It Is,2JH6kt47islKvisOU27XPn
Blue yster Cult,00tVTdpEhQQw1bqdu8RCx2,Jane Jane (The Hurricane),4hHfih9BN6yMsSA27P4TRn
Blue yster Cult,00tVTdpEhQQw1bqdu8RCx2,Somewhere In The Night,2lE8XvUK40N0p0B8QDwO8m
Blue yster Cult,00tVTdpEhQQw1bqdu8RCx2,Blind Faith,1zmpmu1pP1tuFhkBda5wdK
Blue yster Cult,00tVTdpEhQQw1bqdu8RCx2,Manic Depresso,2kVYxaNjdcPfpNy7aICP8W
Blue yster Cult,00tVTdpEhQQw1bqdu8RCx2,Mr. Cool,04oS1MPGrm7F5KlWgurfCp
Blue yster Cult,00tVTdpEhQQw1bqdu8RCx2,Myth Of Freedom,5yi1LntJ6gBh8lkiAMt7aH
Blue yster Cult,00tVTdpEhQQw1bqdu8RCx2,Touching Myself Again,4kpRMiggJRcPK2ZDf0YGTK
Blue yster Cult,00tVTdpEhQQw1bqdu8RCx2,Little Old lady Poka,0irDN3ytL6CIiIN0LwrSh6
Blue yster Cult,00tVTdpEhQQw1bqdu8RCx2,Bad Channels Overture,1prvMuMEYSlRR4LwalHXBt
Blue yster Cult,00tVTdpEhQQw1bqdu8RCx2,Power Station,6kTGSGWnVNZ3fcNTX4dzlH
Blue yster Cult,00tVTdpEhQQw1bqdu8RCx2,Power Station II,4wIlvOWY8ILjAod2u7w00R
Blue yster Cult,00tVTdpEhQQw1bqdu8RCx2,Shadow,384ihSRT5Y8CjxenXPJQGi
Blue yster Cult,00tVTdpEhQQw1bqdu8RCx2,V.U.,0cRKT2FLvNhuVhK7Ow4psx
Blue yster Cult,00tVTdpEhQQw1bqdu8RCx2,"Cosmo Rules, But Lump Controls",1yx1UF7gnaP2dT2eE541cr
Blue yster Cult,00tVTdpEhQQw1bqdu8RCx2,Battering Ram,1u4GevjjiD7mDB7kiGIOdi
