Artist,Artist_id,Song,Song_id
Maroon 5,04gDigrS5kc9YWfZHwBETP,Best 4 U,1mimxOfJyT9LHzI5Y5XB2F
Maroon 5,04gDigrS5kc9YWfZHwBETP,What Lovers Do,5BvcK5Cns4owVBSswDArJG
Maroon 5,04gDigrS5kc9YWfZHwBETP,Wait,0nvU7ZwJHNPOJODxwxSR8C
Maroon 5,04gDigrS5kc9YWfZHwBETP,Lips On You,6X0pyufTQG5EFVXEeLhBfq
Maroon 5,04gDigrS5kc9YWfZHwBETP,Bet My Heart,7kjT4UbmDA6kEN5omfBitu
Maroon 5,04gDigrS5kc9YWfZHwBETP,Help Me Out,2WTAN36QVHH2x4LRO9ky5F
Maroon 5,04gDigrS5kc9YWfZHwBETP,Who I Am,7vuwqUPpwYMfaCrACzN81P
Maroon 5,04gDigrS5kc9YWfZHwBETP,Whiskey,3EP0XUbQ0z0ucfm4TUUhBx
Maroon 5,04gDigrS5kc9YWfZHwBETP,Girls Like You,7ubVJJZQhmW7ckP1fJhQA4
Maroon 5,04gDigrS5kc9YWfZHwBETP,Closure,60wk9sGnbJtGgEBsr4bSPv
Maroon 5,04gDigrS5kc9YWfZHwBETP,Denim Jacket,04N5FTf5GZ5qcvvZeLw9bL
Maroon 5,04gDigrS5kc9YWfZHwBETP,Visions,5QuVy6mYOJrA8CAxdSQA8H
Maroon 5,04gDigrS5kc9YWfZHwBETP,Plastic Rose,7rgwulQt0TxOuTnjYZ5Uol
Maroon 5,04gDigrS5kc9YWfZHwBETP,Don't Wanna Know,7xJanmgQtqOVOupf8QdjEj
Maroon 5,04gDigrS5kc9YWfZHwBETP,Cold,7nba4Xvzh1F8MNNHWdNUdh
Maroon 5,04gDigrS5kc9YWfZHwBETP,Girls Like You,5j5VsdmqacSs6XcZIsKkcx
Maroon 5,04gDigrS5kc9YWfZHwBETP,Sugar - Remix,3ZmB5q79iRyZc5mFTVqigI
Maroon 5,04gDigrS5kc9YWfZHwBETP,Wake Up Call - Mark Ronson Remix,0EBEgnRLPTEAmofirXu4hQ
Maroon 5,04gDigrS5kc9YWfZHwBETP,If I Never See Your Face Again,5uZr1d2CPHznf39x0c2Zc1
Maroon 5,04gDigrS5kc9YWfZHwBETP,Moves Like Jagger - Studio Recording From The Voice Performance,5Ku5Qg4TJxlfxu1gDaKll8
Maroon 5,04gDigrS5kc9YWfZHwBETP,My Heart Is Open,1EgdFxPAbZGr4IzDTPhBNs
Maroon 5,04gDigrS5kc9YWfZHwBETP,Girls Like You - CRAY Remix,6Sd0lFzRT3NAJburRwvi07
Maroon 5,04gDigrS5kc9YWfZHwBETP,What Lovers Do - A-Trak Remix,5qBzWB8dBHGBlV4e8Ok6VV
Maroon 5,04gDigrS5kc9YWfZHwBETP,Best 4 U,62J4dKK3j3HwaurMfBZIKj
Maroon 5,04gDigrS5kc9YWfZHwBETP,What Lovers Do (feat. SZA),6HIM6FrIlHYCoPlKkDtgXn
Maroon 5,04gDigrS5kc9YWfZHwBETP,Wait,6ZvTAJHxse3tRAekHb2F7L
Maroon 5,04gDigrS5kc9YWfZHwBETP,Lips On You,35uMFvaiYvhFXQhb6b5WlP
Maroon 5,04gDigrS5kc9YWfZHwBETP,Bet My Heart,7DNby30IlXEnromzb7eHwt
Maroon 5,04gDigrS5kc9YWfZHwBETP,Help Me Out (with Julia Michaels),4IKrzxzjqZLHPpFhgc6LRF
Maroon 5,04gDigrS5kc9YWfZHwBETP,Who I Am (feat. LunchMoney Lewis),0NdErbtlEnuyPl0IFicxxZ
Maroon 5,04gDigrS5kc9YWfZHwBETP,Whiskey (feat. A$AP Rocky),0G4hLnZHfnRtRvFy1Xse5X
Maroon 5,04gDigrS5kc9YWfZHwBETP,Girls Like You,3p1vxaIG6BDLnhJvyy2NNJ
Maroon 5,04gDigrS5kc9YWfZHwBETP,Closure,1YXjPq1b892n4TQfA0k06G
Maroon 5,04gDigrS5kc9YWfZHwBETP,Denim Jacket,6VNcR602kZOjTu0gfcrgek
Maroon 5,04gDigrS5kc9YWfZHwBETP,Visions,5vCb7VydVFsquJntGlsq7g
Maroon 5,04gDigrS5kc9YWfZHwBETP,Plastic Rose,6I78lrPNzg6LpNJu4T1Hrp
Maroon 5,04gDigrS5kc9YWfZHwBETP,Don't Wanna Know (feat. Kendrick Lamar),2nj8GB0PY5sbHjEXoWH4UR
Maroon 5,04gDigrS5kc9YWfZHwBETP,Cold (feat. Future),4eQ31LSLD3AbGFNdYD7el1
Maroon 5,04gDigrS5kc9YWfZHwBETP,Moves Like Jagger - Live In Manchester,2MvXdWIMTSzRXw7Q1BaQWL
Maroon 5,04gDigrS5kc9YWfZHwBETP,Sugar - Live In Manchester,2Ogv99VSzY8Cj1ZfWrJ9fQ
Maroon 5,04gDigrS5kc9YWfZHwBETP,Daylight - Live In Manchester,7u1mDZCf1f4Ddcf3Lvibef
Maroon 5,04gDigrS5kc9YWfZHwBETP,Payphone - Live In Manchester,4ecm1JG8qK8RlB6fsMlu8I
Maroon 5,04gDigrS5kc9YWfZHwBETP,Maps - Live In Manchester,5elwjgeSQd8U4X12hsiHuu
Maroon 5,04gDigrS5kc9YWfZHwBETP,Stereo Hearts - Live In Manchester,01VdmdQXB9uVOhqfEM51Yx
Maroon 5,04gDigrS5kc9YWfZHwBETP,Harder To Breathe - Live In Manchester,1ypczR6VSkH6qhNOKEkFJx
Maroon 5,04gDigrS5kc9YWfZHwBETP,This Love - Live In Manchester,581AMvLj797SfiK8Fi7cRd
Maroon 5,04gDigrS5kc9YWfZHwBETP,Animals - Live In Manchester,4tjJ21JqEjDzNCmo9h9tsv
Maroon 5,04gDigrS5kc9YWfZHwBETP,Girls Like You (feat. Cardi B),0ynF2svLpsCqkfcWwG03eo
Maroon 5,04gDigrS5kc9YWfZHwBETP,Best 4 U,3I1JTx525DKElzlTYOBfZN
Maroon 5,04gDigrS5kc9YWfZHwBETP,What Lovers Do (feat. SZA),0GxQ1A5L9xnMOytbP6eKBG
Maroon 5,04gDigrS5kc9YWfZHwBETP,Wait,3T9CfDxFYqZWSKxd0BhZrb
Maroon 5,04gDigrS5kc9YWfZHwBETP,Lips On You,6SEBdRAW54AFwa8spgf0Ws
Maroon 5,04gDigrS5kc9YWfZHwBETP,Bet My Heart,0RqTAf0gX3pXAJYAbYRDqA
Maroon 5,04gDigrS5kc9YWfZHwBETP,Help Me Out (with Julia Michaels),2C1Bhc9B8VoatLK71jcqpU
Maroon 5,04gDigrS5kc9YWfZHwBETP,Who I Am (feat. LunchMoney Lewis),4Uh8KTB8uLWfNe33e85X99
Maroon 5,04gDigrS5kc9YWfZHwBETP,Whiskey (feat. A$AP Rocky),33GjvFhe7CEj40gVDOwT1J
Maroon 5,04gDigrS5kc9YWfZHwBETP,Girls Like You,7npLlaPu9Mfno8hjk5OagD
Maroon 5,04gDigrS5kc9YWfZHwBETP,Closure,4b6qcioYl2LpBctFrJ1kht
Maroon 5,04gDigrS5kc9YWfZHwBETP,Denim Jacket,1N857bufDNDocn8hbmoNt7
Maroon 5,04gDigrS5kc9YWfZHwBETP,Visions,0aeqToKAIt951omSGAyLS4
Maroon 5,04gDigrS5kc9YWfZHwBETP,Plastic Rose,5Kv03DcfJl3aPmLKZGZdJq
Maroon 5,04gDigrS5kc9YWfZHwBETP,Don't Wanna Know (feat. Kendrick Lamar),5o3GnrcFtvkdf3zFznuSbA
Maroon 5,04gDigrS5kc9YWfZHwBETP,Cold (feat. Future),2NlTOhsAamXOaZciOXbITb
Maroon 5,04gDigrS5kc9YWfZHwBETP,Moves Like Jagger - Live In Manchester,6EvFLeZ3aUYoagV6K92cqq
Maroon 5,04gDigrS5kc9YWfZHwBETP,Stereo Hearts - Live In Manchester,7wXjEQzlkeyzuOeGvv3Gkv
Maroon 5,04gDigrS5kc9YWfZHwBETP,Animals - Live In Manchester,5wr2eH56im5zU7bgmoiTus
Maroon 5,04gDigrS5kc9YWfZHwBETP,Daylight - Live In Manchester,6gHOuLzy1E9QbV0B7Z4iI9
Maroon 5,04gDigrS5kc9YWfZHwBETP,Maps - Live In Manchester,69UCc4p7AVm3FHUo6vKuYJ
Maroon 5,04gDigrS5kc9YWfZHwBETP,This Love - Live In Manchester,2XP9LYVKKUoEDtx05Yonbq
Maroon 5,04gDigrS5kc9YWfZHwBETP,Girls Like You (feat. Cardi B),7fa9MBXhVfQ8P8Df9OEbD8
Maroon 5,04gDigrS5kc9YWfZHwBETP,Best 4 U,6m9RExR1U4qZZYAgOatzSn
Maroon 5,04gDigrS5kc9YWfZHwBETP,What Lovers Do (feat. SZA),2j5hsQvApottzvTn4pFJWF
Maroon 5,04gDigrS5kc9YWfZHwBETP,Wait,6AvfZXpbb6r35DfF7gHPRq
Maroon 5,04gDigrS5kc9YWfZHwBETP,Lips On You,5ezKhlg0ZwDPgOtMCoQt1S
Maroon 5,04gDigrS5kc9YWfZHwBETP,Bet My Heart,7HCnuwV7xCMfqljSUcgGci
Maroon 5,04gDigrS5kc9YWfZHwBETP,Help Me Out (with Julia Michaels),1Px62X35tayLsX5V1qx1Mb
Maroon 5,04gDigrS5kc9YWfZHwBETP,Who I Am (feat. LunchMoney Lewis),6wogrqAh1GfVvhgLB8PRRD
Maroon 5,04gDigrS5kc9YWfZHwBETP,Whiskey (feat. A$AP Rocky),6zEOfBb85G0Vaau5skdAUG
Maroon 5,04gDigrS5kc9YWfZHwBETP,Girls Like You,6OEHjJJvdkk1Ln0p0AZdyz
Maroon 5,04gDigrS5kc9YWfZHwBETP,Closure,4W8ZFQ9eMeInTDW4VefRBd
Maroon 5,04gDigrS5kc9YWfZHwBETP,Denim Jacket,37L9lpOweL2PcMWtFhF8Ce
Maroon 5,04gDigrS5kc9YWfZHwBETP,Visions,1QK06BoMwWscsZpjyXQ1KL
Maroon 5,04gDigrS5kc9YWfZHwBETP,Plastic Rose,5H2aKE95Ud9gkFoTWMYSH1
Maroon 5,04gDigrS5kc9YWfZHwBETP,Don't Wanna Know (feat. Kendrick Lamar),1nueTG77MzNkJTKQ0ZdGzT
Maroon 5,04gDigrS5kc9YWfZHwBETP,Cold (feat. Future),7gwLQ4tZ5UdZ7qNcDyJ8wr
Maroon 5,04gDigrS5kc9YWfZHwBETP,Girls Like You (feat. Cardi B),6V1bu6o1Yo5ZXnsCJU8Ovk
Maroon 5,04gDigrS5kc9YWfZHwBETP,Best 4 U,3tPHvT1HIHGXnOh204vGnX
Maroon 5,04gDigrS5kc9YWfZHwBETP,What Lovers Do (feat. SZA),1cPWughgzWBJa3PPVPjrmO
Maroon 5,04gDigrS5kc9YWfZHwBETP,Wait,06gzWmTDhFTlYTnIlGcOsu
Maroon 5,04gDigrS5kc9YWfZHwBETP,Lips On You,7eCcdP2vCfO7MOlSfxFEUR
Maroon 5,04gDigrS5kc9YWfZHwBETP,Bet My Heart,3p99wnGNUZ699SR8a0WrT3
Maroon 5,04gDigrS5kc9YWfZHwBETP,Help Me Out (with Julia Michaels),27VpbzZvYkt5B9xLcWL4Sb
Maroon 5,04gDigrS5kc9YWfZHwBETP,Who I Am (feat. LunchMoney Lewis),17lJKvKGafJSXXCkMgIz5s
Maroon 5,04gDigrS5kc9YWfZHwBETP,Whiskey (feat. A$AP Rocky),0s7RKr4U6FyDgZ95BU1XiH
Maroon 5,04gDigrS5kc9YWfZHwBETP,Girls Like You,3IAVf2B5Omk3gy9JwDE42f
Maroon 5,04gDigrS5kc9YWfZHwBETP,Closure,7kIwWa4Vp22J4djxBXkPpo
Maroon 5,04gDigrS5kc9YWfZHwBETP,Denim Jacket,44laVOWo65GiS1Y0rkOlvv
Maroon 5,04gDigrS5kc9YWfZHwBETP,Visions,6nVSqYJjwLHfqAgaIbgwWs
Maroon 5,04gDigrS5kc9YWfZHwBETP,Plastic Rose,7KHUrrw2wHtoP7ip5cHQx0
Maroon 5,04gDigrS5kc9YWfZHwBETP,Dont' Wanna Know (feat. Kendrick Lamar),3ruA1Kfcd7WZLMXR1O5W8K
Maroon 5,04gDigrS5kc9YWfZHwBETP,Cold (feat. Future),2nJCmhPrPOHZcULTDVfWaM
Maroon 5,04gDigrS5kc9YWfZHwBETP,Moves Like Jagger - Live In Manchester,19NLOUneLszhzQSgubwcBa
Maroon 5,04gDigrS5kc9YWfZHwBETP,Stereo Hearts - Live In Manchester,1eozbrV4HbSn9FKO9ujN2N
Maroon 5,04gDigrS5kc9YWfZHwBETP,Animals - Live In Manchester,45Ozi7D8uAhTlzUrYfSvYA
Maroon 5,04gDigrS5kc9YWfZHwBETP,Daylight - Live In Manchester,4z8Kmk1kGKIWTO5PICTWHg
Maroon 5,04gDigrS5kc9YWfZHwBETP,Maps - Live In Manchester,4JZYNnE9KqlXDFsUAqnR9n
Maroon 5,04gDigrS5kc9YWfZHwBETP,This Love - Live In Manchester,3hpAr1RTZHUKTk5ey3M0PQ
Maroon 5,04gDigrS5kc9YWfZHwBETP,Girls Like You (feat. Cardi B),0eXb8Kgkm9UcMMQPIxk3wE
Maroon 5,04gDigrS5kc9YWfZHwBETP,Best 4 U,2Jb8usKfiCWRhRt5lj6Hfd
Maroon 5,04gDigrS5kc9YWfZHwBETP,What Lovers Do (feat. SZA),36m69TBk48J7z7Ri3cLOrx
Maroon 5,04gDigrS5kc9YWfZHwBETP,Wait,0aUoRpdC3LRKtgRtEy5QoZ
Maroon 5,04gDigrS5kc9YWfZHwBETP,Lips On You,6DbUiturIlSaW7eFTHaJne
Maroon 5,04gDigrS5kc9YWfZHwBETP,Bet My Heart,5v1WH2HF3Z0xoYT5VQcA7W
Maroon 5,04gDigrS5kc9YWfZHwBETP,Help Me Out (with Julia Michaels),4e43eZ117MxaDBbYZZFhZG
Maroon 5,04gDigrS5kc9YWfZHwBETP,Who I Am (feat. LunchMoney Lewis),0QHLNuD6YcDMC4ve7IkKcP
Maroon 5,04gDigrS5kc9YWfZHwBETP,Whiskey (feat. A$AP Rocky),4oCgXGrLaCrYho9HWtH20f
Maroon 5,04gDigrS5kc9YWfZHwBETP,Girls Like You,3j36w2RY7uyBFWkcG8MKmB
Maroon 5,04gDigrS5kc9YWfZHwBETP,Closure,5fRrGOsD7cnxPWtn4QO5KJ
Maroon 5,04gDigrS5kc9YWfZHwBETP,Denim Jacket,1qr4vfW6DMumTA6ELhHym4
Maroon 5,04gDigrS5kc9YWfZHwBETP,Visions,47cxjHE4LyC11tCfyMf73K
Maroon 5,04gDigrS5kc9YWfZHwBETP,Plastic Rose,65EGHdcy3Uj8JM72irJE3j
Maroon 5,04gDigrS5kc9YWfZHwBETP,Don't Wanna Know (feat. Kendrick Lamar),6O6gUYymyxx9NHVUHztmqx
Maroon 5,04gDigrS5kc9YWfZHwBETP,Cold (feat. Future),2fwd2QFWRK4l2oF44iGchC
Maroon 5,04gDigrS5kc9YWfZHwBETP,Girls Like You (feat. Cardi B),04GKRudrMjdPdX10873SAM
Maroon 5,04gDigrS5kc9YWfZHwBETP,Best 4 U,1R0kzWIUeKN8UDh6iDVg2m
Maroon 5,04gDigrS5kc9YWfZHwBETP,What Lovers Do,0WdGQhoAP2LBsqr5Jhit2g
Maroon 5,04gDigrS5kc9YWfZHwBETP,Wait,35Mdf8qgrpxLriuc9TmJCw
Maroon 5,04gDigrS5kc9YWfZHwBETP,Lips On You,4yel8Gp4u6cKryumPsauwZ
