Artist,Artist_id,Song,Song_id
Fats Domino,09C0xjtosNAIXP36wTnWxd,The Fat Man,2wUXdiaGLXb15Fg5NLiV1s
Fats Domino,09C0xjtosNAIXP36wTnWxd,Detroit City Blues,1fhYrFmO1lzsdvrzUfFYEi
Fats Domino,09C0xjtosNAIXP36wTnWxd,Boogie Woogie Baby,1ShdFxV57PZ4kNquXIT6IP
Fats Domino,09C0xjtosNAIXP36wTnWxd,Every Night About This Time,5KLHAq32R6kbLHXtUEqMZv
Fats Domino,09C0xjtosNAIXP36wTnWxd,Rockin' Chair,7yfgvQ3281Sqk1BlIGbUCD
Fats Domino,09C0xjtosNAIXP36wTnWxd,Goin' Home - 2002 Digital Remaster,7wMEyNkYoF43UjfpZ6ala8
Fats Domino,09C0xjtosNAIXP36wTnWxd,Reeling And Rocking,4E2fzJ9mfuK4JFj4iioqVM
Fats Domino,09C0xjtosNAIXP36wTnWxd,How Long,0o7dLAmbiFlVOLUBETzEOP
Fats Domino,09C0xjtosNAIXP36wTnWxd,"Poor, Poor Me",71pGeLh9QhGYLb8niUqM2y
Fats Domino,09C0xjtosNAIXP36wTnWxd,Going To The River,4FEOM6o2mZaILf1FYG78my
Fats Domino,09C0xjtosNAIXP36wTnWxd,Mardi Gras In New Orleans,7Gj5HfLaTmun63tO7U6gQC
Fats Domino,09C0xjtosNAIXP36wTnWxd,Please Don't Leave Me,438UYMhSKEp47ENAR7FK0i
Fats Domino,09C0xjtosNAIXP36wTnWxd,Rose Mary,5mCflKHtGQl1cCea8iIpj4
Fats Domino,09C0xjtosNAIXP36wTnWxd,Something's Wrong - 2002 Digital Remaster,4ELDY4DUmFi9khnhuzrQX7
Fats Domino,09C0xjtosNAIXP36wTnWxd,You Done Me Wrong,3tZ2AH9hPylIIMaGaZ8cDi
Fats Domino,09C0xjtosNAIXP36wTnWxd,Don't You Know,5D5rUVabfJgE1W7dexGMcq
Fats Domino,09C0xjtosNAIXP36wTnWxd,Ain't That A Shame?,7gAeEioDYdgGEDwxc2dRYb
Fats Domino,09C0xjtosNAIXP36wTnWxd,La La,3ORzy6VpVMhOlJmQY5Rx7v
Fats Domino,09C0xjtosNAIXP36wTnWxd,All By Myself - 2002 Digital Remaster,1BSGdmeBQWh6XBtbaFl60D
Fats Domino,09C0xjtosNAIXP36wTnWxd,Poor Me - 2002 Digital Remaster,5TV6p0GTJmojU6haDC1q5G
Fats Domino,09C0xjtosNAIXP36wTnWxd,I Can't Go On (Rosalie) - 2002 Digital Remaster,12D5OlQL57zNyPdBsvO6Nh
Fats Domino,09C0xjtosNAIXP36wTnWxd,Bo Weevil,4OOeG8gsSe8AMCVVRT5MzC
Fats Domino,09C0xjtosNAIXP36wTnWxd,Don't Blame It On Me - 2002 Digital Remaster,5wRRJrCqtlI4B2Zie0uqXw
Fats Domino,09C0xjtosNAIXP36wTnWxd,I'm In Love Again - 2002 Digital Remaster,00jp4H9REjsjBSXAV3M2si
Fats Domino,09C0xjtosNAIXP36wTnWxd,My Blue Heaven,5vFlOEqkFjyB9ABnLfxEA1
Fats Domino,09C0xjtosNAIXP36wTnWxd,When My Dreamboat Comes Home - 2002 Digital Remaster,1rMdWW12lEEJ1n31ypXtRz
Fats Domino,09C0xjtosNAIXP36wTnWxd,So Long - 2002 Digital Remaster,4ieTRLdWm7XPVOS1E6KvZ5
Fats Domino,09C0xjtosNAIXP36wTnWxd,Blueberry Hill,3mb5QmOyhqWzfKrE3hJViv
Fats Domino,09C0xjtosNAIXP36wTnWxd,Honey Chile - 2002 Digital Remaster,4tEOKH3ZXvrCA5j1D32gT4
Fats Domino,09C0xjtosNAIXP36wTnWxd,Blue Monday,3b1x4yItHhl1oJwgyEjFj2
Fats Domino,09C0xjtosNAIXP36wTnWxd,Swanee River Hop,4CqDrXuGs5xDxcD1Xv6qVl
Fats Domino,09C0xjtosNAIXP36wTnWxd,I'm Walkin' - Remastered,5JYdn5FSJqtKDLlFeJrYfJ
Fats Domino,09C0xjtosNAIXP36wTnWxd,The Big Beat,5ePLl3QR0vB8gih5lAY8Xh
Fats Domino,09C0xjtosNAIXP36wTnWxd,Valley Of Tears - 2002 Digital Remaster,0qag4mjFhIGIOk5IkhEK53
Fats Domino,09C0xjtosNAIXP36wTnWxd,It's You I Love - 2002 Digital Remaster,0aMaBuLmAiaYSLR52c3qtP
Fats Domino,09C0xjtosNAIXP36wTnWxd,When I See You,0rJ8ghD0847bxhMQcTOIrO
Fats Domino,09C0xjtosNAIXP36wTnWxd,Wait And See - 2002 Digital Remaster,5WDdYeprwt1nMNGNSLh3O5
Fats Domino,09C0xjtosNAIXP36wTnWxd,I Want You To Know,34IoqLg9ga11Ui9DhPZgaX
Fats Domino,09C0xjtosNAIXP36wTnWxd,"Yes, My Darling",14KyuFd4Og1xabDMqQWHa5
Fats Domino,09C0xjtosNAIXP36wTnWxd,Sick And Tired,5M4xmpqJ2AEyO0p7nMN3uP
Fats Domino,09C0xjtosNAIXP36wTnWxd,Little Mary,0hCc1mr0j9Hd7asA1GJNP8
Fats Domino,09C0xjtosNAIXP36wTnWxd,Whole Lotta Loving,4jvDrvrGeDBpADAEtU8vkp
Fats Domino,09C0xjtosNAIXP36wTnWxd,Coquette,1WywSk6i09oFOMYMaK7A4J
Fats Domino,09C0xjtosNAIXP36wTnWxd,When The Saints Go Marching In,5iTJ3ntl6OpEIV9k6t7As5
Fats Domino,09C0xjtosNAIXP36wTnWxd,I'm Ready - Remastered,7nqL3eYgYRpT3s8mTYtA8k
Fats Domino,09C0xjtosNAIXP36wTnWxd,I Want To Walk You Home - Remastered,5lBqgTJ2zoeSUjAVL0zBe3
Fats Domino,09C0xjtosNAIXP36wTnWxd,I'm Gonna Be A Wheel Someday - Remastered,1qKijWA4xV3BPsYx4kVMaM
Fats Domino,09C0xjtosNAIXP36wTnWxd,Be My Guest - 2002 Digital Remaster,53gp1LDO14Ixd0RMYrvHMC
Fats Domino,09C0xjtosNAIXP36wTnWxd,I've Been Around,5LGU3wpxSnIvyGBdclssBt
Fats Domino,09C0xjtosNAIXP36wTnWxd,Walking To New Orleans - Remastered,12p05HtgCJgHZAG236sfzb
Fats Domino,09C0xjtosNAIXP36wTnWxd,I'm Walkin' - Live,0I94dKI5E9hBJ72uu1mKIV
Fats Domino,09C0xjtosNAIXP36wTnWxd,My Blue Heaven - Live,7nqo3bb0KiCW1uyLiKQGF2
Fats Domino,09C0xjtosNAIXP36wTnWxd,Blue Monday - Live,6In2cVXkYdQjt2zLcrZHeQ
Fats Domino,09C0xjtosNAIXP36wTnWxd,I'm Ready - Live,1dfId7fb3JGPHAMLCzGB5M
Fats Domino,09C0xjtosNAIXP36wTnWxd,My Girl Josephine - Live,73RFA6g8VAwEFO9RLSBSQc
Fats Domino,09C0xjtosNAIXP36wTnWxd,I Want to Walk You Home - Live,0HC5SabG5bBD52OQZFxpv4
Fats Domino,09C0xjtosNAIXP36wTnWxd,I'm in Love Again - Live,3rn2rveOlebazP7jW2HTmP
Fats Domino,09C0xjtosNAIXP36wTnWxd,Let the Four Winds Blow - Live,64ii1xde0YxAbp5R4R4rUK
Fats Domino,09C0xjtosNAIXP36wTnWxd,Poor Me - Live,1xOdV9Apqzn0egsmTdDnBz
Fats Domino,09C0xjtosNAIXP36wTnWxd,Walking to New Orleans - Live,17icaZtfqUpBiKeU43NYDt
Fats Domino,09C0xjtosNAIXP36wTnWxd,"Shake, Rattle and Roll - Live",4zaySORRfa9zHpj28VaLNp
Fats Domino,09C0xjtosNAIXP36wTnWxd,Ain't That a Shame - Live,6AEn4TfR74FXaIigKstptb
Fats Domino,09C0xjtosNAIXP36wTnWxd,I Hear You Knocking - Live,11USZATq1xB41rHufPsKKk
Fats Domino,09C0xjtosNAIXP36wTnWxd,Blueberry Hill - Live,4D6aIZsOc9fiegieppwDg5
Fats Domino,09C0xjtosNAIXP36wTnWxd,Your Cheatin' Heart - Live,3YiPXNDfJwUVwO5Mq7STQe
Fats Domino,09C0xjtosNAIXP36wTnWxd,Three Nights a Week - Live,2UWNszFeECY40VGQZcUb5N
Fats Domino,09C0xjtosNAIXP36wTnWxd,All By Myself - Live,3eVZwFk2lEvCYbdWGhc99U
