Artist,Artist_id,Song,Song_id
The Killers,0C0XlULifJtAgn6ZNCW2eu,Wonderful Wonderful,7KCVv4G214JjjAz2B9eM7H
The Killers,0C0XlULifJtAgn6ZNCW2eu,The Man,5aWhs651KYM26HYM16kRdk
The Killers,0C0XlULifJtAgn6ZNCW2eu,Rut,4EcJBIXjI5y9TA6CBfIljo
The Killers,0C0XlULifJtAgn6ZNCW2eu,Life To Come,6jMRqEHVRC3iamsSscJlbz
The Killers,0C0XlULifJtAgn6ZNCW2eu,Run For Cover,5NAiPIEzxAexFE3ucV18Q8
The Killers,0C0XlULifJtAgn6ZNCW2eu,Tyson vs Douglas,4LCQ5gFmkAdACy5O9vDP4c
The Killers,0C0XlULifJtAgn6ZNCW2eu,Some Kind Of Love,0vicQm86o7GnT42GdG34sA
The Killers,0C0XlULifJtAgn6ZNCW2eu,Out Of My Mind,2foU3yN5SE5IUasPTs91YV
The Killers,0C0XlULifJtAgn6ZNCW2eu,The Calling,1vwEgKpkdY63nX0jrrYj9X
The Killers,0C0XlULifJtAgn6ZNCW2eu,Have All The Songs Been Written?,1Tb4F7Ba2C8Yt3cMnYa3X3
The Killers,0C0XlULifJtAgn6ZNCW2eu,Wonderful Wonderful,34Z7ksxNZ5UttoqD0ZLa6P
The Killers,0C0XlULifJtAgn6ZNCW2eu,The Man,6U5ySz3l4LtpaJ37pr3bGU
The Killers,0C0XlULifJtAgn6ZNCW2eu,Rut,5IGvpvIDKS03xlvhPCJ9qS
The Killers,0C0XlULifJtAgn6ZNCW2eu,Life To Come,4TqowMxiy3kmV6jlxdldDm
The Killers,0C0XlULifJtAgn6ZNCW2eu,Run For Cover,6oy7lD7B9HScHz11HQ2P0F
The Killers,0C0XlULifJtAgn6ZNCW2eu,Tyson vs Douglas,1QPwiMASgVIv0g3CKcAKTd
The Killers,0C0XlULifJtAgn6ZNCW2eu,Some Kind Of Love,7aPhHopd7f2qVb3rUKq1ZF
The Killers,0C0XlULifJtAgn6ZNCW2eu,Out Of My Mind,2RXfhCJMkK5HC09bdq5bJW
The Killers,0C0XlULifJtAgn6ZNCW2eu,The Calling,4mXz25MicymcUAIddLlciH
The Killers,0C0XlULifJtAgn6ZNCW2eu,Have All The Songs Been Written?,01sMUErD5yAOElT0iv8fkL
The Killers,0C0XlULifJtAgn6ZNCW2eu,Money On Straight,3GRHMonSDz3bsa9krYze3T
The Killers,0C0XlULifJtAgn6ZNCW2eu,The Man - Jacques Lu Cont Remix,6E8M4h5pBM5DK2XyyVHeZJ
The Killers,0C0XlULifJtAgn6ZNCW2eu,The Man - Duke Dumont Remix,2lr1nNSFX9A2WPq9rN9YYE
The Killers,0C0XlULifJtAgn6ZNCW2eu,Flesh And Bone,2NiKqnDaUJHq8l67t4509u
The Killers,0C0XlULifJtAgn6ZNCW2eu,Runaways,62BxlOvQCjLNQA5ARA4Dug
The Killers,0C0XlULifJtAgn6ZNCW2eu,The Way It Was,0x4rW5jv6fkKweBgjE5O8F
The Killers,0C0XlULifJtAgn6ZNCW2eu,Here With Me,3285RNj9TGVvWlP8tYojDH
The Killers,0C0XlULifJtAgn6ZNCW2eu,A Matter Of Time,6LYNOWzGwVZmi64kwtWLx7
The Killers,0C0XlULifJtAgn6ZNCW2eu,Deadlines And Commitments,5qvMfYPAXfxQWDTcSS1YZe
The Killers,0C0XlULifJtAgn6ZNCW2eu,Miss Atomic Bomb,1XsS266JiQtoqqLdlgD17V
The Killers,0C0XlULifJtAgn6ZNCW2eu,The Rising Tide,53OlXMrUJS87LVW2YZ35zx
The Killers,0C0XlULifJtAgn6ZNCW2eu,Heart Of A Girl,0E9HjozMA5x8YjrQ7bJFOm
The Killers,0C0XlULifJtAgn6ZNCW2eu,From Here On Out,0bhCGRZvzfAzm0z1c7M3jQ
The Killers,0C0XlULifJtAgn6ZNCW2eu,Be Still,1B5tiGNcOHERcXcBHiL6Xs
The Killers,0C0XlULifJtAgn6ZNCW2eu,Battle Born,52IbZOn3hSl8OVDms3j78h
The Killers,0C0XlULifJtAgn6ZNCW2eu,Flesh And Bone,0HfposhDwt7IwwvNQGKm1e
The Killers,0C0XlULifJtAgn6ZNCW2eu,Runaways,57GlVHy3njbhTHe9XGZjkU
The Killers,0C0XlULifJtAgn6ZNCW2eu,The Way It Was,47uNJsq5dWelaF8prYbz26
