Artist,Artist_id,Song,Song_id
Bad Suns,0YhUSm86okLWldQVwJkLlP,Disappear Here,1cWD3SRnt48gFWzqTC3pWM
Bad Suns,0YhUSm86okLWldQVwJkLlP,Heartbreaker,0N4RL8OFtthWHPY7QuRywo
Bad Suns,0YhUSm86okLWldQVwJkLlP,Off She Goes,277XsneDiv30dhONPCOmrF
Bad Suns,0YhUSm86okLWldQVwJkLlP,Love Like Revenge,0pkFUPybv4Z9ffnDNXv9ji
Bad Suns,0YhUSm86okLWldQVwJkLlP,"Even In My Dreams, I Can't Win",6Wxj0FQMAJXOWgRbyFP5f8
Bad Suns,0YhUSm86okLWldQVwJkLlP,Patience,5dMBXBIu07XRtl3dwrbmlK
Bad Suns,0YhUSm86okLWldQVwJkLlP,Swimming In The Moonlight,2PoqubfYq2Cl0nUyrrTht6
Bad Suns,0YhUSm86okLWldQVwJkLlP,Defeated,4zQO4hbavXKqtIs8gHDRo9
Bad Suns,0YhUSm86okLWldQVwJkLlP,Daft Pretty Boys,41d2Q6DHcM20OdzynkRtvf
Bad Suns,0YhUSm86okLWldQVwJkLlP,Violet,7bhSQqbyUvFVfmXgkF028O
Bad Suns,0YhUSm86okLWldQVwJkLlP,Maybe We're Meant To Be Alone,6wjb6rlWb4P8NRcZpP17UJ
Bad Suns,0YhUSm86okLWldQVwJkLlP,How Am I Not Myself,2XIuiCqPKof2hJfNzLJ9uW
Bad Suns,0YhUSm86okLWldQVwJkLlP,Outskirts Of Paradise,1o2DMB5ZGoKV767eMx8bPf
Bad Suns,0YhUSm86okLWldQVwJkLlP,Disappear Here,3QbakTvXQvWL3RIbwofSY8
Bad Suns,0YhUSm86okLWldQVwJkLlP,Heartbreaker,5Dfdi3sde94PFfijQCAyqF
Bad Suns,0YhUSm86okLWldQVwJkLlP,Off She Goes,5DiLy9j7K1ISwtU9L9iM6K
Bad Suns,0YhUSm86okLWldQVwJkLlP,Love Like Revenge,3wGu3RtAa8C4mrGwwIqZ0F
Bad Suns,0YhUSm86okLWldQVwJkLlP,"Even in My Dreams, I Can't Win",3BooGgEb96CaFodtJ7z0R1
Bad Suns,0YhUSm86okLWldQVwJkLlP,Patience,5aL8wufTarxKgFeThxXymb
Bad Suns,0YhUSm86okLWldQVwJkLlP,Swimming in the Moonlight,4cevHqmQmzCqFer1R9NTL4
Bad Suns,0YhUSm86okLWldQVwJkLlP,Defeated,5TVn9vb79ilYF3WZgAx2Cz
Bad Suns,0YhUSm86okLWldQVwJkLlP,Daft Pretty Boys,34RkZ0rujP4F2mp7Bjlmzl
Bad Suns,0YhUSm86okLWldQVwJkLlP,Violet,6ptZoAdbOPkBZ4ObIHZvGh
Bad Suns,0YhUSm86okLWldQVwJkLlP,Maybe We're Meant to Be Alone,3B6YaTzle1tU8AsGlqthMF
Bad Suns,0YhUSm86okLWldQVwJkLlP,How Am I Not Myself,5CWUcvSuLj5AFShgx05aTC
Bad Suns,0YhUSm86okLWldQVwJkLlP,Outskirts of Paradise,7BuJvCn8YNSDHzlcq7T0wS
Bad Suns,0YhUSm86okLWldQVwJkLlP,Disappear Here,5DWI7DgDDJUkND2QvqTLmi
Bad Suns,0YhUSm86okLWldQVwJkLlP,Heartbreaker,0HtsjLtJXBJOKdXPtHD6SJ
Bad Suns,0YhUSm86okLWldQVwJkLlP,Off She Goes,3d8Ew4oMFBxlRaqjlMhweB
Bad Suns,0YhUSm86okLWldQVwJkLlP,Love Like Revenge,7yFE83Nk6imwHcjviqrlfx
Bad Suns,0YhUSm86okLWldQVwJkLlP,Even In My Dreams I Can't Win,3PuqNqQn6EnnkAOJoSgKZw
Bad Suns,0YhUSm86okLWldQVwJkLlP,Patience,6Bh20JUUsZEHsmMlkMHkRe
Bad Suns,0YhUSm86okLWldQVwJkLlP,Swimming in the Moonlight,7q2x4GFxh5sSB6hppv3kYM
Bad Suns,0YhUSm86okLWldQVwJkLlP,Defeated,14Zq2YCOkqlRRVKQGzcyR9
Bad Suns,0YhUSm86okLWldQVwJkLlP,Daft Pretty Boys,58hbLmAfFQA4zbxcbRCO4P
Bad Suns,0YhUSm86okLWldQVwJkLlP,Violet,4hii9LtpM0L04tL5h8aJkY
Bad Suns,0YhUSm86okLWldQVwJkLlP,Maybe We're Meant To Be Alone,2djhBAlQieAiuV9xbkjn7N
Bad Suns,0YhUSm86okLWldQVwJkLlP,How Am I Not Myself,2yZApa5wzSOGpAcEa6rK19
Bad Suns,0YhUSm86okLWldQVwJkLlP,Outskirts Of Paradise,0bmQbJqoJkI8YX3ySwwika
Bad Suns,0YhUSm86okLWldQVwJkLlP,Matthew James,7ocgDirodCb5CaBkWkRlt2
Bad Suns,0YhUSm86okLWldQVwJkLlP,We Move Like The Ocean,03gNt9LmzZOZcnjKFKrFMl
Bad Suns,0YhUSm86okLWldQVwJkLlP,Cardiac Arrest,6zQyu8L8yUuJkl6LbQ6iKU
Bad Suns,0YhUSm86okLWldQVwJkLlP,Pretend,1tPA4LC9D9AQpWeY4G8RVY
Bad Suns,0YhUSm86okLWldQVwJkLlP,Take My Love and Run,3F5AA6EBeLaq4x1Cn457Sz
Bad Suns,0YhUSm86okLWldQVwJkLlP,Dancing On Quicksand,42ADpNS02UiRbRGyRYypFS
Bad Suns,0YhUSm86okLWldQVwJkLlP,Salt,163F4SPkExGwITk7VKz5sp
Bad Suns,0YhUSm86okLWldQVwJkLlP,Transpose,3f716CHeVeqmeYMxMpvTdc
Bad Suns,0YhUSm86okLWldQVwJkLlP,Learn to Trust,6CubWHZakFiId6yMAzrRQN
Bad Suns,0YhUSm86okLWldQVwJkLlP,Sleep Paralysis,7oAwy1WGeju5TT9fIRXwAT
Bad Suns,0YhUSm86okLWldQVwJkLlP,Rearview,2HPIDjDNCCSqSzIjxGaU6J
Bad Suns,0YhUSm86okLWldQVwJkLlP,Matthew James,6kuSFu8Zdk0LNBLGJyOxDq
Bad Suns,0YhUSm86okLWldQVwJkLlP,We Move Like the Ocean,4tgZYdXbG8kZYW3yYWGaT4
Bad Suns,0YhUSm86okLWldQVwJkLlP,Cardiac Arrest,0VUKyt3fMjws3me8rZJDua
Bad Suns,0YhUSm86okLWldQVwJkLlP,Pretend,49sDfvSvg0bmhUcjlhJmiv
Bad Suns,0YhUSm86okLWldQVwJkLlP,Take My Love and Run,1EpPz9FJp8Mu4NNobpIoU2
Bad Suns,0YhUSm86okLWldQVwJkLlP,Dancing on Quicksand,10rjhsIi9Sn2sOoud2l0cU
Bad Suns,0YhUSm86okLWldQVwJkLlP,Salt,70RJgr90mI6smAO74JzikX
Bad Suns,0YhUSm86okLWldQVwJkLlP,Transpose,4njIFgZ2ocarKonHEAvrgN
Bad Suns,0YhUSm86okLWldQVwJkLlP,Learn to Trust,6p3Y0rqHju8KwR26ViY2BV
Bad Suns,0YhUSm86okLWldQVwJkLlP,Sleep Paralysis,5KlLDz08niH6knp0daNQdR
Bad Suns,0YhUSm86okLWldQVwJkLlP,Rearview,4mT0EfVRof12JvJuka4w5P
Bad Suns,0YhUSm86okLWldQVwJkLlP,Matthew James,01Gh5pM57JuzJQLzJBZwAj
