Artist,Artist_id,Song,Song_id
The Guess Who,0cQuYRSzlItquYxsQKDvVc,When We Were Young,0HdjRL1Yt0bwI2g0uSUW3h
The Guess Who,0cQuYRSzlItquYxsQKDvVc,Runnin' Blind,6v0mN89B6r68Y6sSchNp5g
The Guess Who,0cQuYRSzlItquYxsQKDvVc,Talks All the Time,58TN2iRL9Rl3IebPfVZOvd
The Guess Who,0cQuYRSzlItquYxsQKDvVc,Baby's Come Around,75USV7Tt8WwdSBsoUePIrG
The Guess Who,0cQuYRSzlItquYxsQKDvVc,Haunted,1mAD4lhqK59r9fvagdFkdE
The Guess Who,0cQuYRSzlItquYxsQKDvVc,In America,5CtAo5fqbf5PpukdmmMU4w
The Guess Who,0cQuYRSzlItquYxsQKDvVc,Playin' on the Radio,47MRhsyCdepnSSinekuafa
The Guess Who,0cQuYRSzlItquYxsQKDvVc,Give It a Try,1MTaDU8FyBgyVrLNxhtz2W
The Guess Who,0cQuYRSzlItquYxsQKDvVc,Good Girl,4WKzVhSNbuP2bMmyE1zjqV
The Guess Who,0cQuYRSzlItquYxsQKDvVc,Long Day,1IjfkGnV0SOvEORWVtLcY6
The Guess Who,0cQuYRSzlItquYxsQKDvVc,Shakin' All Over,2jX4y8iUPtrAan4gzzKi7h
The Guess Who,0cQuYRSzlItquYxsQKDvVc,Tossin' and Turnin',33MFROe0gwqlmjMyta1cA4
The Guess Who,0cQuYRSzlItquYxsQKDvVc,Stop Teasing Me,5qyEzqfnNeUAX9vWhvq5fc
The Guess Who,0cQuYRSzlItquYxsQKDvVc,Like I Love You,6CoPWe4rcdLD5TqTwLFtwK
The Guess Who,0cQuYRSzlItquYxsQKDvVc,Til We Kissed (Where Have You Been),32A91dwZt0xhrayEblwUoN
The Guess Who,0cQuYRSzlItquYxsQKDvVc,Shy Guy,3bJGH4u9nef4Q9UoCmm3NU
The Guess Who,0cQuYRSzlItquYxsQKDvVc,Shot of Rhythm N' Blues,6bULLVNseOo4PENPAkUBjG
The Guess Who,0cQuYRSzlItquYxsQKDvVc,I Want You To Love Me,1as4JTWzjCbJcI6TVewWid
The Guess Who,0cQuYRSzlItquYxsQKDvVc,I'd Rather Be Alone,1nikZPGHbzZyfezhygnIbn
The Guess Who,0cQuYRSzlItquYxsQKDvVc,I've Been Away,4EJeQgnLlYH4ztChW6e2UP
The Guess Who,0cQuYRSzlItquYxsQKDvVc,Tuff E Nuff,4dNhNNhK6GgriWqdoYXAmV
The Guess Who,0cQuYRSzlItquYxsQKDvVc,Turn Around and Walk Away,2om8L5Aq7awRzjZnY1PjIn
The Guess Who,0cQuYRSzlItquYxsQKDvVc,Hey Ho,2KjzVnTcPuMwFLGYFKB8fJ
The Guess Who,0cQuYRSzlItquYxsQKDvVc,I Should Have Realized,1gohZ43s8NWqAehqiXCMx2
The Guess Who,0cQuYRSzlItquYxsQKDvVc,Hurting Each Other,1BU2hMQY6XC2SqrrrXFjd7
The Guess Who,0cQuYRSzlItquYxsQKDvVc,Made In England,4kpIvQBddJXLod1GO1P3GH
The Guess Who,0cQuYRSzlItquYxsQKDvVc,I'll Keep Comin' Back,0Z4FnzsYh6o4mEo9MfFMXo
The Guess Who,0cQuYRSzlItquYxsQKDvVc,Stop Teasing Me,6vRnkx3NG5L3M2gj0CgkqP
The Guess Who,0cQuYRSzlItquYxsQKDvVc,Could This Be Love,0CQzZGpF5N8zGhzd0U7SQe
The Guess Who,0cQuYRSzlItquYxsQKDvVc,Theme From A Music Box,72lujfHSZ6nZ58SaggBTVv
The Guess Who,0cQuYRSzlItquYxsQKDvVc,Don't Be Scared,74A6VfmafSNlbaMi1yAEYM
The Guess Who,0cQuYRSzlItquYxsQKDvVc,Inside Out,1lHFEFL2sCyRG88bzbEuFK
The Guess Who,0cQuYRSzlItquYxsQKDvVc,Goodnight Goodnight,14tmNuKD421lUMzHDAzOhM
