Artist,Artist_id,Song,Song_id
Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,Ganja Burn,6H0hAVBtCU4hfioYhK7Dl2
Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,Majesty (with Labrinth & feat. Eminem),6sXS3TEx8Rw61z2oW0Mn12
Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,Barbie Dreams,4K34wkUKqd7leweceYqPFM
Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,Rich Sex (feat. Lil Wayne),3fCkG786ipL3aUc8KoLTvh
Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,Hard White,0PziG2rFTotS4TBnV0t3qN
Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,Bed (feat. Ariana Grande),2Gyfmw1w1RpMyjBFe1784y
Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,Thought I Knew You (feat. The Weeknd),7sSwnQc7LTQ8u74axzYndn
Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,Run & Hide,5u04AumwgKbXHuzp4tTQc0
Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,Chun Swae (feat. Swae Lee),05epy7jdJjubwYxMfEq81w
Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,Chun-Li,0kCakXs4r2adpGE43JXsFg
Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,LLC,3tCgn1QGWOZN5eE0XuVdrf
Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,Good Form,4AmMLbugcWo9R9qMbUJ04b
Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,Nip Tuck,5MdRg9QeScwB1gs3G0GbWy
Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,2 Lit 2 Late Interlude,0kT8v152a2YR4vh8qLGfPS
Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,Come See About Me,6vEACl33YmToJdIxZDVcSx
Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,Sir (feat. Future),6DvJX7wAAzRomZJVW7E9dQ
Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,Miami,4lvFx43ISqIk1WiXOReVp2
Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,Coco Chanel (feat. Foxy Brown),3l76pDmPK3gzvNC3ckVJxn
Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,Inspirations Outro,3TYREv5LTG1DDcblZLt9uJ
Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,FEFE,6fL1QD79W0ZojaSesowF9h
Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,Ganja Burn,3LHYmz86DxGInsRp3wiiW5
Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,Majesty (with Labrinth & feat. Eminem),38TgLPNHsPzgqri5G4SPun
Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,Barbie Dreams,6Poyf51k7W3NKnsGwAI90B
Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,Rich Sex (feat. Lil Wayne),2D1MK9oaxy7axXggy3iVbp
Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,Hard White,1hHbmfNfXIwHyHCYO8ae3I
Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,Bed (feat. Ariana Grande),3L4GsGLgxpHieVQH86H8bv
Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,Thought I Knew You (feat. The Weeknd),5vAEnWrHxLv78uwZrAJcX6
Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,Run & Hide,3yRtCntPrFnfYgiqn1He2o
Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,Chun Swae (feat. Swae Lee),03It1uO69CjGWP3yyVe465
Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,Chun-Li,1e4rwBPVI32vZtTJu7mJ4J
Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,LLC,7CKR3FcBqSsGcgce0ECe1z
Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,Good Form,19Fcrc0nJiwMKom00gS9SW
Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,Nip Tuck,3gTp4KG5WhiXUV3Q7OGBnD
Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,2 Lit 2 Late Interlude,43RSiN5Os4MiYwj3fNVomY
Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,Come See About Me,2PiPXo7l8Vozdt9QZk1Lvw
Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,Sir (feat. Future),3ig3X70suAwUn4oDnQaMru
Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,Miami,1DfASEEKVByFKTgCArlkS5
Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,Coco Chanel (feat. Foxy Brown),5NjcvFJsahRqqSvNvTVJX4
Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,Inspirations Outro,2OsWux5YbFZcC1MSTkUh3G
Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,Ganja Burn,1gGSl4rHNIMiBTcz7H7UUf
Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,Majesty (with Labrinth & feat. Eminem),687D99eWMFUn8lIsBI1Koj
