Artist,Artist_id,Song,Song_id
Jorja Smith,1CoZyIx7UvdxT5c8UkMzHd,Lost & Found,3cLconQqNGfnMbXcToc8Fq
Jorja Smith,1CoZyIx7UvdxT5c8UkMzHd,Teenage Fantasy,2xRiBCmtqJA974skOMtJb9
Jorja Smith,1CoZyIx7UvdxT5c8UkMzHd,Where Did I Go?,0dJwMcIO8o9OymbA5p9OtP
Jorja Smith,1CoZyIx7UvdxT5c8UkMzHd,February 3rd,00uaBUnmyGxBUSwG37sWHx
Jorja Smith,1CoZyIx7UvdxT5c8UkMzHd,On Your Own,2xW7VLFETDGwoW5bgAqCuw
Jorja Smith,1CoZyIx7UvdxT5c8UkMzHd,The One,4wrvOu6SDF2nQLeUKOEUms
Jorja Smith,1CoZyIx7UvdxT5c8UkMzHd,Wandering Romance,5SfWsEX7Q8yYZzezM9i4Rq
Jorja Smith,1CoZyIx7UvdxT5c8UkMzHd,Blue Lights,5ZFk1GdwbbFwQd40aHyrhO
Jorja Smith,1CoZyIx7UvdxT5c8UkMzHd,Lifeboats - Freestyle,7xwdpDDZiPZN5ex0RwMDKx
Jorja Smith,1CoZyIx7UvdxT5c8UkMzHd,Goodbyes,2hdh5V0Mn6mZayUGood6oH
Jorja Smith,1CoZyIx7UvdxT5c8UkMzHd,Tomorrow,5n67c5dWYWpz5pSojdrky2
Jorja Smith,1CoZyIx7UvdxT5c8UkMzHd,Don't Watch Me Cry,0FhVdjoCUv2BnMUa44qDQy
Jorja Smith,1CoZyIx7UvdxT5c8UkMzHd,Lost & Found,6jaLFu5HvfNrI1JmcM4eXu
Jorja Smith,1CoZyIx7UvdxT5c8UkMzHd,Teenage Fantasy,0fIFjeeLJjIBliWUCsxyMF
Jorja Smith,1CoZyIx7UvdxT5c8UkMzHd,Where Did I Go?,79OKfIXCPbNhZa3h1ZREag
Jorja Smith,1CoZyIx7UvdxT5c8UkMzHd,February 3rd,3c5gLGgwRrE7sQYSNHCXEj
Jorja Smith,1CoZyIx7UvdxT5c8UkMzHd,On Your Own,6LP5qQvZAvR6PNZqysxmhS
Jorja Smith,1CoZyIx7UvdxT5c8UkMzHd,The One,1Ahp4PZ1vzdbzBCedUrsqI
Jorja Smith,1CoZyIx7UvdxT5c8UkMzHd,Wandering Romance,3ljkahwsdk97GG9g73l6w3
Jorja Smith,1CoZyIx7UvdxT5c8UkMzHd,Blue Lights,1It1TxBK3xIQAB4xJkPevn
Jorja Smith,1CoZyIx7UvdxT5c8UkMzHd,Lifeboats (Freestyle),02DylNP4HxYaYMbqM4dGHr
Jorja Smith,1CoZyIx7UvdxT5c8UkMzHd,Goodbyes,4CYBfRX3oEPni9Elqm8Bnt
Jorja Smith,1CoZyIx7UvdxT5c8UkMzHd,Tomorrow,14qLa09blyCJdkRJRQ8lpV
Jorja Smith,1CoZyIx7UvdxT5c8UkMzHd,Don't Watch Me Cry,202lm9YX5WmAac83tOGlVn
Jorja Smith,1CoZyIx7UvdxT5c8UkMzHd,Blue Lights - RISE Recording,5Ktx7NNkDBI1WM3SCNEzOU
Jorja Smith,1CoZyIx7UvdxT5c8UkMzHd,Blue Lights - RISE Recording,4dTcDvxwNZ8oqmmBSiXr5I
Jorja Smith,1CoZyIx7UvdxT5c8UkMzHd,February 3rd,5OA7eJqztQr6G6Xzo6eu55
Jorja Smith,1CoZyIx7UvdxT5c8UkMzHd,Teenage Fantasy,0Hza76Qom7WsXrTQ8A5DIp
Jorja Smith,1CoZyIx7UvdxT5c8UkMzHd,Where Did I Go?,1TBH5ASgdKYZypFqLlZFRs
Jorja Smith,1CoZyIx7UvdxT5c8UkMzHd,Blue Lights,1cfs0qXoMWheM0s8Rq7jf0
Jorja Smith,1CoZyIx7UvdxT5c8UkMzHd,Let Me Down - Shy FX Remix,4Qt4enkYft1kDnQOqeNLjK
Jorja Smith,1CoZyIx7UvdxT5c8UkMzHd,Let Me Down,7qYwkz7t9JeEl2qFXfI47S
Jorja Smith,1CoZyIx7UvdxT5c8UkMzHd,"Teenage Fantasy - Recorded at Metropolis Studios, London",4dSCmsx1GjA7te9KJ6Jm8R
Jorja Smith,1CoZyIx7UvdxT5c8UkMzHd,"Lost - Recorded at Metropolis Studios, London",5wjdouk5wQxXkmTeyOC12M
Jorja Smith,1CoZyIx7UvdxT5c8UkMzHd,On My Mind (Acoustic),4ktAIutrCjL3oD9rR1aEWU
Jorja Smith,1CoZyIx7UvdxT5c8UkMzHd,On My Mind (Preditah Vip Mix),1OYox2ZDYmgng8cWP36jnE
