Artist,Artist_id,Song,Song_id
Russell Dickerson,1E2AEtxaFaJtH0lO7kgNKw,Every Little Thing,4EpLU30bi1KNWkBTfgZkoK
Russell Dickerson,1E2AEtxaFaJtH0lO7kgNKw,Yours,6RSNKGdv3nDTHqgw4bdzyF
Russell Dickerson,1E2AEtxaFaJtH0lO7kgNKw,Blue Tacoma,2oPCR02nduYVpj7CTfsA0d
Russell Dickerson,1E2AEtxaFaJtH0lO7kgNKw,Billions,3EyixzHY3pQOGJH1spPKRv
Russell Dickerson,1E2AEtxaFaJtH0lO7kgNKw,All Fall Down,70aSuZZFV5eaEohwqJYfb2
Russell Dickerson,1E2AEtxaFaJtH0lO7kgNKw,Float,6eETQ4unihq9lQlhdGzKW5
Russell Dickerson,1E2AEtxaFaJtH0lO7kgNKw,MGNO,2Ktqf6qq4JdYaYDjWmS1T7
Russell Dickerson,1E2AEtxaFaJtH0lO7kgNKw,Would You Love Me,5YzRWiQtBigRC7fGFUpGbZ
Russell Dickerson,1E2AEtxaFaJtH0lO7kgNKw,Low Key,0TRt5XHzpJoI7nW2bJFgUC
Russell Dickerson,1E2AEtxaFaJtH0lO7kgNKw,You Look Like A Love Song,3E6yS638mzX8YcQZntCcjE
Russell Dickerson,1E2AEtxaFaJtH0lO7kgNKw,twentysomething,08U5qkrOjJbXqHZyxMBH1s
Russell Dickerson,1E2AEtxaFaJtH0lO7kgNKw,Yours - Wedding Edition,0vBMmF78QgtWY6dDNDPhbv
Russell Dickerson,1E2AEtxaFaJtH0lO7kgNKw,Die To Live Again,2kfzB32Pd4dG6uekNvif96
Russell Dickerson,1E2AEtxaFaJtH0lO7kgNKw,Something Good,5DtJsKEGKYJI3HFEpe6Sej
Russell Dickerson,1E2AEtxaFaJtH0lO7kgNKw,Can't Quit You,62ngbpM4vF9KiF6iRpkUDQ
Russell Dickerson,1E2AEtxaFaJtH0lO7kgNKw,Driving In The Rain,6dxcCNDG6YJZYRgK3ACW0j
Russell Dickerson,1E2AEtxaFaJtH0lO7kgNKw,Better Off Lovers,1WyCxtZNRQ8QsJLVA0aRMA
Russell Dickerson,1E2AEtxaFaJtH0lO7kgNKw,0 to 60,6D7P59fPGiVId356ycR5NY
Russell Dickerson,1E2AEtxaFaJtH0lO7kgNKw,Where I'm Gonna Be,60ppD7FL3xQdwFpWnKMunJ
Russell Dickerson,1E2AEtxaFaJtH0lO7kgNKw,Blue Tacoma - Recorded at Sound Stage Studios Nashville,2j8r46vPmaj1O1G1R6r3il
Russell Dickerson,1E2AEtxaFaJtH0lO7kgNKw,Man in the Mirror - Recorded at Sound Stage Studios Nashville,4olvbCz8avPRUGi5l6hz7b
Russell Dickerson,1E2AEtxaFaJtH0lO7kgNKw,Yours - intl mix,34lL92tDUFfTCD85nuVRrC
Russell Dickerson,1E2AEtxaFaJtH0lO7kgNKw,That's My Girl,15KIxlXlomcNwSelqVvLcF
Russell Dickerson,1E2AEtxaFaJtH0lO7kgNKw,Answer to No One (feat. JJ Lawhorn),7ASY9CO2mwc4rqnQ0nwZlb
Russell Dickerson,1E2AEtxaFaJtH0lO7kgNKw,Drivin Around Song (feat. Jason Aldean),2CpeuqVSpDG8SYWAXkCj0m
Russell Dickerson,1E2AEtxaFaJtH0lO7kgNKw,All in (feat. Kix Brooks),3koPX9jHlHl065nouma1Gf
Russell Dickerson,1E2AEtxaFaJtH0lO7kgNKw,Aint Out of the Woods Yet (feat. Montgomery Gentry),29NYfHt5c5eAjAFuo53Ugu
Russell Dickerson,1E2AEtxaFaJtH0lO7kgNKw,Lucky (feat. Jonathan Singleton),54HfoRszOcgosGDOs5uHqT
Russell Dickerson,1E2AEtxaFaJtH0lO7kgNKw,Back (feat. Jake Owen),6XxiVu5kjCRtJCzx6je0Ch
Russell Dickerson,1E2AEtxaFaJtH0lO7kgNKw,Dancin While Intoxicated (DWI) [feat. Lo Cash Cowboys & Redneck Social Club],2kYiUYivOkOZi3uyPtvUrI
Russell Dickerson,1E2AEtxaFaJtH0lO7kgNKw,Its All (feat. Jeffrey Steele),0EIQsDRQJzUxnzNuprmN8C
Russell Dickerson,1E2AEtxaFaJtH0lO7kgNKw,Hugh Damn Right (feat. Laura Bell Bundy),3pnTK60UjBGVO8JMikYAcS
Russell Dickerson,1E2AEtxaFaJtH0lO7kgNKw,Room At the Bar (feat. Corey Smith),3L5i7Mt9Y0XkEeVz1DlmIP
Russell Dickerson,1E2AEtxaFaJtH0lO7kgNKw,All of My Tomorrows (feat. Russell Dickerson),2vhgxsLCX933KOYHljocqJ
Russell Dickerson,1E2AEtxaFaJtH0lO7kgNKw,Happy in Hell (feat. Wanya Morris),7cqc3ckusdRREe5MfgUkg4
Russell Dickerson,1E2AEtxaFaJtH0lO7kgNKw,50/50,1giMy33beJB26unN4BbyOj
Russell Dickerson,1E2AEtxaFaJtH0lO7kgNKw,Way Too Early (feat. Darius Rucker),5W4BhgjsJmmtB4HUqrPeST
Russell Dickerson,1E2AEtxaFaJtH0lO7kgNKw,Angels & Demons (feat. Lamar Williams Jr.),6YlYsjmzxJk5Hp0CZ3O76i
Russell Dickerson,1E2AEtxaFaJtH0lO7kgNKw,Answer to No One (feat. JJ Lawhorn),59bx5emG4yTKWzAxwxgrKv
Russell Dickerson,1E2AEtxaFaJtH0lO7kgNKw,Drivin Around Song (feat. Jason Aldean),5BzDjeCZYxDd35rYSWY0yk
Russell Dickerson,1E2AEtxaFaJtH0lO7kgNKw,All In (feat. Kix Brooks),1sEp8NuaatdGb6ue1w2Frw
