Artist,Artist_id,Song,Song_id
JJ Grey & Mofro,1Jl8u1U1GtBlwocZK5LWZv,Everything Is A Song,5EVYDIqz8nt8mpKEMt6sgo
JJ Grey & Mofro,1Jl8u1U1GtBlwocZK5LWZv,The Island,4BIEvLhqt3j9Cob7TGZoMK
JJ Grey & Mofro,1Jl8u1U1GtBlwocZK5LWZv,Every Minute,4sIC8rHh2UIV6lmDJZRBZY
JJ Grey & Mofro,1Jl8u1U1GtBlwocZK5LWZv,A Night To Remember,12j7ZgSRLBT6XFEQxOpyy7
JJ Grey & Mofro,1Jl8u1U1GtBlwocZK5LWZv,Light A Candle,1C8VcJ5y82ak2ZaxiL0GfS
JJ Grey & Mofro,1Jl8u1U1GtBlwocZK5LWZv,Turn Loose,5UOmSp6yOeY7V1Jy5LKKbF
JJ Grey & Mofro,1Jl8u1U1GtBlwocZK5LWZv,Brave Lil' Fighter,4W2t4W7YwQYTa3Sp3IHFs2
JJ Grey & Mofro,1Jl8u1U1GtBlwocZK5LWZv,Home In The Sky,31xB9dSCrdJcWIAm3Ns7mv
JJ Grey & Mofro,1Jl8u1U1GtBlwocZK5LWZv,Hold On Tight,5rkclTLoAUboR7TEL1QsFP
JJ Grey & Mofro,1Jl8u1U1GtBlwocZK5LWZv,Tic Tac Toe,0NiEQOvhWOkYXZj8I9Vo4W
JJ Grey & Mofro,1Jl8u1U1GtBlwocZK5LWZv,Ol' Glory,3NLt5LyoF0ypvbCTtns4cC
JJ Grey & Mofro,1Jl8u1U1GtBlwocZK5LWZv,The Hurricane,00OysJz7eu4H0M752FJIsH
JJ Grey & Mofro,1Jl8u1U1GtBlwocZK5LWZv,"Santa Claus, True Love, & Freedom (Bonustrack)",4FHyyqC5B7GLwshTHl0H9Q
JJ Grey & Mofro,1Jl8u1U1GtBlwocZK5LWZv,"Your Lady, She's Shady",10NRHdsF5GeQ1FeMSkWs0I
JJ Grey & Mofro,1Jl8u1U1GtBlwocZK5LWZv,Somebody Else,51ZVRkFQV7d5nHbS0e2DAm
JJ Grey & Mofro,1Jl8u1U1GtBlwocZK5LWZv,Tame A Wild One,5gzjaaKp566EGn9hY3oLFO
JJ Grey & Mofro,1Jl8u1U1GtBlwocZK5LWZv,99 Shades Of Crazy,33mvfazt96EOUHIelnItUR
JJ Grey & Mofro,1Jl8u1U1GtBlwocZK5LWZv,The Ballad Of Larry Webb,2oq9jM5RVOu8xkGWSWnZMP
JJ Grey & Mofro,1Jl8u1U1GtBlwocZK5LWZv,Florabama,5gNW7MZElTqmLQGBQ0OdCD
JJ Grey & Mofro,1Jl8u1U1GtBlwocZK5LWZv,Standing On The Edge,0h6AZ7yIH8BhLKLtjT3yNP
JJ Grey & Mofro,1Jl8u1U1GtBlwocZK5LWZv,Write A Letter,02cgSXUmusO7WKsPn1fHlE
JJ Grey & Mofro,1Jl8u1U1GtBlwocZK5LWZv,Harp & Drums,2U7QD3bfSSz1s3eavPHK85
JJ Grey & Mofro,1Jl8u1U1GtBlwocZK5LWZv,This River,3vwB6Bt0P3RYlyO9St84Ol
JJ Grey & Mofro,1Jl8u1U1GtBlwocZK5LWZv,"Your Lady, She's Shady",2hDwO3NJrov2p6OF0auBYV
JJ Grey & Mofro,1Jl8u1U1GtBlwocZK5LWZv,Somebody Else,5fRjCMI9EqUU9KyoFUuyCd
JJ Grey & Mofro,1Jl8u1U1GtBlwocZK5LWZv,Tame A Wild One,1NL8UOWIF6fn8qbrGbueQD
JJ Grey & Mofro,1Jl8u1U1GtBlwocZK5LWZv,99 Shades of Crazy,7JtZqbPgw6WAlUTQedGM3K
JJ Grey & Mofro,1Jl8u1U1GtBlwocZK5LWZv,The Ballad of Larry Webb,7GjdqFYVyKHCEleo6VyrFg
JJ Grey & Mofro,1Jl8u1U1GtBlwocZK5LWZv,Florabama,1RMxV9GDXlWqqaOIW3bZgC
JJ Grey & Mofro,1Jl8u1U1GtBlwocZK5LWZv,Standing On The Edge,52wT5v4J71oOQxLtHJ4ap3
JJ Grey & Mofro,1Jl8u1U1GtBlwocZK5LWZv,Write A Letter,10v9IGveedbZxaXChyKRqi
JJ Grey & Mofro,1Jl8u1U1GtBlwocZK5LWZv,Harp and Drums,5PFGedL6DL6bp60x3LxSaT
JJ Grey & Mofro,1Jl8u1U1GtBlwocZK5LWZv,This River,0Om11wBNyPV12mNQaB3Xhn
JJ Grey & Mofro,1Jl8u1U1GtBlwocZK5LWZv,Country Ghetto,0PBeVHjLlPY0DRxE9Obr8q
JJ Grey & Mofro,1Jl8u1U1GtBlwocZK5LWZv,A Woman,0mZw4eB4hMgwjTkTTHy95u
JJ Grey & Mofro,1Jl8u1U1GtBlwocZK5LWZv,Brighter Days,1JT8lUbYHP3CMEdGORpS81
JJ Grey & Mofro,1Jl8u1U1GtBlwocZK5LWZv,Air,2jAUGI9AG4SktMhRHNrOKT
JJ Grey & Mofro,1Jl8u1U1GtBlwocZK5LWZv,War,4y5PtSfnPtGW2PRE3Z8w0Y
JJ Grey & Mofro,1Jl8u1U1GtBlwocZK5LWZv,Lochloosa,6gQdPJB50hjfPwM5Q9nG00
JJ Grey & Mofro,1Jl8u1U1GtBlwocZK5LWZv,Dirtfloorcracker,6gCePDp4IjWhlSf0OU9U1H
JJ Grey & Mofro,1Jl8u1U1GtBlwocZK5LWZv,Orange Blossoms,5zEEFQbQcWvQ3rgnjeRXj8
JJ Grey & Mofro,1Jl8u1U1GtBlwocZK5LWZv,Ho Cake,2OsM7dBnplQDZciPJ9p8iw
JJ Grey & Mofro,1Jl8u1U1GtBlwocZK5LWZv,The Sweetest Thing,2F3kVdRtyc1ll11lrzcfUi
JJ Grey & Mofro,1Jl8u1U1GtBlwocZK5LWZv,The Sun Is Shining Down,1lA8QavrtORS63K9KIrRsu
JJ Grey & Mofro,1Jl8u1U1GtBlwocZK5LWZv,On Fire,4f8AsxRzX7uS7DrKC4RiXR
JJ Grey & Mofro,1Jl8u1U1GtBlwocZK5LWZv,Diyo Dayo,43JxKbONy8TsWObMOptLbN
JJ Grey & Mofro,1Jl8u1U1GtBlwocZK5LWZv,King Hummingbird,27lxKdYLqussPZx8b7YMdH
JJ Grey & Mofro,1Jl8u1U1GtBlwocZK5LWZv,The Sweetest Thing,4eIWY5HO2a9t33FKx5gfvk
JJ Grey & Mofro,1Jl8u1U1GtBlwocZK5LWZv,All,2JwO0hYZtqvMrIIlY2z6aq
JJ Grey & Mofro,1Jl8u1U1GtBlwocZK5LWZv,Georgia Warhorse,0eB4Eu2g1pU6JZ3LHGo84t
JJ Grey & Mofro,1Jl8u1U1GtBlwocZK5LWZv,Gotta Know,5gjJuU946VGInN9gfJdOB5
