Artist,Artist_id,Song,Song_id
Anna Of The North,1mSJCvDX0W7Dn7S9C6vmvI,Moving On,5sZjL6QZ7yfaXOmgJI1r7u
Anna Of The North,1mSJCvDX0W7Dn7S9C6vmvI,Someone,6wrEnhx4sw0USAzbpWNiuH
Anna Of The North,1mSJCvDX0W7Dn7S9C6vmvI,Lovers,6q8onrzcka32nGVrnWYGBQ
Anna Of The North,1mSJCvDX0W7Dn7S9C6vmvI,Money,07HySFFyD5W4YjpXjXOKLf
Anna Of The North,1mSJCvDX0W7Dn7S9C6vmvI,Always,1GKxhVz5MGdRfzNKBlAcnD
Anna Of The North,1mSJCvDX0W7Dn7S9C6vmvI,Feels,2BfQc1DxbPFREB1gyzON9Q
Anna Of The North,1mSJCvDX0W7Dn7S9C6vmvI,Baby,2yC5fkbheXzVYEFZIUkGET
Anna Of The North,1mSJCvDX0W7Dn7S9C6vmvI,Friends,71bAQugadZL7hSKS9DUCbC
Anna Of The North,1mSJCvDX0W7Dn7S9C6vmvI,Fire,5mvLxXcwhadqp6OJ4mRb3v
Anna Of The North,1mSJCvDX0W7Dn7S9C6vmvI,All I Want,3ZYF8cV01HigmljsPaGFgn
Anna Of The North,1mSJCvDX0W7Dn7S9C6vmvI,Moving On,24NQOWo6SaaAsom60o1bJJ
Anna Of The North,1mSJCvDX0W7Dn7S9C6vmvI,Someone,4yLhnvblSHGLHwZgXRxJDQ
Anna Of The North,1mSJCvDX0W7Dn7S9C6vmvI,Lovers,1YuReti8J3UAQwedKtUD7U
Anna Of The North,1mSJCvDX0W7Dn7S9C6vmvI,Money,6cslTWVrCzDCmlb52HrpyA
Anna Of The North,1mSJCvDX0W7Dn7S9C6vmvI,Always,3pqUwaMCjEVNqXNnj8v7zV
Anna Of The North,1mSJCvDX0W7Dn7S9C6vmvI,Feels,23D3HvynbAZs33cakNXxN4
Anna Of The North,1mSJCvDX0W7Dn7S9C6vmvI,Baby,7sMyOavFCmwlLIkyfBuF6R
Anna Of The North,1mSJCvDX0W7Dn7S9C6vmvI,Friends,12xJJUNbrAwB7lqqMpkP69
Anna Of The North,1mSJCvDX0W7Dn7S9C6vmvI,Fire,22Z5FIfaMQ2TLrY6hElbjp
Anna Of The North,1mSJCvDX0W7Dn7S9C6vmvI,All I Want,6oNNUlmjEMSGly5VkinGP8
Anna Of The North,1mSJCvDX0W7Dn7S9C6vmvI,Moving On,0JK0gDlfNpKFHTMvogOCP5
Anna Of The North,1mSJCvDX0W7Dn7S9C6vmvI,Someone,2YL1ctD1fJA83aJPcnjjel
Anna Of The North,1mSJCvDX0W7Dn7S9C6vmvI,Lovers,45fAUkBTqnLogZ0tRDchFi
Anna Of The North,1mSJCvDX0W7Dn7S9C6vmvI,Money,5p80n4fWE8EDWWCpX350yD
Anna Of The North,1mSJCvDX0W7Dn7S9C6vmvI,Always,2DMwsQtI17UYUFlJd3QSwa
Anna Of The North,1mSJCvDX0W7Dn7S9C6vmvI,Feels,4pPwZWJiyDIRSbAJw3X1Jn
Anna Of The North,1mSJCvDX0W7Dn7S9C6vmvI,Baby,5YHIt2tZ0I3QHThgLQTPKY
Anna Of The North,1mSJCvDX0W7Dn7S9C6vmvI,Friends,6OzQy9iy8uN7YDNxHBtXv4
Anna Of The North,1mSJCvDX0W7Dn7S9C6vmvI,Fire,5fkM6vcniSGptmkxytFqMg
Anna Of The North,1mSJCvDX0W7Dn7S9C6vmvI,All I Want,0HAyfbEGwOYPHPY0xKBgHE
Anna Of The North,1mSJCvDX0W7Dn7S9C6vmvI,Nothing Compares 2 U,54OkZltlupE2xB0i0lAfzi
Anna Of The North,1mSJCvDX0W7Dn7S9C6vmvI,Nothing Compares 2 U,1gArvdd9tGgZZPV1aLRKQG
Anna Of The North,1mSJCvDX0W7Dn7S9C6vmvI,Baby - Acoustic,3GUxADI8Vyys1y2EFJ1bSi
Anna Of The North,1mSJCvDX0W7Dn7S9C6vmvI,Baby (Acoustic),59VBVXLI5nbg08xDMn436t
Anna Of The North,1mSJCvDX0W7Dn7S9C6vmvI,Sway - Acoustic,3eacKh3aXQFJBZoHv9zlkB
Anna Of The North,1mSJCvDX0W7Dn7S9C6vmvI,Someone - Acoustic,0XdfswlHulnS5TUzxvSPMN
Anna Of The North,1mSJCvDX0W7Dn7S9C6vmvI,Someone - Acoustic,3VYqqajGtsr2Pdt5oALE7O
Anna Of The North,1mSJCvDX0W7Dn7S9C6vmvI,Someone - Acoustic,34Wk86fICiHp54li7AEMDm
Anna Of The North,1mSJCvDX0W7Dn7S9C6vmvI,Lovers - Jim-E Stack Remix,0pDzACzX33WjIBr8eu9B7l
Anna Of The North,1mSJCvDX0W7Dn7S9C6vmvI,Lovers - Jim-E Stack Remix,6WaEo1ZNIEl1ISCEejmFXk
Anna Of The North,1mSJCvDX0W7Dn7S9C6vmvI,Lovers - Jim-E Stack Remix,3zjGc8w7MqDkYQotTWCt8g
Anna Of The North,1mSJCvDX0W7Dn7S9C6vmvI,Always,2cDmpWvXMaWAQwQWaIT956
Anna Of The North,1mSJCvDX0W7Dn7S9C6vmvI,Fire,403d0z5N06wE5noeeue4aC
Anna Of The North,1mSJCvDX0W7Dn7S9C6vmvI,Fire,7FA2dpOcNEUsjsrELKOW0l
Anna Of The North,1mSJCvDX0W7Dn7S9C6vmvI,Money,2tMVRdPAQwn8QFRJUWKAJ5
Anna Of The North,1mSJCvDX0W7Dn7S9C6vmvI,Money,1LCpWvc1WNjGDXB8qaVkat
Anna Of The North,1mSJCvDX0W7Dn7S9C6vmvI,Someone,6jhgymxm1Ang8O7KfdUIgC
