Artist,Artist_id,Song,Song_id
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,American Love,5b1dtiXVrYE5f4plNkE8ra
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,After Midnight,7fQuHUNQRLkRevQv6z0Eii
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,Where I Am,2rsQn9erNfV1U6z8XyLk1h
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,Everybody Dies Young,3siucBIyMJ6MvDbymO1kgH
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,VW Van,0HLoOLMfvYJpMba3gC4Z3R
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,Good Company,0z87h9TTEDeNNh2N0cLaA1
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,LAX,5XqxGgqQoqkbH57Tz9Cq2E
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,If He Ain't Gonna Love You,01d1xDpVNB2xQKlEA2ZTps
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,When You Love Someone,5Gm4zs3FQE6X2RlZb0slwY
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,You Ain't Going Nowhere,5JZQNAaDhXrKkTwt6hCIGI
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,American Country Love Song,0O1x2tRm8ZpfDbcpOWZp7z
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,Days of Gold,2hkigpzY7zG3ZSZHWMvYtb
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,Beachin',1toOFsCNcDRVMouEEYNDEA
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,1972,4AyONL6pqAHYs2Y1v7z2Xr
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,Ghost Town,3ykI9NSi6N0CmCVjjaecCl
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,Life of the Party,4vxkrsXOIagZuonNyE9kzg
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,Good Timing,6fg8bAnKYTbFbYqhZgnUt0
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,Tall Glass of Something,4YZxc9FhKz63Fy7fN3jt39
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,One Little Kiss (Never Killed Nobody),1DIkatJKFrloqdhRVC6Ijp
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,What We Ain't Got,05DyjfN75tUXLwBLnSi6bf
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,Tipsy,27lfpXrvN7VS832A5wNKP7
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,Drivin' All Night,6pKc3mM9VgXH5e4TVHUK7f
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,Sure Feels Right,7pp7Swm40ozJhIZ85ydyXf
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,After the Music's Stopped,1JODw3Bt87xpXw5Pw4Phjz
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,I Like You a Lot,2tCsplcSRQAFnA1TeDDas0
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,Summer Jam (feat. Florida Georgia Line),1uaORxvjlpGSLouYxVd1RF
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,Surefire Feeling,3NEGbHFn5eHMTRQ2MbIBHy
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,Days of Gold,5ETe7SElBIgm2NAZY3SpX4
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,Beachin',5dNGORzxFb5z3v7vSAFkTU
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,1972,1o4GudIOavXLhzmgFbvPgr
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,Ghost Town,0bvEKvSwtUFIz3cTo0Otjg
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,Life of the Party,4AyfPPuhqgQP6vhpjnkAIm
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,Good Timing,1VGIXnd0GumOq0saCaLDQ0
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,Tall Glass of Something,7pkpJKAySqquRwWGRaRRTX
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,One Little Kiss (Never Killed Nobody),022wkcvRBeCFJuZjWzLuQw
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,What We Ain't Got,3obQ7Qx6YZt8r1KvTv7uk3
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,Tipsy,5fqclhBCkOrqDwE84JxUWZ
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,Drivin' All Night,3qh7eMvXXKWy7p9Nca3qoZ
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,Sure Feels Right,4XvBkUfdKFQZiWLVpDMp46
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,Anywhere With You,2yWtLaPCOUDyi7f1lOXCn5
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,Keepin' It Country,4u5D3bBhlIVvnrSdNqKyER
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,Wide Awake,1LwYGJMV3LQ2hUf0X1krUH
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,Barefoot Blue Jean Night,3ts6xK5GzfMAAriT9AIBmP
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,Heaven,5MVWpkc72ny7L65c8FGA1G
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,Apple Pie Moonshine,4zD1xwm81u5YDjnMTfmSCT
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,The Journey Of Your Life,3TH3T1suYKJF8VaCLuiZRp
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,Alone With You,2Xdatbm43IXEVi0wmKeJve
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,Settin' The World On Fire,2kmP39dnNi6suhDnylWfP9
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,Nobody Feelin' No Pain,1Z1SatDXCRoCRq6lvz1AeA
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,The One That Got Away,7oizkVPKiJYU5CyTjrcVp0
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,Tell Me,57Pzf1NYNeNLOtTl4zLVO5
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,Eight Second Ride,0XjXQDJpajDzCdpazp1562
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,Easy Does It,6hcUcx11FDxIAbXSAHB3GB
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,Don't Think I Can't Love You,1SoP2zC2ttcI2zjuRsQ5xx
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,Cherry On Top,6OXSbIXoa3rsCGOt9CwlqD
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,Who Said Whiskey - Was Meant To Drink A Woman Away,7jryPIHQTVYtrZqJZiDpE7
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,Green Bananas,0YdHoLPHSb3ijYoyu10Ifo
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,Anything For You,5GGANYNLcbVIKNoPRtJlYi
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,Every Reason I Go Back,2bZI07vyPDjlh0MI2judp3
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,Nothin' Grows In Shadows,5WDZCJq5xMvMxLKgsmYqaf
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,The Bad In Me,1OPZZRb7dokIJ0b5CcIFbf
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,Something About A Woman,0LrfF2AH9KTlySp6MJEWVy
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,Startin' With Me,5bQ8psGbXl0heZAiwG9jW6
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,Yee Haw,32C5of1pAeU7IeEbGiLWAo
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,Ghosts,6U0bQ1e8VktD1ecGdwNpfA
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,Eight Second Ride,6FcLwLlOZhwn1sVbS0LOvJ
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,Hard Not To Love You,34esXMKHZPK3wkhs5305Pd
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,The Bottle And Me,6rBdoau4n2Ubu3NvH0QH13
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,Places To Run,4eEuGpw488clSytvQikQlU
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,Long Night With You,3FXuwS3MCdRxLBYj40uO9p
Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,You Can Thank Dixie - Duet With Randy Owen,3D7zBnRiCkbCafeLLaOfyv
