Artist,Artist_id,Song,Song_id
Rich The Kid,1pPmIToKXyGdsCF6LmqLmI,World Is Yours,6I6l5hEEVc7IQqMtRJWguT
Rich The Kid,1pPmIToKXyGdsCF6LmqLmI,New Freezer (feat. Kendrick Lamar),2EgB4n6XyBsuNUbuarr4eG
Rich The Kid,1pPmIToKXyGdsCF6LmqLmI,No Question (feat Future),26oZOwsCywHXPRvLVORbgw
Rich The Kid,1pPmIToKXyGdsCF6LmqLmI,Leave Me,3yAVrwXhueRFZMUjxkh2ia
Rich The Kid,1pPmIToKXyGdsCF6LmqLmI,Plug Walk,1ZAyjvIk9YiD76yYy0TEG6
Rich The Kid,1pPmIToKXyGdsCF6LmqLmI,Too Gone (feat. Khalid),7weyB4Zuj9QDwQrFbveSpG
Rich The Kid,1pPmIToKXyGdsCF6LmqLmI,Made It (feat. Jay Critch & Rick Ross),5ids0a6BGu6Q3bGmxcLC8Q
Rich The Kid,1pPmIToKXyGdsCF6LmqLmI,Drippin' (feat. Chris Brown),0WbRIcUbmPUd8DIYcH13oD
Rich The Kid,1pPmIToKXyGdsCF6LmqLmI,Lost It (feat. Quavo & Offset),68449VKGwYShObwI2UFdFt
Rich The Kid,1pPmIToKXyGdsCF6LmqLmI,End Of Discussion (feat. Lil Wayne),4nSSZHI4FUIiQOJELTTZdS
Rich The Kid,1pPmIToKXyGdsCF6LmqLmI,Early Morning Trappin (feat. Trippie Redd),5I9ToLsF7Rrt9PZ71uk0Qq
Rich The Kid,1pPmIToKXyGdsCF6LmqLmI,Small Things,1NMd9nujZzEGN34BtpO8Xf
Rich The Kid,1pPmIToKXyGdsCF6LmqLmI,Listen Up,0p2HZtrsoJKgIYVAx0XDA5
Rich The Kid,1pPmIToKXyGdsCF6LmqLmI,Gargoyle (feat. Swae Lee & Offset),0gGBye5WT5kKMXZczipVwK
Rich The Kid,1pPmIToKXyGdsCF6LmqLmI,Dead Friends,0lZ3yLWp2pAWExImZVSGJ3
Rich The Kid,1pPmIToKXyGdsCF6LmqLmI,World Is Yours,5RhQGJwJs2An2QMXXA7jyG
Rich The Kid,1pPmIToKXyGdsCF6LmqLmI,New Freezer (feat. Kendrick Lamar),46QaUzruf6TfPUvs0fEfvi
Rich The Kid,1pPmIToKXyGdsCF6LmqLmI,No Question (feat. Future),3QM7CPtDbKb3XqgasSGAh8
Rich The Kid,1pPmIToKXyGdsCF6LmqLmI,Leave Me,1gRftUMuIVIRv77CkxL3O2
Rich The Kid,1pPmIToKXyGdsCF6LmqLmI,Plug Walk,6C9dcR1bHXWVzD9sq3gRi9
Rich The Kid,1pPmIToKXyGdsCF6LmqLmI,Too Gone (feat. Khalid),6071mg7dy6WfCJ4fPhpE9n
Rich The Kid,1pPmIToKXyGdsCF6LmqLmI,Made It (feat. Jay Critch & Rick Ross),6MhltDZzwCPr4B7G9ZCoeo
Rich The Kid,1pPmIToKXyGdsCF6LmqLmI,Drippin' (feat. Chris Brown),2cnnrup1OarIDC9aNb55Zv
Rich The Kid,1pPmIToKXyGdsCF6LmqLmI,Lost It (feat. Quavo & Offset),52X4UsiUDU0fkc1cJCHP4H
Rich The Kid,1pPmIToKXyGdsCF6LmqLmI,End Of Discussion (feat. Lil Wayne),0nj3bvcMjcQpn6Cf0jPJlj
Rich The Kid,1pPmIToKXyGdsCF6LmqLmI,Early Morning Trappin' (feat. Trippie Redd),3cDrN1YToa9jkjWSUCtw0L
Rich The Kid,1pPmIToKXyGdsCF6LmqLmI,Small Things,32PpqezxDRelgCMeMZVNCz
Rich The Kid,1pPmIToKXyGdsCF6LmqLmI,Listen Up,6Ksk5gbBbnCne2ApGM4U0j
Rich The Kid,1pPmIToKXyGdsCF6LmqLmI,Gargoyle (feat. Swae Lee & Offset),5NNawSZDTQ1oeSxg8K25BM
Rich The Kid,1pPmIToKXyGdsCF6LmqLmI,Dead Friends,6haRyYS6FT6Eppkv8H7Ufz
Rich The Kid,1pPmIToKXyGdsCF6LmqLmI,Mo Paper,13H2hdEQe1gZZZhtBK9xcq
Rich The Kid,1pPmIToKXyGdsCF6LmqLmI,Mo Paper,7ASi7ZhCGb2ji8YBvhjzYh
Rich The Kid,1pPmIToKXyGdsCF6LmqLmI,Pablo (with Sfera Ebbasta & Rich The Kid feat. Moneybagg Yo & Lil Baby) - Remix,2lrIPpxDadBhgbwlkrFZc2
Rich The Kid,1pPmIToKXyGdsCF6LmqLmI,Pablo (with Sfera Ebbasta & Rich The Kid feat. Moneybagg Yo & Lil Baby) - Remix,4jKxsjvWf9JbHoiiTG2dAO
Rich The Kid,1pPmIToKXyGdsCF6LmqLmI,Echa Pa Aca,6QTXUd5XHYoc2wpMCqMAZG
Rich The Kid,1pPmIToKXyGdsCF6LmqLmI,"Plug Walk (feat. Gucci Mane, YG, 2Chainz) - Remix",1vnsGFNWNANWMg0CAeMkl2
