Artist,Artist_id,Song,Song_id
Randy Travis,1pTuR132U5b4Rizal2Pr7m,On The Other Hand,7ANDxqv2bqZBNWlBFHoWFy
Randy Travis,1pTuR132U5b4Rizal2Pr7m,Diggin' Up Bones,7fCWIakG0xDPayT3OX5hnD
Randy Travis,1pTuR132U5b4Rizal2Pr7m,"Forever And Ever, Amen",7x7FwnUbGvpp82CwuTCeIT
Randy Travis,1pTuR132U5b4Rizal2Pr7m,I Won't Need You Anymore,12Vo6mwq7to73MqGt4JbGf
Randy Travis,1pTuR132U5b4Rizal2Pr7m,"Too Gone, Too Long",1kbPUVu865ZKXvf5nMnLnJ
Randy Travis,1pTuR132U5b4Rizal2Pr7m,I Told You So,6Zt7E7exTQENPJFjuFgZpJ
Randy Travis,1pTuR132U5b4Rizal2Pr7m,Honky Tonk Moon,33tCXFaLiKm6jdxWsxBVkL
Randy Travis,1pTuR132U5b4Rizal2Pr7m,Deeper Than The Holler,7ceqUHT5C7pusLR2CQgoxb
Randy Travis,1pTuR132U5b4Rizal2Pr7m,Is It Still Over?,5LrOeu7a2hWpjkx7B8quGZ
Randy Travis,1pTuR132U5b4Rizal2Pr7m,It's Just A Matter Of Time,1C6zVOZqYQCbXNUZPzUtmu
Randy Travis,1pTuR132U5b4Rizal2Pr7m,Hard Rock Bottom Of Your Heart,0QrjkDvH06SKE8LXq3VTA3
Randy Travis,1pTuR132U5b4Rizal2Pr7m,If I Didn't Have You,52erNkfUKv34u02CjcHOPj
Randy Travis,1pTuR132U5b4Rizal2Pr7m,"Look Heart, No Hands",4ZfZpMslafgFpTmEg3Tvla
Randy Travis,1pTuR132U5b4Rizal2Pr7m,Whisper My Name,6GIrDziF3se00DNPxDJWHR
Randy Travis,1pTuR132U5b4Rizal2Pr7m,Three Wooden Crosses,1S4fpfX2u0hzFD9vb6FEB6
Randy Travis,1pTuR132U5b4Rizal2Pr7m,I'm Movin' On,2GorxRcxNEuz3DX7lM9Ur8
Randy Travis,1pTuR132U5b4Rizal2Pr7m,Set 'Em Up Joe,1108Cr9UcAuAN2Jd9beE3y
Randy Travis,1pTuR132U5b4Rizal2Pr7m,Are The Good Times Really Over,3rH4Bbh50mXhZkR7weE1fy
Randy Travis,1pTuR132U5b4Rizal2Pr7m,You Nearly Lose Your Mind,1O3vZVu4ovoibiISz3ev65
Randy Travis,1pTuR132U5b4Rizal2Pr7m,There I've Said It Again,6Krp7yQ0Q6gylxkrSVy9lO
Randy Travis,1pTuR132U5b4Rizal2Pr7m,That's The Way Love Goes,1z27smm1DuS5CpwXhLmYNj
Randy Travis,1pTuR132U5b4Rizal2Pr7m,Sunday Morning Coming Down,2507CLdTAZHvER4FWcdQvW
Randy Travis,1pTuR132U5b4Rizal2Pr7m,Don't Worry 'Bout Me,4Of1WkPMMkRgq9oGDSef2j
Randy Travis,1pTuR132U5b4Rizal2Pr7m,Mind Your Own Business,6NbhPVmSqF9BsCiCtZLjLb
Randy Travis,1pTuR132U5b4Rizal2Pr7m,Only Daddy That'll Walk The Line,4XtKilhbr31ZC1LzDolCvO
Randy Travis,1pTuR132U5b4Rizal2Pr7m,For The Good Times,2SfCZaYUHEeYdN2YmdTtvE
Randy Travis,1pTuR132U5b4Rizal2Pr7m,California Blues,4LRi4ey56ttSrDlFIQxmpc
Randy Travis,1pTuR132U5b4Rizal2Pr7m,Tonight I'm Playin' Possum,5TToUNHGmHciV962yOwiCE
Randy Travis,1pTuR132U5b4Rizal2Pr7m,Blessed Assurance,35TKPIJz9C460u5GKsCNOw
Randy Travis,1pTuR132U5b4Rizal2Pr7m,How Great Thou Art,33X6azkwr7h0OAsCCwaex2
Randy Travis,1pTuR132U5b4Rizal2Pr7m,In the Garden,75CeRHCypZT6R7z6j4xuya
Randy Travis,1pTuR132U5b4Rizal2Pr7m,Softly and Tenderly,1UJzvTGQgFiXXd8z08cWb5
Randy Travis,1pTuR132U5b4Rizal2Pr7m,Nothing But the Blood,4tLGpXPqBLWdM4U41Rr9Wp
Randy Travis,1pTuR132U5b4Rizal2Pr7m,Shall We Gather At the River?,5H2s2zFKCvgUPJJ75zSyCK
Randy Travis,1pTuR132U5b4Rizal2Pr7m,"O, How I Love Jesus",2RarilIiDvcxfhhXhA8Y7V
Randy Travis,1pTuR132U5b4Rizal2Pr7m,I'll Fly Away,703kFoRGupQ2G1ig2ktEk2
