Artist,Artist_id,Song,Song_id
Lil Dicky,1tqhsYv8yBBdwANFNzHtcr,Meet the Burds (Interlude),49pteMi1tXYkOLFFepJGpM
Lil Dicky,1tqhsYv8yBBdwANFNzHtcr,Professional Rapper (feat. Snoop Dogg),1Ysc1uDZtf430TGavoS1j4
Lil Dicky,1tqhsYv8yBBdwANFNzHtcr,Who Knew,2AqGzt3g1L447rpkfqByiR
Lil Dicky,1tqhsYv8yBBdwANFNzHtcr,Lemme Freak,0egGmGkZ8maYdEYo4RrVsZ
Lil Dicky,1tqhsYv8yBBdwANFNzHtcr,Lemme Freak For Real Tho (Outro),2aYUz23hZ5Kl24yetXFwKf
Lil Dicky,1tqhsYv8yBBdwANFNzHtcr,White Crime,1tA9cQEtQPvUdcndCUcP9E
Lil Dicky,1tqhsYv8yBBdwANFNzHtcr,Molly (feat. Brendon Urie of Panic at the Disco),0NBiC3zLXoBQXBjsbnbwJq
Lil Dicky,1tqhsYv8yBBdwANFNzHtcr,Bruh...,7F6oEeRgjOoesYz8qOov7p
Lil Dicky,1tqhsYv8yBBdwANFNzHtcr,Hannibal Interlude (feat. Hannibal Buress),7xVwwsQeCIYYafI9hiehii
Lil Dicky,1tqhsYv8yBBdwANFNzHtcr,$ave Dat Money (feat. Fetty Wap & Rich Homie Quan),6AoYWCzsDls6c61Zp5qTuU
Lil Dicky,1tqhsYv8yBBdwANFNzHtcr,Oh Well (feat. Jace of Two-9),68YfQwG4xRbYgoNvJeXerY
Lil Dicky,1tqhsYv8yBBdwANFNzHtcr,Personality (feat. T Pain),5NLT6uux4omoMlIFlBxRSI
Lil Dicky,1tqhsYv8yBBdwANFNzHtcr,Pillow Talking (feat. Brain),4lh1PamTsomWbFpkOPyfrD
Lil Dicky,1tqhsYv8yBBdwANFNzHtcr,Parental Advisory (Interlude),6e9hppTnLvAsHiTFRvPbOe
Lil Dicky,1tqhsYv8yBBdwANFNzHtcr,Classic Male Pregame,2fHzbtU4BBHCXRkGME24zd
Lil Dicky,1tqhsYv8yBBdwANFNzHtcr,The Antagonist,2topeNvclsOPtNxPlsKb2j
Lil Dicky,1tqhsYv8yBBdwANFNzHtcr,The Antagonist II,64H3kZaBMnTErYa4n8UQai
Lil Dicky,1tqhsYv8yBBdwANFNzHtcr,Parents Still Don't Understand (Interlude),3VH6OsFMRUBWsLOlS5IiXB
Lil Dicky,1tqhsYv8yBBdwANFNzHtcr,Work (Paid for That?),1AYTfIsCMLc6tTBkTbtzP9
Lil Dicky,1tqhsYv8yBBdwANFNzHtcr,Truman,66LEC8sTiqD1UnoQtlTOue
Lil Dicky,1tqhsYv8yBBdwANFNzHtcr,Freaky Friday (feat. Chris Brown),10Igtw8bSDyyFs7KIsKngZ
Lil Dicky,1tqhsYv8yBBdwANFNzHtcr,Freaky Friday (feat. Chris Brown),6yYKLhmUaH1hJYDV1hMtP0
Lil Dicky,1tqhsYv8yBBdwANFNzHtcr,$ave Dat Money (feat. Fetty Wap & Rich Homie Quan),7j2nogXf1R0jhzWqxdR2FL
