Artist,Artist_id,Song,Song_id
PnB Rock,21WS9wngs9AqFckK7yYJPM,Friends,1atffWJCfUT5JMgGcCZ86s
PnB Rock,21WS9wngs9AqFckK7yYJPM,London,5IKv1ZnYKPjbRkdqf12HWb
PnB Rock,21WS9wngs9AqFckK7yYJPM,Face,5lxkPZ2kaSfkSF9CDyNNXm
PnB Rock,21WS9wngs9AqFckK7yYJPM,Scrub,3u8rA3dHlKK1xCb0JaXtpU
PnB Rock,21WS9wngs9AqFckK7yYJPM,Lovin' (feat. A Boogie Wit da Hoodie),2bwN9oZIn9XXSd8RlJ4FDM
PnB Rock,21WS9wngs9AqFckK7yYJPM,Issues (feat. Russ),1ysDVWxBj5Set0fA05TcyP
PnB Rock,21WS9wngs9AqFckK7yYJPM,Lowkey (feat. Roy Woods & 24hrs),0IfQ3quSR1gDREyXure6Yx
PnB Rock,21WS9wngs9AqFckK7yYJPM,iRun (feat. Lil Yachty),1HKkeROEODmj3oYFT82W8B
PnB Rock,21WS9wngs9AqFckK7yYJPM,TTM (feat. Wiz Khalifa & NGHTMRE),2lH43POZa4XHxydnZizET5
PnB Rock,21WS9wngs9AqFckK7yYJPM,WTS,2zDtRWFfZuCOHE58BKyRHn
PnB Rock,21WS9wngs9AqFckK7yYJPM,3X (feat. SmokePurpp),2vVRS2Kn3gw2IDMKdgn6ne
PnB Rock,21WS9wngs9AqFckK7yYJPM,VOICEMEMOWAV.4,6gn6QU6rh20zXTlPLeYFMR
PnB Rock,21WS9wngs9AqFckK7yYJPM,Pressure,16yr23h3DHEkzQqx3NHyL7
PnB Rock,21WS9wngs9AqFckK7yYJPM,Coupe,45COfnUtvASnQgdK3mTBZv
PnB Rock,21WS9wngs9AqFckK7yYJPM,Confide (feat. Juicy J),7MN2830IeYPiMb3ubMpgMW
PnB Rock,21WS9wngs9AqFckK7yYJPM,1Day (feat. Ugly God),1owDiGS4Kcl3MQJ8LnfrVT
PnB Rock,21WS9wngs9AqFckK7yYJPM,Feelins,03w1u0L5fS0F7izSUkdqS2
PnB Rock,21WS9wngs9AqFckK7yYJPM,Rewind,2aTUOXJgXvlQzK2KCcgYQt
PnB Rock,21WS9wngs9AqFckK7yYJPM,Friends,61KCWPcWGeQBCi4uMhZ9sZ
PnB Rock,21WS9wngs9AqFckK7yYJPM,London,3sjyKXRcq9BcjXntxPDHkI
PnB Rock,21WS9wngs9AqFckK7yYJPM,Face,59d1NZTVFM0Fa67oFFm6Dp
PnB Rock,21WS9wngs9AqFckK7yYJPM,Scrub,3mMspErS84OEJ7PSRajXz7
PnB Rock,21WS9wngs9AqFckK7yYJPM,Lovin' (feat. A Boogie Wit da Hoodie),6IIskp9p8MaQFSFcANcnWB
PnB Rock,21WS9wngs9AqFckK7yYJPM,Issues (feat. Russ),4U2dve6JhT8D3v4ouSe9wk
PnB Rock,21WS9wngs9AqFckK7yYJPM,Lowkey (feat. Roy Woods & 24hrs),5bLI8uyUPUJj1tEoGGhAEU
PnB Rock,21WS9wngs9AqFckK7yYJPM,iRun (feat. Lil Yachty),2ALN6Xs4D3r9bgx1LrrnP6
PnB Rock,21WS9wngs9AqFckK7yYJPM,TTM (feat. Wiz Khalifa & NGHTMRE),3DZr66FOND4n4SjtQCHFww
PnB Rock,21WS9wngs9AqFckK7yYJPM,WTS,7ztxstaA69QvigS3iF7DN3
PnB Rock,21WS9wngs9AqFckK7yYJPM,3X (feat. SmokePurpp),262YfbO2I9EZmQ9YceZIO4
PnB Rock,21WS9wngs9AqFckK7yYJPM,VOICEMEMOWAV.4,5Rj75YgLXMXc0GQm4YiQ1y
PnB Rock,21WS9wngs9AqFckK7yYJPM,Pressure,1xnOtnvvWg3DED6x8sKpfG
PnB Rock,21WS9wngs9AqFckK7yYJPM,Coupe,20XLOl7AF9Ux6v8PaJW1nx
PnB Rock,21WS9wngs9AqFckK7yYJPM,Confide (feat. Juicy J),6lRqmqEvRnyPo17D8SwYWa
PnB Rock,21WS9wngs9AqFckK7yYJPM,1Day (feat. Ugly God),0ampxOl0Q9MawWbeSG5bjd
PnB Rock,21WS9wngs9AqFckK7yYJPM,Feelins,4qooH8oh7pCLiRp3zyANqg
PnB Rock,21WS9wngs9AqFckK7yYJPM,Rewind,03G3TUh1vWxFTI6CrnuCzV
PnB Rock,21WS9wngs9AqFckK7yYJPM,Attention,10uqyl7h9RMDSHN1MDoWU4
PnB Rock,21WS9wngs9AqFckK7yYJPM,There She Go,0ORPtlRSmDasaKqmgnuMbC
PnB Rock,21WS9wngs9AqFckK7yYJPM,Playa No More,332JQaT9IA2SiJlGox8opM
PnB Rock,21WS9wngs9AqFckK7yYJPM,Selfish,2xbI8Vmyv3TkpTdywpPyNw
PnB Rock,21WS9wngs9AqFckK7yYJPM,Plans,0JShmrdJR870UDVIKaqZps
PnB Rock,21WS9wngs9AqFckK7yYJPM,Range Rover,3sKiazdkKXpfgWjr3Ljesu
PnB Rock,21WS9wngs9AqFckK7yYJPM,Notice Me,1rLWsLY98u9hcWePdfN2y5
PnB Rock,21WS9wngs9AqFckK7yYJPM,Hanging Up My Jersey,3vSrDgfNhlQRwKXJpl1DYo
PnB Rock,21WS9wngs9AqFckK7yYJPM,Smile,4dKJyK8dlnBcYCsDu86YN1
PnB Rock,21WS9wngs9AqFckK7yYJPM,Misunderstood,3nxgKa7boB4WjD0X01MXtJ
PnB Rock,21WS9wngs9AqFckK7yYJPM,Heart Racin',7zdLZ0czQeMzNsbub6Ichd
PnB Rock,21WS9wngs9AqFckK7yYJPM,Questions,4bBXBazYqsi1HUsrlPxUnf
PnB Rock,21WS9wngs9AqFckK7yYJPM,New Day,4C3PLDcSPXc08A9UuBMDz5
PnB Rock,21WS9wngs9AqFckK7yYJPM,Stand Back,2GN8cwTiUEUBxc03fsA0C0
PnB Rock,21WS9wngs9AqFckK7yYJPM,Attention,2adVP0vD2MjCeG0kG1QGya
PnB Rock,21WS9wngs9AqFckK7yYJPM,There She Go,0BEMlBwTIJ39jS7dALEMAv
PnB Rock,21WS9wngs9AqFckK7yYJPM,Playa No More,5XRyhqNrnpX2XWKYmixSfM
PnB Rock,21WS9wngs9AqFckK7yYJPM,Selfish,7MmHqOc14dtNUiOFS1uZyb
PnB Rock,21WS9wngs9AqFckK7yYJPM,Plans,7kGJnX0sGZNiFmJRpPsyat
PnB Rock,21WS9wngs9AqFckK7yYJPM,Range Rover,2DaXsVtzdIEyhCMLuWGwPK
PnB Rock,21WS9wngs9AqFckK7yYJPM,Notice Me,0pWeeAoP4q3i1oDbEUzr9Q
PnB Rock,21WS9wngs9AqFckK7yYJPM,Hanging Up My Jersey,4rDdoAvegcZuRy0sfUaDVm
PnB Rock,21WS9wngs9AqFckK7yYJPM,Smile,3EYo20XHxJWNn037kHgXk1
PnB Rock,21WS9wngs9AqFckK7yYJPM,Misunderstood,2DEsdwzVVls2VZABvblx2D
PnB Rock,21WS9wngs9AqFckK7yYJPM,Heart Racin',1jUKQ7Qt01TYF4eQoZKqBs
PnB Rock,21WS9wngs9AqFckK7yYJPM,Questions,35MTwqhw39qeO4rI3MAlEC
PnB Rock,21WS9wngs9AqFckK7yYJPM,New Day,0mtGNBDl0GVRcVdpAbEfUv
PnB Rock,21WS9wngs9AqFckK7yYJPM,Stand Back,31zWMuu0kpLt3UzfD5rKjZ
PnB Rock,21WS9wngs9AqFckK7yYJPM,Feelin Like Diddy,32k65gj9pfhjm0StVjDQ5r
PnB Rock,21WS9wngs9AqFckK7yYJPM,What U Want,2YM4jY4mxWnK0dy54E1rY7
PnB Rock,21WS9wngs9AqFckK7yYJPM,No Time,6CdkAjZAHPYkV6C9wjMi0L
PnB Rock,21WS9wngs9AqFckK7yYJPM,Ballin,7IC1AwrqsEoE9llMXT4hnX
PnB Rock,21WS9wngs9AqFckK7yYJPM,Who Changed?,5i4EDJkmeutsZZ89dfLuh1
PnB Rock,21WS9wngs9AqFckK7yYJPM,Fall N Luv,1wFUg9XcFI52wbaNarjDOo
PnB Rock,21WS9wngs9AqFckK7yYJPM,Right Now,1u1cQ75mDt5WUwmW4OY2mv
PnB Rock,21WS9wngs9AqFckK7yYJPM,Jealous (feat. Fetty Wap),4eVYSZGlUmcwaaje05anaF
PnB Rock,21WS9wngs9AqFckK7yYJPM,Ain't Me,6xktP5NhuMGbFfs1ygE423
PnB Rock,21WS9wngs9AqFckK7yYJPM,Band$ On You,3CiIH1sD0J49YN3BcYdUuN
PnB Rock,21WS9wngs9AqFckK7yYJPM,Aftermath,3IFk7JiWao8q31quKtsypf
PnB Rock,21WS9wngs9AqFckK7yYJPM,Alone,4Uk6jjFeLW6NH6GcZhldpU
PnB Rock,21WS9wngs9AqFckK7yYJPM,Free Da Real Pt. 2,3pjztBykgqbGB2NLsDGaHY
PnB Rock,21WS9wngs9AqFckK7yYJPM,Feelin Like Diddy,2a3FIyl4zTas4RuZD0ya7r
PnB Rock,21WS9wngs9AqFckK7yYJPM,What U Want,5OFenrVy9QpeZKZBf7Lida
PnB Rock,21WS9wngs9AqFckK7yYJPM,No Time,7rQiIn6QrgDGuIVniCobQl
PnB Rock,21WS9wngs9AqFckK7yYJPM,Ballin,2EYCe6vnC3zUU8UnPaMqux
PnB Rock,21WS9wngs9AqFckK7yYJPM,Who Changed?,13smNS1qlZmfgBXt9l1jCf
