Artist,Artist_id,Song,Song_id
The Growlers,2RhgnQNC74QoBlaUvT4MEe,Nevaeh,7LKF8xRf0o74B3r2Y41HzU
The Growlers,2RhgnQNC74QoBlaUvT4MEe,Problems III,7wmYgsLNRB9EpqpvR3hkvN
The Growlers,2RhgnQNC74QoBlaUvT4MEe,Heaven in Hell,4hQdpbUJTPVBYV7ebPK6NT
The Growlers,2RhgnQNC74QoBlaUvT4MEe,Pavement and the Boot,7dbjO9uZ6UM31N3OFu2udq
The Growlers,2RhgnQNC74QoBlaUvT4MEe,Decoy Face,2x6OBxwy6EVxLwlLMA4xaL
The Growlers,2RhgnQNC74QoBlaUvT4MEe,Orgasm of Death,4m3uMuu1gYYjZPtZvTOe6t
The Growlers,2RhgnQNC74QoBlaUvT4MEe,Drop Your Phone in the Sink,7fkWgq7xEnFc5NP71sMbdN
The Growlers,2RhgnQNC74QoBlaUvT4MEe,Thing for Trouble,4s1vbFFUByS8QgK83ICYgQ
The Growlers,2RhgnQNC74QoBlaUvT4MEe,Last Cabaret,4RExr9x20tvTxcAtCVVUJh
The Growlers,2RhgnQNC74QoBlaUvT4MEe,Casual Acquaintances,3biCP8Epe7TgjzR62RfJ1X
The Growlers,2RhgnQNC74QoBlaUvT4MEe,City Club,17jEoYoOfRD6dvNCMmC9n4
The Growlers,2RhgnQNC74QoBlaUvT4MEe,I'll Be Around,0JxNCIvcLphN1oAafpvDWW
The Growlers,2RhgnQNC74QoBlaUvT4MEe,Vacant Lot,67asRo6h3xBKz9S9Oewdgq
The Growlers,2RhgnQNC74QoBlaUvT4MEe,Night Ride,2ZQ3CJY6iddn38oOoPGKfb
The Growlers,2RhgnQNC74QoBlaUvT4MEe,Dope on a Rope,0SoPLeJAxzUh6rKBSzVeog
The Growlers,2RhgnQNC74QoBlaUvT4MEe,When You Were Made,0Dr7u3Dm8pwYe0aLZal1Xs
The Growlers,2RhgnQNC74QoBlaUvT4MEe,Rubber & Bone,4WmkSPSFkXMpWrzPJOiz1H
The Growlers,2RhgnQNC74QoBlaUvT4MEe,The Daisy Chain,2iCzZEPF8GTfQ1v4WCi7De
The Growlers,2RhgnQNC74QoBlaUvT4MEe,World Unglued,3UL1VvlrSYjTKbpgGAyyUx
The Growlers,2RhgnQNC74QoBlaUvT4MEe,Neverending Line,63KqjQQ4ofFpQkmPXKTyEX
