Artist,Artist_id,Song,Song_id
Toby Keith,2bA6fzP0lMAQ4kz6CF61w8,Shitty Golfer,3Cp7cS27dkM0RQhizIBqOk
Toby Keith,2bA6fzP0lMAQ4kz6CF61w8,Wacky Tobaccy,1oQTsgUOZ2pUf2UL8gPKxd
Toby Keith,2bA6fzP0lMAQ4kz6CF61w8,Runnin' Block,6HeaQKFzbO35wlTB2SRFXo
Toby Keith,2bA6fzP0lMAQ4kz6CF61w8,Brand New Bow,0tBQFBRqwELahIGenlu9yr
Toby Keith,2bA6fzP0lMAQ4kz6CF61w8,Call a Marine,0888NnUL3wN4epDWuwb7wm
Toby Keith,2bA6fzP0lMAQ4kz6CF61w8,Hell No,12uSV2RGZSsIe8Tz8bJd8a
Toby Keith,2bA6fzP0lMAQ4kz6CF61w8,The Critic,0OJqSfUYlvb8vj3RffRASZ
Toby Keith,2bA6fzP0lMAQ4kz6CF61w8,The Size I Wear,4yt4G9pCuYIN52Pik0Izqz
Toby Keith,2bA6fzP0lMAQ4kz6CF61w8,Ballad of Balad,5Pi3hnNKdZ9BEWeoFTWifq
Toby Keith,2bA6fzP0lMAQ4kz6CF61w8,Rum Is the Reason,6EZSUrEZ7PEkRuJVLNtHLe
Toby Keith,2bA6fzP0lMAQ4kz6CF61w8,Weed with Willie (Live),0N5VEnp9eAYhyQeXhyvHj5
Toby Keith,2bA6fzP0lMAQ4kz6CF61w8,Get out of My Car (Live),7vlhpfETdGr4QAIv25EOhO
Toby Keith,2bA6fzP0lMAQ4kz6CF61w8,Shitty Golfer,3fxcut3AmU5wpWI3DTEXnZ
Toby Keith,2bA6fzP0lMAQ4kz6CF61w8,Wacky Tobaccy,5pvPRmTbfhhpGJweKDJE7G
Toby Keith,2bA6fzP0lMAQ4kz6CF61w8,Runnin' Block,1uAtgDKRwIXXVskvzmQzme
Toby Keith,2bA6fzP0lMAQ4kz6CF61w8,Brand New Bow,7g3fRwfp6kQKounUT5lHjW
Toby Keith,2bA6fzP0lMAQ4kz6CF61w8,Call a Marine,7xD6aszwXKEwUkJ1oJIP6s
Toby Keith,2bA6fzP0lMAQ4kz6CF61w8,Hell No,2FrEQRtibsToPcL39NqRMS
Toby Keith,2bA6fzP0lMAQ4kz6CF61w8,The Critic,5WbbuVzsAOunKbxOAt5m2b
Toby Keith,2bA6fzP0lMAQ4kz6CF61w8,The Size I Wear,3oe9FaCX82tM4DDHDsUAhF
Toby Keith,2bA6fzP0lMAQ4kz6CF61w8,Ballad of Balad,3ymiBqJVuN8Idn45oG9YBJ
Toby Keith,2bA6fzP0lMAQ4kz6CF61w8,Rum Is the Reason,1p3V3iXHA18fovSXAGSWeb
Toby Keith,2bA6fzP0lMAQ4kz6CF61w8,Weed with Willie - Live,0QDhtD9xmatPFdPUwppXSM
Toby Keith,2bA6fzP0lMAQ4kz6CF61w8,Get out of My Car - Live,0z8uchHENpy5ZTbGb2Jb7C
Toby Keith,2bA6fzP0lMAQ4kz6CF61w8,Drunk Americans,5murjWJBIFN1ntLNVugKFn
Toby Keith,2bA6fzP0lMAQ4kz6CF61w8,Good Gets Here,3PVq4Ph4WgMJsR7IK5WiaN
Toby Keith,2bA6fzP0lMAQ4kz6CF61w8,35 mph Town,6tZ600OnliTwCuxDkqTVvy
