Artist,Artist_id,Song,Song_id
Sam Hunt,2kucQ9jQwuD8jWdtR9Ef38,Raised On It - Acoustic Mixtape,4m3AsXEUqsSwGilcdn0RbT
Sam Hunt,2kucQ9jQwuD8jWdtR9Ef38,Cop Car - Acoustic Mixtape,33GmiX75KFc0acc3CRWMdr
Sam Hunt,2kucQ9jQwuD8jWdtR9Ef38,Ex To See - Acoustic Mixtape,3Xy1YJHRVKApMDqp8gmkWe
Sam Hunt,2kucQ9jQwuD8jWdtR9Ef38,House Party - Acoustic Mixtape,6vgmCLfl9GnkHL8LQ4wRly
Sam Hunt,2kucQ9jQwuD8jWdtR9Ef38,Leave The Night On - Acoustic Mixtape,2RFxPpxCzJPwxX93CL1Ibl
Sam Hunt,2kucQ9jQwuD8jWdtR9Ef38,We Are Tonight - Acoustic Mixtape,5G4upYoNLjklTY6qD32pSf
Sam Hunt,2kucQ9jQwuD8jWdtR9Ef38,Make You Miss Me - Acoustic Mixtape,3fiiVrWpQUa3BdWtdNdQ38
Sam Hunt,2kucQ9jQwuD8jWdtR9Ef38,I Met A Girl - Acoustic Mixtape,3oBxf3KvflYpaFSR4S3wKv
Sam Hunt,2kucQ9jQwuD8jWdtR9Ef38,Bottle It Up - Acoustic Mixtape,04clw2CZuvRzvV54g6Ua4L
Sam Hunt,2kucQ9jQwuD8jWdtR9Ef38,Saturday Night - Acoustic Mixtape,1zZsJ9WmtuDxw5T08GEQTX
Sam Hunt,2kucQ9jQwuD8jWdtR9Ef38,Speakers - Acoustic Mixtape,4LQzFOJgbwIuaydxIFWB9Q
Sam Hunt,2kucQ9jQwuD8jWdtR9Ef38,Vacation - Acoustic Mixtape,74LxUpIQeJLjKWcN4iqwJY
Sam Hunt,2kucQ9jQwuD8jWdtR9Ef38,Vandalizer - Acoustic Mixtape,54DolxlFipJnuSObPmCPUv
Sam Hunt,2kucQ9jQwuD8jWdtR9Ef38,Goodbye - Acoustic Mixtape,0xQYFmoFmS6914517ubkdz
Sam Hunt,2kucQ9jQwuD8jWdtR9Ef38,Come Over - Acoustic Mixtape,5ZuDo4T5NU7jg5y0yV2Otk
Sam Hunt,2kucQ9jQwuD8jWdtR9Ef38,Take Your Time,6DEaND0SHv3sC11xobZLiy
Sam Hunt,2kucQ9jQwuD8jWdtR9Ef38,Leave The Night On,3wx2kQWPn9p5UppQbNhPAk
Sam Hunt,2kucQ9jQwuD8jWdtR9Ef38,House Party,1TwLKNsCnhi1HxbIi4bAW0
Sam Hunt,2kucQ9jQwuD8jWdtR9Ef38,Break Up In A Small Town,7aftSOGSOpSoIlVAQVBb71
Sam Hunt,2kucQ9jQwuD8jWdtR9Ef38,Single For The Summer,4nrtux8xl5lYegU8II5rAQ
Sam Hunt,2kucQ9jQwuD8jWdtR9Ef38,Ex To See,0YQcktqICwSWzlS4P4jzOz
Sam Hunt,2kucQ9jQwuD8jWdtR9Ef38,Make You Miss Me,0xwPzLmBAYro8BUz7MrtAo
Sam Hunt,2kucQ9jQwuD8jWdtR9Ef38,Cop Car,7LJOfS8evyKfP8Fl5rdZXw
Sam Hunt,2kucQ9jQwuD8jWdtR9Ef38,Raised On It,3BuPop8SzLG2Q88TJcFAjp
Sam Hunt,2kucQ9jQwuD8jWdtR9Ef38,Speakers,4DXfOXYv0ki7IR3P0XRcMY
Sam Hunt,2kucQ9jQwuD8jWdtR9Ef38,Downtown's Dead,5eFfsbjSouG8qOpg9ZqDl6
Sam Hunt,2kucQ9jQwuD8jWdtR9Ef38,This Land Is Your Land,7HT2vhADZOJrwczl10DDaO
Sam Hunt,2kucQ9jQwuD8jWdtR9Ef38,Body Like A Back Road - 15 In A 30 Tour Live,2zqSCyJ3aeJRGqPrHuHClk
Sam Hunt,2kucQ9jQwuD8jWdtR9Ef38,Ex To See - 15 In A 30 Tour Live,4cw8S5zNNx0w2k5yUSgH5X
Sam Hunt,2kucQ9jQwuD8jWdtR9Ef38,Body Like A Back Road,7mldq42yDuxiUNn08nvzHO
