Artist,Artist_id,Song,Song_id
Dolly Parton,32vWCbZh0xZ4o9gkz4PsEU,I Believe in You,01r5xwvpAgMEo5luQhY5tL
Dolly Parton,32vWCbZh0xZ4o9gkz4PsEU,Coat of Many Colors,0serfzd0g9WncDcrh2vUQO
Dolly Parton,32vWCbZh0xZ4o9gkz4PsEU,Together Forever,44ZQqizqyr4o7QGeVg7b8N
Dolly Parton,32vWCbZh0xZ4o9gkz4PsEU,I Am a Rainbow,0GpjcFdlkxlNqeqnozWOyu
Dolly Parton,32vWCbZh0xZ4o9gkz4PsEU,I'm Here,70fjpRC86MupQ4b8eEeSPA
Dolly Parton,32vWCbZh0xZ4o9gkz4PsEU,A Friend Like You,4RGPWfzJwvYMSmasEuxelG
Dolly Parton,32vWCbZh0xZ4o9gkz4PsEU,Imagination,2cpserKlnR16Ikn0W9cDEa
Dolly Parton,32vWCbZh0xZ4o9gkz4PsEU,You Can Do It,4NFPPk3MFLotcjz2hNrEVy
Dolly Parton,32vWCbZh0xZ4o9gkz4PsEU,Responsibility,3TqycrM2UT5iLUOIzGfWpe
Dolly Parton,32vWCbZh0xZ4o9gkz4PsEU,You Gotta Be,02xqT1kwgj1XPkjU9SDpdF
Dolly Parton,32vWCbZh0xZ4o9gkz4PsEU,Makin' Fun Ain't Funny,0yGnWwzsGhnoZD2SNYKyYp
Dolly Parton,32vWCbZh0xZ4o9gkz4PsEU,Chemo Hero,2XiivklJG73ZoEZs5DUX2y
Dolly Parton,32vWCbZh0xZ4o9gkz4PsEU,Brave Little Soldier,6jp1QxKzeZWdxrRNcvCCFL
Dolly Parton,32vWCbZh0xZ4o9gkz4PsEU,"A Reading of ""Coat of Many Colors"" - Bonus Track",7kjtFLfTVskvVGB0eHI5Ub
Dolly Parton,32vWCbZh0xZ4o9gkz4PsEU,Pure and Simple,7BfekgavbuPUxIoc9xQzvO
Dolly Parton,32vWCbZh0xZ4o9gkz4PsEU,Say Forever You'll Be Mine,6tddLLvoa6jxs2fO1y5ZFd
Dolly Parton,32vWCbZh0xZ4o9gkz4PsEU,Never Not Love You,3vc60MaXRtB6iKyNhYa7XU
Dolly Parton,32vWCbZh0xZ4o9gkz4PsEU,Kiss It - And Make It All Better,13FppE3ZkFB19dI3Lkd8cE
Dolly Parton,32vWCbZh0xZ4o9gkz4PsEU,Can't Be That Wrong,3XbFKsfMfYzjDEfcuH0DWM
Dolly Parton,32vWCbZh0xZ4o9gkz4PsEU,Outside Your Door,1OunMU5juej07dMvhINPwi
Dolly Parton,32vWCbZh0xZ4o9gkz4PsEU,Tomorrow Is Forever,2kJDrcgIH6Lml8iuIJR0J2
Dolly Parton,32vWCbZh0xZ4o9gkz4PsEU,I'm Sixteen,6y0gqsUMHXjbLhibn1bFME
Dolly Parton,32vWCbZh0xZ4o9gkz4PsEU,Head Over High Heels,7vR7Ic2MMdB5qwzTfVi4l9
Dolly Parton,32vWCbZh0xZ4o9gkz4PsEU,Forever Love,5a2OVllwAJnNWbNI4qiIvP
Dolly Parton,32vWCbZh0xZ4o9gkz4PsEU,Mama,4LRVhu59CvVr1nsJBSwB8V
Dolly Parton,32vWCbZh0xZ4o9gkz4PsEU,Lovin' You,5udANwNQFjh0HUd0WhGDlP
Dolly Parton,32vWCbZh0xZ4o9gkz4PsEU,Fire Medley: Baby I'm Burning / Great Balls of Fire / Girl on Fire (Live at Glastonbury),38vLT8x79CiWYXco43vQjW
Dolly Parton,32vWCbZh0xZ4o9gkz4PsEU,Why'd You Come in Here Lookin' Like That (Live at Glastonbury),7F4iN4hzhm4Sf7Fp3hmKLv
Dolly Parton,32vWCbZh0xZ4o9gkz4PsEU,Jolene (Live at Glastonbury),65aDM65r56SYmxuD2E79sb
Dolly Parton,32vWCbZh0xZ4o9gkz4PsEU,Blue Smoke (Live at Glastonbury),4NhdKMprl3nhlZn2b1CmOc
Dolly Parton,32vWCbZh0xZ4o9gkz4PsEU,Coat of Many Colors (Live at Glastonbury),6HNum3TsD048urK12SyA5p
Dolly Parton,32vWCbZh0xZ4o9gkz4PsEU,Rocky Top (Live at Glastonbury),0nvgk20vhcOYL4M4uBemyQ
Dolly Parton,32vWCbZh0xZ4o9gkz4PsEU,Mud Song (Live at Glastonbury),49RBItmcuDwe7WHFTFkmWH
Dolly Parton,32vWCbZh0xZ4o9gkz4PsEU,Banks of the Ohio (Live at Glastonbury),0rCYIHviz1crAD357cFbyE
Dolly Parton,32vWCbZh0xZ4o9gkz4PsEU,Here You Come Again (Live at Glastonbury),3RUEOWHo1RWOJq6NIZ5TWz
Dolly Parton,32vWCbZh0xZ4o9gkz4PsEU,Two Doors Down (Live at Glastonbury),3rm3YSU7mCAxbMctoSriHv
Dolly Parton,32vWCbZh0xZ4o9gkz4PsEU,Islands in the Stream (Live at Glastonbury),4MVhZV9N0iNfC8rNlXkrA7
Dolly Parton,32vWCbZh0xZ4o9gkz4PsEU,9 to 5 (Live at Glastonbury),32NYx5xpMzKTs0YFk53TxR
