Artist,Artist_id,Song,Song_id
Little Big Town,3CygdxquGHurS7f9LjNLkv,Happy People,2qHGDQmfxScbqf0BAwakKI
Little Big Town,3CygdxquGHurS7f9LjNLkv,Night On Our Side,2mFncVSEIqGzG392uxMK4m
Little Big Town,3CygdxquGHurS7f9LjNLkv,Lost In California,1k3TEMaIeM0U80lxWe6UjK
Little Big Town,3CygdxquGHurS7f9LjNLkv,Free,7E56b3ywRXa1AjfhZNDtrw
Little Big Town,3CygdxquGHurS7f9LjNLkv,Drivin' Around,77bOmd9t7W1OFTAnPQ7HYO
Little Big Town,3CygdxquGHurS7f9LjNLkv,We Went To The Beach,6v1EQLicusxmVe5BWnkWHE
Little Big Town,3CygdxquGHurS7f9LjNLkv,Better Man,23TxRN09aR1RB0G0tFoT0b
Little Big Town,3CygdxquGHurS7f9LjNLkv,Rollin',1VyODfRmE0BBSguPSAWn7R
Little Big Town,3CygdxquGHurS7f9LjNLkv,"Don't Die Young, Don't Get Old",1bs6AEglHC8hQqBbsylTDy
Little Big Town,3CygdxquGHurS7f9LjNLkv,Beat Up Bible,5R7TAOPx2H0ImjCkdb4PXR
Little Big Town,3CygdxquGHurS7f9LjNLkv,When Someone Stops Loving You,7A55QoGK0vf8lGNtaWZm45
Little Big Town,3CygdxquGHurS7f9LjNLkv,The Breaker,2CiuGhZPtEjBAK1aS1oYDJ
Little Big Town,3CygdxquGHurS7f9LjNLkv,One Dance,784MHRnt6owFMoywDBqWuR
Little Big Town,3CygdxquGHurS7f9LjNLkv,C'mon,1gUGNQ3YnJZcksJA67wLas
Little Big Town,3CygdxquGHurS7f9LjNLkv,One Of Those Days,58OaZXmM2Eb6Jx4mCt1OuE
Little Big Town,3CygdxquGHurS7f9LjNLkv,Work,4Gzvu0cA7LvFYxTjn2Kh8n
Little Big Town,3CygdxquGHurS7f9LjNLkv,Skinny Dippin',0vJ9KaGcFgEW2xtzlQ46bE
Little Big Town,3CygdxquGHurS7f9LjNLkv,Willpower,7mTEKH8DvHNAXrWS7ohpT0
Little Big Town,3CygdxquGHurS7f9LjNLkv,Miracle,1bOEe6mKwgeC6rqSDHcT0x
Little Big Town,3CygdxquGHurS7f9LjNLkv,The Boat,6agOmZwrD6AcK6aosg1XCI
Little Big Town,3CygdxquGHurS7f9LjNLkv,Quit Breaking Up With Me,72C018NKRl8NZcX7drcwiS
Little Big Town,3CygdxquGHurS7f9LjNLkv,Day Drinking,1pxXqJZBrCREdC0s4Xs6Xz
Little Big Town,3CygdxquGHurS7f9LjNLkv,Tumble And Fall,5yIhd010M1qEjc8AmkFcak
Little Big Town,3CygdxquGHurS7f9LjNLkv,Pain Killer,7kieCiVmj4StWHclc04u3M
Little Big Town,3CygdxquGHurS7f9LjNLkv,Girl Crush,11qh54D0PKkBwelpDxxiEU
Little Big Town,3CygdxquGHurS7f9LjNLkv,Faster Gun,4Wxx3gTrzSY29LlOFInw1X
Little Big Town,3CygdxquGHurS7f9LjNLkv,Good People,1ZVZ65phBCrBlnc9KxwRmg
Little Big Town,3CygdxquGHurS7f9LjNLkv,Stay All Night,6PicQRHTNSTqpFEwFOtNJn
Little Big Town,3CygdxquGHurS7f9LjNLkv,Save Your Sin,58SX08DR4gz6Iz7jrtoYNK
Little Big Town,3CygdxquGHurS7f9LjNLkv,Live Forever,55IYvwkvF4cEQKpsJBedjI
Little Big Town,3CygdxquGHurS7f9LjNLkv,Things You Don't Think About,1hFtyn9McNfliHUYm2AmQT
Little Big Town,3CygdxquGHurS7f9LjNLkv,Turn The Lights On,29hsjHAfXEbN58PPDJ3wVA
Little Big Town,3CygdxquGHurS7f9LjNLkv,Silver And Gold,2KraLFn5Mehe5BsTCYZYRo
Little Big Town,3CygdxquGHurS7f9LjNLkv,Quit Breaking Up With Me,3b9sEwwqAO18tgwRCjNWi3
Little Big Town,3CygdxquGHurS7f9LjNLkv,Day Drinking,1gvdrwa0kJLU5O2xOKrurL
Little Big Town,3CygdxquGHurS7f9LjNLkv,Tumble And Fall,1eSlSBW4FrJ7YEp00EKJVp
Little Big Town,3CygdxquGHurS7f9LjNLkv,Pain Killer,4efQ7RrSkTG30w6Wp5tllP
Little Big Town,3CygdxquGHurS7f9LjNLkv,Girl Crush,4EmFEnSymonYQIMjhNSHvc
Little Big Town,3CygdxquGHurS7f9LjNLkv,Faster Gun,3wBQRXxhTFjs8mITA4PNCC
Little Big Town,3CygdxquGHurS7f9LjNLkv,Good People,1TSUjluGPUhurJXcWjS7ek
Little Big Town,3CygdxquGHurS7f9LjNLkv,Stay All Night,25C1MsV7GaL1dFzrHWqigh
Little Big Town,3CygdxquGHurS7f9LjNLkv,Save Your Sin,4idHn0ccTWChsnEn5VdEfZ
Little Big Town,3CygdxquGHurS7f9LjNLkv,Live Forever,6TyujMVXKLCkLlXrK1haRG
Little Big Town,3CygdxquGHurS7f9LjNLkv,Things You Don't Think About,6wxZshL7g1FS2sIWN2Jd3R
Little Big Town,3CygdxquGHurS7f9LjNLkv,Turn The Lights On,5KP3QOUXp5dfoQJaLmIllL
Little Big Town,3CygdxquGHurS7f9LjNLkv,Silver And Gold,3x8lhcp7BEbF62qkKc2Y1n
Little Big Town,3CygdxquGHurS7f9LjNLkv,Quit Breaking Up With Me,6DwLQ38aqTQciToVDHTXlT
Little Big Town,3CygdxquGHurS7f9LjNLkv,Day Drinking,4gG0Gp46QlVqVtTNmmXdp7
Little Big Town,3CygdxquGHurS7f9LjNLkv,Tumble and Fall,6HFa03bOHinIDXsjRBKzAQ
Little Big Town,3CygdxquGHurS7f9LjNLkv,Pain Killer,67slySODkjAVXi23lZch1t
Little Big Town,3CygdxquGHurS7f9LjNLkv,Girl Crush,7wBrm1c7UtkJMPMOTZ2ZJr
Little Big Town,3CygdxquGHurS7f9LjNLkv,Faster Gun,537mqdGWxM3n6H5Ju4yc8y
Little Big Town,3CygdxquGHurS7f9LjNLkv,Good People,0MbkKLoi8npZLhUaVw2sap
Little Big Town,3CygdxquGHurS7f9LjNLkv,Stay All Night,0hVUFtqoWkMNaIG3JaZ5Mp
Little Big Town,3CygdxquGHurS7f9LjNLkv,Save Your Sin,3coVU6dGzV7GzCcblAdj8X
Little Big Town,3CygdxquGHurS7f9LjNLkv,Live Forever,1fFK1aDA1Ei0GxkfI9eorP
Little Big Town,3CygdxquGHurS7f9LjNLkv,Things You Don't Think About,02DIpIHy5s5CGDjB0uCopn
Little Big Town,3CygdxquGHurS7f9LjNLkv,Turn the Lights On,2t9bSpslWEBrug9qKaV7kD
Little Big Town,3CygdxquGHurS7f9LjNLkv,Silver and Gold,2KWoUQFZecd7fRZhNDyZzF
Little Big Town,3CygdxquGHurS7f9LjNLkv,Pavement Ends,7Md4XFUfhOftKpMbKXnUvz
Little Big Town,3CygdxquGHurS7f9LjNLkv,Pontoon,2Gy3XMLbBxACZ4tXdFRGr7
Little Big Town,3CygdxquGHurS7f9LjNLkv,Sober,09P8GckWqfjjmolRYhjJHH
Little Big Town,3CygdxquGHurS7f9LjNLkv,Front Porch Thing,3BDUze6sJ5UC6fgyU1z94W
Little Big Town,3CygdxquGHurS7f9LjNLkv,Your Side Of The Bed,7LwJG5mCWzQAz1tZr2FZ4D
Little Big Town,3CygdxquGHurS7f9LjNLkv,Leavin' In Your Eyes,4yVam80glwwLvLuir9vUYn
Little Big Town,3CygdxquGHurS7f9LjNLkv,Tornado,3HvNzmI0hX2dXcE41lBMxi
Little Big Town,3CygdxquGHurS7f9LjNLkv,On Fire Tonight,5Q1py6PkiNVGc2suNfHj3i
