Artist,Artist_id,Song,Song_id
Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF,Graveyard,4dzmG2DZWariBvSo6CM9HI
Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF,Miss Me More,6Qe9h9fduidgO2gOQXq3cy
Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF,Get Over Yourself,6jdehTFcRkjsVVHViuoX9v
Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF,Roses,72m3hWu9O5PB5YxHCyCLll
Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF,Machine Heart,5RBRpCfGEWQruj7nn015al
Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF,In Between,6yMqcmOFbhy0Qx8UTPYsaj
Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF,High School,4IfWMjEbqSBn0mYd140vT8
Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF,End of the World,0tBSyzIO8c6bjPeq1Wdjqd
Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF,I Hate Love Songs,1MeL4MqnhnYIX2a2I3DhYl
Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF,Unapologetically,5OBrS9dSrvwisCwibkHkfq
Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF,Music,6n4o8TXKuovGn7zmcziTbw
Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF,Legends,6ZHgvijZ4HGEkAMJQOzZgV
Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF,Fun and Games,6HA9KowZ2N4JpVS4stPyEa
Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF,I Think I Fell In Love Today,6SsQiZSoBVf4c4dhzwnbHU
Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF,Landslide - Live from Nashville,0k7bYQUgE9BvBUaLNakjaj
Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF,Graveyard,2XUNlf2DCVfUqk9athLsDn
Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF,Miss Me More,2f8xTmK4UNqsgyROMFS7II
Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF,Get Over Yourself,0pkkb8TY7senp2fFpcoBMC
Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF,Roses,4I4h3C834khYP03Zu9G6x2
Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF,Machine Heart,5F7EbiPODi2QdQWfXqAFBK
Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF,In Between,2xUQROFAfgOD6QtfSuD6CL
Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF,High School,6T4KRMiI9zUgHk54xvUAmx
Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF,End of the World,3GXykKAtcqz3TptoN7AEaU
Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF,I Hate Love Songs,5TjOYLnlNJQ5arWBDFocmf
Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF,Unapologetically,24RWIiH5CrCkSnuEA4KmIh
Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF,Music,28C29rEu86KZcuRW3Kz1fh
Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF,Legends,7mAwVAFOHzl6ka1HAyxHuK
Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF,Fun and Games,4LqxWf5YQtPAzy4Wpv9XZy
Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF,I Think I Fell In Love Today,60Gt132MJF2zDA3C4jbwxp
Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF,Landslide - Live from Nashville,2MwEpBHBsYwGPFW0TWo9u6
Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF,Graveyard,6ENrvUXtRhkE3yl0xj8fO5
Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF,Miss Me More,5NfJGBAL9mgFPRQxKJmiX2
Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF,Get over Yourself,0sr84SDJ9VN4EB7p2mWGur
Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF,Roses,4A92qdxWEIojASeyffiaWn
Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF,Machine Heart,19WNVv6GaJMI19Qka6RfEJ
Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF,In Between,6cX5lonuELhQO4074CD8fC
Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF,High School,6Y6gPzaDZUoZGlgDe5mqiF
Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF,End of the World,0jYywBNudHir22epdzJYhb
Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF,I Hate Love Songs,0Sbeihd75SGitymHS8Bqbh
Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF,Unapologetically,6DeMC9qUOznRorpgNW6dYe
Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF,Music,6PCPxCkN8ClnHN1AESmSJg
Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF,Legends,6vlxmQGwmlyp07YjkugV6K
Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF,Fun and Games,2YF2YVRaVBbX8rLjb4HPkx
Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF,I Think I Fell in Love Today,5ZdZVXpB7hLKPwx1xhb6q3
Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF,Landslide - Live from Nashville,3RxqTdS82J42mKL2L6OnWL
Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF,Graveyard,6AG7XI3jsCsOqHu1TUQHR8
Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF,Miss Me More,647MV7NvGdOtq5qNcDdLBL
Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF,Get Over Yourself,4ZY4DOCOzgpnvhZI8N551T
Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF,Roses,4ku1iGtHEsi2ncPfr96FAF
Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF,Machine Heart,6PxBgV42eHs9vgSXMxF5Ea
Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF,In Between,2mFuE550Tp57a7lsnbFPdI
Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF,High School,00ON3uulEI6HZhDO9GtvJb
Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF,End of the World,60myXm48xMbtq52nQRgEWc
