Artist,Artist_id,Song,Song_id
Al Green,3dkbV4qihUeMsqN4vBGg93,Lay It Down,3uwqmrJ1SfKoXhfYNHTO4J
Al Green,3dkbV4qihUeMsqN4vBGg93,Just For Me,0Kjt9OTYDgTPTyiLRSkWp9
Al Green,3dkbV4qihUeMsqN4vBGg93,You've Got The Love I Need,3e07MqXeRJddFuiTO7rADr
Al Green,3dkbV4qihUeMsqN4vBGg93,No One Like You,7IBegISX9EHx0wSWOeMl0R
Al Green,3dkbV4qihUeMsqN4vBGg93,What More Do You Want From Me,3sBdgIyUYmBDav76vYqid4
Al Green,3dkbV4qihUeMsqN4vBGg93,Take Your Time,1pwy1QgUguLCykSAmLPMIQ
Al Green,3dkbV4qihUeMsqN4vBGg93,Too Much,7fpE0gHWURnHARFX1d1M36
Al Green,3dkbV4qihUeMsqN4vBGg93,Stay With Me (By The Sea),3emeFHNqBxEcGoYMfbmLdS
Al Green,3dkbV4qihUeMsqN4vBGg93,All I Need,2NUlBSRJA4RWWf8ePcmXrJ
Al Green,3dkbV4qihUeMsqN4vBGg93,I'm Wild About You,5CzMeouvu1sQz82Uz0AXGY
Al Green,3dkbV4qihUeMsqN4vBGg93,Standing In The Rain,3IPzgI0eV39GfQUjl2X2O1
Al Green,3dkbV4qihUeMsqN4vBGg93,I Can Feel It,2WXykw0WtIQ8NoCmfdkITl
Al Green,3dkbV4qihUeMsqN4vBGg93,Love Is Reality,26njXnX5uIYyNSpZOE6cGQ
Al Green,3dkbV4qihUeMsqN4vBGg93,Just Can't Let You Go,3csy0C0QZB2dM64Yy6AAiv
Al Green,3dkbV4qihUeMsqN4vBGg93,You Don't Know Me,1clpbuxaNPvrO6N6OKJVJ3
Al Green,3dkbV4qihUeMsqN4vBGg93,Again,479QmRmPGPytUfbxfBBaNd
Al Green,3dkbV4qihUeMsqN4vBGg93,Positive Attitude,2XFZc8aKCV1jXCPTZPe5tw
Al Green,3dkbV4qihUeMsqN4vBGg93,Sure Feels Good,2hka2fZEMhJzju0v74JdlV
Al Green,3dkbV4qihUeMsqN4vBGg93,A Long Time,4kPvSBC8FERWC8IA5wEQFE
