Artist,Artist_id,Song,Song_id
Buffalo Springfield,3eskO5m0H4yiF64vRySBjr,Go And Say Goodbye - Remastered [Mono],5YlUMIo4qwdTiR21fw0psI
Buffalo Springfield,3eskO5m0H4yiF64vRySBjr,Sit Down I Think I Love You - Remastered [Mono],0BPXKp7Ja1y2biNpXQCTUo
Buffalo Springfield,3eskO5m0H4yiF64vRySBjr,Leave - Remastered [Mono],3nrlxDhPX1VUseuxjN7DeR
Buffalo Springfield,3eskO5m0H4yiF64vRySBjr,Nowadays Clancy Can't Even Sing - Remastered [Mono],18Yf8Mz2GfaQS0xdOYuDKj
Buffalo Springfield,3eskO5m0H4yiF64vRySBjr,Hot Dusty Roads - Remastered [Mono],2Y996r9uYOIbH17mu7UJZh
Buffalo Springfield,3eskO5m0H4yiF64vRySBjr,Everybody's Wrong - Remastered [Mono],0OUFXqJY8JRC8eDPZWkZu9
Buffalo Springfield,3eskO5m0H4yiF64vRySBjr,Flying On The Ground Is Wrong - Remastered [Mono],6n0zgP6ujgM7DqLEVNvoCn
Buffalo Springfield,3eskO5m0H4yiF64vRySBjr,Burned - Remastered [Mono],1c9UReyQAy2Zs1ycBlfnGS
Buffalo Springfield,3eskO5m0H4yiF64vRySBjr,Do I Have To Come Right Out And Say It - Remastered [Mono],69Lp7NaiX3ejR81jBraGTd
Buffalo Springfield,3eskO5m0H4yiF64vRySBjr,Baby Don't Scold Me - Remastered [Mono],4PwKJsOBrBxWXHQnFHvjE8
Buffalo Springfield,3eskO5m0H4yiF64vRySBjr,Out Of My Mind - Remastered [Mono],1KGOYiv4VF99vmnejLA8Wx
Buffalo Springfield,3eskO5m0H4yiF64vRySBjr,Pay The Price - Remastered [Mono],6x257x3EncXVowb6SftQjv
Buffalo Springfield,3eskO5m0H4yiF64vRySBjr,For What It's Worth - Remastered [Mono],5y2xOhoaiXBNvMC3ASJiYc
Buffalo Springfield,3eskO5m0H4yiF64vRySBjr,For What It's Worth - Remastered,68y5I5I60Jw7Z7uNelGmtL
Buffalo Springfield,3eskO5m0H4yiF64vRySBjr,Go And Say Goodbye - Remastered,4sbGcpTskJsGYOi7L4JwwD
Buffalo Springfield,3eskO5m0H4yiF64vRySBjr,Sit Down I Think I Love You - Remastered,4Lh387WbkIScnGKvbCWhRm
Buffalo Springfield,3eskO5m0H4yiF64vRySBjr,Nowadays Clancy Can't Even Sing - Remastered,69cDF46hrwCcL8UXnGrlSe
Buffalo Springfield,3eskO5m0H4yiF64vRySBjr,Hot Dusty Roads - Remastered,7aioOYBqFvvKwXjiJSJ6Tx
Buffalo Springfield,3eskO5m0H4yiF64vRySBjr,Everybody's Wrong - Remastered,4U5uYBRwV1K676zNDeaLQu
Buffalo Springfield,3eskO5m0H4yiF64vRySBjr,Flying On The Ground Is Wrong - Remastered,7qCxrrOZ1uMV6CqlvrKVUd
Buffalo Springfield,3eskO5m0H4yiF64vRySBjr,Burned - Remastered,2wYjyEQsJj3eNsIB27FV5e
Buffalo Springfield,3eskO5m0H4yiF64vRySBjr,Do I Have To Come Right Out And Say It - Remastered,06IKTCt1ny6mYMxV6fxU54
Buffalo Springfield,3eskO5m0H4yiF64vRySBjr,Leave - Remastered,7gzju9lkDj5oSxHsCmkwpR
Buffalo Springfield,3eskO5m0H4yiF64vRySBjr,Out Of My Mind - Remastered,7ejAoMgtp8Zu8OfGaXZ1RX
Buffalo Springfield,3eskO5m0H4yiF64vRySBjr,Pay The Price - Remastered,0TbWBGkG3pXDApY2d7BLgy
Buffalo Springfield,3eskO5m0H4yiF64vRySBjr,Mr. Soul - Remastered [Mono],44nhjplvjPO5jwWDVZlJDB
Buffalo Springfield,3eskO5m0H4yiF64vRySBjr,A Child's Claim To Fame - Remastered [Mono],3X4dcRlFwiJ0nDOZ2SVxoC
Buffalo Springfield,3eskO5m0H4yiF64vRySBjr,Everydays - Remastered [Mono],36QDL6Zn9aCUHnQXHBpA9q
Buffalo Springfield,3eskO5m0H4yiF64vRySBjr,Expecting To Fly - Remastered [Mono],43Yo2vb0hZNvU4RRgCLlkf
Buffalo Springfield,3eskO5m0H4yiF64vRySBjr,Bluebird - Remastered [Mono],3Ud4Jag6sRvtDYaZHNmTPY
Buffalo Springfield,3eskO5m0H4yiF64vRySBjr,Hung Upside Down - Remastered [Mono],6p9G6Ng10gewct3vzCHIto
Buffalo Springfield,3eskO5m0H4yiF64vRySBjr,Sad Memory - Remastered [Mono],4mFp1adjoYsiAUpeHMbF51
Buffalo Springfield,3eskO5m0H4yiF64vRySBjr,Good Time Boy - Remastered [Mono],3Fs3z1bgNThD4IKFBBGFLl
