Artist,Artist_id,Song,Song_id
Lil Durk,3hcs9uc56yIGFCSy9leWe7,Treacherous,61VRPMDzGTCMD7lg1RlaBq
Lil Durk,3hcs9uc56yIGFCSy9leWe7,Don't Talk To Me (feat. Gunna),6yh0049uUy718FUnLOP17E
Lil Durk,3hcs9uc56yIGFCSy9leWe7,Spin The Block (feat. Future),6lCa8pjIU9n3nVI0r62EdM
Lil Durk,3hcs9uc56yIGFCSy9leWe7,Neighborhood Hero,0kBqgeRsRdvvFqMpiCYRNg
Lil Durk,3hcs9uc56yIGFCSy9leWe7,100 Grand (feat. Ty Dolla $ign & A Boogie wit da Hoodie),55bBVlWgwZ6yw5ccMkDU5j
Lil Durk,3hcs9uc56yIGFCSy9leWe7,Habit,6wn4ysn8HVxSzVo82Xk47H
Lil Durk,3hcs9uc56yIGFCSy9leWe7,Skrubs,5uNMSSxk4ve8R7yQnUBQAT
Lil Durk,3hcs9uc56yIGFCSy9leWe7,Play With Us (feat. Kevin Gates),3jKFDZQqYFDAMI7c4gQEdU
Lil Durk,3hcs9uc56yIGFCSy9leWe7,Preach,4YoN2mgVecLrqrhfrNyYM4
Lil Durk,3hcs9uc56yIGFCSy9leWe7,India Pt. II,6jQdrnnaQnoPiGgDEn0xcM
Lil Durk,3hcs9uc56yIGFCSy9leWe7,Spazz,39xaGZ9mbU8Coujwffsio6
Lil Durk,3hcs9uc56yIGFCSy9leWe7,Home Body (feat. Gunna & TK Kravitz),0cEkKU1yLAiBRa8lai4AFi
Lil Durk,3hcs9uc56yIGFCSy9leWe7,Benihana (feat. Kodak Black),7ihTrFX15onWzNwCHCD2w2
Lil Durk,3hcs9uc56yIGFCSy9leWe7,I Know,6w6UBeoEKj5aOV2Z04CcVD
Lil Durk,3hcs9uc56yIGFCSy9leWe7,Astronomical,5GaI779eVPipV1XJsyNhpj
Lil Durk,3hcs9uc56yIGFCSy9leWe7,Downfall (feat. Young Dolph & Lil Baby),3fZVaBxYP3KdkSmTEWbl1d
Lil Durk,3hcs9uc56yIGFCSy9leWe7,Did For The Streets,6mj0tbBmZtEiZkmJr25IiX
Lil Durk,3hcs9uc56yIGFCSy9leWe7,Is What It Is,3P4X0Xg0YkOnmfgMZ3U7HH
Lil Durk,3hcs9uc56yIGFCSy9leWe7,Way More,3XcnvbkurHelpe04EETr9k
Lil Durk,3hcs9uc56yIGFCSy9leWe7,Rockstar (feat. Lil Skies),316R2o0sNz4kCKyR0DOCVj
Lil Durk,3hcs9uc56yIGFCSy9leWe7,Treacherous,2zkhty0ud0Sg56IfSx2BsI
Lil Durk,3hcs9uc56yIGFCSy9leWe7,Don't Talk To Me (feat. Gunna),5U2dkg7PWJ0Ju737z9SvmT
Lil Durk,3hcs9uc56yIGFCSy9leWe7,Spin The Block (feat. Future),3V5hr1V6uBuDk7LwYtkm6Y
Lil Durk,3hcs9uc56yIGFCSy9leWe7,Neighborhood Hero,5hm97VtDV9sIxBHknh6poC
Lil Durk,3hcs9uc56yIGFCSy9leWe7,100 Grand (feat. Ty Dolla $ign & A Boogie wit da Hoodie),71JFKugJ6LbiKIvo49m7OZ
Lil Durk,3hcs9uc56yIGFCSy9leWe7,Habit,37kgVSDLO5N1Mwgy0B3yeI
Lil Durk,3hcs9uc56yIGFCSy9leWe7,Skrubs,7c7tQWlSoKt8soDjbr6FYh
Lil Durk,3hcs9uc56yIGFCSy9leWe7,Play With Us (feat. Kevin Gates),1xcJdhuuuE3b1nJmFgTtN4
Lil Durk,3hcs9uc56yIGFCSy9leWe7,Preach,6mBZv6iSM0uXzKE32XbaYx
Lil Durk,3hcs9uc56yIGFCSy9leWe7,India Pt. II,5S3512OEqkNhLxuaplhpIN
Lil Durk,3hcs9uc56yIGFCSy9leWe7,Spazz,2iJ6h0xBWkjWE4fKadp9Gw
Lil Durk,3hcs9uc56yIGFCSy9leWe7,Home Body (feat. Gunna & TK Kravitz),5mpUBWbdUUzjTb640Fddqo
Lil Durk,3hcs9uc56yIGFCSy9leWe7,Benihana,5eHXAAfHjewbyfD2RF6NWZ
Lil Durk,3hcs9uc56yIGFCSy9leWe7,I Know,6fL06C8nSFNLZ8mL9KWzvJ
Lil Durk,3hcs9uc56yIGFCSy9leWe7,Astronomical,6osfML7thxF8cImSIWC9Hc
Lil Durk,3hcs9uc56yIGFCSy9leWe7,Downfall (feat. Young Dolph & Lil Baby),7Lrp18e1xfkrrJHjeQIhk6
Lil Durk,3hcs9uc56yIGFCSy9leWe7,Did For The Streets,1cmcXWnMqym2u5B16nn7Gr
Lil Durk,3hcs9uc56yIGFCSy9leWe7,Is What It Is,1FTcpwHyZsaB7GPVzgAOsv
Lil Durk,3hcs9uc56yIGFCSy9leWe7,Way More,1WK2toJa83xcPq5keDC1eJ
Lil Durk,3hcs9uc56yIGFCSy9leWe7,Rockstar (feat. Lil Skies),3SMxW8OYKVHE4NuLBCXDZd
Lil Durk,3hcs9uc56yIGFCSy9leWe7,Public Housing,1BN892sr4Ttr6LO0WtgSFx
Lil Durk,3hcs9uc56yIGFCSy9leWe7,Just Flow,3qDpfS6oNnXOEKaJNNr8zT
Lil Durk,3hcs9uc56yIGFCSy9leWe7,When I Was Little,65laltYUKTdVu01aEn2nmm
Lil Durk,3hcs9uc56yIGFCSy9leWe7,How I Know,2ub9SKEk2RC7VyS1MUaGFS
Lil Durk,3hcs9uc56yIGFCSy9leWe7,Granny Crib,6iLRFwirCeD375tVl76vjE
Lil Durk,3hcs9uc56yIGFCSy9leWe7,1(773) Vulture,2K59oLhgYglmFUE4u1X8iW
Lil Durk,3hcs9uc56yIGFCSy9leWe7,Breather,6wlK5pPaeWWAS4Fzff3hcK
Lil Durk,3hcs9uc56yIGFCSy9leWe7,Home Body,0rpqbQCNydbmOXuS5UwAJZ
Lil Durk,3hcs9uc56yIGFCSy9leWe7,Durkio Krazy,7iLjGSnaBwoQBvMslCL4kF
Lil Durk,3hcs9uc56yIGFCSy9leWe7,Instigator,0NxQ8jydaiLhAyNcZPkf9p
Lil Durk,3hcs9uc56yIGFCSy9leWe7,Crossroads,5uMHMG9Guu7cEF8QIzhoEC
Lil Durk,3hcs9uc56yIGFCSy9leWe7,My Bruddas,0i8SSU7dffBYaXiQQYHzOo
Lil Durk,3hcs9uc56yIGFCSy9leWe7,Public Housing,6RTmDIYh68aMenbPlJLWGM
Lil Durk,3hcs9uc56yIGFCSy9leWe7,Just Flow,421dPpcBwxqOLlO0YPNNyb
Lil Durk,3hcs9uc56yIGFCSy9leWe7,When I Was Little,5OlDMtJOsDoco6cUbP1rrn
Lil Durk,3hcs9uc56yIGFCSy9leWe7,How I Know (feat. Lil Baby),3A8xXT53kMcf81vziKL7db
Lil Durk,3hcs9uc56yIGFCSy9leWe7,Granny Crib,3KOfg9kDHT4PmQn1RtupZX
Lil Durk,3hcs9uc56yIGFCSy9leWe7,1(773) Vulture,7qpNXQQ4KYHeIkSCc2xLF6
Lil Durk,3hcs9uc56yIGFCSy9leWe7,Home Body (feat. Gunna & TK Kravitz),2oKeefA5ONCGrNj2GTq8CG
Lil Durk,3hcs9uc56yIGFCSy9leWe7,Durkio Krazy,1vInhX4eGb5SObVA9afaW2
Lil Durk,3hcs9uc56yIGFCSy9leWe7,Instigator,4Ljx2HZD25lwTPNmvVjzLR
Lil Durk,3hcs9uc56yIGFCSy9leWe7,Crossroads,3KEuO7CyIcKanXIzBTeNPg
Lil Durk,3hcs9uc56yIGFCSy9leWe7,My Bruddas,3qjX2vbPB9bFCTxgvz4WlW
Lil Durk,3hcs9uc56yIGFCSy9leWe7,Bloodas,0XEFerW6wjaMMhJ2EYvmfG
Lil Durk,3hcs9uc56yIGFCSy9leWe7,WhatYo City Like,0RkfxJwAp8x0M6bzVbe2Bh
Lil Durk,3hcs9uc56yIGFCSy9leWe7,Category Hoes,0PTJbGxtqUdUBP9oz3xIaW
Lil Durk,3hcs9uc56yIGFCSy9leWe7,3rd Person,7zb1Sx2MUU4MJ7gAB3lnI6
Lil Durk,3hcs9uc56yIGFCSy9leWe7,Flyers Up,33nLdphp8HzRaRCfi38x0g
Lil Durk,3hcs9uc56yIGFCSy9leWe7,Factors,4lr1FqhocDPtd6aAdFGRTN
Lil Durk,3hcs9uc56yIGFCSy9leWe7,Rappers,32yV1skI7yst6755tD4aXc
