Artist,Artist_id,Song,Song_id
The Beach Boys,3oDbviiivRWhXwIE8hxkVV,California Suite,4fhdPPS6Ylv8Q7chfnXwN4
The Beach Boys,3oDbviiivRWhXwIE8hxkVV,California Girls,2RLP5aLMGkH8S3veAjAL6w
The Beach Boys,3oDbviiivRWhXwIE8hxkVV,Wouldnt It Be Nice,4gySZmwNJcFvVUR0SaELUK
The Beach Boys,3oDbviiivRWhXwIE8hxkVV,"Fun, Fun, Fun",0y9RhZAMWKnc3GtEiKOQ7O
The Beach Boys,3oDbviiivRWhXwIE8hxkVV,Dont Worry Baby,6nWneWHV6S5FhXkVBeMoLE
The Beach Boys,3oDbviiivRWhXwIE8hxkVV,God Only Knows,5CrQrw8DzfF9v5m9M6NV7Y
The Beach Boys,3oDbviiivRWhXwIE8hxkVV,Sloop John B,15uB5VzaHsWdCQvQs7zMbf
The Beach Boys,3oDbviiivRWhXwIE8hxkVV,Heroes And Villains,4qygFbmWMdyJ5oUqhsrSNE
The Beach Boys,3oDbviiivRWhXwIE8hxkVV,Disney Girls,5sA4kY4uS765dxoCEUotiX
The Beach Boys,3oDbviiivRWhXwIE8hxkVV,Here Today,0yUxLvJIcRPjrHgNfa09sp
The Beach Boys,3oDbviiivRWhXwIE8hxkVV,In My Room,6IbyFyhaz7LzDAcjBUlVrz
The Beach Boys,3oDbviiivRWhXwIE8hxkVV,Kokomo,3wgxpFGbgAighXR6eo56nW
The Beach Boys,3oDbviiivRWhXwIE8hxkVV,The Warmth Of The Sun,5Ol21pWg0kFmOKLGy16tlg
The Beach Boys,3oDbviiivRWhXwIE8hxkVV,Darlin,0k0uAPdnrsrLyH2YHShWYP
The Beach Boys,3oDbviiivRWhXwIE8hxkVV,Help Me Rhonda,1HmWPVl8jkJeXsK2fEfAxc
The Beach Boys,3oDbviiivRWhXwIE8hxkVV,You Still Believe In Me,573nprXbXj1UmBZQ52RoqO
The Beach Boys,3oDbviiivRWhXwIE8hxkVV,Good Vibrations,1iosYfAlCjiqmbLWMYTdW2
The Beach Boys,3oDbviiivRWhXwIE8hxkVV,Heroes And Villains - Rehearsal / Live In Hawaii / 8/25/67,7KfS5Yy9pL1mU8J9Wido4U
The Beach Boys,3oDbviiivRWhXwIE8hxkVV,God Only Knows - Rehearsal / Live In Hawaii / 8/25/67,6ALtGH0YFyXPwm2rLSmPvq
