Artist,Artist_id,Song,Song_id
Marc E. Bassy,3tQx1LPXbsYjE9VwN1Peaa,Black Jeep,1Z2oHHTbSrYMoY9mBkRRwK
Marc E. Bassy,3tQx1LPXbsYjE9VwN1Peaa,So Simple,3okdJc9o2k1Bj5OnYOJTga
Marc E. Bassy,3tQx1LPXbsYjE9VwN1Peaa,Til I Get Found,3UReTN3heQsznBG8edEcTU
Marc E. Bassy,3tQx1LPXbsYjE9VwN1Peaa,Plot Twist,5wJL4o7k8m02m6ZM9KT0ir
Marc E. Bassy,3tQx1LPXbsYjE9VwN1Peaa,Made Love First,21csDNj3WqMPYDzW996UHL
Marc E. Bassy,3tQx1LPXbsYjE9VwN1Peaa,Heroine,6HayhkHnKvOsXACqhAXym9
Marc E. Bassy,3tQx1LPXbsYjE9VwN1Peaa,Let Me Rock,14kjYMlf7tar0zrSCiyik3
Marc E. Bassy,3tQx1LPXbsYjE9VwN1Peaa,New Ting,6yg8YOA9xAbjzR1Z8Hl7WZ
Marc E. Bassy,3tQx1LPXbsYjE9VwN1Peaa,The Season,09TjGQsnMNmdWSV2N1pV8I
Marc E. Bassy,3tQx1LPXbsYjE9VwN1Peaa,Bondage,6nli8w5LTGJRx1YspJK90d
Marc E. Bassy,3tQx1LPXbsYjE9VwN1Peaa,Don't Let Her Go,0HwIRLUQUJxt64BKVfhJrW
Marc E. Bassy,3tQx1LPXbsYjE9VwN1Peaa,Gossip Columns,1ivICmqHQbfUl7NT3e1XdH
Marc E. Bassy,3tQx1LPXbsYjE9VwN1Peaa,Westside Love,3hOT8v0uAn7gTMUbvicyma
Marc E. Bassy,3tQx1LPXbsYjE9VwN1Peaa,You & Me,7yCqehT9dKACTFy7YugP0J
Marc E. Bassy,3tQx1LPXbsYjE9VwN1Peaa,Real One,2e5t2NHAJgFqUtqfD6u7HF
Marc E. Bassy,3tQx1LPXbsYjE9VwN1Peaa,Plot Twist - Remix (Bonus),4958h2kh6dgPvbVu5ngnNq
Marc E. Bassy,3tQx1LPXbsYjE9VwN1Peaa,Black Jeep,7kcBVROQOmYIYLOlcNN98H
Marc E. Bassy,3tQx1LPXbsYjE9VwN1Peaa,So Simple,5giHnVC0BMXQCov1v4o1o1
Marc E. Bassy,3tQx1LPXbsYjE9VwN1Peaa,Til I Get Found,6J5cvNaR7oZIDgGSwY5KYX
Marc E. Bassy,3tQx1LPXbsYjE9VwN1Peaa,Plot Twist,4Y6rEusihPIpO78C3s1DMf
Marc E. Bassy,3tQx1LPXbsYjE9VwN1Peaa,Made Love First,5LYmthQy7dJqaeoQsBBmXL
Marc E. Bassy,3tQx1LPXbsYjE9VwN1Peaa,Heroine,6HTq8xHRtMCMbe69tFmE6j
Marc E. Bassy,3tQx1LPXbsYjE9VwN1Peaa,Let Me Rock,5gmJr0jp5ih2dwXmpgIvLd
Marc E. Bassy,3tQx1LPXbsYjE9VwN1Peaa,New Ting,2bT1vXhG7yTRxpMB2VbJuA
