Artist,Artist_id,Song,Song_id
Tyler Farr,3vHV92ecrylnUHDM4d2MtC,C.O.U.N.T.R.Y.,7yBcGJFP5bAMpAfToEm0dm
Tyler Farr,3vHV92ecrylnUHDM4d2MtC,A Guy Walks Into a Bar,16PNN9wK1LbedzcTp7y8y0
Tyler Farr,3vHV92ecrylnUHDM4d2MtC,Withdrawals,1gRh1UnU44zyiOvZgMD4qR
Tyler Farr,3vHV92ecrylnUHDM4d2MtC,Damn Good Friends - Duet with Jason Aldean,7p7Htw2r4UavqvWv1O6omI
Tyler Farr,3vHV92ecrylnUHDM4d2MtC,Suffer in Peace,6qkmoZlH8lYsVvcUhIOFiy
Tyler Farr,3vHV92ecrylnUHDM4d2MtC,Raised to Pray,1UpRzbjAm1MGc1tkM0BEOB
Tyler Farr,3vHV92ecrylnUHDM4d2MtC,Criminal,5BEHouhJ5PqOMLmArPRe1Z
Tyler Farr,3vHV92ecrylnUHDM4d2MtC,Better in Boots,1RLT391KHFFJwbDb7y3eyd
Tyler Farr,3vHV92ecrylnUHDM4d2MtC,Poor Boy,0OA2aD6f3nP17nZtx2udzh
Tyler Farr,3vHV92ecrylnUHDM4d2MtC,I Don't Even Want This Beer,1gOUrZvOlDygUqHNgxwha9
Tyler Farr,3vHV92ecrylnUHDM4d2MtC,Why We Live Here,0uQAjH15OvOPqiQmq2oh40
Tyler Farr,3vHV92ecrylnUHDM4d2MtC,Dirty,3UFpdzbI3jBcPL4lKWjkBB
Tyler Farr,3vHV92ecrylnUHDM4d2MtC,Makes You Wanna Drink,5W2Y1F5jUWarQwBCCIB1lK
Tyler Farr,3vHV92ecrylnUHDM4d2MtC,Redneck Crazy,4lcXNTm9JrQpJYXqsENmFI
Tyler Farr,3vHV92ecrylnUHDM4d2MtC,Whiskey in My Water,5E4CJfa6yZNGSKVFSUgaBt
Tyler Farr,3vHV92ecrylnUHDM4d2MtC,Hot Mess,2iUnNZNmXwdaCBkC8Hgvx5
Tyler Farr,3vHV92ecrylnUHDM4d2MtC,Hello Goodbye,5TYiTio0FT1tVlInOsjUHm
Tyler Farr,3vHV92ecrylnUHDM4d2MtC,Ain't Even Drinkin',15TgU8pOzIj6RhijKNFta6
Tyler Farr,3vHV92ecrylnUHDM4d2MtC,Wish I Had a Boat,1MmqQQwV6wpOgoeFUwH5Oi
Tyler Farr,3vHV92ecrylnUHDM4d2MtC,"Chicks, Trucks, and Beer - feat. Colt Ford",6UP1XUjfh31BTPeSBh7C0l
Tyler Farr,3vHV92ecrylnUHDM4d2MtC,Cowgirl,51A4Pj3r3xX5BeSWUfbJYe
Tyler Farr,3vHV92ecrylnUHDM4d2MtC,Living With the Blues,0UBISIHuZaaOdwZYh8M9G7
Tyler Farr,3vHV92ecrylnUHDM4d2MtC,The First Noel,6RmCDABotRue3QCDoHkOp1
Tyler Farr,3vHV92ecrylnUHDM4d2MtC,Love by the Moon,1IdNGeJiTPdOiF6fsXGWns
Tyler Farr,3vHV92ecrylnUHDM4d2MtC,I Should Go to Church Sometime,5J9Pv419YAs6C45qmrXmxK
Tyler Farr,3vHV92ecrylnUHDM4d2MtC,Our Town,11vp0RkusTEjq3e2drvQfM
Tyler Farr,3vHV92ecrylnUHDM4d2MtC,Blue Christmas,5ML261QR9bzftne3Pho7Zz
Tyler Farr,3vHV92ecrylnUHDM4d2MtC,Makes You Wanna Drink,5yQQMRTNrwRDhOhC4aAYoZ
Tyler Farr,3vHV92ecrylnUHDM4d2MtC,Silver Stallion,6QYcZ2ArGK4rMiNZujbZg2
Tyler Farr,3vHV92ecrylnUHDM4d2MtC,Jackson (with June Carter Cash),7xxK72Jyjb0rKAmJ84yrUz
Tyler Farr,3vHV92ecrylnUHDM4d2MtC,You Took All The Ramblin' Out Of Me,3v2pVDVGwo7203JQqvkyLk
Tyler Farr,3vHV92ecrylnUHDM4d2MtC,Oklahoma Borderline,5Ksy8L0sHhQQKci3bfPT31
