Artist,Artist_id,Song,Song_id
Sade,47zz7sob9NUcODy0BTDvKx,Soldier of Love - Live 2011,1xnoImV9Asz7LNCdONNlSu
Sade,47zz7sob9NUcODy0BTDvKx,Skin - Live 2011,4EH4Uxe9BGccV4lugSvRRZ
Sade,47zz7sob9NUcODy0BTDvKx,Kiss of Life - Live 2011,2TzL5SzevzN79PhPcNOIMt
Sade,47zz7sob9NUcODy0BTDvKx,Love Is Found - Live 2011,7EWRE51RP4Xq2dzeD4RX3M
Sade,47zz7sob9NUcODy0BTDvKx,In Another Time - Live 2011,2HQkIEYaNlBZSquuwwsqhG
Sade,47zz7sob9NUcODy0BTDvKx,Jezebel - Live 2011,3WopuEcUNgXNYetYSa0cFK
Sade,47zz7sob9NUcODy0BTDvKx,All About Our Love - Live 2011,5TIcDBVcXxGBXSx8KIwqaN
Sade,47zz7sob9NUcODy0BTDvKx,Paradise / Nothing Can Come Between Us - Live 2011,5sSrhbjKD0u1uqyU0gMW0R
Sade,47zz7sob9NUcODy0BTDvKx,Morning Bird - Live 2011,434pixpMCTTB2VeUrFcavJ
Sade,47zz7sob9NUcODy0BTDvKx,The Moon and the Sky - Live 2011,2PotTpNkMDxhNSx5I2wFvL
Sade,47zz7sob9NUcODy0BTDvKx,No Ordinary Love - Live 2011,5zlDd53q1dN80u9QkCIjO8
Sade,47zz7sob9NUcODy0BTDvKx,By Your Side - Live 2011,7uv5sN1RJB7asMRXlo77lO
Sade,47zz7sob9NUcODy0BTDvKx,Cherish the Day - Live 2011,4upghmJ66WXn6wGwjYmQRC
Sade,47zz7sob9NUcODy0BTDvKx,The Moon and the Sky,2fap3D2UQtuaJDwWMoQWAB
Sade,47zz7sob9NUcODy0BTDvKx,Soldier of Love,4xo4ByR12fL3APt8gByJYG
Sade,47zz7sob9NUcODy0BTDvKx,Morning Bird,1CbTfjQxuXVm0DxFawST53
Sade,47zz7sob9NUcODy0BTDvKx,Babyfather,4cjO0RMlvhQ7avUyR6KFkk
Sade,47zz7sob9NUcODy0BTDvKx,Long Hard Road,1XyeSHREuUg2Ulq6ww9jdV
Sade,47zz7sob9NUcODy0BTDvKx,Be That Easy,4Zj50ByLUTVPkNjaUgPuI8
Sade,47zz7sob9NUcODy0BTDvKx,Bring Me Home,4Paa4KkLKz5aNw07aaKhTS
Sade,47zz7sob9NUcODy0BTDvKx,In Another Time,37vK8OV34XWrl7HfoQDf5t
Sade,47zz7sob9NUcODy0BTDvKx,Skin,7D1BSOqgRY97b8X9pCP9FW
Sade,47zz7sob9NUcODy0BTDvKx,The Safest Place,4EhcWd0uekYFVFDwkyGTXh
Sade,47zz7sob9NUcODy0BTDvKx,The Moon and the Sky,2ZEwMwHaUECDWKkDh8rL0O
Sade,47zz7sob9NUcODy0BTDvKx,Soldier of Love,0bgsj8kz5zWbQ6njk2Oqoz
Sade,47zz7sob9NUcODy0BTDvKx,Morning Bird,2MYrRBXN6kfZLQaTzlFrXD
Sade,47zz7sob9NUcODy0BTDvKx,Babyfather,10kh9WpO4XlJWhJKfW4I7t
Sade,47zz7sob9NUcODy0BTDvKx,Long Hard Road,54jCmeAxT4NZMav0qQYC7P
Sade,47zz7sob9NUcODy0BTDvKx,Be That Easy,5KADKKJqxxF2d0a9Ir2lK3
Sade,47zz7sob9NUcODy0BTDvKx,Bring Me Home,1akRbcGtVdQl6xDIVBaExK
Sade,47zz7sob9NUcODy0BTDvKx,In Another Time,1DKYtHoBNbqjMLqvpw7o73
Sade,47zz7sob9NUcODy0BTDvKx,Skin,0V7dub77HhBIvjR7MaO56y
Sade,47zz7sob9NUcODy0BTDvKx,The Safest Place,7g21SbU0TWxNUO97P1Lnhv
Sade,47zz7sob9NUcODy0BTDvKx,Cherish the Day - Live,6vZepMNutpzUHU3QE04clK
Sade,47zz7sob9NUcODy0BTDvKx,Somebody Already Broke My Heart - Live,4PmmZh5RUJkyViJoyouXWt
Sade,47zz7sob9NUcODy0BTDvKx,Smooth Operator - Live,1ztxPjZDC6K616WTPMzsaz
Sade,47zz7sob9NUcODy0BTDvKx,Jezebel - Live,4IHZUBR16LLZCd19BvPulw
Sade,47zz7sob9NUcODy0BTDvKx,Kiss of Life - Live,7iPtb600z8XDidaIBELAUq
Sade,47zz7sob9NUcODy0BTDvKx,Slave Song - Live,6Hn660eFcV0xAKqiBq99Wt
Sade,47zz7sob9NUcODy0BTDvKx,The Sweetest Gift - Live,7c8xlAvhyPq5yWf6WnWDLt
Sade,47zz7sob9NUcODy0BTDvKx,The Sweetest Taboo - Live,3jt7OhfUGFWM4blz2SgdmG
Sade,47zz7sob9NUcODy0BTDvKx,Paradise - Live,2ZFyepEzjiNfkpg0AEz6wW
Sade,47zz7sob9NUcODy0BTDvKx,No Ordinary Love - Live,0X3qjLOXPCaWCoCkP3vex7
Sade,47zz7sob9NUcODy0BTDvKx,By Your Side - Live,7tbje2LqGhwuufZrnjqLWk
Sade,47zz7sob9NUcODy0BTDvKx,Flow - Live,5RBKUT7dqmya0Uh0mtU3u6
Sade,47zz7sob9NUcODy0BTDvKx,Is It a Crime - Live,0NGiyF5deizn4tbQxJ5xng
Sade,47zz7sob9NUcODy0BTDvKx,By Your Side,6aXGgKVRGXlMqQYCIQqo4s
Sade,47zz7sob9NUcODy0BTDvKx,Flow,3NSLo1uzXcUzbU6nmCL6PF
Sade,47zz7sob9NUcODy0BTDvKx,King of Sorrow,6wa2IezvDaifwPvCCokINY
Sade,47zz7sob9NUcODy0BTDvKx,Somebody Already Broke My Heart,5ICkfiPmiIJwJnPt2apn3s
Sade,47zz7sob9NUcODy0BTDvKx,All About Our Love,40USvqU45U3Q1vDHP7MNPe
Sade,47zz7sob9NUcODy0BTDvKx,Slave Song,11JMyjBsyVmuTdGe3PJ87V
Sade,47zz7sob9NUcODy0BTDvKx,The Sweetest Gift,5hJ4a9b026ar6tkYzFL6j3
Sade,47zz7sob9NUcODy0BTDvKx,Every Word,3UIV7JdURAPtfvQhhGo1d2
Sade,47zz7sob9NUcODy0BTDvKx,Immigrant,0b87DHwm7tCjDLwVV06ZzJ
Sade,47zz7sob9NUcODy0BTDvKx,Lovers Rock,3tzD0EbTZZwUzVmab9RCYT
Sade,47zz7sob9NUcODy0BTDvKx,It's Only Love That Gets You Through,1KDfTIou6yYnLJ1gytC5rV
Sade,47zz7sob9NUcODy0BTDvKx,No Ordinary Love,42vYxMAWsFpBOS7hgAdzqW
Sade,47zz7sob9NUcODy0BTDvKx,Feel No Pain,54I2P2uuNW3WUhBT5pzpmg
Sade,47zz7sob9NUcODy0BTDvKx,I Couldn't Love You More,0IuvnSzxQJm4TcnfaaZcah
Sade,47zz7sob9NUcODy0BTDvKx,Like a Tattoo,5u96Mfn0iLEW2Ch6zVSJNV
Sade,47zz7sob9NUcODy0BTDvKx,Kiss of Life,4ssiCx4MjZW1Rl9VOF0GZL
Sade,47zz7sob9NUcODy0BTDvKx,Cherish the Day,5ljnOdrl3v8oYC2Llknvna
Sade,47zz7sob9NUcODy0BTDvKx,Pearls,3MacKrBQf7wsyU2GiIxWVw
Sade,47zz7sob9NUcODy0BTDvKx,Bullet Proof Soul,16cVJxaCIgiLhrI5WC0j1y
Sade,47zz7sob9NUcODy0BTDvKx,Mermaid,46Dd2pjfa9DnH2F0y9C2v4
Sade,47zz7sob9NUcODy0BTDvKx,Love Is Stronger Than Pride,0QJO0Pb4yfzXIbVcidpy4m
Sade,47zz7sob9NUcODy0BTDvKx,Paradise,5DUX5YEV66m0ft9SF0Zxyu
Sade,47zz7sob9NUcODy0BTDvKx,Nothing Can Come Between Us,6fM23mbGiKidAOuTExfpdv
Sade,47zz7sob9NUcODy0BTDvKx,Haunt Me,647Fewb7o3mtM9qUTT9l2r
Sade,47zz7sob9NUcODy0BTDvKx,Turn My Back On You,4OHx7uQjZKIFVMXGr1S05c
Sade,47zz7sob9NUcODy0BTDvKx,Keep Looking,42IfNkZCyWKZQ2zjdMx7hX
Sade,47zz7sob9NUcODy0BTDvKx,Clean Heart,2EHAawWK2CroKV4XbKKThT
Sade,47zz7sob9NUcODy0BTDvKx,Give It Up,77TSlwEUgEAoeJBukdxDWi
Sade,47zz7sob9NUcODy0BTDvKx,I Never Thought I'd See the Day,2rMcBeVjRZgGi2auvHSepf
Sade,47zz7sob9NUcODy0BTDvKx,Siempre Hay Esperanza,2HT7QGG4yDoxVG9BS8yPKm
Sade,47zz7sob9NUcODy0BTDvKx,Is It a Crime,7AAH6dRCCkXIAHdgxLkfEU
Sade,47zz7sob9NUcODy0BTDvKx,The Sweetest Taboo,4KJzJxpqE5aR4zj8LiH652
Sade,47zz7sob9NUcODy0BTDvKx,War of the Hearts,1duUL0rWiiSlRs7qpnkQcE
Sade,47zz7sob9NUcODy0BTDvKx,You're Not the Man,3JKALZO0wYICjKgq8AoYq7
Sade,47zz7sob9NUcODy0BTDvKx,Jezebel,66BlLSG6ImOYNPttwSw3Wl
Sade,47zz7sob9NUcODy0BTDvKx,Mr Wrong,4TfHxImGpBb7o6H98DBfK1
Sade,47zz7sob9NUcODy0BTDvKx,Punch Drunk,7jsTBebfjKpkMaS8Ny12Un
Sade,47zz7sob9NUcODy0BTDvKx,Never as Good as the First Time,5YFHL9JR0zirb0wAre9khT
Sade,47zz7sob9NUcODy0BTDvKx,Fear,2cRexx0xDbUOAnzvMMR5Cj
Sade,47zz7sob9NUcODy0BTDvKx,Tar Baby,7FAKnnZKZNY53jZliV5IiF
Sade,47zz7sob9NUcODy0BTDvKx,Maureen,42PX5X3Dm3HNQI0V5IdfQc
Sade,47zz7sob9NUcODy0BTDvKx,Is It a Crime,24KcH8PMpmsM8aWdHwG2Dv
Sade,47zz7sob9NUcODy0BTDvKx,The Sweetest Taboo,1K28L5GJ9r0j8ZIqQnvNca
Sade,47zz7sob9NUcODy0BTDvKx,War of the Hearts,4yeDcpWewhIgv7jnEbNHPk
Sade,47zz7sob9NUcODy0BTDvKx,You're Not the Man,16VPc4kID2tLAdWV6QIsKM
Sade,47zz7sob9NUcODy0BTDvKx,Jezebel,1ckCKeBykWKJa95lLlAmN6
Sade,47zz7sob9NUcODy0BTDvKx,Mr Wrong,1dDlVniUskDZ2k1RMZPXfu
