Artist,Artist_id,Song,Song_id
Coldplay,4gzpq5DPGxSnKTe4SA8HAU,A Head Full Of Dreams,6f49kbOuQSOsStBpyGvQfA
Coldplay,4gzpq5DPGxSnKTe4SA8HAU,Birds,3HWDWyIqWuLsTHECx9DvXF
Coldplay,4gzpq5DPGxSnKTe4SA8HAU,Hymn For The Weekend,3RiPr603aXAoi4GHyXx0uy
Coldplay,4gzpq5DPGxSnKTe4SA8HAU,Everglow,5qfZRNjt2TkHEL12r3sDEU
Coldplay,4gzpq5DPGxSnKTe4SA8HAU,Adventure Of A Lifetime,69uxyAqqPIsUyTO8txoP2M
Coldplay,4gzpq5DPGxSnKTe4SA8HAU,Fun (feat. Tove Lo),7fJFDK6XjYsXcMKNHESbot
Coldplay,4gzpq5DPGxSnKTe4SA8HAU,Kaleidoscope,7IX7VAXujvcZ3e1PG7sGP7
Coldplay,4gzpq5DPGxSnKTe4SA8HAU,Army Of One,4giCxIFPZNQIP4bIZM4sqH
Coldplay,4gzpq5DPGxSnKTe4SA8HAU,Amazing Day,3wtV2ifnHzirkAElgTGh63
Coldplay,4gzpq5DPGxSnKTe4SA8HAU,Colour Spectrum,3VqiD8Yvk6bKwqS1e64PHB
Coldplay,4gzpq5DPGxSnKTe4SA8HAU,Up&Up,31L9yLXSj6LpCFupyMV6CR
Coldplay,4gzpq5DPGxSnKTe4SA8HAU,A Head Full Of Dreams,32kkgDF3INcwS6qs6ILplZ
Coldplay,4gzpq5DPGxSnKTe4SA8HAU,Birds,3R34ORJaGjmAcQK5sfgmQ0
Coldplay,4gzpq5DPGxSnKTe4SA8HAU,Hymn For The Weekend,3Jqgu4nVb0oQTGmObR097r
Coldplay,4gzpq5DPGxSnKTe4SA8HAU,Everglow,2eUDgLm67Itf6vEYK1L9wf
Coldplay,4gzpq5DPGxSnKTe4SA8HAU,Adventure Of A Lifetime,17ZmrriLHd1RnaFBp6c7UI
Coldplay,4gzpq5DPGxSnKTe4SA8HAU,Fun (feat. Tove Lo),0SREKu7J3D8Uw7qyl2OCMb
Coldplay,4gzpq5DPGxSnKTe4SA8HAU,Kaleidoscope,0KxEJcGUaW7b6GpPNPL7gH
