Artist,Artist_id,Song,Song_id
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Number One (feat. Richie Havens & Son Little),2YSgnpegXNXgk8UxgG8znT
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Easy Tiger,3u49n658xRS0pjHxHFRkOf
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Live In The Moment,60eOMEt3WNVX1m1jmApmnX
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Feel It Still,6QgjcU0zLnzq5OrUoSZ3OK
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Rich Friends,18admrko96XeSCmgD76wlM
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Keep On,4wnqFGTV4268VQgCG1jn7J
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,So Young,4SNtyKNyYJ8ERT7YLlnFBr
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Mr Lonely (feat. Fat Lip),4IDqtpOM4wvEi4tktYprdd
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Tidal Wave,384TqRlwlMfeUAODhXfF3O
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,"Noise Pollution (feat. Mary Elizabeth Winstead & Zoe Manville) - Version A, Vocal Up Mix 1.3",6E69aBnq0hr6cTGBo39cWD
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Plastic Soldiers,2VjySzgGQeZcMGWuPMAnBF
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Creep In A T-Shirt,1lpN3qsugqtMR49xwzHYnt
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Evil Friends,633TjzvG2smpc0aYgN9Xkd
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Modern Jesus,7iOyMOxdOULvXqUqC26spJ
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Hip Hop Kids,3LBBeej1zGctWlJNpNa4I6
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Atomic Man,43QhrhgRrH9NWy6eoUro4X
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Sea of Air,2zhXf2DDA8AbPPmbIVPL43
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Waves,62d2bS1weWhdHZH1lSpJp8
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Holy Roller [Hallelujah],750KcuaMGnnfxyYP0zf2eP
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Someday Believers,46MlVmtQ2B9qXQeM5qJIhr
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Purple Yellow Red and Blue,4WMuY659P2MKnoW40oGXe8
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Smile,4rcNXoJfc2nMHAUXOkUiE2
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,So American,1z9Ll1iqnKQxr6EmhJnAS3
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Floating (Time Isn't Working My Side),23bJrwNqUAmejBGC4akNcn
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Got It All (This Can't Be Living Now),3Gwp9jtvcFIvXdG5MAj30i
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Senseless,0uz4MuUrZCsZuhgsefHvnl
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Head Is A Flame (Cool With It),5X5xLbiZPrIIfA8q4h2RY3
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,You Carried Us (Share With Me The Sun),3q2lDQHtkoUxMcf6ofPrMH
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Everything You See (Kids Count Hallelujahs),4EcUDhjCpr7jJHK4hNfXoU
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,All Your Light (Times Like These),0UvcKBQtHe3Fe3kq75Gzz0
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Once Was One,3WIEEPD2ApzBCxL3VH4ZXo
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Share With Me The Sun,4Wy1Kwj9VZSb3D9IItLuF5
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Sleep Forever,48hjS7tWdwMkBVVAvpJnQ9
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Got It All (This Can't Be Living Now) - Bjorn Remix,3d0Z6l3F2b0NuXEp7NExhK
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,So American,4vWNhCGqrNVfZxunY47GDf
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Floating (Time Isn't Working My Side),6nb2FEA0N0xebCwoPW0RW6
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Got It All (This Can't Be Living Now),4tD3N8DxePEhUz1Bb4IL3V
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Senseless,2X3NxzbcjEsT3gQ5tMiuHJ
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Head Is A Flame (Cool With It),6AsW5PbmtQKYgXfbaNul8b
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,You Carried Us (Share With Me The Sun),2OIjLXIeX47CiRlTPzaCdI
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Everything You See (Kids Count Hallelujahs),1N7FxnnLzAG775dT9fSEP5
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,All Your Light (Times Like These),3UOlYczxtt70Xj1VplXgj8
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Once Was One,5W8sli3Irb4ROGkhWo6xxH
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Share With Me The Sun,60pGI8AIB22qB8rC0BHrA0
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Sleep Forever,1l5lKWHRfyY7Y3FvDBXlvJ
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,The Dead Dog,6Q1eSUFYz9hrqZofVQhQ8x
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Break,4C9MMHCf2nL5nMh50fFfba
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,60 Years,6AZQXqMo49w2BiQM0RhUc0
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,All My People,66sOuD03tZc1yxGhEtL0QX
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,1000 Years,0fx6213AGQ0zQD8EqZ92v5
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Fantastic Pace,6Ue7Htw0qt53eSVhT617ye
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,The Pushers Party,0gMjEaJIve4QcObtoqy7pK
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Do What We Do,7EPEScwJEKuC0H0JZATzst
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Just A Fool,0Zrgkcl7d5NkswMz8oCZhO
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Some Men,1fcl0TXhlWip8vb6YnIk2T
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,When The War Ends,6onGPPlA3MuXZdWqE5YBcX
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,People Say - Acoustic,3Nji7hyUpVsmS6R0YarNtu
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Work All Day - Acoustic,27VXbqhpdmqUth6dLepmx6
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Lovers In Love - Acoustic,68pqM2LidAlr5xAwDmS54T
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,The Sun - Acoustic,7MJk1mwCITEEtCrvjGDItm
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,The Home - Acoustic,7EEnaBkfEPYzGqhWRQRlEC
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,The Woods - Acoustic,744spS4w4UsP5JlPZTAOv8
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Guns and Dogs - Acoustic,140z1MNzFD33KQdpvrKJkW
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Do You - Acoustic,5NJEqQhG8xe6YBHdsdvj3w
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Everyone Is Golden - Acoustic,2cEKC9JCwDms5g8dXN8B8c
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Mornings - Acoustic,3yPw305TbJavKAB82Er4ax
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,People Say,1Hle8Xb0v0CE4xJR8Ezr89
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Work All Day,6lQPjlK9jPN9oPnSltqDXR
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Lovers In Love,2pX0XG16kztHwnwZ0E4Kst
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,The Sun,5lfp2QjgatdihCll6tFlMA
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,The Home,2UXHal3m81cCI9rlQ0IfnA
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,The Woods,3KwPVBJYHbdZIIkVgzq1fL
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Guns and Dogs,2I6mf3RFLj1c0k5OpX5sKg
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Do You,1pdFF61AGQ1ynLS4CHdKxt
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Everyone Is Golden,7adRwVME0exNJNKjARKpzx
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Let You Down,1fOuKPtMHazjodV1SxWL7z
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Mornings,5ROyw8Y6491Nhp8uZaKW6Y
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Lay Me Back Down,4ujv60YgIyXpI6DAznL8fB
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Colors,653ugIJrPinAki2yAKgBTb
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,And I,6IuvCNtfNokRK4zVK0GuTB
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Salt,4cHwWv9bdPFKH0mQa87LPB
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Created,7LYkMp9sUHtvTX0fkIZTHc
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Out and In and In and Out,0HG2zxaav15VdhOd4Pqs8M
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Intermission,1tQ6po8BWXwUoY4LDXTrPU
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,New Orleans,2w8WHHMi18DmQl1cHZAVFA
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Never Pleased,18gcgxBSF2UUAs32mHWwen
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Sit Back and Dream,5ARvEj2d7frxkYexUlwnTp
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Hard Times,2La2Ld9fnUyrcm4Z6WGVST
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Our Times,1pzNO8esWnH9d13usLaIP5
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,All Mine,0JfYMLPBsEvCOM6JtSFfUy
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,1989,41pJ8Hz2ZytaGYekDxJ6YS
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Our Way,0m0wIstKaxjXQ6NqOHc76P
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Church Mouth,2xtXy6rcVafbM5KsYZR4pj
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Sugar Cinnamon,7I1PEXTpCoHkLnssJWIAj3
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Telling Tellers Tell Me,3Flh3AWy6yZI3bUUa7f9To
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,My Mind,73LflN2uDUNq6Sx6v1LDKJ
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Shade,3U3SuoAyvNFU62mj2Rzw0h
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Dawn,7J3RnqbkJkdKpWTdBP2j5E
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Oh Lord,5mTBROPP6TO7zvTGnTaHEQ
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Bellies Are Full,2Xp1ojivkUZAZUAK0hjemp
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Children,1yuoRhn5YRekB1ljb1Kgze
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,The Bottom,6OyrTAQra9N4YeCJc7Ls8S
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Sleeping Sleepers Sleep,1khwPAjwHhff6UrZkHMN8Q
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Sun Brother (excerpt),1QDVvX4irxp0z3rkVAVsCz
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Church Mouth,48m5ZXWS8HRHKjnjNXzxiW
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Sugar Cinnamon,1h3B96lx4lywr9nddimP8d
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Telling Tellers Tell Me,1vLGEB2FUejfODc8urOZOP
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,My Mind,4VtiqG418FJ7BtApmld9LQ
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Shade,0BCRg55jHpvPONP7yCm87V
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Dawn,3sD4odgqRn8xNCbWM8JBl4
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Oh Lord,6YG8cjbrjhDhlYMiQnibUD
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Bellies Are Full,2EmRYeSZNib7IXsOCAKg5p
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Children,5cWwYS6vIAv0DRbRJ4P8f4
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,The Bottom,70NDHCtO4wGl11G5YgQuUL
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Sleeping Sleepers Sleep,5yIXQ5bnjdoAXdzdmbP5cR
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Sun Brother - Excerpt,2luSAMxMdE5xzjl8n7LeeW
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,How The Leopard Got Its Spots,20C9J8s198RlKn7gCxuN4H
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Gold Fronts,2jRHCcnqqKd6kWaDdX6EHJ
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Stables And Chairs,0NFzGYw7YYuc9tdgN4euHt
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,AKA M80 The Wolf,1RyN8HaM9v1YzRDaZrSBLf
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Marching With 6,6XvOCVcQ6nTeQdFYMhWxXK
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Elephants,6GI4NAM551bBJhfVLjtK6w
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Waiter,2kxqSmUdnKT2ICLchBgsnq
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Chicago,5pPXXI6f6s8SuGuqZZCOYV
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Bad Bad Levi Brown,70nzvcD1lYoID4Z4fkXGdH
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Kill Me. The King,0eSEt75kFXntUcZ3GoqThK
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Tommy,5x0GcQjN7UWbUPoiNktQQY
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Horse Warming Party,4b8LXl90bFApPynUZoj5wS
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Guns. Guns...Guns,4cCDlXtKJpFUCVcM1pQFlo
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,How The Leopard Got Its Spots,1dP61hxCA5Zm0NpUreZ9xr
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Gold Fronts,44ZjlOEH0dIEDdrB3sN61k
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Stables And Chairs,04Sb5h6CEEG4slufyOTj8r
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,AKA M80 The Wolf,2RGEQlf87DCbRdSAlhRwL6
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Marching With 6,4RUnjhmY37r2MV9cLVpOtN
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Elephants,2l0yZCjsKIdxX78beIBGGo
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Waiter,2wjIVGSX2PDrCEOFiXZ7aS
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Chicago,667ZLHBPPTYrs0D2kYI79e
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Bad Bad Levi Brown,3GnPPHzsyJcuIkXNMFg8CV
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Kill Me. The King,0DSNgYs0ORlVjxnhfMLsbg
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Tommy,4v8HdwtOuFgpVww16IQFe9
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Horse Warming Party,1MZ7JWufb2jJ1b4OjrHe7P
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Guns. GunsGuns,1fkdnlf6RfZ2Y8uDPiZvTg
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Tidal Wave - Ookay Remix,0wSH3Aa8kyThwGDOVSa2qA
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Tidal Wave - Lucius Remix,2qPJdSDDpacAF3MHpf0WMR
Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Tidal Wave - Mansionair Remix,3XxTBbZkesCxSftEkqYOEc
