Artist,Artist_id,Song,Song_id
Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,Feet Don't Fail Me,2JB7PvDV0R3Vwbq0iy1WPe
Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,The Way You Used to Do,1wsnCfewxZlCs7cJxkaMZM
Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,Domesticated Animals,5NbMimOzRykGsE1tVHDtKV
Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,Fortress,2MZUMdIakjQxl03yT1UlmQ
Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,Head Like a Haunted House,3Ikx48PUIc4w36Li5Lhw0h
Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,Un-Reborn Again,2M7FKrVr8intZRw0JZ5BKi
Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,Hideaway,26Q5QsTDR5rPIqPiFOk7g3
Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,The Evil Has Landed,763LDHO3wYOI7GzXS7uBwU
Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,Villains of Circumstance,0aDoFKy3OZfSAmBwYcJtSg
Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,Keep Your Eyes Peeled,5kgvRTKmoJChOc5PAdHZg3
Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,I Sat By The Ocean,7oXRMDUzBPekkLRTJhSGvC
Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,The Vampyre of Time And Memory,5q453TyHMg7pxYdNG9nufn
Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,If I Had A Tail,0wmaGiDKtKaRf7G8nBfNsQ
Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,My God Is The Sun,1Pc3gTtQG4Cq1x81NcXtCN
Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,Kalopsia,4IswprVy2RdWGhiJVKWYau
Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,Fairweather Friends,4RdQZodcn9NwMVW6sGNnp6
Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,Smooth Sailing,1Dhi8OBMSyukjUQ93uBfNz
Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,I Appear Missing,6mfKEPTYiBAYZ9z0429jsp
Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,...Like Clockwork,2v8sPwkqVDgWprsmGIis25
Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,Feel Good Hit Of The Summer,3DaXIGJm0BCEB9X7zHTRfI
Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,The Lost Art Of Keeping A Secret,6FlAJtf8aSZOpEj9ITSfYh
Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,Leg Of Lamb,5e9zmHHKeRkOmo0qEzyBWs
Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,Auto Pilot,3hWu4Z5IkREyWNT4zuuXM5
Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,Better Living Through Chemistry,7GYqzwtxd7gqggYgEOpnAu
Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,Monsters In The Parasol,0a2sCOv9nkWAdkdM6iMcvY
Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,Quick And To The Pointless,7yauS2RTZt41o1dvcmFiJz
Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,In The Fade/Feel Good Hit Of The Summer (Reprise),5chFfvzdWd33uwpy4UzmAj
Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,Tension Head,2PZhHYtlfVED3oU4qcTejV
Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,Lightning Song,5WEfgjYj09nzLDpg95lwaE
Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,I Think I Lost My Headache,46peDwkQpqnDBLFEAdGMMK
Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,Ode To Clarissa - Non-LP Version,5RutP44m8AvvWTjRDspLuR
Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,You're So Vague - Non-Lp Version,4ImpyKx0AZ59qb2mu3rDvU
Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,Never Say Never - Non-Lp Version,5wGgUUUYMdXF86jhyqoVQU
Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,Who'll Be The Next In Line - Non-Lp Version,6Cuf5jLiMSIGo1QH1lanYv
Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,Born To Hula - Non-LP Version,1sddd7RjfvTBG3Kv9xSAKF
Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,Monsters In The Parasol - Live in Seattle / 2000,7mFG9cBsNq86aWFHr5TuSX
Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,Feel Good Hit Of The Summer - Live At Reading / 2000,26BXymBKlfYz44VtaGZXTK
Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,Regular John - Live At Reading / 2000,1jFXit56QoABlBkXEs7wS3
Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,Avon - Live At Reading / 2000,0lD8P1h7SfAlOWn0BTod0a
Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,Quick And To The Pointless - Live At Reading / 2000,0QHh9okY5V3eOhndsGjE7Z
Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,Better Living Through Chemistry - Live At Reading / 2000,4fPI3XtuZbMswTvVQnTAOR
Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,Ode To Clarissa - Live At Reading / 2000,5XYJCsZ8cjEIjoeZiNeNPa
Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,The Lost Art Of Keeping A Secret - Live At Reading / 2000,2bJf7E7aXA8dU1pg6S4Ch0
Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,"You Can't Quit Me, Baby - Live At Reading / 2000",0UZnQbomUScMKs6BlQXBde
Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,Millionaire - Live At Reading / 2000,2LH6bPWC0YepQnmIasefGu
Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,Turnin On The Screw,1CW8NE2Fmdpdp63poIZjEL
