Artist,Artist_id,Song,Song_id
Janet Jackson,4qwGe91Bz9K2T8jXTZ815W,Unbreakable,0QggrQQxLiFeHvEQBffsjl
Janet Jackson,4qwGe91Bz9K2T8jXTZ815W,BURNITUP! (feat. Missy Elliott),4gmxWoNfE1uXvJdgxYYBLB
Janet Jackson,4qwGe91Bz9K2T8jXTZ815W,Dammn Baby,78pDNYECez4P9yrfG1HY31
Janet Jackson,4qwGe91Bz9K2T8jXTZ815W,The Great Forever,3bBhOAat3MAA8F4JROvwzL
Janet Jackson,4qwGe91Bz9K2T8jXTZ815W,Shoulda Known Better,5K7CZjMKG9bwmWz0evqeXl
Janet Jackson,4qwGe91Bz9K2T8jXTZ815W,After You Fall,1thrOe84XcRMi4kL5K0WJ8
Janet Jackson,4qwGe91Bz9K2T8jXTZ815W,Broken Hearts Heal,1FpRucyvfW8fyTkWCpoSHo
Janet Jackson,4qwGe91Bz9K2T8jXTZ815W,Night,30IG8nYzUJRe498f9NplcU
Janet Jackson,4qwGe91Bz9K2T8jXTZ815W,No Sleeep (Featuring J.Cole),1HkGkXJ1bW0aU9zvGhLgqh
Janet Jackson,4qwGe91Bz9K2T8jXTZ815W,Dream Maker / Euphoria,6kc85FDSABVoRQImJJHf4c
Janet Jackson,4qwGe91Bz9K2T8jXTZ815W,2 B Loved,7F4BTuVIYlZld1Xf1JgetY
Janet Jackson,4qwGe91Bz9K2T8jXTZ815W,Take Me Away,19FmSORlIIIYvLxFQ2648p
Janet Jackson,4qwGe91Bz9K2T8jXTZ815W,Promise,1QZCLjYfelvoLaR84lYwAC
Janet Jackson,4qwGe91Bz9K2T8jXTZ815W,Lessons Learned,6Y4HefsogoDWYtdaQq2Dva
Janet Jackson,4qwGe91Bz9K2T8jXTZ815W,Black Eagle,67rVjDXP4Mftj3k4xFDTSU
Janet Jackson,4qwGe91Bz9K2T8jXTZ815W,Well Traveled,14qG2hiYM5tHkaWyakip8S
Janet Jackson,4qwGe91Bz9K2T8jXTZ815W,Gon' B Alright,1VUswjclk1lUzCKTjB70SX
Janet Jackson,4qwGe91Bz9K2T8jXTZ815W,No Sleeep,1PPaaWVUC9mpXQ6tTlE8Dw
Janet Jackson,4qwGe91Bz9K2T8jXTZ815W,No Sleeep (Featuring J.Cole) - AF Sheen Remix,3lbWGMXoQDLYtjFAT3f5ob
