Artist,Artist_id,Song,Song_id
Logic,4xRYI6VqpkE3UwrDrAZL8L,Thank You (ft. Lucy Rose & The RattPack),4ut9fdC5ncgcvCo0KaphNY
Logic,4xRYI6VqpkE3UwrDrAZL8L,Everybody Dies,2Egoo3acImq7hV6TfYV90E
Logic,4xRYI6VqpkE3UwrDrAZL8L,The Return,5ZcMWSpUeUPvO87FkSZbJB
Logic,4xRYI6VqpkE3UwrDrAZL8L,The Glorious Five,066QkK1heGoXBUPBbcOhEG
Logic,4xRYI6VqpkE3UwrDrAZL8L,One Day (ft. Ryan Tedder),7rKKh8AGVXuNXgLBpTBTFH
Logic,4xRYI6VqpkE3UwrDrAZL8L,"Wu Tang Forever (ft. Ghostface Killah, Raekwon, RZA, Method Man, Inspectah Deck, Cappadonna, Jackpot Scotty Wotty, U-God, Masta Killa, GZA)",6VDz4m1vEGHDDqQojf1mpc
Logic,4xRYI6VqpkE3UwrDrAZL8L,100 Miles and Running (ft. Wale & John Lindahl),4CstQ0SUkl0YkoeZkIZlIx
Logic,4xRYI6VqpkE3UwrDrAZL8L,Ordinary Day (ft. Hailee Steinfeld),2zIAPysksDdMAiG33qH6kW
Logic,4xRYI6VqpkE3UwrDrAZL8L,YSIV,3irKogkH8P1B1nONmEcHgY
Logic,4xRYI6VqpkE3UwrDrAZL8L,Street Dreams II,0Me3TlqFkaIzoZzAGU1EDh
Logic,4xRYI6VqpkE3UwrDrAZL8L,"The Adventures Of Stoney Bob (ft. Kajo, Slaydro, Big Lenbo)",5xE8cBcKRjKEDdJwmh1ixN
Logic,4xRYI6VqpkE3UwrDrAZL8L,Legacy,5mJAediEZEv8KKpWxrNIqf
Logic,4xRYI6VqpkE3UwrDrAZL8L,ICONIC (ft. Jaden Smith),1FmdAhS8FqRoEJ4jcSfuKZ
Logic,4xRYI6VqpkE3UwrDrAZL8L,Last Call,202RUoPIUYZLyg6VtosWci
Logic,4xRYI6VqpkE3UwrDrAZL8L,Thank You (ft. Lucy Rose & The RattPack),60ngEPetLRUm99Gz5HVVvK
Logic,4xRYI6VqpkE3UwrDrAZL8L,Everybody Dies,6t9sVw1e1BCkLU6izfmH34
Logic,4xRYI6VqpkE3UwrDrAZL8L,The Return,18sX2yzl5CAcsFbeoZCBq6
Logic,4xRYI6VqpkE3UwrDrAZL8L,The Glorious Five,12iYuJW5XCkEGpmzSgGHaZ
Logic,4xRYI6VqpkE3UwrDrAZL8L,One Day (ft. Ryan Tedder),2KzPTiHPUNXlXvyMPtsXDp
Logic,4xRYI6VqpkE3UwrDrAZL8L,"Wu Tang Forever (ft. Ghostface Killah, Raekwon, RZA, Method Man, Inspectah Deck, Cappadonna, Jackpot Scotty Wotty, U-God, Masta Killa, GZA",4sfVj3VpY980UgO0cJtatk
Logic,4xRYI6VqpkE3UwrDrAZL8L,100 Miles and Running (ft. Wale & John Lindahl),3q2s5uUwVh0Pw8HzuMkTay
Logic,4xRYI6VqpkE3UwrDrAZL8L,Ordinary Day (ft. Hailee Steinfeld),4GHinMMmYDTXB5KjwLQVvc
Logic,4xRYI6VqpkE3UwrDrAZL8L,YSIV,4Eto4JvurTUe3orRQHdqzz
Logic,4xRYI6VqpkE3UwrDrAZL8L,Street Dreams II,58PSIqncbIlERuiPeM1ic6
Logic,4xRYI6VqpkE3UwrDrAZL8L,"The Adventures Of Stoney Bob (ft. Kajo, Slaydro, Big Lenbo)",6p9ytt2WoSxkJIQWby3ZL5
Logic,4xRYI6VqpkE3UwrDrAZL8L,Legacy,3zGMbWSWb5MyynbBFuUsqP
Logic,4xRYI6VqpkE3UwrDrAZL8L,ICONIC (ft. Jaden Smith),0LDqRNmNhTdmBJy0ccayZA
Logic,4xRYI6VqpkE3UwrDrAZL8L,Last Call,6nZnmdyjXKkHYTblD7Sy2t
Logic,4xRYI6VqpkE3UwrDrAZL8L,Grandpa's Space Ship,3atCD3dVosUsd3KM2yzfeC
Logic,4xRYI6VqpkE3UwrDrAZL8L,Overnight,3s3VVLE1kB7Xk2AoJKlGmr
Logic,4xRYI6VqpkE3UwrDrAZL8L,Contra,7u90MSvVyEjL0c8icaE7jl
Logic,4xRYI6VqpkE3UwrDrAZL8L,BoomTrap Protocol,4fZxGiES1FKbNqJPrI4L3s
Logic,4xRYI6VqpkE3UwrDrAZL8L,Yuck,0D5CXSUx8GOCHSY8KWgi9h
Logic,4xRYI6VqpkE3UwrDrAZL8L,Indica Badu,0jqBo5RYn008f4ZY8kPewW
Logic,4xRYI6VqpkE3UwrDrAZL8L,Midnight,1GtVGc1UYin3zpMUdNSSpM
Logic,4xRYI6VqpkE3UwrDrAZL8L,Warm It Up,3W4JFzOQdo5J2Wgt9DFg24
Logic,4xRYI6VqpkE3UwrDrAZL8L,Wizard Of Oz,2ycWek3FNNVHBhz2TcnOzZ
Logic,4xRYI6VqpkE3UwrDrAZL8L,State Of Emergency,58cvckETahSOG74RP5WE99
Logic,4xRYI6VqpkE3UwrDrAZL8L,Wassup,5KVciTEfXvpcFHR3RFbtJy
Logic,4xRYI6VqpkE3UwrDrAZL8L,Everyday,4EAV2cKiqKP5UPZmY6dejk
Logic,4xRYI6VqpkE3UwrDrAZL8L,44 More,3e7Y6sfFlIdBMJhX7wpqVO
Logic,4xRYI6VqpkE3UwrDrAZL8L,Grandpa's Space Ship,7rBz6Q454HcO5tr6dz5WvG
Logic,4xRYI6VqpkE3UwrDrAZL8L,Overnight,3hWq1e45ZYCgpvzGgLxf6N
Logic,4xRYI6VqpkE3UwrDrAZL8L,Contra,7xmUfODJa6wQTHyRobLGTi
Logic,4xRYI6VqpkE3UwrDrAZL8L,BoomTrap Protocol,3pwcBPVwXPWHJRZlVAUHx8
Logic,4xRYI6VqpkE3UwrDrAZL8L,Yuck,3tCRWYyYfPUU84zMAeiNBX
Logic,4xRYI6VqpkE3UwrDrAZL8L,Indica Badu,24OzIWHYkUFYczFyKf2YCj
Logic,4xRYI6VqpkE3UwrDrAZL8L,Midnight,2xoAuNB1YhJQpexBUKa3Fq
Logic,4xRYI6VqpkE3UwrDrAZL8L,Warm It Up,0VagO3n7TzWAZZ4d0ici9o
Logic,4xRYI6VqpkE3UwrDrAZL8L,Wizard Of Oz,4hqBk0XUSE8sW3m3dPJk5Q
Logic,4xRYI6VqpkE3UwrDrAZL8L,State Of Emergency,7mDZCsrDa7VSDrduotY6Bb
Logic,4xRYI6VqpkE3UwrDrAZL8L,Wassup,70rNjsbCRsSU3RZTryDvWF
Logic,4xRYI6VqpkE3UwrDrAZL8L,Everyday,4yJNh91hihphOioFDjICnn
Logic,4xRYI6VqpkE3UwrDrAZL8L,44 More,1qAumMXm9imjnS7eYSOtte
Logic,4xRYI6VqpkE3UwrDrAZL8L,Hallelujah,7fRfIvHPH6bHdMDjPFwTMh
Logic,4xRYI6VqpkE3UwrDrAZL8L,Everybody,7cGFbx7MP0H23iHZTZpqMM
Logic,4xRYI6VqpkE3UwrDrAZL8L,Confess,58kwvMXeOlsvzPqUlyj75Y
Logic,4xRYI6VqpkE3UwrDrAZL8L,Killing Spree,6OQea06z3cbOqYgG2O6eOZ
Logic,4xRYI6VqpkE3UwrDrAZL8L,Take It Back,6HN5XPJEV31RQJGoyqZ81K
Logic,4xRYI6VqpkE3UwrDrAZL8L,America,77mLzdHEWRB60CLlV02TV2
