Artist,Artist_id,Song,Song_id
Jeezy,4yBK75WVCQXej1p04GWqxH,Spyder,4dsqt4TolsIK2cNT5LvjKB
Jeezy,4yBK75WVCQXej1p04GWqxH,Cold Summer (feat. Tee Grizzley),1ePdxyyF6tntoUAf8PZQuF
Jeezy,4yBK75WVCQXej1p04GWqxH,In A Major Way (feat. Payroll Giovanni),4i9oLbeCmsr66GEJOixfZm
Jeezy,4yBK75WVCQXej1p04GWqxH,Floor Seats (feat. 2 Chainz),1LF9ahvlM2aFh0CHxkSec5
Jeezy,4yBK75WVCQXej1p04GWqxH,This Is It,6lsTEhgjIZ4ojnOA4Kc4Gn
Jeezy,4yBK75WVCQXej1p04GWqxH,Bottles Up (feat. Puff Daddy),0U1sNkzPniZBCFWebiaRnc
Jeezy,4yBK75WVCQXej1p04GWqxH,Valet Interlude,15vHUlw7QSm2xFRJXd5Qz1
Jeezy,4yBK75WVCQXej1p04GWqxH,Respect,21dsVNdi3MuEZXKvNaiCsh
Jeezy,4yBK75WVCQXej1p04GWqxH,"Pressure (feat. Kodak Black, YG)",0FYnCLn7KHJs3B4dtptVbR
Jeezy,4yBK75WVCQXej1p04GWqxH,"Like Them (feat. Tory Lanez, Rick Ross)",6Xfb6qPfyxd74crexohl8p
Jeezy,4yBK75WVCQXej1p04GWqxH,"The Life (feat. WizKid, Trey Songz)",7beCqGrf7M3yVuB6YvEZdi
Jeezy,4yBK75WVCQXej1p04GWqxH,"American Dream (feat. J. Cole, Kendrick Lamar)",2j8MsmmNqmc6UBEA54KOlY
Jeezy,4yBK75WVCQXej1p04GWqxH,Snow Season,5oICBRkaGVtLTkkKeXuSKF
Jeezy,4yBK75WVCQXej1p04GWqxH,Spyder,4Y8aWyW6EXCKY8WZ7W2jbh
Jeezy,4yBK75WVCQXej1p04GWqxH,Cold Summer (feat. Tee Grizzly),1ofZfIQaN9MLkD6jhRcD6Z
Jeezy,4yBK75WVCQXej1p04GWqxH,In A Major Way (feat. Payroll Giovanni),1nBET9eLCG1Ohiolmy6tY9
Jeezy,4yBK75WVCQXej1p04GWqxH,Floor Seats (feat. 2 Chainz),1FgBA1S9pLHSdepoTzhaHs
Jeezy,4yBK75WVCQXej1p04GWqxH,This Is It,1Jqb5Rg1iUt1XWcYBWawTR
Jeezy,4yBK75WVCQXej1p04GWqxH,Bottles Up (feat. Puff Daddy),6Nnr01xj20863KTIcTrIsG
Jeezy,4yBK75WVCQXej1p04GWqxH,Valet Interlude,1WeQVawrA2SVsauvX3vUvp
Jeezy,4yBK75WVCQXej1p04GWqxH,Respect,0SAW2IUk7lmmdZMVciY6Jf
Jeezy,4yBK75WVCQXej1p04GWqxH,"Pressure (feat. Kodak Black, YG)",2McoeRwCtCFj3bmZy7V1qT
Jeezy,4yBK75WVCQXej1p04GWqxH,"Like Them (feat. Tory Lanez, Rick Ross)",0UuZ61p3yHhvsxwjYBSTX0
Jeezy,4yBK75WVCQXej1p04GWqxH,"The Life (feat. WizKid, Trey Songz)",1dzmcdKnsKlwf7mRJsw5lC
Jeezy,4yBK75WVCQXej1p04GWqxH,"American Dream (feat. J.Cole, Kendrick Lamar)",6tE4uNiF4gV7Oc1tmIil7j
Jeezy,4yBK75WVCQXej1p04GWqxH,Snow Season,4WoHflXnXvsK9hrfHShXDJ
Jeezy,4yBK75WVCQXej1p04GWqxH,Dope Boy (feat. O.T. Genasis),1gM9j9UZD9LddoYzOmSlKO
Jeezy,4yBK75WVCQXej1p04GWqxH,Gotta Be A Man,22li5CXfvOvRbKbjRdspV9
Jeezy,4yBK75WVCQXej1p04GWqxH,Might (feat. Rich Homie Quan),03hpNFcQ8Z1KQcTrxQ34u1
Jeezy,4yBK75WVCQXej1p04GWqxH,Everything Back (feat. Young Dolph & Bankroll Fresh),0DFajjnkT1XsQcXavAP9Ug
Jeezy,4yBK75WVCQXej1p04GWqxH,She Knows (feat. Kevin Gates),5KDL4gX3btBiIH38NHIIVk
Jeezy,4yBK75WVCQXej1p04GWqxH,Only That Real (feat. Yo Gotti),40XhsYSh0N2wCiLrSJ2K1d
Jeezy,4yBK75WVCQXej1p04GWqxH,Realest (feat. YG),42bdPGOkyDuMEVp31b5Jg6
Jeezy,4yBK75WVCQXej1p04GWqxH,Type of Party (feat. Que & Pewee Offset),0STiertrJec5Ozgx38gpvB
Jeezy,4yBK75WVCQXej1p04GWqxH,Every Time (feat. French Montana),7o0GQkCy2GQ9iOSCzk25F4
Jeezy,4yBK75WVCQXej1p04GWqxH,Pot Life (feat. 2 Chainz),5RBaL2A8UHO5beBuqHk1kR
Jeezy,4yBK75WVCQXej1p04GWqxH,In The Air,1MI4OK84aJdgosZiplhrIy
Jeezy,4yBK75WVCQXej1p04GWqxH,G-Wagon,4iVKTmG5KKOmjTN0ZhfeTR
Jeezy,4yBK75WVCQXej1p04GWqxH,It Is What It Is,5XVB2JBLClDkchU8pyPWgX
Jeezy,4yBK75WVCQXej1p04GWqxH,Where It At,7x24RAzdkvH1Trz24HTYbx
Jeezy,4yBK75WVCQXej1p04GWqxH,All There,4l5lF04xjhTfYSopCXc4FU
Jeezy,4yBK75WVCQXej1p04GWqxH,Going Crazy,6Rg1SRu0JnTf01Bms56cV3
Jeezy,4yBK75WVCQXej1p04GWqxH,Bout That,2fSbp8VMrsGC9pjaYSmSJV
Jeezy,4yBK75WVCQXej1p04GWqxH,So What,5QFJyHGppMbrgWg5qJhWG1
Jeezy,4yBK75WVCQXej1p04GWqxH,Let Em Know,5AuuQOyOLEP9Lnxp0nLvrQ
