Artist,Artist_id,Song,Song_id
Lee Brice,5Zq7R5qmi58ByYyBQTlNuk,What Keeps You Up At Night,3aGlJ4JlZQHbCsKLVmlPC4
Lee Brice,5Zq7R5qmi58ByYyBQTlNuk,Little Things,71eDQjShBD5Smho3D9eDnR
Lee Brice,5Zq7R5qmi58ByYyBQTlNuk,American Nights,4yZdq2OC85OH2QiYU7DZLa
Lee Brice,5Zq7R5qmi58ByYyBQTlNuk,Boy,7A8OfzqXBHYGk61FZTHoeo
Lee Brice,5Zq7R5qmi58ByYyBQTlNuk,They Won't Forget About Us,2dCJIAF93YHQd6FPau6mlD
Lee Brice,5Zq7R5qmi58ByYyBQTlNuk,I Don't Smoke,5d2TVYiAbcTFQvdeyKZvME
Lee Brice,5Zq7R5qmi58ByYyBQTlNuk,You Can't Help Who You Love,5knp3g3RflHT8ArnuknsmU
Lee Brice,5Zq7R5qmi58ByYyBQTlNuk,Rumor,56eGOeSsqdg3FLxdo83TwV
Lee Brice,5Zq7R5qmi58ByYyBQTlNuk,The Locals,4IqkJr5Pv4yV8x0vLRgioF
Lee Brice,5Zq7R5qmi58ByYyBQTlNuk,Songs In The Kitchen,39atXWwcy2vDJBzTNAqMsj
Lee Brice,5Zq7R5qmi58ByYyBQTlNuk,Story To Tell (Little Bird),2FlXmHJQkTnlrlredsmy52
Lee Brice,5Zq7R5qmi58ByYyBQTlNuk,Have A Good Day,5rs1My7Wr1XpQM3Ssxfih0
Lee Brice,5Zq7R5qmi58ByYyBQTlNuk,Eyes Closed,0wP6Qy5pfZMfA3b7kMlTV7
Lee Brice,5Zq7R5qmi58ByYyBQTlNuk,Dixie Highway,1y2GrYk6bXMBf6LEjIn4p0
Lee Brice,5Zq7R5qmi58ByYyBQTlNuk,The Best Part Of Me,7m9cizZZmn3heYsKmpVKU0
Lee Brice,5Zq7R5qmi58ByYyBQTlNuk,I Don't Dance,5aj0xPGiEUN3aI2oOYu14S
Lee Brice,5Zq7R5qmi58ByYyBQTlNuk,No Better Than This,2Mnnac3bTq0c2VTpRtcPoG
Lee Brice,5Zq7R5qmi58ByYyBQTlNuk,Show You Off Tonight,2f9T9zbyFdon812fhDTS8k
Lee Brice,5Zq7R5qmi58ByYyBQTlNuk,Always The Only One,58OZRWAbTCIuJpWWFYpIm9
Lee Brice,5Zq7R5qmi58ByYyBQTlNuk,Good Man,7kzpBwY002n5vpOgkkri2P
Lee Brice,5Zq7R5qmi58ByYyBQTlNuk,Drinking Class,4QAXLB2Hkx3n7LbOFxD34h
Lee Brice,5Zq7R5qmi58ByYyBQTlNuk,That Don't Sound Like You,2l1fWY1albInvAG9t8WP2p
Lee Brice,5Zq7R5qmi58ByYyBQTlNuk,Girls In Bikinis,0vypTZQuTUjIJl3nAIKyij
Lee Brice,5Zq7R5qmi58ByYyBQTlNuk,Sirens,1Wvlwbyz4eGEegFx6s71gr
Lee Brice,5Zq7R5qmi58ByYyBQTlNuk,Somebody's Been Drinking,3QRcYRETj4mxyxzlsSsry3
Lee Brice,5Zq7R5qmi58ByYyBQTlNuk,Hard To Figure Out (The Airport Song),65hxn4V4ZNCspYkA6RvmXV
Lee Brice,5Zq7R5qmi58ByYyBQTlNuk,My Carolina,0KWY76vQy8Kay2fPGaW5dr
Lee Brice,5Zq7R5qmi58ByYyBQTlNuk,Panama City,5j3fTz4Jn0nn3zD1kBejel
Lee Brice,5Zq7R5qmi58ByYyBQTlNuk,More My Style,1f8ihz4uSlM47nTXvyJb8q
Lee Brice,5Zq7R5qmi58ByYyBQTlNuk,Closer,5q8uqAMkjZlZqrTkBHUNpZ
Lee Brice,5Zq7R5qmi58ByYyBQTlNuk,Whiskey Used To Burn,1fS2BzAH5iQkDGZPXBujzV
Lee Brice,5Zq7R5qmi58ByYyBQTlNuk,Hard To Love,6E9V9TRlVOLjenGjHemzEH
Lee Brice,5Zq7R5qmi58ByYyBQTlNuk,A Woman Like You,3oyMHCAAcnWFdcGuVgwfhd
Lee Brice,5Zq7R5qmi58ByYyBQTlNuk,That's When You Know It's Over,0cjTLJ5aJsaVBDiV5UoCsW
Lee Brice,5Zq7R5qmi58ByYyBQTlNuk,Parking Lot Party,4HFNGbVmsMV5lHUvDuXLkl
Lee Brice,5Zq7R5qmi58ByYyBQTlNuk,Don't Believe Everything You Think,3tD5sS2guzdXy6Z0d2VhB2
Lee Brice,5Zq7R5qmi58ByYyBQTlNuk,I Drive Your Truck,6aPc6SSWgTsiXrrUpJCPlj
Lee Brice,5Zq7R5qmi58ByYyBQTlNuk,See About A Girl,2aYudnZ9lYxIxmhRr1iByK
Lee Brice,5Zq7R5qmi58ByYyBQTlNuk,Friends We Won't Forget,17wOzNAceJ9qxdyK0Yqes0
Lee Brice,5Zq7R5qmi58ByYyBQTlNuk,Life Off My Years,2m1NufnTwF98I3Xqz47qhp
Lee Brice,5Zq7R5qmi58ByYyBQTlNuk,Seven Days A Thousand Times,5OQVHBHh4Dz0pAStXJklvd
Lee Brice,5Zq7R5qmi58ByYyBQTlNuk,Beer,57SEO6fffgZgL9MKOvLsvc
Lee Brice,5Zq7R5qmi58ByYyBQTlNuk,That Way Again,0dCmdwPfQV0j0S2v5xYF93
