Artist,Artist_id,Song,Song_id
Joe Walsh,5bDxAyJiTYBat1YnFJhvEK,Analog Man,11CK9ToNAdYPI15q2Jkp2D
Joe Walsh,5bDxAyJiTYBat1YnFJhvEK,Wrecking Ball,0ZtSXim3ZVxAHv6xQcwjG0
Joe Walsh,5bDxAyJiTYBat1YnFJhvEK,Lucky That Way,39EBgH6K1x25cmwwvwpR0z
Joe Walsh,5bDxAyJiTYBat1YnFJhvEK,Spanish Dancer,6g7mOpB4zTKaeWKtTvQH8x
Joe Walsh,5bDxAyJiTYBat1YnFJhvEK,Band Played On,5O7olKUv9wk6ZcC8AXCCdQ
Joe Walsh,5bDxAyJiTYBat1YnFJhvEK,Family,1ldoYUpE5PehaSypDDAKq8
Joe Walsh,5bDxAyJiTYBat1YnFJhvEK,One Day At A Time,1z3PhiWMUpj2Lu43T3rQfK
Joe Walsh,5bDxAyJiTYBat1YnFJhvEK,Hi-Roller Baby,1M22aV69KFPVXTdpedurxW
Joe Walsh,5bDxAyJiTYBat1YnFJhvEK,Funk 50,00cn3uXr39KiQHji1nlDO2
Joe Walsh,5bDxAyJiTYBat1YnFJhvEK,India,4g5LI1WRCJJSM4nh5AHXBa
Joe Walsh,5bDxAyJiTYBat1YnFJhvEK,Walk Away,6BfTQqWp1dcmIuENV5iDev
Joe Walsh,5bDxAyJiTYBat1YnFJhvEK,Funk #49,2Q6Q3aw4VW76CbcWH0LloH
Joe Walsh,5bDxAyJiTYBat1YnFJhvEK,Midnight Man,12RiUdeQIhR9GSr6pCwe0U
Joe Walsh,5bDxAyJiTYBat1YnFJhvEK,Mother Says - Single Version,0MIQbLVhpmktTgpkn8o8ae
Joe Walsh,5bDxAyJiTYBat1YnFJhvEK,Turn To Stone,6zuRmKXmTyzKwyv1g24dvD
Joe Walsh,5bDxAyJiTYBat1YnFJhvEK,Here We Go,3iRkxICCSCAtqEbGPcudjO
Joe Walsh,5bDxAyJiTYBat1YnFJhvEK,Meadows,2KK0wRBHwIoBHaJ70T1CyV
Joe Walsh,5bDxAyJiTYBat1YnFJhvEK,County Fair,3eA6CSrgh28U01Jtjs9J5a
Joe Walsh,5bDxAyJiTYBat1YnFJhvEK,Help Me Thru The Night,67wk7ucEwKDwJ8I5tdhfbG
Joe Walsh,5bDxAyJiTYBat1YnFJhvEK,Rocky Mountain Way,01FhWN14hzwMNYQg2I5vjk
Joe Walsh,5bDxAyJiTYBat1YnFJhvEK,Two Sides To Every Story,5MWAhLs1lzsaAKcTxku66T
