Artist,Artist_id,Song,Song_id
The Spinners,5fbhwqYYh4YwUoEs582mq5,The Rubberband Man,2JFKDNn6nVsIrDWK0CYy4n
The Spinners,5fbhwqYYh4YwUoEs582mq5,I'll Be Around,2yMXzIP7dMijSsNwSB7vrm
The Spinners,5fbhwqYYh4YwUoEs582mq5,Could It Be I'm Falling In Love,2saqjuuaxVpqPjJjZzW0Vz
The Spinners,5fbhwqYYh4YwUoEs582mq5,Working My Way Back to You,7z0YFQN15GIYSrizEKdayH
The Spinners,5fbhwqYYh4YwUoEs582mq5,Games People Play,6YlGiv1rAXgQSrV1eGEMdt
The Spinners,5fbhwqYYh4YwUoEs582mq5,Then Came You,1ID1BO9xEXsxtsTCMkUftM
The Spinners,5fbhwqYYh4YwUoEs582mq5,One of a Kind (Love Affair),2YvOrAqQ7djHHtbvv3kGEm
The Spinners,5fbhwqYYh4YwUoEs582mq5,They Just Can't Stop It (Games People Play),3sGOzhLEKanogNnnNJQiDv
The Spinners,5fbhwqYYh4YwUoEs582mq5,How Could I Let You Get Away,1m10ES8L0HcNDVdnky5Yg3
The Spinners,5fbhwqYYh4YwUoEs582mq5,Since I Been Gone,0figWiHn5CzXAjQrdM7Fiw
The Spinners,5fbhwqYYh4YwUoEs582mq5,Love Don't Love Nobody,5pNUXQng2qUoO56hD3GzZi
The Spinners,5fbhwqYYh4YwUoEs582mq5,Sadie,7jEVYb5C2B2IPvs4b13F2U
The Spinners,5fbhwqYYh4YwUoEs582mq5,Honest I Do,3OD6dnGdKqfzlbS9ujMO7M
The Spinners,5fbhwqYYh4YwUoEs582mq5,Cupid / I've Loved You for a Long Time,39v4Qt76NfzcmMkLiP2dwN
The Spinners,5fbhwqYYh4YwUoEs582mq5,Give Your Lady What She Wants,4BR027D3DWJCoDe5RtB7Lp
The Spinners,5fbhwqYYh4YwUoEs582mq5,I Could Never (Repay Your Love),61wLl23ZLbgut2OiNYlIWD
The Spinners,5fbhwqYYh4YwUoEs582mq5,I Don't Want to Lose You,6enkrImwFPHg1r82m5CC0P
The Spinners,5fbhwqYYh4YwUoEs582mq5,Ain't No Price On Happiness,7mYBIwv9hYq66u7eVLTcZ5
The Spinners,5fbhwqYYh4YwUoEs582mq5,Long Live Soul Music (Edit Version),6iuFkB8PuMNSsQIKmeovCf
The Spinners,5fbhwqYYh4YwUoEs582mq5,There's No One Like You,28YQ7MSX0o2u2PPwzDEj1F
The Spinners,5fbhwqYYh4YwUoEs582mq5,Are You Ready for Love (Single Version),0K9AwlwbpSFAIEoQatOAP8
The Spinners,5fbhwqYYh4YwUoEs582mq5,If You Wanna Do a Dance (Single Version),3OD9JRQykvDqDAzFGPFgFz
The Spinners,5fbhwqYYh4YwUoEs582mq5,I Found Love (When I Found You),4BxQ3N2aFFA8Qzivr1mKKL
The Spinners,5fbhwqYYh4YwUoEs582mq5,I Love the Music,56r4i5TWGKYjKMUDcZLlvN
The Spinners,5fbhwqYYh4YwUoEs582mq5,I've Got to Make It On My Own,1S43vNWguy8eLDfVvjBOpz
The Spinners,5fbhwqYYh4YwUoEs582mq5,Ghetto Child,5P0HGiNRdKXZoQFR74pS0y
The Spinners,5fbhwqYYh4YwUoEs582mq5,Lazy Susan,6nK0XtpbTcVu2BNohoQzEx
The Spinners,5fbhwqYYh4YwUoEs582mq5,Heaven On Earth,0irpwVoldZPIHPi6tkLKcf
The Spinners,5fbhwqYYh4YwUoEs582mq5,Living a Little Laughing a Little,7JKE91Rf9qdVpnbvrT9H5d
The Spinners,5fbhwqYYh4YwUoEs582mq5,Funny How Time Slips Away,3jO051icPc0thtyQt9ZAHa
The Spinners,5fbhwqYYh4YwUoEs582mq5,"Easy Come, Easy Go (Single Version)",7qqWTTQPpSoxsc6l6HdOuX
The Spinners,5fbhwqYYh4YwUoEs582mq5,Body Language (Single Version),4smzUNJshvqqrJkb7wrDRa
The Spinners,5fbhwqYYh4YwUoEs582mq5,Mighty Love,66ZGb4kMZJeZEB83plF0kF
The Spinners,5fbhwqYYh4YwUoEs582mq5,Disco Ride (Single Version),6KDUAO7MyFjaK1ypGjLs6Z
The Spinners,5fbhwqYYh4YwUoEs582mq5,City Full of Memories,4DvtHXftVJE2cTVmleatmL
The Spinners,5fbhwqYYh4YwUoEs582mq5,I'm Calling You Now,3Pta9hZiBbJadvx4i0lRaj
The Spinners,5fbhwqYYh4YwUoEs582mq5,He'll Never Love You Like I Do,0yhefuc4eGjLTNBX3GuC1I
The Spinners,5fbhwqYYh4YwUoEs582mq5,Cross Fire,1Q5CBhvPYQ4tq067Mv5akt
The Spinners,5fbhwqYYh4YwUoEs582mq5,Four Hands In the Fire,1fHxplX1kEejxcfAffOPAD
The Spinners,5fbhwqYYh4YwUoEs582mq5,(Love Is) One Step Away,7fJdMiszxYgwjIfa0hCEss
The Spinners,5fbhwqYYh4YwUoEs582mq5,Got to Be Love,0GIp08pXMiCRdpkvfOXH2E
The Spinners,5fbhwqYYh4YwUoEs582mq5,I'm Coming Home,0wM14X9rFJ6B29iYbwiQT6
The Spinners,5fbhwqYYh4YwUoEs582mq5,Back In the Arms of Love,4nY1JYq81rGabevoOe6CO7
The Spinners,5fbhwqYYh4YwUoEs582mq5,(Oh Lord) I Wish I Could Sleep - Bonus Track,7kWMaZJZwBjJJGS1acuHXG
The Spinners,5fbhwqYYh4YwUoEs582mq5,Almost All the Way to Love,2ZdggLMKoCOBb0mtFfwVne
The Spinners,5fbhwqYYh4YwUoEs582mq5,Love Connection (Raise the Window Down),0o7Z2uXDabEfGg3Avj24Hp
The Spinners,5fbhwqYYh4YwUoEs582mq5,Be My Love,1CtVDLTFQohdQvIiZZ9Y4F
The Spinners,5fbhwqYYh4YwUoEs582mq5,All That Glitters Ain't Gold,53kygwOAZzz0LMDJ5z81pV
The Spinners,5fbhwqYYh4YwUoEs582mq5,Don't Let the Man Get You,31vjutejh9mzH2lc3Y048b
The Spinners,5fbhwqYYh4YwUoEs582mq5,I Must Be Living for a Broken Heart,3yGRE9qcSFQ0TjLAF0Cuyh
The Spinners,5fbhwqYYh4YwUoEs582mq5,Could It Be I'm Falling in Love - Live,3AbEHUWatamSViz6f81FzS
The Spinners,5fbhwqYYh4YwUoEs582mq5,Cupid - Live,1zsNqXmiIvYkr4OnIa9vji
The Spinners,5fbhwqYYh4YwUoEs582mq5,(Ain't It) Funny How Time Slips Away - Live,6MZAbsciFuoJ0yUNvolJOh
The Spinners,5fbhwqYYh4YwUoEs582mq5,They Just Can't Stop It (The Games People Play) - Live,4bgtuAAjnxikpuJDpCaF7q
The Spinners,5fbhwqYYh4YwUoEs582mq5,I'll Be Around - Live,7B7XXLkqemdqPHp5qcya3R
The Spinners,5fbhwqYYh4YwUoEs582mq5,It's a Shame - Live,7ty2FI3b9irISyNADvwCyf
The Spinners,5fbhwqYYh4YwUoEs582mq5,Love Don't Love Nobody - Live,33IL6eOrDGjSBjOu3bj5Hq
The Spinners,5fbhwqYYh4YwUoEs582mq5,Mighty Love - Live,3jsoQbxUFYd1gNGB3kOD8z
The Spinners,5fbhwqYYh4YwUoEs582mq5,One of a Kind (Love Affair),1tgsJpKUTg2p7onI7sIr0p
The Spinners,5fbhwqYYh4YwUoEs582mq5,The Rubberband Man - Live,2WneVFuRY5gag1XQZ7e9Cf
The Spinners,5fbhwqYYh4YwUoEs582mq5,Sadie - Live,7k0izKchPZ935HOyLfJBrJ
The Spinners,5fbhwqYYh4YwUoEs582mq5,Then Came You - Live,6PF8JazpunVvQurwmQveFd
The Spinners,5fbhwqYYh4YwUoEs582mq5,Working My Way Back to You - Live,48Pet0pWfuIaoFr2NkF5dB
The Spinners,5fbhwqYYh4YwUoEs582mq5,Could It Be I'm Falling in Love - (Ensemble with Darryl Smity) - Live,5hsIdfDu11bnxjoAl5l9cU
The Spinners,5fbhwqYYh4YwUoEs582mq5,Intro,6nZxyrbifhO2iSsKPAhrwo
