Artist,Artist_id,Song,Song_id
Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,"Lookin' out the Window (Live in Atlanta, 1986 FM Broadcast)",6VyFGfoseGU3ECg3njFwV8
Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,"Look at Little Sister (Live in Atlanta, 1986 FM Broadcast)",20IXeFRDwNXneEsYCpAtcB
Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,"Willie the Wimp (Live in Atlanta, 1986 FM Broadcast)",1GBesv5HAMcpE20jIKeXjj
Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,"Couldn't Stand the Weather (Live in Atlanta, 1986 FM Broadcast)",7191WZ6hGlZ0XPTtQ0i1Pz
Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,"Life Without You (Live in Atlanta, 1986 FM Broadcast)",1HHToyDICS59g6f1QOy8vI
Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,"Happy New Year's Blues (Live in Atlanta, 1986 FM Broadcast)",5iuXPRHqiUsdVsIi9p8Fj8
Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,"Oreo Cookie Blues (Live in Atlanta, 1986 FM Broadcast)",6E2iTDJGkIMk0pELFKizlx
Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,Look at Little Sister,5IShEqIaHBA9NGieW7Gqwb
Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,Tightrope,5UJ3CuFvSXJ0RmCtvoyb3d
Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,Texas Flood,3xbAyY6RvrvR0edRJfaqmQ
Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,Boot Hill - 1989 Version,1tRTshbB2t90RH15nBBqV0
Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,Dirty Pool,0ugtIUIIfRcLqN0hqH65qp
Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,Scuttle Buttin',0UfYLN24eWaRB9YABvCzON
Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,Scratch-N-Sniff,6eCykMEGme7rJB1HmhBSPJ
Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,Ain't Gone 'N' Give up on Love,2XFgWaz8nmtuVbQnDKJmM8
Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,Wham,4dSfEku27JQkZcywzDB7ho
Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,Change It,68D7OKFecFviL25BXAuM1R
Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,"Shake for Me - Live at Steamboat 1874, Austin, TX - April 1980",0LFsHodEUTDEvoRlreOaRe
Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,Rude Mood/Hide Away - Live,69qyVoO6s0Gh8dTuOlcH11
Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,Love Struck Baby,7jxTdvTrVuqkuWwk0jXnVY
Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,Pride and Joy,7qsjr6qMXd35OwkIJD2Xqt
Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,Texas Flood,6MvGg9X7lIt64WW28Nxfxo
Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,Mary Had a Little Lamb,58Pf5sdOAObgSIjCV5MAtU
Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,Lenny,1MIDCw2NTW3Dtn9c6ohSC8
Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,Scuttle Buttin',2mkUksLEhSDuejFaT6Mytp
Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,Couldn't Stand the Weather,7voVwwLn1d5wyYqYPpCw1V
Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,The Things (That) I Used to Do,4YAtqSH9gdzlNhVMUVmZMy
Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,Cold Shot,7LbOUQAxSkG9X9ipWPA4pg
Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,Tin Pan Alley (AKA Roughest Place in Town),7dTuqrk8YYal7Z9TdLDUf1
Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,Give Me Back My Wig,61DnwvyCzQXWLK29HVfgJO
Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,Empty Arms - 1984 Version,060fKBi1zL47pcAKZsUR0b
Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,The Sky Is Crying - Live,0Bi2BDYLgcrLehnTSk4SMm
Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,Voodoo Child (Slight Return) - Live,3eZaA3p7lMJjOD3BnKsj1U
Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,Say What!,0IMD7hZXFjuvSVFae35B6X
Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,Look at Little Sister,5He3kbhG04jAioqHVEytHq
Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,Change It,1KrOqTsy6nTZhKq26Vomqu
Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,"Come On, Pt. III",3U9ki85f5Rtq1rrujlOOvG
Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,Life Without You,6Z8prosDCmjU3hkgEnyId6
Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,Little Wing,0UVM9trirBK5s1xBwLoVhZ
Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,Willie The Wimp - Live,1nwXca4jNGWDpowRQnEiEv
Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,Superstition - Live,4OaTSHT0NYViNOgjpIAXpv
Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,Leave My Girl Alone - Live,6yrEQaZml8HGk6CHV5y7ij
Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,The House Is Rockin',0M12qCsK7N9EyAdZccOYoZ
Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,Crossfire,5bAOP88AnFD11mTj0HisF2
Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,Tightrope,1c6NeAeFEG3C3i7Y48QCu0
Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,Wall of Denial,4hnLubxViF8ScCBBWHUGGP
Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,Riviera Paradise,2FO2Z7K49PcfQVs6Mghrqp
Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,Telephone Song,5JpzTcYa9V9HaIHKh1X3Qp
Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,Long Way from Home,2QKwLpmj9sQj9lzjNYeicV
Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,Life by the Drop,4baw6m9OhZ1W8fPqWinZ3L
Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,Call It Stormy Monday,20nQpaFVoEMA5aUGD8yn3i
Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,Old Times,4NQKArbOy5gvTrMqByOHj0
Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,Pride And Joy,5LNkpie03tsGvZgFxc2R0P
Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,Ask Me No Questions,2lLsxW07QzVfneL7Ov2bIT
