Artist,Artist_id,Song,Song_id
Danielle Bradbery,5iqStkZi6QmG8sgQZQrfGN,Sway,6EUDUDQP5ynE3g5SWCA8sc
Danielle Bradbery,5iqStkZi6QmG8sgQZQrfGN,Potential,7cVN6hFZXum5NCtLHneeo2
Danielle Bradbery,5iqStkZi6QmG8sgQZQrfGN,What Are We Doing,4kLgxi0By3jbFDtVbkLFKK
Danielle Bradbery,5iqStkZi6QmG8sgQZQrfGN,Worth It,5APWbHdwUCA08ZLl0meDCh
Danielle Bradbery,5iqStkZi6QmG8sgQZQrfGN,Can't Stay Mad,2caU93YaWxERJpGB0ZXnUw
Danielle Bradbery,5iqStkZi6QmG8sgQZQrfGN,Messy,4spOaR7jGGEHgInL0eXw1D
Danielle Bradbery,5iqStkZi6QmG8sgQZQrfGN,Red Wine + White Couch,53VQYdLcJSMZcv1ZXcDp5b
Danielle Bradbery,5iqStkZi6QmG8sgQZQrfGN,Hello Summer,1Py9Urx7hyITkFJJjDZQCm
Danielle Bradbery,5iqStkZi6QmG8sgQZQrfGN,Human Diary,5HPT6H8sKOhkGZ7TCrTgfY
Danielle Bradbery,5iqStkZi6QmG8sgQZQrfGN,Laying Low,7glvtqsLvaVJMehpwNAoS0
Danielle Bradbery,5iqStkZi6QmG8sgQZQrfGN,Young In America,2uJ8AwsVlFdPHEl3V9Ufzo
Danielle Bradbery,5iqStkZi6QmG8sgQZQrfGN,Wild Boy,3HLbZfqTp6uAp0z84ExsXb
Danielle Bradbery,5iqStkZi6QmG8sgQZQrfGN,The Heart Of Dixie,3hRtz7G2RJlmDtlHjFTib7
Danielle Bradbery,5iqStkZi6QmG8sgQZQrfGN,I Will Never Forget You,6x3JcAcHnfMDKYlaxCvZyN
Danielle Bradbery,5iqStkZi6QmG8sgQZQrfGN,Endless Summer,64gImkNIhOc3EZPQH7yVhj
Danielle Bradbery,5iqStkZi6QmG8sgQZQrfGN,Talk About Love,6DJJHbH76OGNDUFi5kIf7b
Danielle Bradbery,5iqStkZi6QmG8sgQZQrfGN,Never Like This,4DbBjZNPHdQFjVZsU0Y4VQ
Danielle Bradbery,5iqStkZi6QmG8sgQZQrfGN,Daughter Of A Workin Man,20umqGvz4v3xH14KmTe59m
Danielle Bradbery,5iqStkZi6QmG8sgQZQrfGN,Dance Hall,78K6mRCmVSQocB9qatzdRn
Danielle Bradbery,5iqStkZi6QmG8sgQZQrfGN,Yellin From The Rooftop,2GIcZjvvK4fgQ2mQp8Ahnp
Danielle Bradbery,5iqStkZi6QmG8sgQZQrfGN,My Day,5GcZjFCSioKu9YOJ1Pd962
Danielle Bradbery,5iqStkZi6QmG8sgQZQrfGN,Young In America,0m6d0xamD3OzirASkRZdSD
Danielle Bradbery,5iqStkZi6QmG8sgQZQrfGN,Wild Boy,57MvqDKjZ3hQ9pm8HhRbDd
Danielle Bradbery,5iqStkZi6QmG8sgQZQrfGN,The Heart Of Dixie,5FgLLtrDU4Ex2ezB9anpH5
Danielle Bradbery,5iqStkZi6QmG8sgQZQrfGN,I Will Never Forget You,773DPQPqDjWpSrMKrXpZni
Danielle Bradbery,5iqStkZi6QmG8sgQZQrfGN,Endless Summer,0tBoq6e02g32o2VepPmLHL
Danielle Bradbery,5iqStkZi6QmG8sgQZQrfGN,Talk About Love,43p4BWZLDOoh8gsh4u4KV1
Danielle Bradbery,5iqStkZi6QmG8sgQZQrfGN,Never Like This,5aCY2Tv68Wudcr0f9BIHXh
Danielle Bradbery,5iqStkZi6QmG8sgQZQrfGN,Daughter Of A Workin Man,3KlOJkHe4BGIPSTivd1ifv
Danielle Bradbery,5iqStkZi6QmG8sgQZQrfGN,Dance Hall,7AbM2prfOC8V0c0OJFUeg8
Danielle Bradbery,5iqStkZi6QmG8sgQZQrfGN,Yellin From The Rooftop,33PrrisBIt0UCXCZNwq2SS
