Artist,Artist_id,Song,Song_id
The Notorious B.I.G.,5me0Irg2ANcsgc93uaYrpb,A Billion,4Ho9uIrilCZEFLQKj3kuFN
The Notorious B.I.G.,5me0Irg2ANcsgc93uaYrpb,Legacy,3TaB7A1jlJJW2fWbdkscIh
The Notorious B.I.G.,5me0Irg2ANcsgc93uaYrpb,Beautiful - Interlude,1NzEbfiJIDTUeFPUMp0Ki2
The Notorious B.I.G.,5me0Irg2ANcsgc93uaYrpb,Can't Get Enough,0XNzdgkXFeHo4aJZ5xmNCO
The Notorious B.I.G.,5me0Irg2ANcsgc93uaYrpb,Don't Test Me,3Ryh9wbR4vIfC9dYRKGDET
The Notorious B.I.G.,5me0Irg2ANcsgc93uaYrpb,Big / Faye (Interlude) [feat. Jamal Woolard],4BbCQhedC4w2OPLd8K9nVB
The Notorious B.I.G.,5me0Irg2ANcsgc93uaYrpb,Tryna Get By,6bhE6Jp09LLZQ5PIO26o64
The Notorious B.I.G.,5me0Irg2ANcsgc93uaYrpb,The Reason,2BKsvT868YEn9Wp3EQaM71
The Notorious B.I.G.,5me0Irg2ANcsgc93uaYrpb,I Don't Want It (feat. Lil' Cease),0JcuL1cvGZS8TK4Jhu79af
The Notorious B.I.G.,5me0Irg2ANcsgc93uaYrpb,I Got Married (Interlude) [feat. Mama Wallace],2EBckEzGHtsVo2HbH182cD
The Notorious B.I.G.,5me0Irg2ANcsgc93uaYrpb,Ten Wife Commandments,12tfyWSipJnvHkDnGrl0au
The Notorious B.I.G.,5me0Irg2ANcsgc93uaYrpb,We Just Clicked (Interlude) [feat. Mama Wallace],2jOe5nujtpWOHJt4Ez4b4n
The Notorious B.I.G.,5me0Irg2ANcsgc93uaYrpb,A Little Romance,1IM852PdWhA20aBOqNBBIu
The Notorious B.I.G.,5me0Irg2ANcsgc93uaYrpb,The Baddest (Interlude),2jy9cEPA9D4IQA2cF4XGPB
The Notorious B.I.G.,5me0Irg2ANcsgc93uaYrpb,Fool For You,77psfC5Q1mKG4wd0JGB1q4
The Notorious B.I.G.,5me0Irg2ANcsgc93uaYrpb,Crazy (Interlude) [feat. 112 & Mama Wallace],3I3U2e1Q4idGQFU3tEDYBk
The Notorious B.I.G.,5me0Irg2ANcsgc93uaYrpb,Got Me Twisted,3mdjHjjrIO0NrTKQVm3TuS
The Notorious B.I.G.,5me0Irg2ANcsgc93uaYrpb,When We Party (feat. Snoop Dogg),5ehJioqjweOpo9I6hjqtAr
The Notorious B.I.G.,5me0Irg2ANcsgc93uaYrpb,Somebody Knows (feat. Busta Rhymes),3ubrTusxnJTqYARQoNY2gc
The Notorious B.I.G.,5me0Irg2ANcsgc93uaYrpb,Take Me There (feat. Sheek Louch & Styles P),3uzI90HHsoyDMi1iGjuRqL
The Notorious B.I.G.,5me0Irg2ANcsgc93uaYrpb,One In The Same,4JDuAE4Ie18T1cSBDJbgvh
The Notorious B.I.G.,5me0Irg2ANcsgc93uaYrpb,I Wish (Interlude) [feat. Kevin McCall & Chyna Tahjere],2UPkmUFBQ1Pd4X1DrRBWCq
The Notorious B.I.G.,5me0Irg2ANcsgc93uaYrpb,Lovin' You For Life (feat. Lil' Kim),2U389Dy1KUaI5AEwMZHl8B
The Notorious B.I.G.,5me0Irg2ANcsgc93uaYrpb,NYC (feat. Jadakiss),16Uo6RlrDDrrDai2Z7DOjM
The Notorious B.I.G.,5me0Irg2ANcsgc93uaYrpb,It Was Worth It,1hlN9Lway5ZjmMbOWcRpOg
