Artist,Artist_id,Song,Song_id
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,Stone Cold Rage,48qnwRXtsws2RQlLRM515m
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,Drawn That Way,3AP6wCBcsh5Zivyq4YN45z
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,Pressure Under Fire,09YrR2XX8aO1jM7xGo71ZV
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,The Man I Want To Be,6R2PLNbCvYp8g3wFjFQVWC
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,Traveling Tune,0PgGRVGvHntz6YecbOy0wH
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,Thorns Of Life,7A3oc2lMFoxZUlUjtLtSGc
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,Dreams & Songs,3YfGu79gNfehu2RV6WS6y2
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,"Sarah, Surrender",3w5lf2QiSE53PegYl45wjp
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,"Revolution Come, Revolution Go",2zM19evNFCKmt1nq5Z2nBf
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,Burning Point,2kXump2l1IqoZ03iXzXPto
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,Easy Times,5JO1A9VKhwEICabqbdxj0E
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,"Dark Was The Night, Cold Was The Ground",1lbytGFGPqhRiHnOVDdwB5
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,What Fresh Hell,1aFjRNwr0qMvwnZbPM6uDs
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,Click-Track,0jkvjB0lyPgxiLOYpoDTSR
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,Outside Myself,2thjqiilSraQAq0mLuLeLH
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,"Revolution Come, Revolution Go - Alternate Version",79z9GqoW5675vebrv7ZZTE
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,The Man I Want To Be - Live In Studio Version,7rxiGqUpmlNrJ5QeDcz9NM
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,"Dark Was The Night, Cold Was The Ground - Live In Studio Version",3rawlk8tNlkhzDsuhzJiun
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,Stone Cold Rage,4dBclDfArQunjSQuZwYSpR
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,Drawn That Way,7tAizp3kLZiMBSBQiVkt5a
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,Pressure Under Fire,3TkykG6gfiWWrYxI1DpXMC
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,The Man I Want To Be,6AwOV6I0B3wRYbXff3etT6
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,Traveling Tune,24RFNNWnAG8dCgRTDG2DVi
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,Thorns Of Life,0CovuPaJ5wbQubY0C2puut
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,Dreams & Songs,11hVgKMs89nB3UUnHAdClG
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,"Sarah, Surrender",0KNSBFxXvVqWnxEBuNtEsA
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,"Revolution Come, Revolution Go",3fSQRT0ZLlRASIZXK7LDr4
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,Burning Point,5s6IAnq9eSKkppPURslUbV
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,Easy Times,3mmFBHfNvVk2KHcHCjP46L
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,"Dark Was The Night, Cold Was The Ground",0pym4pmaJZZMBeXO44kVOc
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,Blind Man In The Dark,5JImkJdHnsaaDofXdXSdFj
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,Rocking Horse,4Mw3djjCdLf2BsC7RP07Rh
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,Monkey Hill,7jJGSFxxAnkrsGznUY7sLb
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,Mr. Big,0zNMmRRVAaqHdS1Zx8CJ8v
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,The Same Thing,5XEWF4pJnMPVkuId9SQt3Q
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,Mother Earth,7eYrchDCgCQbm6LrEwNGoD
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,Just Got Paid,1fSspYnhks09Gb9uiAnWrH
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,Left Coast Groovies,03rLbmnas4iDJWLVRmekz9
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,World Of Difference,6lpY0W3LufdBf4V7uzCRol
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,World Of Difference - Alternative Version,6jJTEIG56II9mYuKTzstLC
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,Blind Man in the Dark,2ljKDwTyR6SN6DRpktbcXG
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,Rocking Horse,40KvSvtqASfEq46K5QDhPi
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,Monkey Hill,6brAOctgzkPJn75xCEnime
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,Mr. Big,5GxwybnyMTYPlMpioqr4mj
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,The Same Thing,2fSuOmGD8DZWnYTRClHJoV
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,Mother Earth,5sSAV6wGhrgFRcLxxExXiM
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,Just Got Paid,1BpPGFUUAzHMu8byyevqzv
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,Left Coast Groovies,2jhSvqgxFY8HInIWXMIjAQ
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,World of Difference,6uH1qQWeJfFvpATcV56Pob
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,World of Difference (Alternate Version),4dipuT9wTzMSsCEz5NEUtS
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,I'm a Ram,4L9Ur4f1PCSce8dM0Tr8sF
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,54-46 Was My Number (feat. Toots Hibbert),1zeoktGOZZ72Ha97Y2Nxnj
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,Hard to Handle (feat. Toots Hibbert),5WETa6kbfp10StM7a4jI0i
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,True Love Is Hard to Find (feat. Toots Hibbert),1RBp7yGbYGsz9EvEhUePe7
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,Pressure Drop (feat. Toots Hibbert),4Q9viMTQZwPQYzPMInXoRh
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,Let Down (feat. Toots Hibbert),7HlRQR4eVwOl1GjyPcOV0T
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,I've Got Dreams to Remember (feat. Toots Hibbert),7fW0EpWwpTowmqFqv1R52l
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,Reggae Got Soul (feat. Toots Hibbert),2FvI1F1ia0MRitiKfzRilC
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,Hard Road (feat. Toots Hibbert),5ekUkCeJt4J2ulB2yhnOOW
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,Happy New Year (feat. Toots Hibbert),0xsMRZeBseAYQmUczlt4iL
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,Turn on Your Love Light (feat. Toots Hibbert),0lA4qctyW0LVj7Xb31CWKi
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,Reggae Soulshine,1JnDiLW4BMqW1IBRq5G3Ai
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,Thorazine Shuffle,3ybTWkOwJIGKYKplq0wA3T
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,Larger Than Life,2csU5CtKNwioRLZVsdpduZ
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,"She Said, She Said",6pndygzkPg6NdzOdl9TboB
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,Tomorrow Never Knows,7LpPLSDaVnWUzjBBANin7C
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,Whiter Shade of Pale,44ATtb9NUKguCwNh0Hvwvz
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,Dolphineus,7Acwu5SkwjGLtXfHq6axCT
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,Painted Silver Light,33OVtIbuYh8E0LeajT8v8v
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,Sco-Mule,3QvS4RljdyFllIcnP7QXno
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,"So Weak, So Strong",41JXEVAa0Fsx2GhAx0o4Be
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,Play with Fire,00UciRgKnpLoR1PKJSvNJY
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,Unring the Bell,5ZpFJoRUkr3THQLIfWhlk1
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,I'm a Ram,55M7bv2c0kuURSSumP0Weq
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,54-46 Was My Number (feat. Toots Hibbert),5U4Dnb7xDr3LQLEQtD2SU5
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,Hard to Handle (feat. Toots Hibbert),1a6ftnhYdRsFWxAj8WzCbF
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,True Love Is Hard to Find (feat. Toots Hibbert),5pecoVV83Yk2Kh6q6ueTjF
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,Pressure Drop (feat. Toots Hibbert),45UrXarM1jxzJ2Noyjf6bp
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,Let Down (feat. Toots Hibbert),5Gr5moBXjHmP5hOTXgq4Xn
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,I've Got Dreams to Remember (feat. Toots Hibbert),5PCRGiW27EJsiy24B1miKP
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,Reggae Got Soul (feat. Toots Hibbert),3sudHkACW7Gyrj2AEiRC9d
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,Hard Road (feat. Toots Hibbert),609Iy6d1NRl9JOnNJgcOCP
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,Happy New Year (feat. Toots Hibbert),4ONLgYE5IsPEDPbksHXv0e
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,Turn on Your Love Light (feat. Toots Hibbert),21cvQjynOnzxkOkHFvJhQP
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,Reggae Soulshine,4HCisizqQBx8se8REfcn2B
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,Intro,1gE6AKM4P86Lz31diQSbiO
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,Sweet Feeling (feat. Gregg Allman & Friends),1xp1pXVPnYV4GzMi7DYrFZ
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,Just Like a Woman (feat. Gregg Allman & Friends),3urAJESr2uYeNgmjeg0YKi
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,I Feel so Bad (feat. Gregg Allman & Friends),1N4EtY6uo31prJWR8E8BLa
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,Dreams (feat. Gregg Allman & Friends),0iOh220jp7uXIjPlcnjC5F
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,Million Miles from Yesterday,5qVMTRqNIsPEUUIz555zm2
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,Endless Parade,7aYLQJ4HPDJ8I3MjMyUVY1
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,It's a Man's Man's Man's World,429FVd2Iq3xoC1QEk3wel1
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,Ramblin' Gamblin' Man,0IcZjB8cj8a8kGt7DbLsBA
Gov't Mule,5zoKOcTDI9EMOhGNaxL708,It Hurts Me Too,7jHAaRXU8cA9t7crjDUnlL
