Artist,Artist_id,Song,Song_id
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Happy,3VHb0wzZV1kAD4sBii6I5L
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Froot,6fk13PEdduHc2HG6JX6imT
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,I'm A Ruin,6fODVIVjNDHTSzlEHSsCQt
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Blue,5deoPfYU3gEtcIxPgap4Gz
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Forget,0LWLXfASZbIohWh4knXhRs
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Gold,31cL2Hdc40Rck0wH1sDEja
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Can't Pin Me Down,7B2MV8I8oA8EU9blzoeAgh
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Solitaire,1MBooCxfco5WqDIpuxghAV
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Better Than That,2UvO88i50M3SzJvtRWmDed
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Weeds,0m448IpLItOzyAkVXbPjMi
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Savages,3YjH3TIf5SOpFlnqlRdNAE
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Immortal,3DrmwvpXcTdlSKfU1W62P3
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Happy,6xkAnyEoJ2VDZuh7xfdl3Z
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Froot,5UBeEw8u5VurDhPo1klAPY
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,I'm A Ruin,1GCljGxAPoOyPW0Q7xbiny
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Blue,26Qg5sCCH8XHjYaqhWGn85
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Forget,76LUyAG1MTqr8i72xgPNPf
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Gold,58h3fKljw8GgWeIMB0igzf
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Can't Pin Me Down,3lXyAigS8GlqUH9xIiFnKH
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Solitaire,4eU7lxV6m9wULReRRtGaZ8
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Better Than That,3IDXUp8ZsVGdc54j5MOTWZ
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Weeds,2AR2PGZ02HlcZzzho8yywy
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Savages,4sT2hi5bgnG2ApK7Oq06QW
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Immortal,1QTSmXYIKq5jyz4iYKoxb0
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Bubblegum Bitch,2bcuRlLosXadKliaPYCU3k
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Primadonna,0CrNPzb5jc2W7UbhYxZj8x
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Lies,7f8SjXnJVgHiI36M0MGlSK
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Homewrecker,3VLtoUH9jCV5F5bZendHlp
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Starring Role,7moCTk3gta2hzIN7Fzw20H
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,The State Of Dreaming,01Mb3QoihqV7wkKizQ5Z5Z
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Power & Control,3BbdBuUQIGA3FEZdqUTWpS
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Sex Yeah,4jm4mWW5i2HQo1wT3rXxfL
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Teen Idle,7yexC1v9jx6PXYbJgjzXRV
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Valley Of The Dolls,7x7IDvZVJx09fy89YXsMxd
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Hypocrates,4OLfzA4FKnlVyppGPmr60S
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,How To Be A Heartbreaker,1RvcyxdkVGT3nmRTePLMvw
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Radioactive,29rjRrsPg5Iwr9k6QX8Oxq
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Fear and Loathing,5U0sW3Whz7LXmcinePeXW9
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Bubblegum Bitch,2aQfRMPKZ3RARyJyD12gjv
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Primadonna,4AuNt2oAsF4VErT7Fo3IRH
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Lies,3ezkndzQjYZgedLjHtPQKQ
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Homewrecker,4xRb22kesL2CG3CS2qmha9
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Starring Role,7tYiRYBEiQHgSO99U07M3T
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,The State Of Dreaming,6hsyxSpX43jKs2CsQEmW0B
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Power & Control,7awe1woifEZWLlYJjUR79Q
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Living Dead,4XS6rL7BNe3rCU9eQT4gqi
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Teen Idle,34iqdibOZksfnnLKnseHFB
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Valley Of The Dolls,2UwM2mnFlsKA5RhU0kdB8D
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Hypocrates,5W4fwoJveUlSQUIFymusN1
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Fear and Loathing,4HoJokcxRsDXSjGexE5kI0
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,How To Be A Heartbreaker,19alpQ5bTjDJfx5LRAZR0i
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Bubblegum Bitch,2IBhnzcOOmTxZg3fBnsIvp
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Primadonna,3yurPc1v3tt4Q8GA6nm7uE
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Lies,2qCa5ydskJxnISTJch2uAF
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Homewrecker,54Bf4mvlQFcxECKHLbgU1D
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Starring Role,0F6ELAj4GiiFkuQmpMic0m
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,The State Of Dreaming,4lKoNEANr99AOhrhqCv9r0
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Power & Control,3AgbB3Z1b5wKv25WOAe05Z
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Living Dead,1aRlf684ZSMbPwAHOv1Iwf
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Teen Idle,3yjd1q8ZqtG82y4sdMMboo
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Valley Of The Dolls,2s3BsquNvKnpUdzUZn19iH
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Hypocrates,1bNHGgIDvlEjIawjeadYMC
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Fear and Loathing,5B3Juux1LHqcIvWgTdaVNf
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,How To Be A Heartbreaker,21YorqYa4ch9sxgf1tZoXQ
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Bubblegum Bitch,6IbnUaczZBT34DhaD6S18F
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Primadonna,4sOX1nhpKwFWPvoMMExi3q
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Lies,64f5bf2jyAkrsucnG9FXot
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Homewrecker,3ale59L81ZYbjj9sm5EIIR
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Starring Role,3sa2RpulxdORgxf1zdfGJ3
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,The State Of Dreaming,1gPmtfOz51efjpH8j79FHO
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Power & Control,2IPMpbBwyCm2V6azTZgAKj
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Living Dead,4TSmV8D9i5uTXZzqoD5eSu
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Teen Idle,5B8N5rPOmTVVGpuBMK2Vby
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Valley Of The Dolls,6vso2EYZ4G8uVAKHvBQr9E
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Hypocrates,6KdqKqC4pEl5EVPTr22eeF
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Fear and Loathing,68UZCAs9VYWlxTx6Zv6KK3
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Radioactive,3ph6xHCshx5N8gLncLxm3O
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Sex Yeah,1kOCtxqVbgowO0y417BJ9q
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Lonely Hearts Club,5WPXi7JQsDFEOAFGC8w8JU
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Buy The Stars,5Pn9UbjXaQ4iATwvn9wopq
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,How To Be A Heartbreaker,2sEk5R8ErGIFxbZ7rX6S2S
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Bubblegum Bitch,0ZFBKLOZLIM16RAUb5eomN
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Primadonna,5tFMuAw6X2R4NLx97g7n9q
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Lies,2k4yzd3YejgP3kqOo0FOnS
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Homewrecker,6LneorXqS0ZjqI94vskRAG
Marina and the Diamonds,6CwfuxIqcltXDGjfZsMd9A,Starring Role,7KDfz5EnLXiPVgSOUWwpre
