Artist,Artist_id,Song,Song_id
The Platters,6KWcxMWVNVIYbdOQyJtsSy,Only You (And You Alone),7h9vcn7OQw98NmxxONGTWv
The Platters,6KWcxMWVNVIYbdOQyJtsSy,Smoke Gets In Your Eyes,2w6UxW0gdpJqAaDTDXXhYt
The Platters,6KWcxMWVNVIYbdOQyJtsSy,Twilight Time,28hXU4vHXYIUaaMeiY48zC
The Platters,6KWcxMWVNVIYbdOQyJtsSy,The Great Pretender,64IVO1CE5Ej6hRfF7sLs5j
The Platters,6KWcxMWVNVIYbdOQyJtsSy,Habor Lights,0zaiduhD9zHf4BIGTMoz9R
The Platters,6KWcxMWVNVIYbdOQyJtsSy,(You've Got) The Magic Touch,0t1yFX5SOWlY644fH9d9V3
The Platters,6KWcxMWVNVIYbdOQyJtsSy,With This Ring,5OycpUzOMZZYdjoBQcyFJt
The Platters,6KWcxMWVNVIYbdOQyJtsSy,My Prayer,7w6zTt5qmayQUN9ZZDm2v4
The Platters,6KWcxMWVNVIYbdOQyJtsSy,I Love You 1000 Times,2hVLlCR7EUTkpE04QDZyZo
The Platters,6KWcxMWVNVIYbdOQyJtsSy,One In A Million,4TQh76qAEsscHXh6XlzTJ5
The Platters,6KWcxMWVNVIYbdOQyJtsSy,I Love You Because,2Uwv1Q3McJmVPmlWRFEwqR
The Platters,6KWcxMWVNVIYbdOQyJtsSy,I Can't Get Used To Sharing You,0WnIqtCqvjGSP6TY8ZlaaB
The Platters,6KWcxMWVNVIYbdOQyJtsSy,Why,3flUHDIB2GwNBATkTz4Mg7
The Platters,6KWcxMWVNVIYbdOQyJtsSy,Hard To Get A Thing Called Love,1K3jnpDzuqPbbJ4cL61WlX
The Platters,6KWcxMWVNVIYbdOQyJtsSy,Washed Ashore (On A Lonely Island In The Sea),3O7JSI4JkRIicn4W2H8Aoy
The Platters,6KWcxMWVNVIYbdOQyJtsSy,The Wonder Of You,7JYUegchftGcvP9MirfW28
The Platters,6KWcxMWVNVIYbdOQyJtsSy,Going Back To Detroit,0malk9n3h4UmXPUaxjfZyw
The Platters,6KWcxMWVNVIYbdOQyJtsSy,My Way,3vmud5bPcbHCZgbN1fqz0Z
The Platters,6KWcxMWVNVIYbdOQyJtsSy,Red Sails In The Sunset,2INNnJPZUFr804WcKBXxRP
The Platters,6KWcxMWVNVIYbdOQyJtsSy,Unchained Melody,3eH9GQuBWxS9oqQYeJsNic
The Platters,6KWcxMWVNVIYbdOQyJtsSy,If I Had A Love,4l0Lit75kkFL0dodxEwbe0
The Platters,6KWcxMWVNVIYbdOQyJtsSy,Devri,6Gj2wpW0pG61bEzvVA9D5N
The Platters,6KWcxMWVNVIYbdOQyJtsSy,"I Love You, Yes I Do",054Y2nPqZ6uHJSv3PMU9ih
The Platters,6KWcxMWVNVIYbdOQyJtsSy,Doesn't It Ring A Bell,30QMDRpFX8zRbInMOhzUAV
