Artist,Artist_id,Song,Song_id
Steve Miller Band,6QtGlUje9TIkLrgPZrESuk,Come On In My Kitchen - Live,1EKHJyphgk6G8F7xVhdOGe
Steve Miller Band,6QtGlUje9TIkLrgPZrESuk,The Lovin' Cup - Live,6ZtscWBoLUo11zRaWhjIV4
Steve Miller Band,6QtGlUje9TIkLrgPZrESuk,Something To Believe In - Live,2BFTh6itcGF5dU3oIzlHqj
Steve Miller Band,6QtGlUje9TIkLrgPZrESuk,Evil - Live,5rsGQ4MKdmcFyjuz4KyCEY
Steve Miller Band,6QtGlUje9TIkLrgPZrESuk,Mary Lou - Live,4RbCrzopzGglUiR6s9d4F2
Steve Miller Band,6QtGlUje9TIkLrgPZrESuk,Shu Ba Da Du Ma Ma Ma Ma - Live,0JmsZpTxTAyaE4y6FWdIGa
Steve Miller Band,6QtGlUje9TIkLrgPZrESuk,Your Cash Ain't Nothin' But Trash - Live,32ykHHhIO7nxcJawUHis7I
Steve Miller Band,6QtGlUje9TIkLrgPZrESuk,Sugar Babe - Live,68q8WaL8ACmaFZAzXbTYsm
Steve Miller Band,6QtGlUje9TIkLrgPZrESuk,The Joker - Live,45kzK2WRKWstiTnIzNZdxH
Steve Miller Band,6QtGlUje9TIkLrgPZrESuk,Snatch It Back And Hold It,5cYsyh221sx1Dq3u6EWdsm
Steve Miller Band,6QtGlUje9TIkLrgPZrESuk,I Got Love If You Want It,4tZuryRQxVZXrdYwQYfZR0
Steve Miller Band,6QtGlUje9TIkLrgPZrESuk,Just A Little Bit,5DwiX9l9bRlJrXaGQpLh8Y
Steve Miller Band,6QtGlUje9TIkLrgPZrESuk,Close Together,3GdpxGckacpnmzDDtFTiuw
Steve Miller Band,6QtGlUje9TIkLrgPZrESuk,No More Doggin',2dMSGDv6Zbjrp8Syov24UI
Steve Miller Band,6QtGlUje9TIkLrgPZrESuk,Pretty Thing,5g5IWiZ9ngkBYnMmEfhlsz
Steve Miller Band,6QtGlUje9TIkLrgPZrESuk,Can't Be Satisfied,2DR6srUDRxyckCpycXaoAZ
Steve Miller Band,6QtGlUje9TIkLrgPZrESuk,Sweet Home Chicago,12T45YUBg38PdiDOabIcAV
Steve Miller Band,6QtGlUje9TIkLrgPZrESuk,Love The Life I Live,0nhJ0N46vEAQjguFWjny1v
Steve Miller Band,6QtGlUje9TIkLrgPZrESuk,The Walk,6ljk7eVagpQLH3qOxYdsjG
Steve Miller Band,6QtGlUje9TIkLrgPZrESuk,Snatch It Back And Hold It,7b6wrv9ljT0kNXjb8FHya0
