Artist,Artist_id,Song,Song_id
Eli Young Band,6eKWqnckwdIlSnjaYgIyxv,Saltwater Gospel,3wlZNYZnhINy3xgQOuUhwO
Eli Young Band,6eKWqnckwdIlSnjaYgIyxv,Fingerprints,2shYNPrg3s52r8NhQxnF5e
Eli Young Band,6eKWqnckwdIlSnjaYgIyxv,Never Again,3QWgfaCa9Clu2SkESPxGBt
Eli Young Band,6eKWqnckwdIlSnjaYgIyxv,Old Songs,6aIYuERuOXiw1AL6Ij6MGd
Eli Young Band,6eKWqnckwdIlSnjaYgIyxv,Drive,6sqW4oRscMckTxzxm5ds5B
Eli Young Band,6eKWqnckwdIlSnjaYgIyxv,Skin & Bones,3oRN2kgSMJOi9hOrXMdE96
Eli Young Band,6eKWqnckwdIlSnjaYgIyxv,A Heart Needs A Break,0J8uds4t7ZrshU5qX00ClP
Eli Young Band,6eKWqnckwdIlSnjaYgIyxv,Once,58El8QLnkiOL5fg9cPh3Ik
Eli Young Band,6eKWqnckwdIlSnjaYgIyxv,Never Land,1JFAQD37vxGz7509895bWl
Eli Young Band,6eKWqnckwdIlSnjaYgIyxv,God Love The Rain,2SjarQZXjpLMnOav1K3xld
Eli Young Band,6eKWqnckwdIlSnjaYgIyxv,The Days I Feel Alone,57LRsL0r9rTcyUEwYZU4YU
Eli Young Band,6eKWqnckwdIlSnjaYgIyxv,Radio Intro - Commentary,4UaCUN7QyQLaCxwET5ollK
Eli Young Band,6eKWqnckwdIlSnjaYgIyxv,Saltwater Gospel - Commentary,7v1OlOzNXVepz4lBplrNoZ
Eli Young Band,6eKWqnckwdIlSnjaYgIyxv,Saltwater Gospel,54aYBlo3h3yxkf4PvoN4pH
Eli Young Band,6eKWqnckwdIlSnjaYgIyxv,Fingerprints - Commentary,7d7rP3MhA503AxsIDXGMw2
Eli Young Band,6eKWqnckwdIlSnjaYgIyxv,Fingerprints,1wYjDiN3X2nPHz9PTjgHTE
Eli Young Band,6eKWqnckwdIlSnjaYgIyxv,Never Again - Commentary,0kerONRybPapkh746gLfPP
Eli Young Band,6eKWqnckwdIlSnjaYgIyxv,Never Again,6lS5SwjyAC16J8UeG4UnZ0
Eli Young Band,6eKWqnckwdIlSnjaYgIyxv,Old Songs - Commentary,7tX6Tib48F1R2RL8eQVmqN
Eli Young Band,6eKWqnckwdIlSnjaYgIyxv,Old Songs,5eaaziojurWnW3vDNWXOIY
Eli Young Band,6eKWqnckwdIlSnjaYgIyxv,Drive - Commentary,1Btkbs0MlnISfmmYYykONr
Eli Young Band,6eKWqnckwdIlSnjaYgIyxv,Drive,0zsyTDo3lHEnCtbNLCq4s6
