Artist,Artist_id,Song,Song_id
Keb' Mo',6iDaoPZVgxrTkndDCisX8F,Don't Leave Me Here,1pDwZmpFoPyPTApIgCLwHS
Keb' Mo',6iDaoPZVgxrTkndDCisX8F,She Knows How To Rock Me,001CyR8xqmmpVZFiTZJ5BC
Keb' Mo',6iDaoPZVgxrTkndDCisX8F,All Around The World,07ZuuDjwtyMzKVnayq0tEr
Keb' Mo',6iDaoPZVgxrTkndDCisX8F,Om Sweet Om,47q81QEwfRG8V0hUiFdNsA
Keb' Mo',6iDaoPZVgxrTkndDCisX8F,Shake Me In Your Arms,7m4MT5ENdXygslRiFkeOS8
Keb' Mo',6iDaoPZVgxrTkndDCisX8F,That's Who I Am,1hdVLZ6VfWoUVrvDOTV8fU
Keb' Mo',6iDaoPZVgxrTkndDCisX8F,Diving Duck Blues,0hK8IwYBQwGbTgd7C5XyRZ
Keb' Mo',6iDaoPZVgxrTkndDCisX8F,Squeeze Box,1oCg79w6d35h9X8R57pB7G
Keb' Mo',6iDaoPZVgxrTkndDCisX8F,Ain't Nobody Talkin',07UY7JEVzCcVrz3nRO96B0
Keb' Mo',6iDaoPZVgxrTkndDCisX8F,Soul,3JD3Mtjo7c05NZNDCPXh37
Keb' Mo',6iDaoPZVgxrTkndDCisX8F,Waiting On The World To Change,2DT4FA6QOsCO9tE3Id5kNc
