Artist,Artist_id,Song,Song_id
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Craving You,3OBWj3vzhnkToe2YJgHIaa
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Unforgettable,3FnUiG5NPce4gOmKrdR30K
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Sixteen,2KeeXSFbK0Pk3mtrngbcep
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Drink A Little Beer,0721YWojx4CvZORRHJwwL6
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Marry Me,54JKXbX4fLjWwtUecgRfe5
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Leave Right Now,0zQQ822UzXk4sfvhzkRhhs
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Smooth Like The Summer,45TAGq0dVlc59yDfTO7KpK
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Life Changes,5nIEDnmJafeaiAWeW2BDrJ
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,When You Look Like That,4uTBCCGuVF5tDcoFCLMu7E
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Sweetheart,32aSFNOyzTFaVgUr79SfGq
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Kiss Me Like A Stranger,0ZJ5AXqK70vzEUsIDNLo2X
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Renegades,0Yqs0yATApeNGB48eqOp8D
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Gateway Love,3SarxMSfcktWxHUNzZbs4e
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Grave,45ZJi4HOVWFoNIfX37ccik
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Country Gold,4icgywZqBCTdNPTWGdso46
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Cardboard Heart,7KK5qTTb3TycT1crezYzGx
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,When Were 80,2aslQ7Sf7MdDbRPbac0Cy4
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Life Changes - Radio Edit,5bYTHrG9dDlViw2Jmf23Dj
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Leave Right Now - Martin Jensen Mix,7DxxYMrWO8IgUTJ9GnyhZS
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Leave Right Now - Nashville Mix,1nfUfPFIcbCu1dXofSbGb3
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Leave Right Now - Radio Edit,4qgTBY8FkG8QYlFqbono4O
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Craving You,2d48mamATjby7wgPjdrSOQ
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Unforgettable,30MM5jWpUmOxtTNd9Ey5LZ
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Sixteen,3pJkBPHadRAxBBo484RipI
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Drink A Little Beer,1mJFIsUzfbeh0KBuXLVe16
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Marry Me,0OWZFobGSIW9GrSlQ9C5pc
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Leave Right Now,0wyja8xD9cNhDtfuY0dVMP
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Smooth Like The Summer,673kHtQzMDr8eZtcawrfgh
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Life Changes,4Vxu50qVrQcycjRyJQaZLC
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,When You Look Like That,35sFGUnvLP2LPHzmdwsq40
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Sweetheart,6BSLkNSWTWzaC2wbBlD2QI
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Kiss Me Like A Stranger,2U57XZh5CgCjqb9VaU9ynm
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Renegades,27rPYvYisboZwKnIiX2cug
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Gateway Love,1OlDnyauZ0kTdD7AhzoNJC
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Grave,0rpwb2kLgS6KAZsostOj1O
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Radio Intro - Commentary,6jNOJo3VNCEVA3vABmRFKr
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Craving You - Commentary,3nDPSmGzUPWbDLGJszqzEo
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Craving You,17hd4ptJCbsEeLj0auPcwy
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Unforgettable - Commentary,54FznwuPxS806Zl3jnVZ62
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Unforgettable,2JGUcpSLhxxruwkqQfBhAl
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Sixteen - Commentary,0wzF8Ya94GAYG3wLVCgVAZ
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Sixteen,7wwYJl8a1qF4V11we7XIbu
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Drink A Little Beer - Commentary,36amDPy2YGNpwogIlGZohg
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Drink A Little Beer,0YkR14qpMIs5gAkLmHxCKM
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Marry Me - Commentary,1vqZVsoX2NLzrzgPNT7OfB
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Marry Me,2mNunIwTYWrNEYgWYrj97p
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Leave Right Now - Commentary,0xDBfIqoyzfF6zwi66JRlS
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Leave Right Now,51c4asDsRrlh2OOn9RIrlp
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Smooth Like The Summer - Commentary,7HeWk5r9vDPrbMmsg4U5vr
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Smooth Like The Summer,7JsN20NwLdHSKf499j9ViA
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Life Changes - Commentary,63BIzS6GyrSlZtDjDBMmtF
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Life Changes,2QmCs6wBF2dfUSZsMtTo1x
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,When You Look Like That - Commentary,4WytmmmGEHNR8RHifKaHvc
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,When You Look Like That,1ByscC1iSY5BOrrMHsbkXP
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Sweetheart - Commentary,0xLRICUeUeGzzRgZhXoKgb
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Sweetheart,3458XpFMFDeS14Pi0gK8eP
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Kiss Me Like A Stranger - Commentary,25iifQf0La08dHjLoOstRB
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Kiss Me Like A Stranger,1s6dPDPqpWSMrV6Gsxhlwk
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Renegades - Commentary,5HOjhLosKO0V81AwQQOpdo
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Renegades,5VShsA2D5YzCWM7PnvavoG
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Gateway Love - Commentary,3B7eh6wRWylQ37lU1HRKJM
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Gateway Love,1udfq9xI7IEhpEC6NDyvBu
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Grave - Commentary,3qIUWElBjjXmWptEYRPvOO
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Grave,5EYh4YAbdgwQu6UZfrXaYk
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Anthem,3DmYuaz4U9thZlEJNvGrIZ
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Crash and Burn,4q6touXnMJX6DsZnIF4UpS
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,South Side,52Z6dsU3rdv39eSsuPyM45
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Die A Happy Man,68lSGZIJy3QYHnJfcssrPE
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Vacation,5rDONh5V74qp7HOxscDHyz
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Like It's The Last Time,036Ow4bxJppODO3mDoUF0q
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,T-Shirt,7BEo8CzYf5Fcfa9RuoPwIa
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Single Girl,0vYOARwXznkuxgmgwUTCmE
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,The Day You Stop Lookin' Back,1v0aFec16nXtfhPIaj3xrG
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Tangled,5kTuGvH0o816lxG6BuH7z8
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Playing With Fire,0EYHmLw7ZaFTwe5ychALZk
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,I Feel Good,1qH2p20N5CoKD29xDzFVZ7
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Learned It From The Radio,4zWxIP3KS0vDoNOusTQRgX
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Star Of The Show,63OQWdXMq0Pe6pRpWY5gO0
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,American Spirit,1AhsVSzy9ptjkDYaeZS7RT
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Background Music,5qFiHqrkmSPAQdp6abWtQC
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Playing With Fire,5oi5FZxnsT6jno2seBjmZM
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Die A Happy Man - The Remix,3bxXbmUmpJFlHaeX9CTJ38
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Anthem - Commentary,7eUlS5OQKMMjnxvBikk5HQ
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Anthem,4BiJLs9mRiBdHjjOIl5W96
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Crash and Burn - Commentary,2N1YknAhI4GrPnx1FZXhxA
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Crash and Burn,1PXTR0UJ43b0dILZdfmcVC
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,South Side - Commentary,17KG1Urscp4fMBg2lFDYwN
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,South Side,54Npr5auY7d7vsbhQmDyqv
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Die A Happy Man - Commentary,72OOWuSsfTJIjYzLN3Y3bp
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Die A Happy Man,4p3MLXbSywMGxudY2MgExA
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Vacation - Commentary,6OKIsrdKkIkVgNpbm6AsAo
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Vacation,6AHtMGas14QbxEi32PJhrF
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Like Its The Last Time - Commentary,1GFk56sFzMJ28M6FWfyCiH
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Like It's The Last Time,4bwvFhJ1i2Tiqlw6Z8XzsY
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,T-Shirt - Commentary,74mbabgQFoeDSo140CzaX9
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,T-Shirt,1OBSSBH8jp6ScpemmnlXmX
Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Single Girl - Commentary,1MB3TuiaDnCtF4HRgbgn1u
