Artist,Artist_id,Song,Song_id
Nao,7aFTOGFDEqDtJUCziLVsVC,Another Lifetime,48WTGGIeSFD5ZMF51Rm4Y9
Nao,7aFTOGFDEqDtJUCziLVsVC,Make It Out Alive (feat. SiR),0VXinRGqxFxr1BKrOrC9pP
Nao,7aFTOGFDEqDtJUCziLVsVC,If You Ever,5qbSSuBorHMw2wXC3qPe2Z
Nao,7aFTOGFDEqDtJUCziLVsVC,When Saturn Returns - Interlude,7F23U974sp3gkkCTA4gJ4M
Nao,7aFTOGFDEqDtJUCziLVsVC,Saturn (feat. Kwabs),7HHlagS4aGF82LduE2FoY4
Nao,7aFTOGFDEqDtJUCziLVsVC,Gabriel,5fp8Ww74MLFXjCYRxf6YMt
Nao,7aFTOGFDEqDtJUCziLVsVC,Orbit,5yrXolC7Un3peiFxwqbucn
Nao,7aFTOGFDEqDtJUCziLVsVC,Love Supreme,591qGFsTHMPHQ9V6lz4CKJ
Nao,7aFTOGFDEqDtJUCziLVsVC,Curiosity,6j1owOuV2iTquW5vTw1fm3
Nao,7aFTOGFDEqDtJUCziLVsVC,Drive and Disconnect,6pEAd0UjznaKABT7WLLvmC
Nao,7aFTOGFDEqDtJUCziLVsVC,Don't Change,3tyB3Y7sfc02VwtsnW3aCO
Nao,7aFTOGFDEqDtJUCziLVsVC,Yellow of the Sun,1sopAWv0BToiOT2wAunyuV
Nao,7aFTOGFDEqDtJUCziLVsVC,A Life Like This,7c8bCcNTQTx13FkjtKkb8E
Nao,7aFTOGFDEqDtJUCziLVsVC,Another Lifetime,3hTG5vVsxij2LDgGaDzBOh
Nao,7aFTOGFDEqDtJUCziLVsVC,Make It Out Alive (feat. SiR),0kTqo2BmjWpjg76hFuKxOi
Nao,7aFTOGFDEqDtJUCziLVsVC,If You Ever,0qTloVHc8H8diOL4ki8aWJ
Nao,7aFTOGFDEqDtJUCziLVsVC,When Saturn Returns - Interlude,2yKk7OZuBL6zFNvIHad0Oj
Nao,7aFTOGFDEqDtJUCziLVsVC,Saturn (feat. Kwabs),4iN8XaboAIFNTo8mGQBkmz
Nao,7aFTOGFDEqDtJUCziLVsVC,Gabriel,7uvY5AkykdWrujPBZl1Tqr
Nao,7aFTOGFDEqDtJUCziLVsVC,Orbit,5uak3SnWJz2GvP3tdncQuY
Nao,7aFTOGFDEqDtJUCziLVsVC,Love Supreme,5owEbiX97MTGJfNEVBSYIZ
Nao,7aFTOGFDEqDtJUCziLVsVC,Curiosity,46ka6mhFenYoiRh2fiRYp1
Nao,7aFTOGFDEqDtJUCziLVsVC,Drive and Disconnect,3s6RWIa8S2NnYRPQlvP0cC
Nao,7aFTOGFDEqDtJUCziLVsVC,Don't Change,5qpOePna6i6W8bKwDq5uKh
Nao,7aFTOGFDEqDtJUCziLVsVC,Yellow of the Sun,3kW0DzWugHiu8FnLkHixUR
Nao,7aFTOGFDEqDtJUCziLVsVC,A Life Like This,4eNkKrgLFrmSwESHARLlDh
Nao,7aFTOGFDEqDtJUCziLVsVC,Intro (Like Velvet),22ZcLeaye66LSNhYC7DSPc
Nao,7aFTOGFDEqDtJUCziLVsVC,Get to Know Ya,7coWZzFEyhoZTcMfZixvwB
Nao,7aFTOGFDEqDtJUCziLVsVC,Inhale Exhale,2fv00qmva1kpCctrKgoIer
Nao,7aFTOGFDEqDtJUCziLVsVC,Voice Memo 161,0kJPzJcy0FUuEZTYf1PftG
Nao,7aFTOGFDEqDtJUCziLVsVC,Happy,6MeRDLBZfPRZudEmJhbuj6
Nao,7aFTOGFDEqDtJUCziLVsVC,Voice Memo 162,4hhKtWh8y1dnwEHJU9X1WJ
Nao,7aFTOGFDEqDtJUCziLVsVC,Adore You (feat. Abhi Dijon),25isxLhIKV8lNSecmvY700
Nao,7aFTOGFDEqDtJUCziLVsVC,In the Morning,3pRyeZCIGdaO84RSBj9Bj7
Nao,7aFTOGFDEqDtJUCziLVsVC,Trophy (feat. A. K. Paul),4wfruBEWWb0iYHbMRd01GA
Nao,7aFTOGFDEqDtJUCziLVsVC,Bad Blood,4Iam3vZMJCMltFkK9mNruw
Nao,7aFTOGFDEqDtJUCziLVsVC,DYWM,3xg0KCbvT3GPtAnaXMKd4E
Nao,7aFTOGFDEqDtJUCziLVsVC,We Don't Give A,7xFyzXCq6GKv5hpbTGLY4S
Nao,7aFTOGFDEqDtJUCziLVsVC,Give Me a Little,6lB0UsHu3sWupDfYXJ9VH2
Nao,7aFTOGFDEqDtJUCziLVsVC,Fool to Love,0uII79GWhvmTIvruhfIXlf
Nao,7aFTOGFDEqDtJUCziLVsVC,Voice Memo 4 (Say Yes),6mrUgdrohhpe4P9iLWuvww
Nao,7aFTOGFDEqDtJUCziLVsVC,Blue Wine,40CrAsHK8vJIAHX6AxZWUi
Nao,7aFTOGFDEqDtJUCziLVsVC,Girlfriend,2LcbfZtNRt3HQNGj1pEpBb
Nao,7aFTOGFDEqDtJUCziLVsVC,Feels Like,5ThIEmdSSlQarAm4QLev5j
Nao,7aFTOGFDEqDtJUCziLVsVC,If You Ever (feat. 6LACK),5PkZ0mhNgfuz7SqiuruKlh
Nao,7aFTOGFDEqDtJUCziLVsVC,Curiosity,5tVyOgWalh5INWQg9UXqpS
Nao,7aFTOGFDEqDtJUCziLVsVC,Drive and Disconnect,6Dny9hE3SFjPgu97TaFUbA
Nao,7aFTOGFDEqDtJUCziLVsVC,Make It Out Alive (feat. SiR),4rAopLBZe4gTCEyqz9p71O
Nao,7aFTOGFDEqDtJUCziLVsVC,Make It Out Alive (feat. SiR),21Ft8ME799DMZjxNwmui6Z
Nao,7aFTOGFDEqDtJUCziLVsVC,Another Lifetime - Shareware Remix,2mVW3YWtFGaXeIckXb4L4D
