Artist,Artist_id,Song,Song_id
Roy Woods,7mDU6nMUJnOSY2Hkjz5oqM,Medusa,0i1YwWmVoNlAckK2ej9K4I
Roy Woods,7mDU6nMUJnOSY2Hkjz5oqM,Little Bit of Lovin,5l5wRXA7asTNjh3V0oNGPs
Roy Woods,7mDU6nMUJnOSY2Hkjz5oqM,Say Less,5sOW5hiIFFjtS51KMlWwt1
Roy Woods,7mDU6nMUJnOSY2Hkjz5oqM,Take Time (feat. 24Hrs),7ulQ51iAbfUjbEifA3AybH
Roy Woods,7mDU6nMUJnOSY2Hkjz5oqM,Something New,4d2iGFWFAMt6AE7SQ7Psxh
Roy Woods,7mDU6nMUJnOSY2Hkjz5oqM,Top Left,5DXHRoMij9Dm1Hs5lbKYq8
Roy Woods,7mDU6nMUJnOSY2Hkjz5oqM,BB,0WBGu4SCQxUSFtYRomXni9
Roy Woods,7mDU6nMUJnOSY2Hkjz5oqM,Back It Up (feat. PARTYNEXTDOOR),6a6HeUV53Ie7K0gcbpE8c6
Roy Woods,7mDU6nMUJnOSY2Hkjz5oqM,Glasses,1RHtCeYGacnin02PcRGOZ4
Roy Woods,7mDU6nMUJnOSY2Hkjz5oqM,The Way You Sex,65APaGGVoN1efvB7Sd3mmy
Roy Woods,7mDU6nMUJnOSY2Hkjz5oqM,Monday to Monday,52ztI2AthLbmFHyGE3CzSl
Roy Woods,7mDU6nMUJnOSY2Hkjz5oqM,What Are You On?,0IJLZPSVj1YVHJQAG5BEdw
Roy Woods,7mDU6nMUJnOSY2Hkjz5oqM,Balance (feat. dvsn & PnB Rock),78yeKzZVT9ARq9icCvEF3A
Roy Woods,7mDU6nMUJnOSY2Hkjz5oqM,In the Club,5RbHmTxWjHgn2yR1MpC3VW
Roy Woods,7mDU6nMUJnOSY2Hkjz5oqM,B-Town,1rRygQj3K8cPKRHhq3CtsZ
Roy Woods,7mDU6nMUJnOSY2Hkjz5oqM,Undivided,4ZTETnwHx0TlJbSJORennq
Roy Woods,7mDU6nMUJnOSY2Hkjz5oqM,Medusa,6UOHfFsXApJzSes6JCLUrA
Roy Woods,7mDU6nMUJnOSY2Hkjz5oqM,Little Bit of Lovin,1pcD3es7jXSzUAjL0dgtqo
Roy Woods,7mDU6nMUJnOSY2Hkjz5oqM,Say Less,0QcIQ2woCZxqSxZKgMJEkO
Roy Woods,7mDU6nMUJnOSY2Hkjz5oqM,Take Time (feat. 24Hrs),5xyO77ciDTM3MKgGqZadlx
Roy Woods,7mDU6nMUJnOSY2Hkjz5oqM,Something New,3SyuoBmddlieyOmlcD0ZdT
Roy Woods,7mDU6nMUJnOSY2Hkjz5oqM,Top Left,6xj4uxhYuSTcdSYVDzEoUu
Roy Woods,7mDU6nMUJnOSY2Hkjz5oqM,BB,2q1FAikCCE5nXy1wk8xuqx
Roy Woods,7mDU6nMUJnOSY2Hkjz5oqM,Back It Up (feat. PARTYNEXTDOOR),3x75OsA1ILP2phCzpeLYym
Roy Woods,7mDU6nMUJnOSY2Hkjz5oqM,Glasses,7roh1md4F4qgb8gQZQa6SM
Roy Woods,7mDU6nMUJnOSY2Hkjz5oqM,The Way You Sex,6nqmihvFyYOXPv81QIHEsL
Roy Woods,7mDU6nMUJnOSY2Hkjz5oqM,Monday to Monday,2cQeYV6VQZ4ZBsN8pqZh8N
Roy Woods,7mDU6nMUJnOSY2Hkjz5oqM,What Are You On?,1GDLfIYwe8A6ADVO6FgrVD
Roy Woods,7mDU6nMUJnOSY2Hkjz5oqM,Balance (feat. dvsn & PnB Rock),0FutG9X6QDUvUyvoXRsDAW
Roy Woods,7mDU6nMUJnOSY2Hkjz5oqM,In the Club,2IsOylwiWb3VvfqbrOxMH6
Roy Woods,7mDU6nMUJnOSY2Hkjz5oqM,B-Town,2JMOjz88BC8cyrrhgiQiiu
Roy Woods,7mDU6nMUJnOSY2Hkjz5oqM,Undivided,0fqSEpoNW61EiyVdJjSfNm
Roy Woods,7mDU6nMUJnOSY2Hkjz5oqM,Magic,3yfBq40ZhwQWs9xcdQMcmY
Roy Woods,7mDU6nMUJnOSY2Hkjz5oqM,Four Seasons,1zZA8kT0U3pADcJ3GIhdEQ
Roy Woods,7mDU6nMUJnOSY2Hkjz5oqM,Chilli Peppers (feat. Majid Jordan),6z832PPPyMHmahjAihz9lU
Roy Woods,7mDU6nMUJnOSY2Hkjz5oqM,Involved,2lRrlJxloNH5XYax6kaW3j
Roy Woods,7mDU6nMUJnOSY2Hkjz5oqM,Instinct (feat. MadeinTYO),49VzL5oBsUICN7U34T98b9
Roy Woods,7mDU6nMUJnOSY2Hkjz5oqM,Love You,4CluZnxfygZoo4OwFm0xUd
Roy Woods,7mDU6nMUJnOSY2Hkjz5oqM,Dangerous,313cdthw8naSCqGDNON7XB
Roy Woods,7mDU6nMUJnOSY2Hkjz5oqM,Magic,4t9d8wjO13rTFtRcT1Rb6W
Roy Woods,7mDU6nMUJnOSY2Hkjz5oqM,Four Seasons,52jUOu3FuOUv7ZcdhUCsbn
Roy Woods,7mDU6nMUJnOSY2Hkjz5oqM,Chilli Peppers (feat. Majid Jordan),7rmsyz1K3TTdlxkxkOyws4
Roy Woods,7mDU6nMUJnOSY2Hkjz5oqM,Involved,5LHVPJz4eZQ3X93JE8v2rB
Roy Woods,7mDU6nMUJnOSY2Hkjz5oqM,Instinct (feat. MadeinTYO),58z3NHpxIy1SZ0FuctonC1
Roy Woods,7mDU6nMUJnOSY2Hkjz5oqM,Love You,6Yr1lWJ5rF4V3rCqjK2ubv
Roy Woods,7mDU6nMUJnOSY2Hkjz5oqM,Dangerous,6O3CfdCjG9SJCCbKAFkybh
Roy Woods,7mDU6nMUJnOSY2Hkjz5oqM,Sonic Boom,5Z4mLHUiNoc23UktrfthED
Roy Woods,7mDU6nMUJnOSY2Hkjz5oqM,You Love It,6QRkUg9vc47tCfL93fIqP3
Roy Woods,7mDU6nMUJnOSY2Hkjz5oqM,Gwan Big Up Urself,2A1RPZzGu3qxFL6PiFtyPw
Roy Woods,7mDU6nMUJnOSY2Hkjz5oqM,How I Feel,07Qonra5xGHyjndj0gtOHy
Roy Woods,7mDU6nMUJnOSY2Hkjz5oqM,Down Girl,4PZ4xyWBCCJqAeWI8uSLca
Roy Woods,7mDU6nMUJnOSY2Hkjz5oqM,Switch,67zWMvH8icUFzOWecnM0QV
Roy Woods,7mDU6nMUJnOSY2Hkjz5oqM,Got Me,4wXvqEHxo3HwLs6mcqU4bb
